,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,1085.0,9156.0,94.0,186.59351406978777,1,0.0,False
32104,0 days 01:11:00.588000,1088.705490483393,9137.636595638383,94.08332510690119,186.0,1,0.0,False
32105,0 days 01:11:00.788000,1108.830803664376,9034.325813915313,94.92416397757114,186.0,1,0.0,False
32106,0 days 01:11:00.814000,1111.0,9023.0,95.0,183.26998656,1,0.0,False
32107,0 days 01:11:01.174000,1134.0,8888.0,95.0,145.46998656,1,0.0,False
32108,0 days 01:11:01.188000,1135.1024136240399,8880.09683253163,94.9947059192091,144.0,1,0.0,False
32109,0 days 01:11:01.334000,1147.0,8791.0,95.0,136.6999936,1,0.0,False
32110,0 days 01:11:01.468000,1153.1444541140716,8742.992015174908,95.1536094358153,130.0,1,0.0,False
32111,0 days 01:11:01.693000,1157.0,8699.0,95.0,127.4930345193476,1,0.0,False
32112,0 days 01:11:01.827000,1160.3916787192525,8650.370768909064,94.10120112393157,126.0,1,0.0,False
32113,0 days 01:11:01.893000,1162.0,8626.0,94.0,126.0,1,0.0,False
32114,0 days 01:11:01.988000,1163.9384976991216,8594.85929445702,94.63633356578352,126.0,1,0.0,False
32115,0 days 01:11:02.053000,1165.0,8574.0,95.0,125.70454458181818,1,0.0,False
32116,0 days 01:11:02.273000,1167.0,8498.0,94.0,124.70454458181818,1,0.0,False
32117,0 days 01:11:02.428000,1167.0711608006682,8445.589801784496,94.13441981012102,124.0,1,0.0,False
32118,0 days 01:11:02.613000,1166.0,8380.0,94.0,126.32217752042108,1,0.0,False
32119,0 days 01:11:02.667000,1165.5117072244323,8358.865107606887,93.44694807591215,127.0,1,0.0,False
32120,0 days 01:11:02.713000,1165.0,8341.0,93.0,127.82143085714286,1,0.0,False
32121,0 days 01:11:02.947000,1161.0996946476785,8259.112344142968,92.98985793493001,132.0,1,0.0,False
32122,0 days 01:11:02.953000,1161.0,8257.0,93.0,131.94029721482102,1,0.0,False
32123,0 days 01:11:03.133000,1158.0,8192.0,93.0,130.1492518684185,1,0.0,False
32124,0 days 01:11:03.148000,1157.6860297201347,8186.6238490723745,92.95134775008309,130.0,1,0.0,False
