,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,570.0,10485.0,90.0,128.83042455148922,1,0.0,False
32104,0 days 01:11:00.588000,577.9372768929055,10473.963971520596,89.95337435449115,129.0,1,0.0,False
32105,0 days 01:11:00.788000,623.784157322742,10407.713179917426,89.99053040918237,134.0,1,0.0,False
32106,0 days 01:11:00.814000,629.0,10400.0,90.0,134.0,1,0.0,False
32107,0 days 01:11:01.174000,696.0,10293.0,90.0,134.0,1,0.0,False
32108,0 days 01:11:01.188000,699.9251149043919,10286.23107404755,89.99959018938279,134.0,1,0.0,False
32109,0 days 01:11:01.334000,744.0,10209.0,90.0,134.0,1,0.0,False
32110,0 days 01:11:01.468000,768.2894503712469,10164.85767765922,89.99797716014241,134.0,1,0.0,False
32111,0 days 01:11:01.693000,792.0,10115.0,90.0,156.56268932587153,1,0.0,False
32112,0 days 01:11:01.827000,817.5567915702228,10059.916030304617,90.01329634946259,170.0,1,0.0,False
32113,0 days 01:11:01.893000,831.0,10030.0,90.0,170.0,1,0.0,False
32114,0 days 01:11:01.988000,849.5254889504948,9987.039383299849,89.94558047633443,170.0,1,0.0,False
32115,0 days 01:11:02.053000,862.0,9957.0,90.0,174.28410356363636,1,0.0,False
32116,0 days 01:11:02.273000,904.0,9849.0,91.0,188.78410356363636,1,0.0,False
32117,0 days 01:11:02.428000,931.391493725495,9769.483898766744,91.64549523032133,199.0,1,0.0,False
32118,0 days 01:11:02.613000,962.0,9671.0,92.0,202.87029586736847,1,0.0,False
32119,0 days 01:11:02.667000,970.6918010813929,9641.410662796314,91.98132682935024,204.0,1,0.0,False
32120,0 days 01:11:02.713000,978.0,9616.0,92.0,204.82143085714284,1,0.0,False
32121,0 days 01:11:02.947000,1013.17304452796,9485.358581657212,92.98892336833546,209.0,1,0.0,False
32122,0 days 01:11:02.953000,1014.0,9482.0,93.0,208.880594429642,1,0.0,False
32123,0 days 01:11:03.133000,1037.0,9382.0,93.0,205.298503736837,1,0.0,False
32124,0 days 01:11:03.148000,1038.8104756096325,9373.870293202117,93.0415524670195,205.0,1,0.0,False
32125,0 days 01:11:03.333000,1060.0,9277.0,94.0,191.78570057142858,1,0.0,False
32126,0 days 01:11:03.428000,1069.929990514204,9229.795164357314,94.07418614312049,185.0,1,0.0,False
32127,0 days 01:11:03.573000,1084.0,9161.0,94.0,172.05355428571428,1,0.0,False
32128,0 days 01:11:03.708000,1096.2172154592688,9100.338786193915,94.60805128286766,160.0,1,0.0,False
32129,0 days 01:11:03.873000,1110.0,9030.0,95.0,152.265616,1,0.0,False
32130,0 days 01:11:04.028000,1121.6567373348803,8966.983561655807,94.00881099431362,145.0,1,0.0,False
32131,0 days 01:11:04.033000,1122.0,8965.0,94.0,144.8749952,1,0.0,False
32132,0 days 01:11:04.188000,1131.5334210107533,8904.984148464562,94.78305011224704,141.0,1,0.0,False
32133,0 days 01:11:04.233000,1134.0,8888.0,95.0,139.19094763708216,1,0.0,False
32134,0 days 01:11:04.387000,1141.7192579428063,8831.301278606468,95.0268541121164,133.0,1,0.0,False
32135,0 days 01:11:04.433000,1144.0,8815.0,95.0,131.2749952,1,0.0,False
32136,0 days 01:11:04.533000,1149.0,8780.0,95.0,127.5249952,1,0.0,False
32137,0 days 01:11:04.627000,1153.299678515917,8743.797963016763,94.83763652089199,124.0,1,0.0,False
32138,0 days 01:11:04.874000,1162.0,8638.0,94.0,117.84697209326055,1,0.0,False
32139,0 days 01:11:04.908000,1162.8347003360052,8623.698834558172,93.9391441733648,117.0,1,0.0,False
32140,0 days 01:11:05.148000,1166.3165568153836,8529.028609595682,93.93344337026608,113.0,1,0.0,False
32141,0 days 01:11:05.254000,1167.0,8500.0,94.0,112.11296987769845,1,0.0,False
32142,0 days 01:11:05.387000,1167.3245271271664,8478.58898234454,94.07249767265618,111.0,1,0.0,False
32143,0 days 01:11:05.554000,1167.0,8452.0,94.0,109.32999936,1,-0.4800731723272431,False
32144,0 days 01:11:05.587000,1166.8566255876142,8443.06852708192,93.94088158541868,109.0,1,-0.48167012534991044,False
32145,0 days 01:11:05.827000,1165.022624398208,8347.979949299332,93.18283115378561,107.0,1,-0.46822837500275194,False
32146,0 days 01:11:05.914000,1164.0,8314.0,93.0,107.0,1,-0.4679166815990869,False
32147,0 days 01:11:05.988000,1162.9775763158505,8287.943546408032,92.92861191708909,107.0,1,-0.4513650631058493,False
32148,0 days 01:11:06.187000,1159.6916605677525,8230.676422213988,93.04897556349019,106.0,1,-0.4512568547584972,False
32149,0 days 01:11:06.314000,1158.0,8203.0,93.0,105.54642834285714,1,-0.43803219623495576,False
32150,0 days 01:11:06.467000,1156.6951891091107,8178.4949757958575,92.67065490366241,105.0,1,-0.43279811870212875,False
32151,0 days 01:11:06.734000,1152.0,8105.0,92.0,104.16822393385151,1,-0.42603234232874115,False
32152,0 days 01:11:06.788000,1149.7068594526204,8073.342308495028,91.98631424503716,104.0,1,-0.42253480119680253,False
32153,0 days 01:11:06.854000,1147.0,8036.0,92.0,104.4125008,1,-0.4177148379719021,False
32154,0 days 01:11:07.108000,1146.0253509712213,8013.750326640162,92.004657550763,106.0,1,-0.41488832198357156,False
32155,0 days 01:11:07.274000,1141.0,7948.0,92.0,109.1125024,1,-0.4115002594636208,False
32156,0 days 01:11:07.428000,1128.0441244307447,7787.263986358202,92.0027245995976,112.0,1,-0.4042388782430901,False
32157,0 days 01:11:07.454000,1126.0,7763.0,92.0,112.6500032,1,-0.39759079893716476,False
32158,0 days 01:11:07.628000,1116.5334436214685,7663.80606166012,91.94815455756913,117.0,1,-0.3923404360423056,False
32159,0 days 01:11:07.754000,1111.0,7620.0,92.0,119.45000248888888,1,-0.3920385772626006,False
32160,0 days 01:11:07.988000,1098.0106872979704,7530.491822701044,92.51421576882919,124.0,1,-0.3919236468873539,False
32161,0 days 01:11:08.213000,1086.0,7458.0,93.0,131.52089644195718,1,-0.3796185970037761,False
