,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,1959.0,1374.0,93.0,270.44139131234175,1,0.0,False
32104,0 days 01:11:00.588000,1980.2681788736738,1356.009515918784,93.04317768500924,269.0,1,0.0,False
32105,0 days 01:11:00.788000,2101.3454297802637,1255.218064516558,92.99418132918356,248.0,1,0.0,False
32106,0 days 01:11:00.814000,2115.0,1244.0,93.0,245.59498816,1,0.0,False
32107,0 days 01:11:01.174000,2286.0,1110.0,93.0,212.29498816,1,0.0,False
32108,0 days 01:11:01.188000,2295.773684930165,1102.7064582810945,92.92915090683202,211.0,1,0.0,False
32109,0 days 01:11:01.334000,2405.0,1022.0,92.0,204.74285165714286,1,0.0,False
32110,0 days 01:11:01.468000,2464.681639897973,978.7263781984934,91.80093487890922,199.0,1,0.0,False
32111,0 days 01:11:01.693000,2519.0,944.0,92.0,188.97213807739044,1,0.0,False
32112,0 days 01:11:01.827000,2575.4601648416506,909.9355294477626,91.39624542824286,183.0,1,0.0,False
32113,0 days 01:11:01.893000,2605.0,893.0,91.0,181.36024461525253,1,0.0,False
32114,0 days 01:11:01.988000,2645.5992999183736,871.2738188624172,90.39702399960622,179.0,1,0.0,False
32115,0 days 01:11:02.053000,2673.0,858.0,90.0,178.26136145454547,1,0.0,False
32116,0 days 01:11:02.273000,2768.0,822.0,89.0,175.76136145454547,1,0.0,False
32117,0 days 01:11:02.428000,2838.182486614375,805.7994312078752,88.86904759518804,174.0,1,0.0,False
32118,0 days 01:11:02.613000,2925.0,797.0,89.0,170.90376330610522,1,0.0,False
32119,0 days 01:11:02.667000,2950.7897697490816,796.6894536445683,89.0028252483873,170.0,1,0.0,False
32120,0 days 01:11:02.713000,2973.0,797.0,89.0,170.32857234285714,1,0.0,False
32121,0 days 01:11:02.947000,3089.0407638585552,803.7272206031879,89.00003837364237,172.0,1,0.0,False
32122,0 days 01:11:02.953000,3092.0,804.0,89.0,172.05970278517898,1,0.0,False
32123,0 days 01:11:03.133000,3180.0,814.0,89.0,173.8507481315815,1,0.0,False
32124,0 days 01:11:03.148000,3187.3635227491623,814.9207901968695,89.00123529430324,174.0,1,0.0,False
32125,0 days 01:11:03.333000,3279.0,827.0,89.0,178.6250048,1,0.0,False
32126,0 days 01:11:03.428000,3326.4764790333556,833.739097258992,88.92726714777922,181.0,1,0.0,False
32127,0 days 01:11:03.573000,3400.0,844.0,89.0,185.66072045714284,1,0.0,False
32128,0 days 01:11:03.708000,3470.4448335401353,852.4292682403718,89.71187270194298,190.0,1,0.0,False
32129,0 days 01:11:03.873000,3558.0,861.0,91.0,188.4531232,1,0.0,False
