,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,4870.0,241.0,93.0,205.23691048170141,1,0.0,False
32104,0 days 01:11:00.588000,4886.451964194255,227.41442998601727,92.8540591968689,206.0,1,0.0,False
32105,0 days 01:11:00.788000,4984.650828277363,146.37104643747267,92.04831600934503,210.0,1,0.0,False
32106,0 days 01:11:00.814000,4996.0,137.0,92.0,210.45500224,1,0.0,False
32107,0 days 01:11:01.174000,5151.0,8.0,92.0,216.75500224,1,0.0,False
32108,0 days 01:11:01.188000,5160.771681051488,-0.21434028506944636,91.93246592219758,217.0,1,0.0,False
32109,0 days 01:11:01.334000,5272.0,-94.0,91.0,219.0857161142857,1,0.0,False
32110,0 days 01:11:01.468000,5333.915070163476,-146.89783650884254,90.73044884845426,221.0,1,0.0,False
32111,0 days 01:11:01.693000,5394.0,-199.0,91.0,224.7604482209786,1,0.0,False
32112,0 days 01:11:01.827000,5456.928984830751,-252.01077104923607,90.86571844507459,227.0,1,0.0,False
32113,0 days 01:11:01.893000,5490.0,-280.0,91.0,227.0,1,0.0,False
32114,0 days 01:11:01.988000,5535.728073118163,-319.1306221912527,91.62107741750577,227.0,1,0.0,False
32115,0 days 01:11:02.053000,5567.0,-346.0,92.0,228.03409396363637,1,0.0,False
32116,0 days 01:11:02.273000,5674.0,-438.0,92.0,231.53409396363637,1,0.0,False
32117,0 days 01:11:02.428000,5736.473338190984,-492.7344498827736,92.43118538605603,234.0,1,0.0,False
32118,0 days 01:11:02.613000,5810.0,-561.0,93.0,234.7740591734737,1,0.0,False
32119,0 days 01:11:02.667000,5835.139818513952,-585.4700871280918,92.98600422654101,235.0,1,0.0,False
32120,0 days 01:11:02.713000,5857.0,-607.0,93.0,235.4928585142857,1,0.0,False
32121,0 days 01:11:02.947000,5964.298931358702,-716.1195649624485,93.98880877898048,238.0,1,0.0,False
32122,0 days 01:11:02.953000,5967.0,-719.0,94.0,238.05970278517898,1,0.0,False
32123,0 days 01:11:03.133000,6047.0,-808.0,94.0,239.8507481315815,1,0.0,False
32124,0 days 01:11:03.148000,6053.52886148086,-815.5807253859766,94.04091609126372,240.0,1,0.0,False
32125,0 days 01:11:03.333000,6132.0,-911.0,95.0,241.32142994285715,1,0.0,False
32126,0 days 01:11:03.428000,6170.747409299473,-961.6779885612888,95.10949519753575,242.0,1,0.0,False
32127,0 days 01:11:03.573000,6228.0,-1041.0,95.0,243.03571565714284,1,0.0,False
32128,0 days 01:11:03.708000,6279.49244592466,-1116.5168721900202,95.26267251662834,244.0,1,0.0,False
32129,0 days 01:11:03.873000,6340.0,-1211.0,96.0,245.0312512,1,0.0,False
32130,0 days 01:11:04.028000,6394.2930483356295,-1302.0224126534808,96.96798755526025,246.0,1,0.0,False
32131,0 days 01:11:04.033000,6396.0,-1305.0,97.0,246.0312512,1,0.0,False
32132,0 days 01:11:04.188000,6447.513701081773,-1398.5460650994016,97.89651178974385,247.0,1,0.0,False
32133,0 days 01:11:04.233000,6462.0,-1426.0,98.0,247.22613154536472,1,0.0,False
32134,0 days 01:11:04.387000,6510.067758871407,-1520.611180715403,97.80628117570245,248.0,1,0.0,False
32135,0 days 01:11:04.433000,6524.0,-1549.0,98.0,248.1916672,1,0.0,False
32136,0 days 01:11:04.533000,6554.0,-1612.0,99.0,248.60833386666667,1,0.0,False
32137,0 days 01:11:04.627000,6583.701359899994,-1678.6629956844208,99.69367120510569,249.0,1,0.0,False
32138,0 days 01:11:04.874000,6666.0,-1881.0,100.0,250.75800797335413,1,0.0,False
32139,0 days 01:11:04.908000,6677.011608535538,-1909.6512580421445,99.95372358134307,251.0,1,0.0,False
32140,0 days 01:11:05.148000,6749.579998152078,-2107.731035560436,99.213628696706,252.0,1,0.0,False
32141,0 days 01:11:05.254000,6772.0,-2170.0,99.0,252.0,1,0.0,False
32142,0 days 01:11:05.387000,6788.923143973676,-2216.5775567433802,98.9757497091008,252.0,1,0.0,False
32143,0 days 01:11:05.554000,6810.0,-2276.0,99.0,252.83500032,1,-0.40863257772203265,False
32144,0 days 01:11:05.587000,6816.924377856827,-2295.9247910992644,98.95958100565794,253.0,1,-0.4183262107547299,False
32145,0 days 01:11:05.827000,6889.899856652691,-2508.230618934459,98.27850584946081,255.0,1,-0.40740155352244206,False
32146,0 days 01:11:05.914000,6916.0,-2585.0,98.0,255.0,1,-0.4136366866249896,False
32147,0 days 01:11:05.988000,6936.072605825889,-2644.4865894344166,97.7764231823644,255.0,1,-0.4110236672280893,False
32148,0 days 01:11:06.187000,6980.455182686239,-2778.098952627225,97.24425514828742,258.0,1,-0.4284680797558385,False
32149,0 days 01:11:06.314000,7002.0,-2844.0,97.0,259.3607149714286,1,-0.42142367181938395,False
32150,0 days 01:11:06.467000,7021.145965226289,-2903.62748037913,96.82088623501336,261.0,1,-0.4318528072626776,False
32151,0 days 01:11:06.734000,7077.0,-3079.0,96.0,261.0,1,-0.4420119391385444,False
32152,0 days 01:11:06.788000,7100.76853852887,-3153.0054304054497,95.57436300797715,261.0,1,-0.4655072608051236,False
32153,0 days 01:11:06.854000,7130.0,-3244.0,95.0,257.4937432,1,-0.47029289220575915,False
32154,0 days 01:11:07.108000,7175.490084916083,-3386.806814828965,93.13236203461494,244.0,1,-0.49556971054150506,False
32155,0 days 01:11:07.274000,7193.0,-3440.0,93.0,237.7749952,1,-0.5069191388976817,True
32156,0 days 01:11:07.428000,7223.751914452591,-3531.9947307762936,93.88146513685894,232.0,1,-0.540096630004562,True
32157,0 days 01:11:07.454000,7230.0,-3551.0,94.0,230.95999488,1,-0.5470317671403275,True
32158,0 days 01:11:07.628000,7278.317873526102,-3701.2893232131455,94.14363367391417,224.0,1,-0.5945287977919059,True
32159,0 days 01:11:07.754000,7312.0,-3809.0,94.0,220.8499968,1,-0.6412744152974416,True
32160,0 days 01:11:07.988000,7357.084763537525,-3960.9609816541597,93.97766215391289,215.0,1,-0.7153758140250939,True
32161,0 days 01:11:08.213000,7383.0,-4055.0,94.0,203.09191396690113,1,-0.7616678818211863,True
32162,0 days 01:11:08.347000,7392.096783372921,-4089.822827973957,93.9189935022669,196.0,1,-0.8308797151057314,True
32163,0 days 01:11:08.508000,7401.623678962418,-4132.209930155223,93.98925182782415,181.0,1,-0.8763920214460152,True
32164,0 days 01:11:08.513000,7402.0,-4134.0,94.0,180.765616,1,-0.8830453075604492,True
32165,0 days 01:11:08.813000,7430.0,-4276.0,95.0,166.703116,1,-0.975258511027561,True
32166,0 days 01:11:08.828000,7431.284593675363,-4282.881061789946,95.00331830660527,166.0,1,-0.9931738139658913,True
32167,0 days 01:11:08.873000,7435.0,-4303.0,95.0,164.08749184,1,-1.01551576016577,True
32168,0 days 01:11:09.173000,7458.0,-4428.0,96.0,151.33749184,1,-1.098895594564813,True
32169,0 days 01:11:09.228000,7462.466503770482,-4449.8746837328545,96.00895361440448,149.0,1,-1.155990915690519,True
32170,0 days 01:11:09.333000,7471.0,-4491.0,96.0,142.17498752,1,-1.1892853652124638,True
32171,0 days 01:11:09.428000,7478.044046643244,-4527.590207668671,96.38910014765798,136.0,1,-1.2411666928561305,True
32172,0 days 01:11:09.553000,7486.0,-4572.0,97.0,130.88635578181817,1,-1.292835668639181,True
32173,0 days 01:11:09.813000,7497.0,-4645.0,97.0,120.24999214545454,1,-1.3462673267640195,True
32174,0 days 01:11:09.868000,7498.704204640359,-4661.751203870113,97.22452292603037,118.0,1,-1.3597381307031564,True
32175,0 days 01:11:10.013000,7502.0,-4708.0,98.0,111.61634631794865,1,-1.3981068930305187,True
32176,0 days 01:11:10.027000,7502.183075571787,-4712.285482341584,98.03341418494057,111.0,1,-1.4022703219318924,True
32177,0 days 01:11:10.188000,7502.355367964775,-4758.999448212881,97.98613173779069,108.0,1,-1.439065596189371,True
32178,0 days 01:11:10.213000,7502.0,-4766.0,98.0,108.0,1,-1.4394539148732164,True
32179,0 days 01:11:10.348000,7498.175254312002,-4802.980558006526,98.36504321114943,108.0,1,-1.4661166108500205,True
32180,0 days 01:11:10.493000,7491.0,-4841.0,98.0,102.58505938451701,1,-1.4777547116797904,True
32181,0 days 01:11:10.573000,7486.0,-4861.0,97.0,99.5975098974195,1,-1.487952971572852,True
32182,0 days 01:11:10.589000,7484.961324181699,-4864.816419240531,96.83626500225436,99.0,1,-1.4897880252385287,True
32183,0 days 01:11:10.748000,7474.208165738745,-4898.877989502858,96.42722198383936,92.0,1,-1.5018037633360706,True
32184,0 days 01:11:10.933000,7449.0,-4939.0,97.0,88.02150215994216,1,-1.5089907740445083,True
32185,0 days 01:11:11.027000,7426.319413320332,-4963.28373958597,97.03378534543403,86.0,1,-1.5031214820786507,True
32186,0 days 01:11:11.113000,7404.0,-4984.0,97.0,85.28333226666666,1,-1.4968639289970165,True
32187,0 days 01:11:11.267000,7369.640113479574,-5009.163351894609,96.97722657401474,84.0,1,-1.4854539908224287,True
32188,0 days 01:11:11.534000,7324.0,-5029.0,97.0,80.29166577777778,1,-1.4574722306341903,True
32189,0 days 01:11:11.627000,7310.901875590648,-5034.2321413300015,97.00377084759293,79.0,1,-1.4469844163233043,True
32190,0 days 01:11:11.854000,7274.0,-5048.0,97.0,78.2928345505963,1,-1.4262842423107682,True
32191,0 days 01:11:11.948000,7249.188022801133,-5056.847135870841,96.9922968225383,78.0,1,-1.3983988295977285,True
32192,0 days 01:11:12.134000,7197.0,-5075.0,97.0,76.13065258109665,1,-1.3642100716977013,True
32193,0 days 01:11:12.147000,7194.299240922831,-5075.906175659471,97.00419664007833,76.0,1,-1.3511420290325302,True
32194,0 days 01:11:12.347000,7167.543002821268,-5084.187928038147,97.09313314651646,78.0,1,-1.3131507671331162,True
32195,0 days 01:11:12.434000,7155.0,-5088.0,97.0,79.359376,1,-1.2998513750769893,True
32196,0 days 01:11:12.667000,7104.461104828337,-5104.047569606963,96.20665040888488,83.0,1,-1.252083661970602,True
32197,0 days 01:11:12.754000,7085.0,-5110.0,96.0,84.81250133333333,1,-1.2423572572509578,True
32198,0 days 01:11:12.907000,7053.6700049912415,-5118.95243962284,95.96863619121802,88.0,1,-1.1831369743565991,True
32199,0 days 01:11:12.994000,7029.0,-5126.0,96.0,89.62111984938926,1,-1.1475669063983147,True
32200,0 days 01:11:13.068000,7000.82788724886,-5134.19795285943,96.00077756898793,91.0,1,-1.0675395950647812,True
32201,0 days 01:11:13.134000,6974.0,-5142.0,96.0,92.41428845714286,1,-1.0253286348660968,True
32202,0 days 01:11:13.348000,6898.582289365372,-5163.367050224148,96.09655495391816,97.0,1,-0.9728328621868457,True
32203,0 days 01:11:13.547000,6844.486612293304,-5178.15781141676,96.0723948535495,102.0,1,-0.9220208063133489,True
32204,0 days 01:11:13.594000,6834.0,-5181.0,96.0,103.34285897142857,1,-0.9282319634775565,True
32205,0 days 01:11:13.827000,6793.943980672256,-5191.682987720136,95.28928374766159,110.0,1,-0.8372328112135815,True
32206,0 days 01:11:13.974000,6762.0,-5200.0,95.0,114.20000182857143,1,-0.8458885969673263,True
32207,0 days 01:11:14.074000,6731.0,-5208.0,95.0,117.05714468571429,1,-0.8215754260871947,True
32208,0 days 01:11:14.107000,6717.974902611165,-5211.315776250842,95.00909443084063,118.0,1,-0.7582091862531849,True
32209,0 days 01:11:14.307000,6614.670542698954,-5237.168878298317,95.03841361762332,124.0,1,-0.7223206850796234,True
32210,0 days 01:11:14.354000,6591.0,-5243.0,95.0,125.40298743179699,1,-0.6943661025207856,True
32211,0 days 01:11:14.508000,6522.137606917908,-5259.6741784516435,94.71210437278917,130.0,1,-0.6736930533169599,True
32212,0 days 01:11:14.748000,6439.800580934993,-5278.8991345088925,94.07203643122081,135.0,1,-0.6478142452187008,True
32213,0 days 01:11:14.813000,6422.0,-5283.0,94.0,136.95000576,1,-0.6165360195308138,True
32214,0 days 01:11:14.948000,6391.033959757481,-5290.062949349364,94.01195732408783,141.0,1,-0.6187548767408866,True
32215,0 days 01:11:15.153000,6343.0,-5301.0,94.0,146.85714834285713,1,-0.6067469358166564,True
32216,0 days 01:11:15.228000,6318.354924271576,-5306.690520788209,93.80326633299126,149.0,1,-0.633122356985523,True
32217,0 days 01:11:15.413000,6238.0,-5326.0,93.0,152.09623669389478,1,-0.626773319723174,True
32218,0 days 01:11:15.467000,6208.064410423438,-5333.610638452694,92.74157924096613,153.0,1,-0.6637588910993075,True
32219,0 days 01:11:15.633000,6111.0,-5359.0,92.0,157.95522927927698,1,-0.6759409082156537,True
32220,0 days 01:11:15.668000,6094.144541995585,-5363.4742029780855,91.88727838572379,159.0,1,-0.6715708931982348,True
