,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,808.0,10080.0,90.0,155.6608491029784,1,0.0,False
32104,0 days 01:11:00.588000,814.8960982165521,10065.200987291408,89.99402873666432,156.0,1,0.0,False
32105,0 days 01:11:00.788000,853.6439597014896,9978.140455930537,89.98187991988557,164.0,1,0.0,False
32106,0 days 01:11:00.814000,858.0,9968.0,90.0,165.04000512,1,0.0,False
32107,0 days 01:11:01.174000,914.0,9819.0,91.0,179.44000512,1,0.0,False
32108,0 days 01:11:01.188000,917.3469838006484,9808.927939809078,91.0789977085769,180.0,1,0.0,False
32109,0 days 01:11:01.334000,955.0,9693.0,92.0,183.12857417142857,1,0.0,False
32110,0 days 01:11:01.468000,975.141301562772,9628.168251687377,92.61629244477261,186.0,1,0.0,False
32111,0 days 01:11:01.693000,993.0,9561.0,93.0,191.6406723314679,1,0.0,False
32112,0 days 01:11:01.827000,1012.6385305943447,9487.27728262408,92.86994803686918,195.0,1,0.0,False
32113,0 days 01:11:01.893000,1022.0,9450.0,93.0,196.63975538474747,1,0.0,False
32114,0 days 01:11:01.988000,1032.997678558893,9401.576930101282,93.60993829748101,199.0,1,0.0,False
32115,0 days 01:11:02.053000,1040.0,9369.0,94.0,196.78408436363637,1,0.0,False
32116,0 days 01:11:02.273000,1065.0,9252.0,94.0,189.28408436363637,1,0.0,False
32117,0 days 01:11:02.428000,1081.3517123414017,9174.196614443912,93.60110560858968,184.0,1,0.0,False
32118,0 days 01:11:02.613000,1100.0,9082.0,94.0,177.03346743873675,1,0.0,False
32119,0 days 01:11:02.667000,1105.5241015151335,9053.569452836202,94.55973138079986,175.0,1,0.0,False
32120,0 days 01:11:02.713000,1110.0,9030.0,95.0,172.86427977142858,1,0.0,False
32121,0 days 01:11:02.947000,1127.5853854018749,8928.53175825355,95.00700631457104,162.0,1,0.0,False
32122,0 days 01:11:02.953000,1128.0,8926.0,95.0,161.761188859284,1,0.0,False
32123,0 days 01:11:03.133000,1140.0,8849.0,95.0,154.597007473674,1,0.0,False
32124,0 days 01:11:03.148000,1140.8773951223204,8842.679336546578,95.00299996101045,154.0,1,0.0,False
32125,0 days 01:11:03.333000,1150.0,8767.0,95.0,144.7499904,1,0.0,False
32126,0 days 01:11:03.428000,1153.9637907186045,8729.81350736143,94.98085187540343,140.0,1,0.0,False
32127,0 days 01:11:03.573000,1159.0,8675.0,95.0,133.78570605714285,1,0.0,False
