,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,1012.0,9488.0,94.0,197.576061378723,1,0.0,False
32104,0 days 01:11:00.588000,1016.8066254723145,9468.43561310801,94.10041079390501,198.0,1,0.0,False
32105,0 days 01:11:00.788000,1043.089343834109,9354.052747106543,94.0358213843224,195.0,1,0.0,False
32106,0 days 01:11:00.814000,1046.0,9341.0,94.0,193.24499136,1,0.0,False
32107,0 days 01:11:01.174000,1081.0,9176.0,94.0,168.94499136,1,0.0,False
32108,0 days 01:11:01.188000,1082.9141604025076,9166.604794521827,94.07621325507772,168.0,1,0.0,False
32109,0 days 01:11:01.334000,1104.0,9062.0,95.0,164.3499968,1,0.0,False
32110,0 days 01:11:01.468000,1114.6992550703035,9006.01421614321,94.86236033123987,161.0,1,0.0,False
32111,0 days 01:11:01.693000,1122.0,8960.0,94.0,144.70472437575944,1,0.0,False
32112,0 days 01:11:01.827000,1130.010505284247,8913.006429718742,94.71009683080256,135.0,1,0.0,False
32113,0 days 01:11:01.893000,1134.0,8889.0,95.0,129.2608561533838,1,0.0,False
32114,0 days 01:11:01.988000,1139.0167657310274,8857.076294090835,95.05549895672146,121.0,1,0.0,False
32115,0 days 01:11:02.053000,1142.0,8836.0,95.0,119.81817832727273,1,0.0,False
32116,0 days 01:11:02.273000,1150.0,8765.0,95.0,115.81817832727273,1,0.0,False
32117,0 days 01:11:02.428000,1155.0031232938084,8716.287388903105,95.3808157496368,113.0,1,0.0,False
32118,0 days 01:11:02.613000,1160.0,8659.0,95.0,112.22594082652631,1,0.0,False
32119,0 days 01:11:02.667000,1161.114431840282,8642.261178957073,94.40901274079644,112.0,1,0.0,False
32120,0 days 01:11:02.713000,1162.0,8628.0,94.0,111.83571382857143,1,0.0,False
32121,0 days 01:11:02.947000,1165.9352923790873,8555.822093688708,94.99994932733746,111.0,1,0.0,False
32122,0 days 01:11:02.953000,1166.0,8554.0,95.0,110.91044582223151,1,0.0,False
