,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,-292.0,11155.0,92.0,80.25436317276619,1,0.0,False
32104,0 days 01:11:00.588000,-284.23420278950493,11151.987341320826,91.98890532183013,80.0,1,0.0,False
32105,0 days 01:11:00.788000,-239.16754049160014,11134.051690030807,91.96737201691198,80.0,1,0.0,False
32106,0 days 01:11:00.814000,-234.0,11132.0,92.0,80.06500032,1,0.0,False
32107,0 days 01:11:01.174000,-164.0,11103.0,93.0,80.96500032,1,0.0,False
32108,0 days 01:11:01.188000,-159.63257488804734,11101.01391481357,93.01319581805097,81.0,1,0.0,False
32109,0 days 01:11:01.334000,-110.0,11078.0,93.0,81.52142902857143,1,0.0,False
32110,0 days 01:11:01.468000,-82.32492280249195,11064.92341523827,92.95769689134508,82.0,1,0.0,False
32111,0 days 01:11:01.693000,-56.0,11051.0,93.0,84.5069654806524,1,0.0,False
32112,0 days 01:11:01.827000,-29.136961834757916,11035.980234694887,93.14268012906055,86.0,1,0.0,False
32113,0 days 01:11:01.893000,-15.0,11028.0,93.0,86.40993884618688,1,0.0,False
32114,0 days 01:11:01.988000,4.654585072370953,11016.831834437276,92.38346158556868,87.0,1,0.0,False
32115,0 days 01:11:02.053000,18.0,11009.0,92.0,87.73863854545455,1,0.0,False
32116,0 days 01:11:02.273000,64.0,10980.0,92.0,90.23863854545455,1,0.0,False
32117,0 days 01:11:02.428000,96.50507440713797,10958.801500399484,92.04843979049045,92.0,1,0.0,False
32118,0 days 01:11:02.613000,136.0,10931.0,92.0,94.32217752042108,1,0.0,False
32119,0 days 01:11:02.667000,147.85202750181477,10921.885449412517,91.99255501002872,95.0,1,0.0,False
32120,0 days 01:11:02.713000,158.0,10914.0,92.0,95.98571702857143,1,0.0,False
32121,0 days 01:11:02.947000,209.66809485029034,10874.07955170694,92.02110975582136,101.0,1,0.0,False
32122,0 days 01:11:02.953000,211.0,10873.0,92.0,101.14925696294749,1,0.0,False
32123,0 days 01:11:03.133000,251.0,10839.0,91.0,105.62687032895374,1,0.0,False
32124,0 days 01:11:03.148000,254.30162447687357,10836.09116264326,90.95495722913626,106.0,1,0.0,False
32125,0 days 01:11:03.333000,295.0,10799.0,91.0,109.96428982857142,1,0.0,False
32126,0 days 01:11:03.428000,316.7855811635533,10778.103283227776,91.02608242769803,112.0,1,0.0,False
32127,0 days 01:11:03.573000,349.0,10746.0,91.0,115.6250048,1,0.0,False
32128,0 days 01:11:03.708000,374.15567813990236,10719.651542372323,90.99826195394417,119.0,1,0.0,False
32129,0 days 01:11:03.873000,405.0,10686.0,91.0,122.0937536,1,0.0,False
32130,0 days 01:11:04.028000,440.82876695753504,10646.337211230117,90.99774239425143,125.0,1,0.0,False
32131,0 days 01:11:04.033000,442.0,10645.0,91.0,125.1250048,1,0.0,False
32132,0 days 01:11:04.188000,477.6777732859272,10602.660848632808,91.09403516964835,129.0,1,0.0,False
32133,0 days 01:11:04.233000,488.0,10590.0,91.0,130.35678927218837,1,0.0,False
32134,0 days 01:11:04.387000,523.4986508803895,10545.447953175759,90.15064500033924,135.0,1,0.0,False
32135,0 days 01:11:04.433000,534.0,10532.0,90.0,136.1500032,1,0.0,False
32136,0 days 01:11:04.533000,557.0,10502.0,90.0,138.6500032,1,0.0,False
32137,0 days 01:11:04.627000,581.2346738661532,10469.041294022603,90.0606801275521,141.0,1,0.0,False
32138,0 days 01:11:04.874000,654.0,10362.0,90.0,150.6690438534477,1,0.0,False
32139,0 days 01:11:04.908000,664.1028682192904,10345.84304672813,89.92839947862305,152.0,1,0.0,False
32140,0 days 01:11:05.148000,732.6715616121479,10228.06009385183,89.0950088348867,160.0,1,0.0,False
32141,0 days 01:11:05.254000,754.0,10190.0,89.0,163.54812048920624,1,0.0,False
32142,0 days 01:11:05.387000,769.8539227186182,10161.140775675809,89.31061355307511,168.0,1,0.0,False
32143,0 days 01:11:05.554000,789.0,10121.0,90.0,176.3500032,1,-0.6625463241551444,True
32144,0 days 01:11:05.587000,795.2964928572081,10107.195808666109,90.11552619255853,178.0,1,-0.6656818161134472,True
32145,0 days 01:11:05.827000,861.311038973179,9957.762974622394,90.77434537063117,184.0,1,-0.6407343039328646,True
32146,0 days 01:11:05.914000,884.0,9902.0,91.0,189.40373283129753,1,-0.6378042357244311,True
32147,0 days 01:11:05.988000,900.8288795261267,9857.734983900009,91.19918198547654,194.0,1,-0.6190866612752703,True
32148,0 days 01:11:06.187000,935.3646812356108,9753.748073708448,91.7470844693632,199.0,1,-0.6132960448982204,True
32149,0 days 01:11:06.314000,952.0,9702.0,92.0,201.72142994285716,1,-0.596203213845124,True
32150,0 days 01:11:06.467000,967.5133826270601,9655.993028112825,92.16370202087467,205.0,1,-0.5925360911280577,True
32151,0 days 01:11:06.734000,1007.0,9510.0,93.0,214.981312793782,1,-0.5775347420740349,True
32152,0 days 01:11:06.788000,1022.3304387194762,9446.065498144493,93.459878988672,217.0,1,-0.5775398833138317,True
32153,0 days 01:11:06.854000,1041.0,9367.0,94.0,218.4437528,1,-0.5688936286136562,True
32154,0 days 01:11:07.108000,1069.533228712108,9237.988628748522,93.96822765719001,224.0,1,-0.5640414041770431,True
32155,0 days 01:11:07.274000,1080.0,9183.0,94.0,225.5562512,1,-0.561109495287662,True
32156,0 days 01:11:07.428000,1098.4604008127465,9090.716468400598,94.8811920558704,227.0,1,-0.5607570368657827,True
32157,0 days 01:11:07.454000,1102.0,9072.0,95.0,225.43999232,1,-0.5568290109878598,True
32158,0 days 01:11:07.628000,1127.2929393121558,8926.836734364613,95.19537719186846,215.0,1,-0.5530551160342457,True
32159,0 days 01:11:07.754000,1143.0,8825.0,95.0,202.3999872,1,-0.5562109458200727,True
32160,0 days 01:11:07.988000,1158.791874244091,8686.49235231897,94.43357406499419,179.0,1,-0.5593910070254072,True
32161,0 days 01:11:08.213000,1164.0,8605.0,94.0,174.6128104088583,1,-0.5500683848923238,True
32162,0 days 01:11:08.347000,1165.3358740477956,8575.894585776725,93.95524867579628,172.0,1,-0.5618213717749705,True
32163,0 days 01:11:08.508000,1165.9798763601923,8542.39750218121,93.99936024658318,141.0,1,-0.5582473825506834,True
32164,0 days 01:11:08.513000,1166.0,8541.0,94.0,140.7968672,1,-0.5586793469018289,True
32165,0 days 01:11:08.813000,1167.0,8431.0,94.0,128.6093672,1,-0.5489487840377721,True
32166,0 days 01:11:08.828000,1167.0118194052654,8425.662194411321,94.00309120542666,128.0,1,-0.5469109085148445,True
32167,0 days 01:11:08.873000,1167.0,8410.0,94.0,127.21249664,1,-0.5419513590144536,True
32168,0 days 01:11:09.173000,1164.0,8308.0,93.0,121.96249664,1,-0.5324855613102156,True
