,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,1162.0,8276.0,93.0,122.0,1,0.0,False
32104,0 days 01:11:00.588000,1161.398886635701,8263.144720788836,92.96159724078744,122.0,1,0.0,False
32105,0 days 01:11:00.788000,1157.4723397795321,8188.550546290608,93.02264196352817,127.0,1,0.0,False
32106,0 days 01:11:00.814000,1157.0,8180.0,93.0,127.91000448,1,0.0,False
32107,0 days 01:11:01.174000,1149.0,8058.0,92.0,140.51000448,1,0.0,False
32108,0 days 01:11:01.188000,1148.369841585569,8049.767954258415,91.98669542743282,141.0,1,0.0,False
32109,0 days 01:11:01.334000,1141.0,7955.0,92.0,147.25714834285714,1,0.0,False
32110,0 days 01:11:01.468000,1137.1813667918154,7902.650954142763,92.01287736625842,153.0,1,0.0,False
32111,0 days 01:11:01.693000,1133.0,7844.0,92.0,160.52089644195718,1,0.0,False
32112,0 days 01:11:01.827000,1127.0821765475978,7773.527527478609,92.0143355657043,165.0,1,0.0,False
32113,0 days 01:11:01.893000,1124.0,7739.0,92.0,167.45963307712123,1,0.0,False
32114,0 days 01:11:01.988000,1119.949847699027,7696.949082840981,91.93944046558019,171.0,1,0.0,False
32115,0 days 01:11:02.053000,1117.0,7669.0,92.0,172.92046021818183,1,0.0,False
32116,0 days 01:11:02.273000,1104.0,7563.0,93.0,179.42046021818183,1,0.0,False
32117,0 days 01:11:02.428000,1092.193723293141,7488.309788545497,93.16989693250675,184.0,1,0.0,False
32118,0 days 01:11:02.613000,1072.0,7394.0,93.0,189.41841421431585,1,0.0,False
32119,0 days 01:11:02.667000,1064.0734550076304,7363.581816426223,92.9961970068627,191.0,1,0.0,False
32120,0 days 01:11:02.713000,1057.0,7338.0,93.0,191.82143085714284,1,0.0,False
32121,0 days 01:11:02.947000,1020.05229590304,7223.0017751538435,93.00040415830514,196.0,1,0.0,False
32122,0 days 01:11:02.953000,1019.0,7220.0,93.0,196.0,1,0.0,False
32123,0 days 01:11:03.133000,985.0,7126.0,93.0,196.0,1,0.0,False
32124,0 days 01:11:03.148000,982.1297971585911,7118.107661499667,93.00519920098266,196.0,1,0.0,False
32125,0 days 01:11:03.333000,947.0,7021.0,93.0,201.94643474285715,1,0.0,False
32126,0 days 01:11:03.428000,928.7852582916759,6970.355419320846,92.69940414311759,205.0,1,0.0,False
32127,0 days 01:11:03.573000,901.0,6892.0,92.0,207.07143131428572,1,0.0,False
32128,0 days 01:11:03.708000,875.6875228980136,6818.284956807167,91.42592966958958,209.0,1,0.0,False
32129,0 days 01:11:03.873000,845.0,6727.0,91.0,211.0625024,1,0.0,False
32130,0 days 01:11:04.028000,815.9324137822452,6639.833217301025,90.99983583616874,213.0,1,0.0,False
32131,0 days 01:11:04.033000,815.0,6637.0,91.0,213.156256,1,0.0,False
32132,0 days 01:11:04.188000,786.3262777818785,6548.649684652807,90.96560440175075,218.0,1,0.0,False
32133,0 days 01:11:04.233000,778.0,6523.0,91.0,218.6783946360942,1,0.0,False
32134,0 days 01:11:04.387000,749.1230899718519,6434.840100873327,91.2157675859222,221.0,1,0.0,False
32135,0 days 01:11:04.433000,740.0,6407.0,91.0,221.3833344,1,0.0,False
32136,0 days 01:11:04.533000,719.0,6343.0,90.0,222.21666773333334,1,0.0,False
32137,0 days 01:11:04.627000,697.6082237026139,6279.255447769119,89.36047812725853,223.0,1,0.0,False
32138,0 days 01:11:04.874000,634.0,6102.0,89.0,223.87900398667708,1,0.0,False
32139,0 days 01:11:04.908000,624.479407330568,6077.647861434233,88.93372345828621,224.0,1,0.0,False
32140,0 days 01:11:05.148000,554.975291763906,5912.755947902183,88.24226539621121,216.0,1,0.0,False
32141,0 days 01:11:05.254000,532.0,5861.0,88.0,211.5648493884922,1,0.0,False
32142,0 days 01:11:05.387000,513.6799165616258,5821.593917785273,87.83030970658636,206.0,1,0.0,False
32143,0 days 01:11:05.554000,491.0,5774.0,88.0,203.49499904,1,0.3249136501283373,False
32144,0 days 01:11:05.587000,483.97829639574366,5758.742720029438,88.11117187585185,203.0,1,0.3403752462083109,False
32145,0 days 01:11:05.827000,413.06323830217923,5599.543684535175,89.53316925674689,207.0,1,0.3926672627651859,False
32146,0 days 01:11:05.914000,390.0,5542.0,90.0,204.29813358435123,1,0.4118472092600683,False
32147,0 days 01:11:05.988000,373.68120820948064,5497.231841784113,90.31541092423706,202.0,1,0.4382143567510825,False
32148,0 days 01:11:06.187000,343.78522660373517,5395.658052378417,90.81639969085325,199.0,1,0.46291406245284306,False
32149,0 days 01:11:06.314000,330.0,5344.0,91.0,199.90714331428572,1,0.4803063890551878,False
32150,0 days 01:11:06.467000,316.8029234896465,5294.936509115713,91.12983826869332,201.0,1,0.49883437058672986,False
32151,0 days 01:11:06.734000,291.0,5153.0,92.0,201.8317760661485,1,0.5217943216562168,True
32152,0 days 01:11:06.788000,282.7369721876057,5095.289358756936,92.47282747108609,202.0,1,0.540707736620115,True
32153,0 days 01:11:06.854000,273.0,5024.0,93.0,203.4437528,1,0.5495603547273139,True
32154,0 days 01:11:07.108000,261.0491619215366,4898.075607219415,92.27341139023218,209.0,1,0.5655988329375037,True
32155,0 days 01:11:07.274000,261.0,4845.0,92.0,211.593752,1,0.5703522781892466,True
32156,0 days 01:11:07.428000,259.79643443295504,4762.781771168383,92.93516686428332,214.0,1,0.5881030806775689,True
32157,0 days 01:11:07.454000,260.0,4744.0,93.0,214.39000192,1,0.5954026998408534,True
32158,0 days 01:11:07.628000,266.11008084404693,4576.851398151182,92.05655605857848,217.0,1,0.6040209807976036,True
32159,0 days 01:11:07.754000,273.0,4452.0,91.0,215.24999822222222,1,0.6099313778171003,True
32160,0 days 01:11:07.988000,286.60818796757326,4283.302941661611,90.15770523553827,212.0,1,0.6174433755498786,True
32161,0 days 01:11:08.213000,298.0,4182.0,90.0,210.7465172596738,1,0.6208612231631563,True
32162,0 days 01:11:08.347000,302.7898654118597,4142.622821807953,89.88666841180418,210.0,1,0.6353106916032574,True
32163,0 days 01:11:08.508000,309.6977964189138,4091.204822492596,89.98720786908689,214.0,1,0.6424414594562209,True
32164,0 days 01:11:08.513000,310.0,4089.0,90.0,214.078128,1,0.64404127768902,True
32165,0 days 01:11:08.813000,337.0,3911.0,90.0,218.765628,1,0.6505795790055723,True
32166,0 days 01:11:08.828000,338.7076654615452,3902.1595022823535,89.76054006126456,219.0,1,0.653738318327934,True
32167,0 days 01:11:08.873000,344.0,3876.0,89.0,219.78750336,1,0.6550930360164678,True
32168,0 days 01:11:09.173000,385.0,3695.0,90.0,225.03750336,1,0.6540024278899516,True
32169,0 days 01:11:09.228000,393.53443817112105,3661.823553406118,89.70528775303059,226.0,1,0.6648580978629874,True
32170,0 days 01:11:09.333000,411.0,3598.0,89.0,226.0,1,0.6629123499410907,True
32171,0 days 01:11:09.428000,428.67952200771856,3538.092587138019,89.59986899797036,226.0,1,0.6733740973289017,True
32172,0 days 01:11:09.553000,453.0,3461.0,91.0,215.77271156363636,1,0.680634840042258,True
32173,0 days 01:11:09.813000,501.0,3325.0,91.0,194.49998429090908,1,0.6793484561260723,True
32174,0 days 01:11:09.868000,511.573308020517,3297.3789315803015,90.97404205290515,190.0,1,0.6760293168880193,True
32175,0 days 01:11:10.013000,540.0,3226.0,91.0,181.792445265934,1,0.6779713113471754,True
32176,0 days 01:11:10.027000,542.7065792742292,3219.3745569455755,90.9931831837263,181.0,1,0.6755852599490911,True
32177,0 days 01:11:10.188000,573.2936027432987,3146.7425896129826,90.93084739468664,174.0,1,0.678099090351936,True
32178,0 days 01:11:10.213000,578.0,3136.0,91.0,171.656232,1,0.6621746356630327,True
32179,0 days 01:11:10.348000,603.3086186628099,3080.3713851761026,91.89754301296084,159.0,1,0.6677926698927528,True
32180,0 days 01:11:10.493000,629.0,3024.0,92.0,152.381739247743,1,0.6440324679148709,True
32181,0 days 01:11:10.573000,642.0,2994.0,91.0,148.73028987462382,1,0.643941505722709,True
32182,0 days 01:11:10.589000,644.567438498513,2988.177664272044,90.84559821069375,148.0,1,0.6410673987724048,True
32183,0 days 01:11:10.748000,669.8552587121902,2933.98640507447,90.86686929186021,142.0,1,0.6378824402965706,True
32184,0 days 01:11:10.933000,705.0,2864.0,92.0,132.0537553998554,1,0.637480299991086,True
32185,0 days 01:11:11.027000,727.6851818213313,2819.512382253893,92.06050890898261,127.0,1,0.6163327942688241,True
32186,0 days 01:11:11.113000,748.0,2780.0,92.0,122.6999936,1,0.6068643770475465,True
32187,0 days 01:11:11.267000,776.103190161459,2726.2704381652543,92.02951985203963,115.0,1,0.6037115434481207,True
32188,0 days 01:11:11.534000,808.0,2668.0,92.0,112.03333262222222,1,0.5931821074061662,True
32189,0 days 01:11:11.627000,817.7052532961831,2650.78450093653,91.74935382718601,111.0,1,0.5853821202813375,True
32190,0 days 01:11:11.854000,846.0,2602.0,91.0,110.2928345505963,1,0.5823081828986918,True
32191,0 days 01:11:11.948000,864.6024371027557,2570.335816801738,90.91653524367737,110.0,1,0.5703119412643832,True
32192,0 days 01:11:12.134000,904.0,2504.0,91.0,111.86934741890335,1,0.563716504357214,True
32193,0 days 01:11:12.147000,906.1196020388351,2500.5022723508946,91.0036451517018,112.0,1,0.5593953921256004,True
32194,0 days 01:11:12.347000,928.9179056411426,2464.528912492529,91.00615203566214,115.0,1,0.5443248344615541,True
32195,0 days 01:11:12.434000,940.0,2448.0,91.0,116.6312512,1,0.5459468596370827,True
32196,0 days 01:11:12.667000,983.3084953947388,2384.2491257698516,91.00035922677971,121.0,1,0.5384998937998839,True
32197,0 days 01:11:12.754000,1000.0,2360.0,91.0,122.45000106666667,1,0.544691538891954,True
32198,0 days 01:11:12.907000,1027.1133656654624,2321.2861210295014,90.99449906445051,125.0,1,0.5310269349669301,True
32199,0 days 01:11:12.994000,1048.0,2293.0,91.0,126.62111984938926,1,0.5379522209816019,True
32200,0 days 01:11:13.068000,1071.4865319031333,2262.0817089711336,91.01390332102814,128.0,1,0.5184892613004622,True
32201,0 days 01:11:13.134000,1094.0,2233.0,91.0,128.70714422857142,1,0.5297358071570359,True
32202,0 days 01:11:13.348000,1160.4016993189437,2151.1912498334323,90.58913123295945,131.0,1,0.539170870746342,True
32203,0 days 01:11:13.547000,1210.3949185064664,2093.047080045546,90.06870304700456,136.0,1,0.5360270601363207,True
32204,0 days 01:11:13.594000,1220.0,2082.0,90.0,137.1750016,1,0.5504795660842119,True
