,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,571.0,5950.0,88.0,131.83042455148922,1,0.0,False
32104,0 days 01:11:00.588000,565.6632383114965,5937.704966533384,87.95611316738446,132.0,1,0.0,False
32105,0 days 01:11:00.788000,533.803301701648,5866.311182850363,88.00497963137681,135.0,1,0.0,False
32106,0 days 01:11:00.814000,530.0,5858.0,88.0,135.9750048,1,0.0,False
32107,0 days 01:11:01.174000,473.0,5736.0,88.0,149.4750048,1,0.0,False
32108,0 days 01:11:01.188000,469.28191810924443,5727.836116301157,88.06744932928162,150.0,1,0.0,False
32109,0 days 01:11:01.334000,427.0,5634.0,89.0,154.69286125714285,1,0.0,False
32110,0 days 01:11:01.468000,404.06385303666303,5581.128964738413,89.48273197912259,159.0,1,0.0,False
32111,0 days 01:11:01.693000,384.0,5524.0,90.0,169.02786192260956,1,0.0,False
32112,0 days 01:11:01.827000,363.1091367503874,5460.552966871908,90.76698499149332,175.0,1,0.0,False
32113,0 days 01:11:01.893000,353.0,5428.0,91.0,177.8695719233081,1,0.0,False
32114,0 days 01:11:01.988000,340.69475920958314,5384.816453691948,90.97833755783836,182.0,1,0.0,False
32115,0 days 01:11:02.053000,333.0,5355.0,91.0,183.32954938181817,1,0.0,False
32116,0 days 01:11:02.273000,308.0,5242.0,92.0,187.82954938181817,1,0.0,False
32117,0 days 01:11:02.428000,292.2568800343286,5157.502370878786,91.81986396301662,191.0,1,0.0,False
32118,0 days 01:11:02.613000,277.0,5055.0,92.0,197.96653256126325,1,0.0,False
32119,0 days 01:11:02.667000,273.5803724854979,5025.248310967301,92.55591346796214,200.0,1,0.0,False
32120,0 days 01:11:02.713000,271.0,5000.0,93.0,201.31428937142857,1,0.0,False
32121,0 days 01:11:02.947000,262.13508152657,4871.417121022055,93.00396595553896,208.0,1,0.0,False
32122,0 days 01:11:02.953000,262.0,4868.0,93.0,208.1492569629475,1,0.0,False
32123,0 days 01:11:03.133000,260.0,4762.0,93.0,212.62687032895374,1,0.0,False
32124,0 days 01:11:03.148000,259.9981076117661,4752.972451443319,92.95634038670582,213.0,1,0.0,False
32125,0 days 01:11:03.333000,262.0,4640.0,92.0,218.28571977142857,1,0.0,False
32126,0 days 01:11:03.428000,264.51748755461887,4581.153165104517,91.88938471300646,221.0,1,0.0,False
32127,0 days 01:11:03.573000,270.0,4491.0,92.0,223.58928914285715,1,0.0,False
32128,0 days 01:11:03.708000,276.4077914642253,4407.679574896307,91.76399505119247,226.0,1,0.0,False
32129,0 days 01:11:03.873000,286.0,4302.0,91.0,229.0937536,1,0.0,False
32130,0 days 01:11:04.028000,296.64882727348675,4196.251524957182,90.01626110630559,232.0,1,0.0,False
32131,0 days 01:11:04.033000,297.0,4193.0,90.0,232.1250048,1,0.0,False
32132,0 days 01:11:04.188000,308.1734148471803,4098.504238667474,90.05822574645597,236.0,1,0.0,False
32133,0 days 01:11:04.233000,312.0,4070.0,90.0,236.90452618145892,1,0.0,False
32134,0 days 01:11:04.387000,327.8236391757976,3963.9587874878844,89.15335308701209,240.0,1,0.0,False
32135,0 days 01:11:04.433000,333.0,3933.0,89.0,240.3833344,1,0.0,False
32136,0 days 01:11:04.533000,345.0,3868.0,89.0,241.21666773333334,1,0.0,False
32137,0 days 01:11:04.627000,359.0570085582959,3800.916702324458,88.97941482506616,242.0,1,0.0,False
32138,0 days 01:11:04.874000,410.0,3599.0,89.0,244.6370119600312,1,0.0,False
32139,0 days 01:11:04.908000,418.5282288633868,3570.0829037585763,89.11281430515473,245.0,1,0.0,False
32140,0 days 01:11:05.148000,485.5634750312702,3368.0649952062854,90.57769383737131,248.0,1,0.0,False
32141,0 days 01:11:05.254000,508.0,3305.0,91.0,245.33890963309534,1,0.0,False
32142,0 days 01:11:05.387000,525.2842454426232,3259.127837989151,91.08202999583585,242.0,1,0.0,False
32143,0 days 01:11:05.554000,547.0,3209.0,91.0,226.96999424,1,0.6980305045535729,True
32144,0 days 01:11:05.587000,554.019236326375,3192.9298882159587,91.04225655555346,224.0,1,0.7033767820149391,True
32145,0 days 01:11:05.827000,627.5085358074737,3026.085133072962,91.80232792150096,209.0,1,0.6910645564566094,True
32146,0 days 01:11:05.914000,654.0,2968.0,92.0,209.0,1,0.6929321021725334,True
32147,0 days 01:11:05.988000,674.5461002176771,2924.285654416887,92.08213387285384,209.0,1,0.676001220292565,True
32148,0 days 01:11:06.187000,720.6969474807489,2831.882118337392,91.97710575946944,185.0,1,0.6794637500003695,True
32149,0 days 01:11:06.314000,743.0,2788.0,92.0,181.37142674285715,1,0.6629727958258764,True
32150,0 days 01:11:06.467000,762.3883085058296,2749.175287672605,92.2509722041533,177.0,1,0.65992138256899,True
32151,0 days 01:11:06.734000,820.0,2645.0,92.0,168.68223933851502,1,0.6545918090881603,True
32152,0 days 01:11:06.788000,845.0215500658621,2601.93964414468,91.5579675089934,167.0,1,0.6567775398351117,True
32153,0 days 01:11:06.854000,876.0,2549.0,91.0,166.5874992,1,0.6517758017813985,True
32154,0 days 01:11:07.108000,927.7773971239785,2463.9244280630205,90.70080652917835,165.0,1,0.652990509913474,True
32155,0 days 01:11:07.274000,949.0,2433.0,91.0,163.9624992,1,0.652309019824101,True
32156,0 days 01:11:07.428000,984.0905371231362,2381.1928741057973,91.03431663596047,163.0,1,0.6556274245476618,True
32157,0 days 01:11:07.454000,992.0,2370.0,91.0,163.0,1,0.6513480701605462,True
32158,0 days 01:11:07.628000,1061.1295009944877,2276.537765261178,90.42317533584347,163.0,1,0.6483762162743697,True
32159,0 days 01:11:07.754000,1115.0,2207.0,90.0,164.40000142222223,1,0.6538588446865041,True
32160,0 days 01:11:07.988000,1199.570272028404,2105.535879824519,89.84793385605228,167.0,1,0.6603470332479742,True
32161,0 days 01:11:08.213000,1257.0,2041.0,90.0,172.0139309613048,1,0.6537915025492934,True
32162,0 days 01:11:08.347000,1277.87070985804,2017.5429666845841,90.01480776156382,175.0,1,0.6825736083541865,True
32163,0 days 01:11:08.508000,1306.6750185127144,1986.4025134356464,90.00010949976094,182.0,1,0.687558972022003,True
32164,0 days 01:11:08.513000,1308.0,1985.0,90.0,182.156256,1,0.689658633078014,True
32165,0 days 01:11:08.813000,1421.0,1868.0,90.0,191.531256,1,0.6875292819378457,True
32166,0 days 01:11:08.828000,1426.7929869200602,1862.1746119367172,89.99671524554532,192.0,1,0.6892439291365036,True
32167,0 days 01:11:08.873000,1444.0,1845.0,90.0,193.35000576,1,0.6873415784753422,True
32168,0 days 01:11:09.173000,1564.0,1729.0,91.0,202.35000576,1,0.6842062716016944,True
32169,0 days 01:11:09.228000,1586.8281492290432,1707.0865167387,91.01419289259546,204.0,1,0.6941415199200343,True
