,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,4630.0,444.0,94.0,196.06733503319063,1,0.0,False
32104,0 days 01:11:00.588000,4645.809093311559,430.4605894068772,93.85334223979274,197.0,1,0.0,False
32105,0 days 01:11:00.788000,4738.414255124391,351.9744410512486,93.0479446072193,203.0,1,0.0,False
32106,0 days 01:11:00.814000,4749.0,343.0,93.0,203.58500288,1,0.0,False
32107,0 days 01:11:01.174000,4895.0,220.0,93.0,211.68500288,1,0.0,False
32108,0 days 01:11:01.188000,4904.548473455238,212.1140741961385,92.93135716151558,212.0,1,0.0,False
32109,0 days 01:11:01.334000,5014.0,122.0,92.0,213.56428708571428,1,0.0,False
32110,0 days 01:11:01.468000,5074.614874228084,71.6607745049807,91.82258281497276,215.0,1,0.0,False
32111,0 days 01:11:01.693000,5135.0,21.0,92.0,218.7604482209786,1,0.0,False
32112,0 days 01:11:01.827000,5200.949926607244,-33.22030607535191,91.26750704800276,221.0,1,0.0,False
32113,0 days 01:11:01.893000,5234.0,-61.0,91.0,223.04969423093436,1,0.0,False
32114,0 days 01:11:01.988000,5276.367040719085,-97.94347430878491,90.95882357341345,226.0,1,0.0,False
32115,0 days 01:11:02.053000,5305.0,-123.0,91.0,226.73863854545453,1,0.0,False
32116,0 days 01:11:02.273000,5411.0,-213.0,91.0,229.23863854545453,1,0.0,False
32117,0 days 01:11:02.428000,5484.291287977294,-275.54694315980964,91.44962894621693,231.0,1,0.0,False
32118,0 days 01:11:02.613000,5577.0,-355.0,92.0,234.87029586736847,1,0.0,False
32119,0 days 01:11:02.667000,5607.294586444456,-380.861618445869,92.01725639517556,236.0,1,0.0,False
32120,0 days 01:11:02.713000,5632.0,-402.0,92.0,236.32857234285714,1,0.0,False
32121,0 days 01:11:02.947000,5727.417438677936,-485.6769826384068,91.98183928881515,238.0,1,0.0,False
32122,0 days 01:11:02.953000,5730.0,-488.0,92.0,238.0298513925895,1,0.0,False
32123,0 days 01:11:03.133000,5816.0,-567.0,93.0,238.92537406579075,1,0.0,False
32124,0 days 01:11:03.148000,5823.265488974183,-573.9234809731291,93.0917226932815,239.0,1,0.0,False
32125,0 days 01:11:03.333000,5911.0,-661.0,94.0,240.98214491428573,1,0.0,False
32126,0 days 01:11:03.428000,5955.411442549751,-706.9293424349405,94.06209204386248,242.0,1,0.0,False
32127,0 days 01:11:03.573000,6022.0,-779.0,94.0,244.07143131428572,1,0.0,False
32128,0 days 01:11:03.708000,6081.830811571373,-848.8038776330955,94.4423791029686,246.0,1,0.0,False
32129,0 days 01:11:03.873000,6152.0,-937.0,95.0,247.0312512,1,0.0,False
32130,0 days 01:11:04.028000,6215.000646099467,-1022.1904102693185,94.98797364874956,248.0,1,0.0,False
32131,0 days 01:11:04.033000,6217.0,-1025.0,95.0,248.0625024,1,0.0,False
32132,0 days 01:11:04.188000,6277.959115695321,-1113.9893381500763,95.85678146794972,250.0,1,0.0,False
32133,0 days 01:11:04.233000,6295.0,-1140.0,96.0,250.0,1,0.0,False
32134,0 days 01:11:04.387000,6351.021763588673,-1229.4893494974763,95.81593898547891,250.0,1,0.0,False
32135,0 days 01:11:04.433000,6368.0,-1258.0,96.0,250.0,1,0.0,False
32136,0 days 01:11:04.533000,6406.0,-1324.0,97.0,250.0,1,0.0,False
32137,0 days 01:11:04.627000,6442.439022544548,-1389.7433861300458,97.8136503393798,250.0,1,0.0,False
32138,0 days 01:11:04.874000,6538.0,-1577.0,99.0,251.75800797335413,1,0.0,False
32139,0 days 01:11:04.908000,6550.57721318484,-1604.1440819345617,99.1259590123154,252.0,1,0.0,False
32140,0 days 01:11:05.148000,6632.57428871547,-1797.3317005944127,99.82254564705457,252.0,1,0.0,False
32141,0 days 01:11:05.254000,6658.0,-1860.0,100.0,252.44351506115078,1,0.0,False
32142,0 days 01:11:05.387000,6677.582841090322,-1909.024137166714,100.10013970968802,253.0,1,0.0,False
