,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,117.0,10945.0,92.0,95.15212275744602,1,0.0,False
32104,0 days 01:11:00.588000,124.96057829359323,10939.195294541027,91.96412792546407,96.0,1,0.0,False
32105,0 days 01:11:00.788000,172.45974210946594,10903.26881787159,92.02315002794533,98.0,1,0.0,False
32106,0 days 01:11:00.814000,178.0,10899.0,92.0,98.71500352,1,0.0,False
32107,0 days 01:11:01.174000,254.0,10836.0,91.0,108.61500352,1,0.0,False
32108,0 days 01:11:01.188000,258.66640045215115,10831.810759671436,90.98668879720442,109.0,1,0.0,False
32109,0 days 01:11:01.334000,312.0,10783.0,91.0,111.08571611428572,1,0.0,False
32110,0 days 01:11:01.468000,344.81044022905127,10751.351129904326,91.01540096082115,113.0,1,0.0,False
32111,0 days 01:11:01.693000,371.0,10723.0,91.0,116.76044822097859,1,0.0,False
32112,0 days 01:11:01.827000,382.5991289621707,10710.313465131307,91.00096892289349,119.0,1,0.0,False
32113,0 days 01:11:01.893000,392.0,10700.0,91.0,121.04969423093435,1,0.0,False
32114,0 days 01:11:01.988000,412.9947852626358,10676.922442036306,90.99408628625746,124.0,1,0.0,False
32115,0 days 01:11:02.053000,429.0,10659.0,91.0,125.32954938181818,1,0.0,False
32116,0 days 01:11:02.273000,479.0,10600.0,91.0,129.82954938181817,1,0.0,False
32117,0 days 01:11:02.428000,514.7730415593854,10556.56517043434,90.54148356103312,133.0,1,0.0,False
32118,0 days 01:11:02.613000,558.0,10501.0,90.0,138.41841421431585,1,0.0,False
32119,0 days 01:11:02.667000,570.4581064016455,10483.806684142211,89.98824558292057,140.0,1,0.0,False
32120,0 days 01:11:02.713000,581.0,10469.0,90.0,140.32857234285714,1,0.0,False
32121,0 days 01:11:02.947000,633.6590559781322,10393.00551562437,90.00063604683093,142.0,1,0.0,False
32122,0 days 01:11:02.953000,635.0,10391.0,90.0,142.2089597481265,1,0.0,False
