,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32103,0 days 01:11:00.554000,829.0,6679.0,91.0,197.54363172766193,1,0.0,False
32104,0 days 01:11:00.588000,823.0049925710736,6660.900971364746,90.94612347129713,195.0,1,0.0,False
32105,0 days 01:11:00.788000,790.5936662790043,6561.153387626794,90.97439031521816,171.0,1,0.0,False
32106,0 days 01:11:00.814000,787.0,6550.0,91.0,169.56999296,1,0.0,False
32107,0 days 01:11:01.174000,741.0,6409.0,91.0,149.76999296,1,0.0,False
32108,0 days 01:11:01.188000,738.2360574466254,6400.813011126408,90.92790985702617,149.0,1,0.0,False
32109,0 days 01:11:01.334000,707.0,6309.0,90.0,145.87142582857143,1,0.0,False
32110,0 days 01:11:01.468000,689.7716687318289,6258.6260075919645,89.8291611021664,143.0,1,0.0,False
32111,0 days 01:11:01.693000,674.0,6213.0,90.0,138.6128104088583,1,0.0,False
32112,0 days 01:11:01.827000,657.8720654828995,6166.381699380897,89.2539984406976,136.0,1,0.0,False
32113,0 days 01:11:01.893000,649.0,6142.0,89.0,135.59006115381314,1,0.0,False
32114,0 days 01:11:01.988000,635.9491017345404,6108.428101619072,89.01354511330265,135.0,1,0.0,False
32115,0 days 01:11:02.053000,627.0,6086.0,89.0,134.55681687272727,1,0.0,False
32116,0 days 01:11:02.273000,597.0,6011.0,88.0,133.05681687272727,1,0.0,False
32117,0 days 01:11:02.428000,574.9776593529488,5958.55897161687,87.82527679070735,132.0,1,0.0,False
32118,0 days 01:11:02.613000,547.0,5896.0,88.0,134.3221775204211,1,0.0,False
32119,0 days 01:11:02.667000,538.3778671620983,5877.67564109176,88.00297886388763,135.0,1,0.0,False
32120,0 days 01:11:02.713000,531.0,5862.0,88.0,135.98571702857143,1,0.0,False
32121,0 days 01:11:02.947000,493.97566962738466,5781.0831062983925,88.0026611065892,141.0,1,0.0,False
32122,0 days 01:11:02.953000,493.0,5779.0,88.0,141.1492569629475,1,0.0,False
32123,0 days 01:11:03.133000,463.0,5716.0,88.0,145.62687032895374,1,0.0,False
32124,0 days 01:11:03.148000,460.49150779035926,5710.608935259659,88.04075484291586,146.0,1,0.0,False
32125,0 days 01:11:03.333000,430.0,5642.0,89.0,149.96428982857142,1,0.0,False
32126,0 days 01:11:03.428000,415.0540404356799,5605.563802348709,89.43467057976963,152.0,1,0.0,False
32127,0 days 01:11:03.573000,393.0,5548.0,90.0,158.73215177142856,1,0.0,False
32128,0 days 01:11:03.708000,372.8506584009736,5491.579279702965,90.56515750741195,165.0,1,0.0,False
32129,0 days 01:11:03.873000,350.0,5419.0,91.0,170.156256,1,0.0,False
32130,0 days 01:11:04.028000,331.5705670042919,5347.362798499424,90.9885463192524,175.0,1,0.0,False
32131,0 days 01:11:04.033000,331.0,5345.0,91.0,175.2187584,1,0.0,False
32132,0 days 01:11:04.188000,313.77248919166726,5270.224142933683,91.82080392057556,182.0,1,0.0,False
32133,0 days 01:11:04.233000,309.0,5248.0,92.0,182.45226309072945,1,0.0,False
32134,0 days 01:11:04.387000,293.79445621284674,5170.402710642007,92.03279117999341,184.0,1,0.0,False
32135,0 days 01:11:04.433000,290.0,5147.0,92.0,184.958336,1,0.0,False
32136,0 days 01:11:04.533000,283.0,5095.0,92.0,187.04166933333335,1,0.0,False
32137,0 days 01:11:04.627000,276.44411163287987,5039.708129134958,92.20101725395293,189.0,1,0.0,False
32138,0 days 01:11:04.874000,262.0,4870.0,93.0,196.91103588009358,1,0.0,False
32139,0 days 01:11:04.908000,261.0731331481177,4845.642104006697,92.9995214844731,198.0,1,0.0,False
32140,0 days 01:11:05.148000,261.66343144487604,4675.1614258660165,92.25107307988984,204.0,1,0.0,False
32141,0 days 01:11:05.254000,263.0,4621.0,92.0,205.33054518345233,1,0.0,False
32142,0 days 01:11:05.387000,264.38005150034104,4579.9675989668785,91.96356122184153,207.0,1,0.0,False
32143,0 days 01:11:05.554000,268.0,4527.0,92.0,210.34000128,1,0.6114918129967738,True
32144,0 days 01:11:05.587000,269.33852159387686,4509.363111217202,91.9612617330756,211.0,1,0.623108433105858,True
32145,0 days 01:11:05.827000,284.56534972183647,4321.962921174063,91.28339739833122,215.0,1,0.6252767713740467,True
32146,0 days 01:11:05.914000,291.0,4254.0,91.0,216.62111984938926,1,0.6327041930161589,True
32147,0 days 01:11:05.988000,296.57032331738407,4201.169529989644,90.76930984830268,218.0,1,0.6359717384018624,True
32148,0 days 01:11:06.187000,311.5703645738584,4081.805589541422,90.21397656836578,221.0,1,0.6459705868598795,True
32149,0 days 01:11:06.314000,319.0,4023.0,90.0,222.81428662857144,1,0.6439067516997867,True
32150,0 days 01:11:06.467000,324.9011665932837,3970.1558172270484,89.92253916324636,225.0,1,0.6537698136262116,True
32151,0 days 01:11:06.734000,356.0,3814.0,90.0,227.4953281984455,1,0.6559440630379879,True
32152,0 days 01:11:06.788000,371.9403916310768,3747.7044501658806,89.99054064312767,228.0,1,0.6668203916692678,True
32153,0 days 01:11:06.854000,392.0,3666.0,90.0,228.0,1,0.6640306468624023,True
32154,0 days 01:11:07.108000,427.1889610860618,3534.324372693054,90.64386023993208,228.0,1,0.6669869094572399,True
32155,0 days 01:11:07.274000,445.0,3484.0,91.0,221.7749952,1,0.665104628233333,True
32156,0 days 01:11:07.428000,473.93832086385135,3400.6761893764906,91.00865477798095,216.0,1,0.6657958358559968,True
32157,0 days 01:11:07.454000,480.0,3384.0,91.0,214.0499904,1,0.662302905019451,True
32158,0 days 01:11:07.628000,529.057181640314,3256.6055020372823,90.9408053269515,201.0,1,0.6547182996408054,True
32159,0 days 01:11:07.754000,565.0,3168.0,91.0,189.44998826666668,1,0.6542957909160132,True
32160,0 days 01:11:07.988000,617.3745241598486,3047.73763629639,91.51706098248313,168.0,1,0.6539937475801243,True
32161,0 days 01:11:08.213000,651.0,2976.0,92.0,159.85236218787972,1,0.6425606403523597,True
32162,0 days 01:11:08.347000,663.6298719826937,2949.0615228105703,92.05077548265649,155.0,1,0.6542482119991014,True
32163,0 days 01:11:08.508000,679.3336975061846,2916.365346818145,92.00083280629738,151.0,1,0.6495673966240181,True
32164,0 days 01:11:08.513000,680.0,2915.0,92.0,150.8749952,1,0.6499923146854865,True
32165,0 days 01:11:08.813000,734.0,2807.0,92.0,143.3749952,1,0.6406058758613461,True
32166,0 days 01:11:08.828000,736.7750494373037,2801.6784327238684,91.99885960694102,143.0,1,0.6381294195208238,True
32167,0 days 01:11:08.873000,745.0,2786.0,92.0,142.4374976,1,0.6316326862310508,True
32168,0 days 01:11:09.173000,799.0,2683.0,92.0,138.6874976,1,0.6229702166213533,True
32169,0 days 01:11:09.228000,809.2084511841414,2664.6546967214317,91.67971656732628,138.0,1,0.6241838114677206,True
32170,0 days 01:11:09.333000,829.0,2630.0,91.0,136.42499712,1,0.6159840472880238,True
32171,0 days 01:11:09.428000,847.0594976727231,2598.734010582128,90.84907695548966,135.0,1,0.6260796448621239,True
32172,0 days 01:11:09.553000,871.0,2558.0,91.0,136.1363653818182,1,0.6306213827866999,True
