,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-6365.12261133604,3296.7300007120566,7519.2973019044275,314.0,1,0.0,False
32298,0 days 01:11:08.564000,-6423.0,3381.0,7527.0,315.8250016,1,0.0,False
32299,0 days 01:11:08.578000,-6429.519554160485,3390.3258325161046,7527.878501294224,316.0,1,0.0,False
32300,0 days 01:11:08.725000,-6504.0,3495.0,7538.0,316.0,1,0.0,False
32301,0 days 01:11:08.858000,-6565.856353416944,3577.5555531677205,7546.503537097659,316.0,1,0.0,False
32302,0 days 01:11:09.045000,-6680.0,3712.0,7563.0,316.0,1,0.0,False
32303,0 days 01:11:09.178000,-6813.827055204274,3857.5871202532076,7583.058414068998,316.0,1,0.0,False
32304,0 days 01:11:09.225000,-6860.0,3907.0,7590.0,315.9020832,1,0.0,False
32305,0 days 01:11:09.658000,-7127.695483154921,4181.786609615939,7630.253941000158,315.0,1,0.0,False
32306,0 days 01:11:09.684000,-7139.0,4193.0,7632.0,314.45833066666665,1,0.0,False
32307,0 days 01:11:09.898000,-7220.7277590348995,4273.435437534888,7644.964214320491,310.0,1,0.0,False
32308,0 days 01:11:10.085000,-7295.0,4346.0,7657.0,304.156248,1,0.0,False
32309,0 days 01:11:10.218000,-7359.203822366409,4408.768422311097,7667.35228670513,300.0,1,0.0,False
32310,0 days 01:11:10.538000,-7541.3676806857,4586.4480288537425,7696.67313627639,245.0,1,0.0,False
32311,0 days 01:11:10.685000,-7617.0,4659.0,7709.0,236.42499626666665,1,0.0,False
32312,0 days 01:11:10.845000,-7690.0,4728.0,7721.0,227.09166293333334,1,0.0,False
32313,0 days 01:11:10.898000,-7712.969253373675,4749.726340273593,7724.724562017102,224.0,1,0.0,False
32314,0 days 01:11:11.085000,-7790.0,4823.0,7737.0,202.18332586666668,1,0.0,False
32315,0 days 01:11:11.138000,-7810.586715231868,4842.72512914852,7740.257888665913,196.0,1,0.0,False
32316,0 days 01:11:11.285000,-7865.0,4895.0,7749.0,185.38332871111112,1,0.0,False
32317,0 days 01:11:11.465000,-7927.0,4954.0,7759.0,172.38332871111112,1,0.0,False
