,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,4247.0719973736705,163.7730309328121,7284.86026218853,165.0,1,0.0,False
32298,0 days 01:11:08.564000,4242.0,116.0,7282.0,160.437496,1,0.0,False
32299,0 days 01:11:08.578000,4241.208500816979,110.64802508474328,7281.565296287789,160.0,1,0.0,False
32300,0 days 01:11:08.725000,4230.0,50.0,7276.0,158.4249993142857,1,0.0,False
32301,0 days 01:11:08.858000,4216.460202172836,1.261406783308124,7271.8584537595925,157.0,1,0.0,False
32302,0 days 01:11:09.045000,4178.0,-77.0,7267.0,156.4156248,1,0.0,False
32303,0 days 01:11:09.178000,4124.938735250057,-158.77609624489125,7263.217274996896,156.0,1,0.0,False
32304,0 days 01:11:09.225000,4105.0,-186.0,7262.0,156.6854176,1,0.0,False
32305,0 days 01:11:09.658000,3946.8447439980127,-323.06422619967867,7255.2937475286735,163.0,1,0.0,False
32306,0 days 01:11:09.684000,3939.0,-328.0,7255.0,163.9750048,1,0.0,False
32307,0 days 01:11:09.898000,3881.8594975594783,-361.38324464511743,7252.732066814628,172.0,1,0.0,False
32308,0 days 01:11:10.085000,3826.0,-390.0,7251.0,175.5062512,1,0.0,False
32309,0 days 01:11:10.218000,3774.4603242283974,-415.0833105157504,7249.9254417346365,178.0,1,0.0,False
32310,0 days 01:11:10.538000,3617.0596489630525,-488.0860739829579,7247.566876763219,194.0,1,0.0,False
32311,0 days 01:11:10.685000,3542.0,-521.0,7246.0,197.26666808888888,1,0.0,False
32312,0 days 01:11:10.845000,3460.0,-555.0,7244.0,200.82222364444445,1,0.0,False
32313,0 days 01:11:10.898000,3431.5559947857814,-565.8129132329865,7243.4771265062545,202.0,1,0.0,False
32314,0 days 01:11:11.085000,3330.0,-601.0,7242.0,207.45416853333333,1,0.0,False
32315,0 days 01:11:11.138000,3303.550480198001,-609.5475561879447,7241.473613414751,209.0,1,0.0,False
32316,0 days 01:11:11.285000,3231.0,-632.0,7240.0,215.12500266666666,1,0.0,False
32317,0 days 01:11:11.465000,3126.0,-664.0,7239.0,222.62500266666666,1,0.0,False
32318,0 days 01:11:11.498000,3106.1274059058064,-669.8042530760958,7238.739674545161,224.0,1,0.0,False
32319,0 days 01:11:11.665000,3005.0,-698.0,7237.0,228.1750016,1,0.0,False
32320,0 days 01:11:11.698000,2984.9440723395624,-703.3981557246249,7236.657370777572,229.0,1,0.0,False
32321,0 days 01:11:11.938000,2837.844978927344,-741.6536167700789,7234.28020279731,234.0,1,0.0,False
32322,0 days 01:11:11.965000,2821.0,-746.0,7234.0,234.6750016,1,0.0,False
32323,0 days 01:11:12.166000,2693.0,-779.0,7232.0,239.7000064,1,0.0,False
32324,0 days 01:11:12.218000,2658.894848145204,-787.7207671618108,7231.680719271248,241.0,1,0.0,False
32325,0 days 01:11:12.345000,2576.0,-809.0,7231.0,244.1750016,1,0.0,False
32326,0 days 01:11:12.498000,2482.702947039792,-833.8947957905888,7229.261063940779,248.0,1,0.0,False
32327,0 days 01:11:12.585000,2416.0,-852.0,7228.0,249.57823176639343,1,0.0,False
32328,0 days 01:11:12.845000,2144.0,-926.0,7224.0,254.2947830009108,1,0.0,False
32329,0 days 01:11:12.939000,2063.499174164468,-947.9361113694364,7222.877935514965,256.0,1,0.0,False
32330,0 days 01:11:13.099000,1959.38776674396,-976.3442568454852,7221.388633614957,259.0,1,0.0,False
32331,0 days 01:11:13.144000,1935.0,-983.0,7221.0,259.8437488,1,0.0,False
32332,0 days 01:11:13.525000,1765.0,-1029.0,7218.0,266.9874976,1,0.0,False
32333,0 days 01:11:13.579000,1730.6941014912186,-1038.1070253337655,7217.590729633161,268.0,1,0.0,False
32334,0 days 01:11:13.805000,1562.0,-1083.0,7216.0,270.8249984,1,0.0,False
32335,0 days 01:11:13.819000,1551.999687768442,-1085.7122294766364,7215.918090133382,271.0,1,0.0,False
32336,0 days 01:11:14.044000,1387.0,-1131.0,7215.0,273.9605254736842,1,0.0,False
32337,0 days 01:11:14.284000,1134.0,-1199.0,7215.0,277.1184202105263,1,-0.16168382084280178,False
32338,0 days 01:11:14.579000,883.6133780596954,-1266.3405426752763,7214.174042806025,281.0,1,-0.1441573993840864,False
32339,0 days 01:11:14.665000,833.0,-1280.0,7214.0,281.5374992,1,-0.14458312356350167,False
32340,0 days 01:11:14.739000,798.3037618208051,-1289.3837446731588,7213.934752828991,282.0,1,-0.13783000150342706,False
32341,0 days 01:11:14.945000,711.0,-1313.0,7214.0,285.4333312,1,-0.1282410718126541,False
32342,0 days 01:11:15.099000,597.3272042112293,-1343.5544562359985,7214.006006824837,288.0,1,-0.1177172822258377,False
32343,0 days 01:11:15.225000,496.0,-1371.0,7214.0,288.0,1,-0.10523594257004025,False
32344,0 days 01:11:15.298000,442.8685997942568,-1385.5881651080708,7214.003669614964,288.0,1,-0.11067587038803402,False
32345,0 days 01:11:15.384000,372.0,-1405.0,7214.0,289.0750016,1,-0.09023932698341162,False
32346,0 days 01:11:15.458000,290.30964730150043,-1427.09777036304,7213.975173821146,290.0,1,-0.10380772408183242,False
32347,0 days 01:11:15.624000,75.0,-1485.0,7214.0,291.7785728,1,-0.10421396902214895,False
32348,0 days 01:11:15.738000,-48.736518845234876,-1518.4413387382858,7214.283625156101,293.0,1,-0.11617886295953854,False
32349,0 days 01:11:16.125000,-319.0,-1592.0,7216.0,295.90250048,1,-0.12965394370526953,False
32350,0 days 01:11:16.138000,-324.98204257601896,-1593.6064267219404,7216.0336386735835,296.0,1,-0.1521877300110811,False
32351,0 days 01:11:16.338000,-399.9687674694208,-1613.4582290920166,7216.413544406955,296.0,1,-0.1570189660494203,False
32352,0 days 01:11:16.425000,-447.0,-1626.0,7217.0,296.4833336888889,1,-0.17565991458429606,False
32353,0 days 01:11:16.698000,-690.2077944972237,-1691.5555079852963,7221.354410815423,298.0,1,-0.2153935904413703,False
32354,0 days 01:11:16.785000,-766.0,-1712.0,7223.0,298.31071451428573,1,-0.22128858406841004,False
32355,0 days 01:11:16.978000,-900.8921393860836,-1748.3039135857125,7226.571418674051,299.0,1,-0.26375470608198753,False
32356,0 days 01:11:17.105000,-989.0,-1772.0,7229.0,298.68249984,1,-0.28360781027213616,False
32357,0 days 01:11:17.285000,-1133.0,-1811.0,7233.0,298.23249984,1,-0.33506327638631406,False
32358,0 days 01:11:17.378000,-1206.9979416932827,-1831.6624491587493,7235.999404018738,298.0,1,-0.3547673562813079,False
32359,0 days 01:11:17.465000,-1276.0,-1851.0,7239.0,297.56499968,1,-0.38566710709030094,False
32360,0 days 01:11:17.625000,-1403.0,-1886.0,7244.0,296.76499968,1,-0.45697095203110355,False
32361,0 days 01:11:17.778000,-1510.6710407534115,-1915.8882302464292,7248.833909819104,296.0,1,-0.48242549446654487,False
32362,0 days 01:11:17.965000,-1672.0,-1961.0,7258.0,295.4156248,1,-0.551005601682315,True
32363,0 days 01:11:18.098000,-1843.9707998020974,-2009.0027466551865,7268.871462491004,295.0,1,-0.6049239417239162,True
32364,0 days 01:11:18.166000,-1923.0,-2031.0,7274.0,292.874992,1,-0.6432511991683931,True
32365,0 days 01:11:18.418000,-2066.293024724583,-2070.2488391303023,7283.959214180601,285.0,1,-0.7085947905584161,True
