,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-3402.913203207313,-1844.5531952143726,7392.352057559692,140.0,1,0.0,False
32298,0 days 01:11:08.564000,-3426.0,-1802.0,7394.0,149.125008,1,0.0,False
32299,0 days 01:11:08.578000,-3428.5800536931747,-1797.1161295195834,7394.17647086278,150.0,1,0.0,False
32300,0 days 01:11:08.725000,-3458.0,-1741.0,7396.0,156.82500297142857,1,0.0,False
32301,0 days 01:11:08.858000,-3482.8040957670746,-1695.6140064604513,7396.8057163944495,163.0,1,0.0,False
32302,0 days 01:11:09.045000,-3533.0,-1616.0,7398.0,171.1812528,1,0.0,False
32303,0 days 01:11:09.178000,-3595.9734429632413,-1524.681560200313,7400.284674814907,177.0,1,0.0,False
32304,0 days 01:11:09.225000,-3618.0,-1493.0,7401.0,178.8604192,1,0.0,False
32305,0 days 01:11:09.658000,-3750.270281421408,-1300.5141029240199,7401.982586337438,196.0,1,0.0,False
32306,0 days 01:11:09.684000,-3756.0,-1292.0,7402.0,196.6500032,1,0.0,False
32307,0 days 01:11:09.898000,-3797.61929448374,-1229.2750876058674,7402.5582711663055,202.0,1,0.0,False
32308,0 days 01:11:10.085000,-3838.0,-1168.0,7403.0,207.843752,1,0.0,False
32309,0 days 01:11:10.218000,-3875.0912188702873,-1112.0899542668692,7402.959707776553,212.0,1,0.0,False
32310,0 days 01:11:10.538000,-3987.5289176041383,-943.2218408978008,7401.789521011148,224.0,1,0.0,False
32311,0 days 01:11:10.685000,-4040.0,-864.0,7401.0,225.63333404444444,1,0.0,False
32312,0 days 01:11:10.845000,-4096.0,-779.0,7400.0,227.4111118222222,1,0.0,False
32313,0 days 01:11:10.898000,-4114.7565474236535,-750.419472551796,7399.620944661812,228.0,1,0.0,False
32314,0 days 01:11:11.085000,-4182.0,-648.0,7398.0,235.79166933333335,1,0.0,False
32315,0 days 01:11:11.138000,-4201.225748583159,-618.9757423277384,7397.421088529156,238.0,1,0.0,False
32316,0 days 01:11:11.285000,-4255.0,-538.0,7396.0,240.85833457777778,1,0.0,False
32317,0 days 01:11:11.465000,-4322.0,-436.0,7396.0,244.35833457777778,1,0.0,False
32318,0 days 01:11:11.498000,-4334.330266323651,-417.220767016082,7396.024928906338,245.0,1,0.0,False
32319,0 days 01:11:11.665000,-4397.0,-322.0,7396.0,247.50500096,1,0.0,False
