,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-2225.2790911751913,1566.6481869506383,7357.649343936921,227.0,1,0.0,False
32298,0 days 01:11:08.564000,-2166.0,1618.0,7361.0,230.6500032,1,0.0,False
32299,0 days 01:11:08.578000,-2159.473056420474,1623.4277926980596,7361.181909870101,231.0,1,0.0,False
32300,0 days 01:11:08.725000,-2086.0,1683.0,7362.0,234.15000137142857,1,0.0,False
32301,0 days 01:11:08.858000,-2025.8482283166106,1731.2078263522915,7362.375614521882,237.0,1,0.0,False
32302,0 days 01:11:09.045000,-1916.0,1806.0,7363.0,240.5062512,1,0.0,False
32303,0 days 01:11:09.178000,-1786.8252722779907,1879.452552902564,7363.762056703548,243.0,1,0.0,False
32304,0 days 01:11:09.225000,-1741.0,1903.0,7364.0,243.7833344,1,0.0,False
32305,0 days 01:11:09.658000,-1437.4543262156703,1998.3654527587735,7364.901468633267,251.0,1,0.0,False
32306,0 days 01:11:09.684000,-1424.0,2001.0,7365.0,251.43333546666668,1,0.0,False
32307,0 days 01:11:09.898000,-1329.3254907570224,2017.6709675797692,7366.254372824896,255.0,1,0.0,False
32308,0 days 01:11:10.085000,-1241.0,2028.0,7368.0,257.3375008,1,0.0,False
32309,0 days 01:11:10.218000,-1160.3755931312132,2034.4920730412744,7369.611268788805,259.0,1,0.0,False
32310,0 days 01:11:10.538000,-917.4375100848022,2046.7698664856343,7374.824544144895,264.0,1,0.0,False
32311,0 days 01:11:10.685000,-805.0,2050.0,7378.0,265.22500053333334,1,0.0,False
32312,0 days 01:11:10.845000,-686.0,2052.0,7382.0,266.55833386666666,1,0.0,False
32313,0 days 01:11:10.898000,-646.6402968075415,2052.7688623662584,7383.3957525670785,267.0,1,0.0,False
32314,0 days 01:11:11.085000,-507.0,2056.0,7389.0,270.89583466666664,1,0.0,False
32315,0 days 01:11:11.138000,-467.09513621197914,2056.856862602353,7391.015102783674,272.0,1,0.0,False
