,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,2645.3747942022446,2112.3175192955255,7439.329192036111,288.0,1,0.0,False
32298,0 days 01:11:08.564000,2744.0,2109.0,7437.0,279.7874928,1,0.0,False
32299,0 days 01:11:08.578000,2754.235588259496,2108.5606890622435,7436.7493588385705,279.0,1,0.0,False
32300,0 days 01:11:08.725000,2865.0,2103.0,7434.0,268.4999954285714,1,0.0,False
32301,0 days 01:11:08.858000,2952.8425159345998,2097.660212952552,7431.934776417608,259.0,1,0.0,False
32302,0 days 01:11:09.045000,3092.0,2079.0,7428.0,249.0656216,1,0.0,False
32303,0 days 01:11:09.178000,3235.6768364070435,2048.2969603017395,7422.866799796203,242.0,1,0.0,False
32304,0 days 01:11:09.225000,3284.0,2036.0,7421.0,240.531248,1,0.0,False
32305,0 days 01:11:09.658000,3545.926220346432,1920.2612010313903,7407.654453522277,227.0,1,0.0,False
32306,0 days 01:11:09.684000,3556.0,1914.0,7407.0,226.56666453333332,1,0.0,False
32307,0 days 01:11:09.898000,3625.0204762548988,1867.1206698076323,7402.085140473286,223.0,1,0.0,False
32308,0 days 01:11:10.085000,3681.0,1817.0,7398.0,220.078124,1,0.0,False
32309,0 days 01:11:10.218000,3726.3884610324358,1768.1230625334335,7394.972209563882,218.0,1,0.0,False
32310,0 days 01:11:10.538000,3844.5765264190613,1610.5611305739515,7386.871298176726,215.0,1,0.0,False
32311,0 days 01:11:10.685000,3884.0,1529.0,7382.0,214.59166648888888,1,0.0,False
32312,0 days 01:11:10.845000,3914.0,1436.0,7376.0,214.14722204444445,1,0.0,False
32313,0 days 01:11:10.898000,3922.95101932742,1404.6401909780463,7374.190458510558,214.0,1,0.0,False
32314,0 days 01:11:11.085000,3954.0,1293.0,7368.0,216.3375008,1,0.0,False
32315,0 days 01:11:11.138000,3963.27322992313,1261.46113174331,7365.84842520547,217.0,1,0.0,False
32316,0 days 01:11:11.285000,3989.0,1177.0,7360.0,219.85833457777778,1,0.0,False
32317,0 days 01:11:11.465000,4016.0,1088.0,7356.0,223.35833457777778,1,0.0,False
32318,0 days 01:11:11.498000,4020.546491912295,1072.8697591511554,7354.8494364231665,224.0,1,0.0,False
32319,0 days 01:11:11.665000,4044.0,995.0,7347.0,228.1750016,1,0.0,False
32320,0 days 01:11:11.698000,4049.5033229818,977.120033621106,7345.512405639849,229.0,1,0.0,False
32321,0 days 01:11:11.938000,4096.748842312103,825.971496921112,7335.3523644741745,235.0,1,0.0,False
32322,0 days 01:11:11.965000,4102.0,809.0,7334.0,234.6142848,1,0.0,False
32323,0 days 01:11:12.166000,4139.0,688.0,7323.0,231.74285348571428,1,0.0,False
32324,0 days 01:11:12.218000,4148.284641429447,657.7581899044179,7320.709588999389,231.0,1,0.0,False
32325,0 days 01:11:12.345000,4170.0,587.0,7316.0,216.0321353142857,1,0.0,False
32326,0 days 01:11:12.498000,4192.398162978228,511.5126511227607,7310.112782090177,198.0,1,0.0,False
32327,0 days 01:11:12.585000,4205.0,461.0,7306.0,193.4625836716189,1,0.0,False
32328,0 days 01:11:12.845000,4241.0,266.0,7291.0,179.90249887238144,1,0.0,False
32329,0 days 01:11:12.939000,4245.699535912149,210.37223583048717,7287.491193564249,175.0,1,0.0,False
32330,0 days 01:11:13.099000,4243.977837540312,140.94527621469072,7283.951486858078,175.0,1,0.0,False
32331,0 days 01:11:13.144000,4243.0,125.0,7283.0,174.25000106666667,1,0.0,False
32332,0 days 01:11:13.525000,4222.0,21.0,7274.0,167.90000213333335,1,0.0,False
32333,0 days 01:11:13.579000,4214.123936061891,1.2132051736846614,7272.4427640131335,167.0,1,0.0,False
32334,0 days 01:11:13.805000,4169.0,-94.0,7266.0,164.1750016,1,0.0,False
32335,0 days 01:11:13.819000,4165.96484607388,-99.485512449496,7265.698538427254,164.0,1,0.0,False
32336,0 days 01:11:14.044000,4107.0,-184.0,7262.0,166.6644729263158,1,0.0,False
32337,0 days 01:11:14.284000,3993.0,-292.0,7257.0,169.5065781894737,1,-1.784365508030084,True
32338,0 days 01:11:14.579000,3851.0505819221744,-378.22103857470603,7252.006673608286,173.0,1,-1.7037239045092665,True
32339,0 days 01:11:14.665000,3820.0,-394.0,7251.0,178.374992,1,-1.6895882988271114,True
32340,0 days 01:11:14.739000,3798.6278925381334,-404.7359192274537,7250.315608371273,183.0,1,-1.6453709421042313,True
32341,0 days 01:11:14.945000,3744.0,-431.0,7249.0,188.1499968,1,-1.5949619142679738,True
32342,0 days 01:11:15.099000,3671.978369652945,-464.4600289978858,7248.07597460652,192.0,1,-1.5192779746572906,True
32343,0 days 01:11:15.225000,3607.0,-494.0,7247.0,197.06532637458625,1,-1.4429460121621729,True
32344,0 days 01:11:15.298000,3572.3986347782147,-509.34076868450677,7246.132107999766,200.0,1,-1.412503796284255,True
32345,0 days 01:11:15.384000,3525.0,-529.0,7245.0,203.7625056,1,-1.2927038876567987,True
32346,0 days 01:11:15.458000,3468.952316909364,-550.5513396200641,7244.051616571427,207.0,1,-1.267390536792876,True
32347,0 days 01:11:15.624000,3318.0,-605.0,7242.0,209.964288,1,-1.1822946231577451,True
32348,0 days 01:11:15.738000,3228.7217741761006,-634.7200233755012,7240.634548838051,212.0,1,-1.1249876296758834,True
32349,0 days 01:11:16.125000,3023.0,-693.0,7237.0,226.5125024,1,-1.0297815084506254,True
32350,0 days 01:11:16.138000,3018.416206022142,-694.2686766444805,7236.9390627938365,227.0,1,-0.9639642633438525,True
32351,0 days 01:11:16.338000,2961.033007296144,-710.2707284683706,7236.4347531586045,232.0,1,-0.91731577361625,True
32352,0 days 01:11:16.425000,2924.0,-720.0,7236.0,233.69166791111113,1,-0.8776891318699873,True
32353,0 days 01:11:16.698000,2728.64533804545,-769.3020498794227,7232.984664754764,239.0,1,-0.8048255970828946,True
32354,0 days 01:11:16.785000,2667.0,-785.0,7232.0,241.4857161142857,1,-0.7524220116495848,True
32355,0 days 01:11:16.978000,2555.615069599995,-814.1746228813863,7230.245802982694,247.0,1,-0.7102470935170945,True
32356,0 days 01:11:17.105000,2482.0,-834.0,7229.0,249.54000128,1,-0.6629314114521103,True
32357,0 days 01:11:17.285000,2361.0,-867.0,7227.0,253.14000128,1,-0.6034026870029487,True
32358,0 days 01:11:17.378000,2297.5413140385813,-884.5456148212378,7226.514239200643,255.0,1,-0.5841230102849185,True
32359,0 days 01:11:17.465000,2238.0,-901.0,7226.0,256.52250112,1,-0.5447701971483913,True
32360,0 days 01:11:17.625000,2128.0,-931.0,7224.0,259.32250112,1,-0.5167488354786626,True
32361,0 days 01:11:17.778000,2029.3125864690996,-957.5100176956676,7222.22984686241,262.0,1,-0.4465600120157642,False
32362,0 days 01:11:17.965000,1878.0,-998.0,7220.0,264.921876,1,-0.4168572291892794,False
32363,0 days 01:11:18.098000,1720.3372375295053,-1040.457007083043,7217.93262723871,267.0,1,-0.3550043984897588,False
32364,0 days 01:11:18.166000,1648.0,-1060.0,7217.0,268.062504,1,-0.33647067397385727,False
32365,0 days 01:11:18.418000,1514.638528118355,-1096.5096023221959,7215.292614447868,272.0,1,-0.29948914547946925,False
32366,0 days 01:11:18.585000,1428.0,-1120.0,7215.0,274.50500096,1,-0.267594300737224,False
32367,0 days 01:11:18.618000,1403.0095378902188,-1126.7005642479746,7214.973953457287,275.0,1,-0.25012805303258834,False
32368,0 days 01:11:18.845000,1185.0,-1185.0,7215.0,278.7833344,1,-0.17783819150430014,False
32369,0 days 01:11:18.858000,1172.501929071524,-1188.3645947656532,7215.0044571163935,279.0,1,-0.1621144765380998,False
32370,0 days 01:11:19.098000,956.0422158005872,-1247.1656835222013,7215.063877025261,282.0,1,-0.13451987001850765,False
32371,0 days 01:11:19.185000,883.0,-1267.0,7215.0,282.8656714516969,1,-0.12857532506941255,False
