,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,227.8889997879759,-1443.354702739638,7213.728039985936,290.0,1,0.0,False
32298,0 days 01:11:08.564000,136.0,-1468.0,7214.0,290.9125008,1,0.0,False
32299,0 days 01:11:08.578000,126.29300217779583,-1470.6388527860988,7214.071720865571,291.0,1,0.0,False
32300,0 days 01:11:08.725000,19.0,-1500.0,7215.0,292.57500068571426,1,0.0,False
32301,0 days 01:11:08.858000,-71.9562573729919,-1524.687962074762,7215.023768350545,294.0,1,0.0,False
32302,0 days 01:11:09.045000,-233.0,-1568.0,7215.0,295.1687504,1,0.0,False
32303,0 days 01:11:09.178000,-409.95166030180764,-1615.569190752735,7216.354240263214,296.0,1,0.0,False
32304,0 days 01:11:09.225000,-471.0,-1632.0,7217.0,296.2937504,1,0.0,False
32305,0 days 01:11:09.658000,-839.1804438294771,-1731.7050501945441,7224.5971706986975,299.0,1,0.0,False
32306,0 days 01:11:09.684000,-855.0,-1736.0,7225.0,299.10833386666667,1,0.0,False
32307,0 days 01:11:09.898000,-968.6303470886046,-1766.81882290698,7227.778199895046,300.0,1,0.0,False
32308,0 days 01:11:10.085000,-1072.0,-1795.0,7231.0,300.5843752,1,0.0,False
32309,0 days 01:11:10.218000,-1162.0722899720386,-1819.7147550872166,7234.5371362941,301.0,1,0.0,False
32310,0 days 01:11:10.538000,-1424.1594954330137,-1892.1637094361383,7246.468948978042,300.0,1,0.0,False
32311,0 days 01:11:10.685000,-1545.0,-1926.0,7252.0,299.18333297777775,1,0.0,False
32312,0 days 01:11:10.845000,-1673.0,-1962.0,7258.0,298.2944440888889,1,0.0,False
32313,0 days 01:11:10.898000,-1715.1493624555412,-1973.6385457486488,7260.302581620498,298.0,1,0.0,False
32314,0 days 01:11:11.085000,-1863.0,-2014.0,7270.0,294.10416533333336,1,0.0,False
32315,0 days 01:11:11.138000,-1904.4122344948883,-2025.516835337089,7273.179262549402,293.0,1,0.0,False
