,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-2775.9845247472663,-2241.670380822595,7342.671508540387,155.0,1,0.0,False
32298,0 days 01:11:08.564000,-2821.0,-2243.0,7347.0,147.6999936,1,0.0,False
32299,0 days 01:11:08.578000,-2826.0392683928303,-2243.0083571244904,7347.445937530629,147.0,1,0.0,False
32300,0 days 01:11:08.725000,-2883.0,-2242.0,7352.0,141.22499748571428,1,0.0,False
32301,0 days 01:11:08.858000,-2928.14512245612,-2239.941424902914,7354.301947505398,136.0,1,0.0,False
32302,0 days 01:11:09.045000,-2999.0,-2227.0,7360.0,131.3249984,1,0.0,False
32303,0 days 01:11:09.178000,-3072.315655542731,-2203.470571865026,7370.628770102238,128.0,1,0.0,False
32304,0 days 01:11:09.225000,-3097.0,-2194.0,7374.0,127.6083328,1,0.0,False
32305,0 days 01:11:09.658000,-3230.9359390379773,-2106.5045566263852,7379.942279257321,124.0,1,0.0,False
32306,0 days 01:11:09.684000,-3236.0,-2102.0,7380.0,124.3250016,1,0.0,False
32307,0 days 01:11:09.898000,-3269.9883243197874,-2069.7116400860086,7381.618085650657,127.0,1,0.0,False
32308,0 days 01:11:10.085000,-3297.0,-2035.0,7384.0,129.3375008,1,0.0,False
32309,0 days 01:11:10.218000,-3318.987580298565,-1999.8330905619987,7385.890558916787,131.0,1,0.0,False
32310,0 days 01:11:10.538000,-3379.922979331591,-1885.9376438563925,7390.894568666047,141.0,1,0.0,False
32311,0 days 01:11:10.685000,-3409.0,-1832.0,7393.0,146.30833564444444,1,0.0,False
32312,0 days 01:11:10.845000,-3441.0,-1774.0,7395.0,152.0861134222222,1,0.0,False
32313,0 days 01:11:10.898000,-3451.84001885368,-1754.1744142157056,7395.51180271062,154.0,1,0.0,False
32314,0 days 01:11:11.085000,-3492.0,-1682.0,7397.0,163.3500032,1,0.0,False
32315,0 days 01:11:11.138000,-3504.3257264089634,-1661.457786263068,7397.522641228326,166.0,1,0.0,False
32316,0 days 01:11:11.285000,-3541.0,-1604.0,7399.0,171.71666915555556,1,0.0,False
32317,0 days 01:11:11.465000,-3591.0,-1531.0,7400.0,178.71666915555556,1,0.0,False
32318,0 days 01:11:11.498000,-3600.5431384894773,-1517.356454760929,7400.163912820237,180.0,1,0.0,False
32319,0 days 01:11:11.665000,-3650.0,-1447.0,7401.0,185.84500224,1,0.0,False
32320,0 days 01:11:11.698000,-3659.904815219236,-1432.7687549331354,7401.153748170317,187.0,1,0.0,False
32321,0 days 01:11:11.938000,-3732.7748789111283,-1326.2218140641794,7401.978883465372,198.0,1,0.0,False
32322,0 days 01:11:11.965000,-3741.0,-1314.0,7402.0,198.7714304,1,0.0,False
32323,0 days 01:11:12.166000,-3803.0,-1221.0,7402.0,204.51429302857142,1,0.0,False
32324,0 days 01:11:12.218000,-3819.830677541505,-1195.7833724136603,7402.253918662541,206.0,1,0.0,False
32325,0 days 01:11:12.345000,-3861.0,-1134.0,7403.0,208.26785828571428,1,0.0,False
32326,0 days 01:11:12.498000,-3906.2214489282765,-1064.960079845838,7402.576427927697,211.0,1,0.0,False
32327,0 days 01:11:12.585000,-3939.0,-1015.0,7402.0,214.5510214743852,1,0.0,False
32328,0 days 01:11:12.845000,-4076.0,-808.0,7400.0,225.1632617520493,1,0.0,False
32329,0 days 01:11:12.939000,-4116.7273153176475,-746.529899674941,7399.331899470972,229.0,1,0.0,False
32330,0 days 01:11:13.099000,-4169.540554005337,-666.8030650792009,7398.288257924197,229.0,1,0.0,False
32331,0 days 01:11:13.144000,-4182.0,-648.0,7398.0,230.31249813333332,1,0.0,False
32332,0 days 01:11:13.525000,-4270.0,-515.0,7396.0,241.42499626666665,1,0.0,False
32333,0 days 01:11:13.579000,-4287.564150371749,-488.31440117767113,7395.92078059072,243.0,1,0.0,False
32334,0 days 01:11:13.805000,-4374.0,-357.0,7396.0,246.76666453333334,1,0.0,False
32335,0 days 01:11:13.819000,-4379.199930337149,-349.13155412767367,7395.9993607072165,247.0,1,0.0,False
32336,0 days 01:11:14.044000,-4466.0,-218.0,7396.0,251.4407882105263,1,0.0,False
32337,0 days 01:11:14.284000,-4598.0,-17.0,7397.0,256.1776303157895,1,-0.16446011325810864,False
32338,0 days 01:11:14.579000,-4729.31096273975,183.80195940601104,7399.376881023024,262.0,1,-0.14213135482523817,False
32339,0 days 01:11:14.665000,-4756.0,225.0,7400.0,263.0749984,1,-0.13573609558466862,False
32340,0 days 01:11:14.739000,-4774.350314478571,253.56734833881822,7400.453864495874,264.0,1,-0.11212220507638516,False
32341,0 days 01:11:14.945000,-4821.0,328.0,7402.0,265.7166656,1,-0.09634950816194343,False
32342,0 days 01:11:15.099000,-4882.154505048859,426.875784213729,7404.58367605129,267.0,1,-0.07243054623068257,False
32343,0 days 01:11:15.225000,-4935.0,514.0,7407.0,268.89949739046983,1,-0.0531467017336047,False
32344,0 days 01:11:15.298000,-4961.309447417945,558.6507154345687,7408.2901247043865,270.0,1,-0.040204984680331964,False
32345,0 days 01:11:15.384000,-4995.0,618.0,7410.0,271.6125024,1,-0.018277114986364126,False
32346,0 days 01:11:15.458000,-5033.085498098583,687.1616737073706,7411.929661296201,273.0,1,-0.007180396780795989,False
32347,0 days 01:11:15.624000,-5132.0,871.0,7417.0,274.1857152,1,0.00479286157510206,False
32348,0 days 01:11:15.738000,-5188.041693102034,977.6087579653645,7420.0161332294065,275.0,1,0.017282242526973874,False
32349,0 days 01:11:16.125000,-5307.0,1214.0,7427.0,279.8375008,1,0.034245836292196866,False
32350,0 days 01:11:16.138000,-5309.613735045134,1219.2040122453286,7427.150483571076,280.0,1,0.04256193879266602,False
32351,0 days 01:11:16.338000,-5342.381490306295,1283.9537427121275,7428.94245671691,282.0,1,0.04682957515737007,False
32352,0 days 01:11:16.425000,-5363.0,1325.0,7430.0,282.72500053333334,1,0.053632288762523773,False
32353,0 days 01:11:16.698000,-5469.801835670471,1539.5842597268313,7435.365515307599,285.0,1,0.07222764758272374,False
32354,0 days 01:11:16.785000,-5503.0,1607.0,7437.0,285.93214354285715,1,0.07635832643542652,False
32355,0 days 01:11:16.978000,-5561.784598787116,1728.2421323868657,7439.8281159789485,288.0,1,0.0898161476052497,False
32356,0 days 01:11:17.105000,-5600.0,1808.0,7442.0,288.95250048,1,0.09789309597765378,False
32357,0 days 01:11:17.285000,-5662.0,1938.0,7446.0,290.30250048,1,0.11365162723117811,False
32358,0 days 01:11:17.378000,-5692.872560978763,2003.8613767916163,7447.607512548563,291.0,1,0.12050757325853231,False
32359,0 days 01:11:17.465000,-5721.0,2064.0,7449.0,291.65250048,1,0.12908502185466145,False
32360,0 days 01:11:17.625000,-5772.0,2172.0,7452.0,292.85250048,1,0.14024853242689836,False
32361,0 days 01:11:17.778000,-5817.742262919966,2269.5865761936184,7455.424256915586,294.0,1,0.15134016429486283,False
32362,0 days 01:11:17.965000,-5890.0,2423.0,7462.0,295.1687504,1,0.16400444782419865,False
32363,0 days 01:11:18.098000,-5967.367928948335,2585.3398197292836,7469.44148472427,296.0,1,0.1804519294173943,False
32364,0 days 01:11:18.166000,-6003.0,2660.0,7473.0,296.4250016,1,0.1864058409008639,False
32365,0 days 01:11:18.418000,-6068.669394538932,2797.405503452086,7480.756437095216,298.0,1,0.1990237848294255,False
