,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-6789.0489375929,3832.220255109485,7578.487309899842,295.0,1,0.0,False
32298,0 days 01:11:08.564000,-6857.0,3903.0,7589.0,295.0,1,0.0,False
32299,0 days 01:11:08.578000,-6864.565659969381,3910.894885405143,7590.1562601349015,295.0,1,0.0,False
32300,0 days 01:11:08.725000,-6950.0,4000.0,7603.0,293.94999954285714,1,0.0,False
32301,0 days 01:11:08.858000,-7018.600427522595,4070.8401813329942,7612.657921800555,293.0,1,0.0,False
32302,0 days 01:11:09.045000,-7134.0,4187.0,7630.0,291.2468744,1,0.0,False
32303,0 days 01:11:09.178000,-7261.250908507278,4312.917599233946,7651.536973742775,290.0,1,0.0,False
32304,0 days 01:11:09.225000,-7305.0,4356.0,7659.0,289.1187488,1,0.0,False
32305,0 days 01:11:09.658000,-7561.518724230802,4604.913314138607,7701.326453752863,281.0,1,0.0,False
32306,0 days 01:11:09.684000,-7572.0,4615.0,7703.0,279.26665813333335,1,0.0,False
32307,0 days 01:11:09.898000,-7644.598689329672,4684.925373052595,7714.435353954298,265.0,1,0.0,False
32308,0 days 01:11:10.085000,-7705.0,4743.0,7724.0,248.6374944,1,0.0,False
32309,0 days 01:11:10.218000,-7754.755656072025,4790.688517864091,7732.064069032807,237.0,1,0.0,False
32310,0 days 01:11:10.538000,-7889.760546283974,4919.325857235946,7754.024239588077,188.0,1,0.0,False
32311,0 days 01:11:10.685000,-7944.0,4970.0,7762.0,172.07499306666668,1,0.0,False
32312,0 days 01:11:10.845000,-7995.0,5017.0,7769.0,154.74165973333334,1,0.0,False
32313,0 days 01:11:10.898000,-8010.776122165281,5031.826169438012,7771.547068437609,149.0,1,0.0,False
32314,0 days 01:11:11.085000,-8063.0,5082.0,7781.0,137.312496,1,0.0,False
32315,0 days 01:11:11.138000,-8076.931813016948,5095.397431038381,7783.241095082768,134.0,1,0.0,False
32316,0 days 01:11:11.285000,-8113.0,5131.0,7789.0,123.79166222222223,1,0.0,False
32317,0 days 01:11:11.465000,-8150.0,5173.0,7797.0,111.29166222222223,1,0.0,False
32318,0 days 01:11:11.498000,-8156.005463173014,5180.500165359731,7798.058935733193,109.0,1,0.0,False
32319,0 days 01:11:11.665000,-8183.0,5218.0,7802.0,103.15499776,1,0.0,False
32320,0 days 01:11:11.698000,-8187.718803239112,5225.518078160156,7803.0075191538845,102.0,1,0.0,False
32321,0 days 01:11:11.938000,-8215.662687278565,5281.580819751533,7812.190226057664,97.0,1,0.0,False
32322,0 days 01:11:11.965000,-8218.0,5288.0,7813.0,96.2285696,1,0.0,False
32323,0 days 01:11:12.166000,-8230.0,5336.0,7817.0,90.48570697142857,1,0.0,False
32324,0 days 01:11:12.218000,-8231.541342227258,5348.175354165273,7817.782545632684,89.0,1,0.0,False
32325,0 days 01:11:12.345000,-8233.0,5377.0,7820.0,86.27857005714286,1,0.0,False
32326,0 days 01:11:12.498000,-8231.377527581857,5409.306229893078,7824.945519481313,83.0,1,0.0,False
32327,0 days 01:11:12.585000,-8225.0,5430.0,7828.0,81.61904720440575,1,0.0,False
32328,0 days 01:11:12.845000,-8179.0,5502.0,7835.0,77.49206487420305,1,0.0,False
32329,0 days 01:11:12.939000,-8162.128562861575,5519.182759241655,7836.136911212038,76.0,1,0.0,False
32330,0 days 01:11:13.099000,-8137.011381177928,5536.268078953884,7836.777393684692,74.0,1,0.0,False
32331,0 days 01:11:13.144000,-8131.0,5540.0,7837.0,73.81250026666666,1,0.0,False
32332,0 days 01:11:13.525000,-8088.0,5562.0,7840.0,72.22500053333333,1,0.0,False
32333,0 days 01:11:13.579000,-8078.993473526454,5565.501943861082,7840.404788805003,72.0,1,0.0,False
32334,0 days 01:11:13.805000,-8034.0,5581.0,7842.0,72.0,1,0.0,False
32335,0 days 01:11:13.819000,-8031.284368337856,5581.808387670866,7842.1076666852305,72.0,1,0.0,False
32336,0 days 01:11:14.044000,-7985.0,5593.0,7844.0,77.6249984,1,0.0,False
32337,0 days 01:11:14.284000,-7909.0,5607.0,7846.0,83.6249984,1,-2.1914950433057636,True
32338,0 days 01:11:14.579000,-7825.561035664269,5619.700198640223,7846.949293338816,91.0,1,-2.1519756772117353,True
32339,0 days 01:11:14.665000,-7808.0,5622.0,7847.0,92.6124976,1,-2.1461079874939775,True
32340,0 days 01:11:14.739000,-7795.924462640357,5623.435301307003,7846.98761993165,94.0,1,-2.129296124056995,True
32341,0 days 01:11:14.945000,-7764.0,5627.0,7847.0,102.583328,1,-2.099415652456109,True
32342,0 days 01:11:15.099000,-7719.586193253235,5632.9998454156585,7847.59322777418,109.0,1,-2.0441207458210537,True
32343,0 days 01:11:15.225000,-7679.0,5638.0,7848.0,113.43216057776297,1,-1.9690594702257225,True
32344,0 days 01:11:15.298000,-7657.263942178614,5640.152028221592,7848.036140928021,116.0,1,-1.936448755101194,True
32345,0 days 01:11:15.384000,-7627.0,5643.0,7848.0,119.2250048,1,-1.7337705554264624,True
32346,0 days 01:11:15.458000,-7590.585000035458,5646.736918486734,7848.01002454524,122.0,1,-1.6947531476371245,True
32347,0 days 01:11:15.624000,-7490.0,5657.0,7848.0,129.1142912,1,-1.5255523417911605,True
32348,0 days 01:11:15.738000,-7426.990456430256,5662.310582882502,7847.739656146246,134.0,1,-1.395885668707129,True
32349,0 days 01:11:16.125000,-7268.0,5671.0,7846.0,150.44750272,1,-1.1942051267499547,True
32350,0 days 01:11:16.138000,-7264.508427235833,5671.167129222346,7845.954994919737,151.0,1,-1.0097898373660137,True
32351,0 days 01:11:16.338000,-7222.3055304296695,5673.072970234293,7845.381747420855,161.0,1,-0.9076843038632674,True
32352,0 days 01:11:16.425000,-7195.0,5674.0,7845.0,164.38333582222222,1,-0.8256864754188261,True
32353,0 days 01:11:16.698000,-7048.5229294501605,5678.046518899088,7842.876964106944,175.0,1,-0.7367587118829451,True
