,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-2856.0777766696347,1012.059129153981,7342.33161012451,205.0,1,0.0,False
32298,0 days 01:11:08.564000,-2801.0,1053.0,7344.0,208.6500032,1,0.0,False
32299,0 days 01:11:08.578000,-2794.880970828685,1057.7512995759002,7344.1628672617635,209.0,1,0.0,False
32300,0 days 01:11:08.725000,-2726.0,1113.0,7346.0,212.15000137142857,1,0.0,False
32301,0 days 01:11:08.858000,-2671.397795482458,1159.4640802541812,7348.2051995403335,215.0,1,0.0,False
32302,0 days 01:11:09.045000,-2580.0,1242.0,7351.0,217.3375008,1,0.0,False
32303,0 days 01:11:09.178000,-2478.351267141668,1334.7303208374474,7351.6967763148705,219.0,1,0.0,False
32304,0 days 01:11:09.225000,-2443.0,1367.0,7352.0,220.2729184,1,0.0,False
32305,0 days 01:11:09.658000,-2223.4334762546378,1566.5320019304868,7358.659193708354,232.0,1,0.0,False
32306,0 days 01:11:09.684000,-2214.0,1575.0,7359.0,232.0,1,0.0,False
32307,0 days 01:11:09.898000,-2147.4078998516134,1634.1212277774207,7360.9553320731175,232.0,1,0.0,False
32308,0 days 01:11:10.085000,-2083.0,1686.0,7362.0,237.2593768,1,0.0,False
32309,0 days 01:11:10.218000,-2022.405534539796,1730.9059398879242,7362.656560117471,241.0,1,0.0,False
32310,0 days 01:11:10.538000,-1833.7194918978437,1856.5230684101348,7363.839664530868,249.0,1,0.0,False
32311,0 days 01:11:10.685000,-1741.0,1904.0,7364.0,250.63333404444444,1,0.0,False
32312,0 days 01:11:10.845000,-1638.0,1945.0,7364.0,252.4111118222222,1,0.0,False
32313,0 days 01:11:10.898000,-1602.5835767862482,1956.6606205322014,7364.127872126321,253.0,1,0.0,False
32314,0 days 01:11:11.085000,-1473.0,1991.0,7365.0,256.89583466666664,1,0.0,False
32315,0 days 01:11:11.138000,-1435.6956970332956,1998.9319366272866,7365.227693661027,258.0,1,0.0,False
32316,0 days 01:11:11.285000,-1331.0,2017.0,7366.0,259.63333404444444,1,0.0,False
32317,0 days 01:11:11.465000,-1200.0,2032.0,7368.0,261.63333404444444,1,0.0,False
32318,0 days 01:11:11.498000,-1175.8314741570134,2033.9619658989534,7368.444324628222,262.0,1,0.0,False
32319,0 days 01:11:11.665000,-1053.0,2041.0,7371.0,264.50500096,1,0.0,False
32320,0 days 01:11:11.698000,-1028.5897696804413,2042.1057707534771,7371.574857236526,265.0,1,0.0,False
32321,0 days 01:11:11.938000,-850.069929477663,2048.384226139467,7376.403333611259,269.0,1,0.0,False
32322,0 days 01:11:11.965000,-830.0,2049.0,7377.0,269.3857152,1,0.0,False
32323,0 days 01:11:12.166000,-680.0,2053.0,7382.0,272.2571465142857,1,0.0,False
32324,0 days 01:11:12.218000,-640.2853986084566,2053.6693068660643,7383.651891546101,273.0,1,0.0,False
32325,0 days 01:11:12.345000,-544.0,2055.0,7388.0,274.3607149714286,1,0.0,False
32326,0 days 01:11:12.498000,-436.421478443931,2057.449018421772,7392.563585317512,276.0,1,0.0,False
32327,0 days 01:11:12.585000,-360.0,2059.0,7396.0,277.18367382479505,1,0.0,False
32328,0 days 01:11:12.845000,-50.0,2063.0,7411.0,280.7210872506831,1,0.0,False
32329,0 days 01:11:12.939000,40.906958118199256,2063.657503026087,7415.149337444646,282.0,1,0.0,False
32330,0 days 01:11:13.099000,157.56873534384818,2063.938008294421,7419.956972852763,283.0,1,0.0,False
32331,0 days 01:11:13.144000,185.0,2064.0,7421.0,283.3749994666667,1,0.0,False
32332,0 days 01:11:13.525000,376.0,2065.0,7427.0,286.5499989333333,1,0.0,False
32333,0 days 01:11:13.579000,413.3176361974609,2065.3269750417867,7428.19194308108,287.0,1,0.0,False
32334,0 days 01:11:13.805000,600.0,2067.0,7434.0,290.7666645333333,1,0.0,False
32335,0 days 01:11:13.819000,611.8297718065121,2067.0896443774363,7434.31827873568,291.0,1,0.0,False
32336,0 days 01:11:14.044000,813.0,2069.0,7439.0,292.1842101894737,1,0.0,False
32337,0 days 01:11:14.284000,1090.0,2075.0,7445.0,293.44736808421055,1,-0.7256057347124688,True
32338,0 days 01:11:14.579000,1362.8997745523604,2080.725392328993,7447.641664061473,295.0,1,-0.7569222100267498,True
32339,0 days 01:11:14.665000,1418.0,2082.0,7448.0,295.5374992,1,-0.772950828349019,True
32340,0 days 01:11:14.739000,1455.5580919997753,2082.9932221198887,7448.311844678495,296.0,1,-0.7961482122485735,True
32341,0 days 01:11:14.945000,1549.0,2086.0,7449.0,296.57222186666667,1,-0.809405912299586,True
32342,0 days 01:11:15.099000,1670.651652552944,2089.741322799001,7449.009594061623,297.0,1,-0.8291298391518729,True
32343,0 days 01:11:15.225000,1779.0,2093.0,7449.0,297.0,1,-0.8378083264434232,True
32344,0 days 01:11:15.298000,1835.7164527432465,2094.6820713731468,7449.09938730073,297.0,1,-0.8612574073825641,True
32345,0 days 01:11:15.384000,1911.0,2097.0,7449.0,297.0,1,-0.8384581964866984,True
