,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,1814.9023039692993,-1015.296596444825,7219.340538941661,269.0,1,0.0,False
32298,0 days 01:11:08.564000,1724.0,-1040.0,7218.0,271.7375024,1,0.0,False
32299,0 days 01:11:08.578000,1713.5823533484343,-1042.8304080347086,7217.8351723796195,272.0,1,0.0,False
32300,0 days 01:11:08.725000,1595.0,-1075.0,7216.0,274.6250011428571,1,0.0,False
32301,0 days 01:11:08.858000,1504.4505882670956,-1099.3301890849423,7215.166940049314,277.0,1,0.0,False
32302,0 days 01:11:09.045000,1356.0,-1139.0,7215.0,279.3375008,1,0.0,False
32303,0 days 01:11:09.178000,1187.4535431370143,-1184.2596964554646,7215.017980866954,281.0,1,0.0,False
32304,0 days 01:11:09.225000,1129.0,-1200.0,7215.0,281.5875008,1,0.0,False
32305,0 days 01:11:09.658000,775.8906894315587,-1295.9715962191474,7214.033468672193,287.0,1,0.0,False
32306,0 days 01:11:09.684000,761.0,-1300.0,7214.0,287.21666773333334,1,0.0,False
32307,0 days 01:11:09.898000,656.2328987645982,-1328.036141980979,7213.978933531327,289.0,1,0.0,False
32308,0 days 01:11:10.085000,559.0,-1354.0,7214.0,290.7531256,1,0.0,False
32309,0 days 01:11:10.218000,470.6742117889797,-1377.8001625676588,7213.870221775266,292.0,1,0.0,False
32310,0 days 01:11:10.538000,206.3056974359778,-1449.4633584804096,7213.465083608592,296.0,1,0.0,False
32311,0 days 01:11:10.685000,86.0,-1482.0,7214.0,296.81666702222225,1,0.0,False
32312,0 days 01:11:10.845000,-40.0,-1516.0,7215.0,297.7055559111111,1,0.0,False
32313,0 days 01:11:10.898000,-81.96421580004308,-1527.3415951176248,7215.1207365693135,298.0,1,0.0,False
32314,0 days 01:11:11.085000,-232.0,-1568.0,7215.0,301.1166677333333,1,0.0,False
32315,0 days 01:11:11.138000,-274.86735790623504,-1579.6464805561327,7215.1309436400015,302.0,1,0.0,False
32316,0 days 01:11:11.285000,-394.0,-1612.0,7216.0,302.0,1,0.0,False
32317,0 days 01:11:11.465000,-539.0,-1651.0,7218.0,302.0,1,0.0,False
32318,0 days 01:11:11.498000,-565.6660358795234,-1658.0919257508324,7218.442320030903,302.0,1,0.0,False
32319,0 days 01:11:11.665000,-701.0,-1694.0,7221.0,302.0,1,0.0,False
32320,0 days 01:11:11.698000,-727.7001283563744,-1701.1964115689855,7221.5741998605245,302.0,1,0.0,False
32321,0 days 01:11:11.938000,-921.2682352543817,-1754.1415399208634,7226.398603696994,301.0,1,0.0,False
32322,0 days 01:11:11.965000,-943.0,-1760.0,7227.0,300.9035712,1,0.0,False
32323,0 days 01:11:12.166000,-1104.0,-1803.0,7232.0,300.18571337142856,1,0.0,False
32324,0 days 01:11:12.218000,-1145.0091294559095,-1814.2601676691897,7233.580723721139,300.0,1,0.0,False
32325,0 days 01:11:12.345000,-1248.0,-1843.0,7238.0,300.0,1,0.0,False
32326,0 days 01:11:12.498000,-1391.341268906411,-1882.7247374909107,7244.362422764281,300.0,1,0.0,False
32327,0 days 01:11:12.585000,-1486.0,-1909.0,7249.0,299.60544205840165,1,0.0,False
32328,0 days 01:11:12.845000,-1805.0,-1998.0,7267.0,298.4263042497723,1,0.0,False
32329,0 days 01:11:12.939000,-1896.0011121373293,-2023.2653327752998,7272.84827754192,298.0,1,0.0,False
32330,0 days 01:11:13.099000,-2012.9392110795097,-2055.5314780557246,7281.114281346671,297.0,1,0.0,False
32331,0 days 01:11:13.144000,-2040.0,-2063.0,7283.0,293.4375050666667,1,0.0,False
32332,0 days 01:11:13.525000,-2215.0,-2111.0,7295.0,263.27501013333335,1,0.0,False
