,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-1106.1932957473764,-1803.9527524928674,7232.3925282312,300.0,1,0.0,False
32298,0 days 01:11:08.564000,-1197.0,-1829.0,7236.0,299.0874992,1,0.0,False
32299,0 days 01:11:08.578000,-1206.8363036849155,-1831.7044809716444,7236.402857160294,299.0,1,0.0,False
32300,0 days 01:11:08.725000,-1317.0,-1862.0,7241.0,298.4749997714286,1,0.0,False
32301,0 days 01:11:08.858000,-1409.5570850419488,-1887.7738184927653,7244.903137131097,298.0,1,0.0,False
32302,0 days 01:11:09.045000,-1571.0,-1933.0,7253.0,296.8312496,1,0.0,False
32303,0 days 01:11:09.178000,-1747.4845377531035,-1982.169414125805,7263.326264813894,296.0,1,0.0,False
32304,0 days 01:11:09.225000,-1808.0,-1999.0,7267.0,294.2374976,1,0.0,False
32305,0 days 01:11:09.658000,-2159.752257045865,-2096.1172105551223,7290.9029805576365,278.0,1,0.0,False
32306,0 days 01:11:09.684000,-2174.0,-2100.0,7292.0,276.80832746666664,1,0.0,False
32307,0 days 01:11:09.898000,-2272.3091732843304,-2126.533641157614,7300.07447309636,267.0,1,0.0,False
32308,0 days 01:11:10.085000,-2353.0,-2148.0,7307.0,244.2093672,1,0.0,False
32309,0 days 01:11:10.218000,-2418.7436727009294,-2165.413819261723,7312.488149023865,228.0,1,0.0,False
32310,0 days 01:11:10.538000,-2595.861332401408,-2210.8014732648535,7326.968292024194,184.0,1,0.0,False
32311,0 days 01:11:10.685000,-2668.0,-2226.0,7333.0,172.15832817777778,1,0.0,False
32312,0 days 01:11:10.845000,-2738.0,-2237.0,7339.0,159.2694392888889,1,0.0,False
32313,0 days 01:11:10.898000,-2761.405654850496,-2239.3666685038284,7341.013198416645,155.0,1,0.0,False
32314,0 days 01:11:11.085000,-2843.0,-2243.0,7348.0,147.9874976,1,0.0,False
32315,0 days 01:11:11.138000,-2863.6778201621687,-2242.878892087739,7349.748288641795,146.0,1,0.0,False
32316,0 days 01:11:11.285000,-2917.0,-2240.0,7354.0,142.3249984,1,0.0,False
32317,0 days 01:11:11.465000,-2983.0,-2231.0,7359.0,137.8249984,1,0.0,False
32318,0 days 01:11:11.498000,-2995.1321921807244,-2228.3934394994985,7360.414781543858,137.0,1,0.0,False
32319,0 days 01:11:11.665000,-3055.0,-2211.0,7369.0,130.31999744,1,0.0,False
32320,0 days 01:11:11.698000,-3065.976191950601,-2207.035832243277,7370.325546950397,129.0,1,0.0,False
32321,0 days 01:11:11.938000,-3137.484403066365,-2173.3924379300734,7375.6409277475095,122.0,1,0.0,False
32322,0 days 01:11:11.965000,-3145.0,-2169.0,7376.0,121.7107136,1,0.0,False
32323,0 days 01:11:12.166000,-3199.0,-2132.0,7378.0,119.55714011428572,1,0.0,False
32324,0 days 01:11:12.218000,-3212.766084841904,-2121.005660505199,7378.525748563912,119.0,1,0.0,False
32325,0 days 01:11:12.345000,-3245.0,-2093.0,7380.0,121.26785828571428,1,0.0,False
32326,0 days 01:11:12.498000,-3277.617222385027,-2060.763194617203,7382.325940381096,124.0,1,0.0,False
32327,0 days 01:11:12.585000,-3298.0,-2033.0,7384.0,127.15646353278686,1,0.0,False
32328,0 days 01:11:12.845000,-3373.0,-1900.0,7390.0,136.5895660018216,1,0.0,False
32329,0 days 01:11:12.939000,-3394.9388165961823,-1859.1312671484518,7391.611283208176,140.0,1,0.0,False
