,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,3544.7824439772608,-521.2161440805796,7245.098208852537,208.0,1,0.0,False
32298,0 days 01:11:08.564000,3480.0,-547.0,7244.0,213.4750048,1,0.0,False
32299,0 days 01:11:08.578000,3472.652967627606,-549.797119637187,7243.903588485657,214.0,1,0.0,False
32300,0 days 01:11:08.725000,3391.0,-580.0,7243.0,218.20000182857143,1,0.0,False
32301,0 days 01:11:08.858000,3336.6429261310936,-599.3987831120421,7242.406052148966,222.0,1,0.0,False
32302,0 days 01:11:09.045000,3239.0,-630.0,7241.0,226.0906264,1,0.0,False
32303,0 days 01:11:09.178000,3103.2456231776064,-670.0844478609624,7238.794776047032,229.0,1,0.0,False
32304,0 days 01:11:09.225000,3055.0,-684.0,7238.0,230.3708352,1,0.0,False
32305,0 days 01:11:09.658000,2758.678298777643,-761.8181885099141,7233.1751209383265,243.0,1,0.0,False
32306,0 days 01:11:09.684000,2746.0,-765.0,7233.0,243.43333546666668,1,0.0,False
32307,0 days 01:11:09.898000,2656.3133857633993,-787.7904488278912,7231.987165711386,247.0,1,0.0,False
32308,0 days 01:11:10.085000,2572.0,-810.0,7231.0,251.0906264,1,0.0,False
32309,0 days 01:11:10.218000,2494.8868443825,-830.7522191495107,7229.873446058522,254.0,1,0.0,False
32310,0 days 01:11:10.538000,2262.5927703318625,-894.1171268675706,7225.945262464997,262.0,1,0.0,False
32311,0 days 01:11:10.685000,2156.0,-923.0,7224.0,264.4500010666667,1,0.0,False
32312,0 days 01:11:10.845000,2041.0,-954.0,7222.0,267.1166677333333,1,0.0,False
32313,0 days 01:11:10.898000,1998.780748081862,-965.459605144368,7221.519275995757,268.0,1,0.0,False
32314,0 days 01:11:11.085000,1842.0,-1008.0,7220.0,271.89583466666664,1,0.0,False
32315,0 days 01:11:11.138000,1802.181573665788,-1018.587077071151,7219.253618073402,273.0,1,0.0,False
32316,0 days 01:11:11.285000,1695.0,-1047.0,7217.0,274.63333404444444,1,0.0,False
32317,0 days 01:11:11.465000,1542.0,-1089.0,7216.0,276.63333404444444,1,0.0,False
32318,0 days 01:11:11.498000,1515.747441815791,-1096.1370726166438,7215.837001331601,277.0,1,0.0,False
32319,0 days 01:11:11.665000,1393.0,-1129.0,7215.0,279.50500096,1,0.0,False
32320,0 days 01:11:11.698000,1368.6056246115938,-1135.5149960088763,7214.91380385188,280.0,1,0.0,False
32321,0 days 01:11:11.938000,1186.5319468817725,-1184.404778942772,7214.98796401533,284.0,1,0.0,False
32322,0 days 01:11:11.965000,1166.0,-1190.0,7215.0,284.1928576,1,0.0,False
32323,0 days 01:11:12.166000,1013.0,-1232.0,7215.0,285.6285732571429,1,0.0,False
32324,0 days 01:11:12.218000,972.635461357242,-1242.9010101702925,7215.024581874929,286.0,1,0.0,False
32325,0 days 01:11:12.345000,875.0,-1269.0,7215.0,287.3607149714286,1,0.0,False
32326,0 days 01:11:12.498000,766.2670814452736,-1298.1572699784413,7214.334145962685,289.0,1,0.0,False
32327,0 days 01:11:12.585000,689.0,-1319.0,7214.0,290.18367382479505,1,0.0,False
32328,0 days 01:11:12.845000,375.0,-1404.0,7214.0,293.7210872506831,1,0.0,False
32329,0 days 01:11:12.939000,282.8097030953296,-1428.843785965684,7214.031163129065,295.0,1,0.0,False
32330,0 days 01:11:13.099000,164.6107650468961,-1460.5610379290322,7214.014168266319,295.0,1,0.0,False
