,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-8059.115245433754,5078.968778454512,7779.3172591691155,139.0,1,0.0,False
32298,0 days 01:11:08.564000,-8089.0,5108.0,7785.0,127.1374896,1,0.0,False
32299,0 days 01:11:08.578000,-8092.133884758299,5111.083816871191,7785.6034215983,126.0,1,0.0,False
32300,0 days 01:11:08.725000,-8126.0,5145.0,7792.0,120.74999771428571,1,0.0,False
32301,0 days 01:11:08.858000,-8151.486862040431,5172.291684013271,7795.90010963178,116.0,1,0.0,False
32302,0 days 01:11:09.045000,-8184.0,5219.0,7802.0,106.0656216,1,0.0,False
32303,0 days 01:11:09.178000,-8210.309212633067,5271.014653952344,7810.314294921992,99.0,1,0.0,False
32304,0 days 01:11:09.225000,-8218.0,5289.0,7813.0,98.020832,1,0.0,False
32305,0 days 01:11:09.658000,-8231.529907533355,5396.629035352128,7822.500704419011,89.0,1,0.0,False
32306,0 days 01:11:09.684000,-8231.0,5401.0,7823.0,88.13332906666666,1,0.0,False
32307,0 days 01:11:09.898000,-8224.995617371907,5430.649370938337,7828.5039906014745,81.0,1,0.0,False
32308,0 days 01:11:10.085000,-8214.0,5454.0,7833.0,78.078124,1,0.0,False
32309,0 days 01:11:10.218000,-8201.229746412091,5472.519373030702,7834.836618746663,76.0,1,0.0,False
32310,0 days 01:11:10.538000,-8156.037514149967,5520.433056287315,7835.835764444315,69.0,1,0.0,False
32311,0 days 01:11:10.685000,-8133.0,5538.0,7837.0,68.18333297777778,1,0.0,False
32312,0 days 01:11:10.845000,-8107.0,5553.0,7839.0,67.2944440888889,1,0.0,False
32313,0 days 01:11:10.898000,-8097.895135711827,5557.37613107929,7839.532582295237,67.0,1,0.0,False
32314,0 days 01:11:11.085000,-8064.0,5571.0,7841.0,68.55833386666667,1,0.0,False
32315,0 days 01:11:11.138000,-8054.1439945056245,5574.423989005174,7841.519912019893,69.0,1,0.0,False
32316,0 days 01:11:11.285000,-8026.0,5583.0,7843.0,72.26666808888889,1,0.0,False
32317,0 days 01:11:11.465000,-7989.0,5592.0,7844.0,76.26666808888889,1,0.0,False
32318,0 days 01:11:11.498000,-7982.059801147973,5593.545249050833,7844.167885183327,77.0,1,0.0,False
32319,0 days 01:11:11.665000,-7946.0,5601.0,7845.0,81.1750016,1,0.0,False
32320,0 days 01:11:11.698000,-7938.526646806704,5602.408634325674,7845.129471160742,82.0,1,0.0,False
32321,0 days 01:11:11.938000,-7880.76217645536,5612.000802212913,7845.877082055722,88.0,1,0.0,False
32322,0 days 01:11:11.965000,-7874.0,5613.0,7846.0,88.964288,1,0.0,False
32323,0 days 01:11:12.166000,-7822.0,5620.0,7847.0,96.14286628571429,1,0.0,False
32324,0 days 01:11:12.218000,-7807.876671741578,5621.752797553909,7847.049362812149,98.0,1,0.0,False
32325,0 days 01:11:12.345000,-7773.0,5626.0,7847.0,103.44285988571428,1,0.0,False
32326,0 days 01:11:12.498000,-7732.352485459654,5631.2100033005,7847.656233072527,110.0,1,0.0,False
32327,0 days 01:11:12.585000,-7701.0,5635.0,7848.0,113.35374250358603,1,0.0,False
32328,0 days 01:11:12.845000,-7564.0,5650.0,7848.0,123.37641387693546,1,0.0,False
32329,0 days 01:11:12.939000,-7521.383208994087,5654.091840149758,7847.991319295401,127.0,1,0.0,False
32330,0 days 01:11:13.099000,-7464.233334176465,5658.903652035274,7848.021967492886,131.0,1,0.0,False
32331,0 days 01:11:13.144000,-7451.0,5660.0,7848.0,133.71874613333333,1,0.0,False
32332,0 days 01:11:13.525000,-7352.0,5667.0,7847.0,156.73749226666666,1,0.0,False
32333,0 days 01:11:13.579000,-7327.143324045405,5668.252842071535,7846.679179327714,160.0,1,0.0,False
32334,0 days 01:11:13.805000,-7201.0,5674.0,7845.0,169.41666133333334,1,0.0,False
32335,0 days 01:11:13.819000,-7193.958180814279,5674.304531699832,7844.898129065629,170.0,1,0.0,False
32336,0 days 01:11:14.044000,-7084.0,5678.0,7843.0,179.17762896842106,1,0.0,False
32337,0 days 01:11:14.284000,-6907.0,5679.0,7839.0,188.96710265263158,1,-0.6300778174601274,True
32338,0 days 01:11:14.579000,-6722.272652215516,5675.345781118171,7834.2221139540525,201.0,1,-0.5490793882444871,True
32339,0 days 01:11:14.665000,-6684.0,5674.0,7833.0,203.1499968,1,-0.5366426625935975,True
32340,0 days 01:11:14.739000,-6657.587156785077,5672.887661182752,7832.0176243388105,205.0,1,-0.5009376604128974,True
32341,0 days 01:11:14.945000,-6590.0,5669.0,7829.0,210.1499968,1,-0.4648565902406863,False
32342,0 days 01:11:15.099000,-6501.460022071251,5663.613742620981,7825.421477549899,214.0,1,-0.415791947180208,False
