,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-3889.5653295737,3646.5994715525235,7534.770883225065,231.0,1,0.0,False
32298,0 days 01:11:08.564000,-3961.0,3642.0,7535.0,223.6999936,1,0.0,False
32299,0 days 01:11:08.578000,-3968.86848475926,3641.306418554897,7535.013977003375,223.0,1,0.0,False
32300,0 days 01:11:08.725000,-4057.0,3632.0,7535.0,216.69999725714285,1,0.0,False
32301,0 days 01:11:08.858000,-4126.738555745149,3622.687358361683,7534.463178185767,211.0,1,0.0,False
32302,0 days 01:11:09.045000,-4236.0,3594.0,7533.0,204.5718728,1,0.0,False
32303,0 days 01:11:09.178000,-4348.588711039779,3549.931795719334,7531.624774268471,200.0,1,0.0,False
32304,0 days 01:11:09.225000,-4386.0,3533.0,7531.0,198.4333312,1,0.0,False
32305,0 days 01:11:09.658000,-4574.225352008518,3392.948348683581,7522.431902526283,184.0,1,0.0,False
32306,0 days 01:11:09.684000,-4581.0,3386.0,7522.0,183.3499968,1,0.0,False
32307,0 days 01:11:09.898000,-4626.798850265771,3336.1859511537596,7519.314403992834,178.0,1,0.0,False
32308,0 days 01:11:10.085000,-4661.0,3287.0,7517.0,175.078124,1,0.0,False
32309,0 days 01:11:10.218000,-4686.415391176365,3240.5353928197173,7514.74947659594,173.0,1,0.0,False
32310,0 days 01:11:10.538000,-4746.640553762307,3096.189409071139,7507.570404793174,168.0,1,0.0,False
32311,0 days 01:11:10.685000,-4765.0,3027.0,7504.0,167.59166648888888,1,0.0,False
32312,0 days 01:11:10.845000,-4777.0,2952.0,7500.0,167.14722204444445,1,0.0,False
32313,0 days 01:11:10.898000,-4779.73281200466,2926.9883675447927,7498.607726002917,167.0,1,0.0,False
32314,0 days 01:11:11.085000,-4785.0,2838.0,7493.0,170.89583466666667,1,0.0,False
32315,0 days 01:11:11.138000,-4785.209198927983,2812.665935681354,7491.0176989709225,172.0,1,0.0,False
32316,0 days 01:11:11.285000,-4783.0,2742.0,7485.0,174.85833457777778,1,0.0,False
32317,0 days 01:11:11.465000,-4775.0,2654.0,7478.0,178.35833457777778,1,0.0,False
32318,0 days 01:11:11.498000,-4772.673075437097,2637.6692419610467,7476.618734247164,179.0,1,0.0,False
32319,0 days 01:11:11.665000,-4757.0,2554.0,7469.0,184.01000192,1,0.0,False
32320,0 days 01:11:11.698000,-4753.338886111014,2537.240639782373,7467.399722527799,185.0,1,0.0,False
32321,0 days 01:11:11.938000,-4721.285874956289,2413.8411534911497,7455.302286012187,196.0,1,0.0,False
32322,0 days 01:11:11.965000,-4717.0,2400.0,7454.0,196.5785728,1,0.0,False
32323,0 days 01:11:12.166000,-4680.0,2297.0,7445.0,200.88571977142857,1,0.0,False
32324,0 days 01:11:12.218000,-4668.534623122839,2269.8114436409237,7442.912593504592,202.0,1,0.0,False
