,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
32297,0 days 01:11:08.418000,-3757.986287718781,983.8122931912961,7341.412453505268,210.0,1,0.0,False
32298,0 days 01:11:08.564000,-3702.0,950.0,7340.0,208.1749984,1,0.0,False
32299,0 days 01:11:08.578000,-3695.7085622845225,946.4358004115054,7339.834834559464,208.0,1,0.0,False
32300,0 days 01:11:08.725000,-3624.0,908.0,7338.0,204.84999862857143,1,0.0,False
32301,0 days 01:11:08.858000,-3564.8259324822193,880.1330155994528,7336.940792589942,202.0,1,0.0,False
32302,0 days 01:11:09.045000,-3461.0,855.0,7336.0,198.4937488,1,0.0,False
32303,0 days 01:11:09.178000,-3344.3318182087983,847.8464529162578,7335.183727905909,196.0,1,0.0,False
32304,0 days 01:11:09.225000,-3304.0,848.0,7335.0,195.3145824,1,0.0,False
32305,0 days 01:11:09.658000,-3063.812551293661,905.0880494981292,7336.825756911424,189.0,1,0.0,False
32306,0 days 01:11:09.684000,-3054.0,909.0,7337.0,189.10833386666667,1,0.0,False
32307,0 days 01:11:09.898000,-2986.7383933849633,937.5649909640593,7338.421322056061,190.0,1,0.0,False
32308,0 days 01:11:10.085000,-2928.0,970.0,7340.0,192.3375008,1,0.0,False
32309,0 days 01:11:10.218000,-2876.335591706693,1003.7455663739903,7341.492860286743,194.0,1,0.0,False
32310,0 days 01:11:10.538000,-2726.1992754607445,1115.7039230288656,7346.040541897558,200.0,1,0.0,False
32311,0 days 01:11:10.685000,-2660.0,1171.0,7348.0,202.85833457777778,1,0.0,False
32312,0 days 01:11:10.845000,-2592.0,1232.0,7350.0,205.9694456888889,1,0.0,False
32313,0 days 01:11:10.898000,-2569.2023305573225,1252.683083732816,7350.727364556775,207.0,1,0.0,False
32314,0 days 01:11:11.085000,-2487.0,1327.0,7353.0,211.6750016,1,0.0,False
32315,0 days 01:11:11.138000,-2463.527887455636,1347.9967114074177,7353.225271477739,213.0,1,0.0,False
32316,0 days 01:11:11.285000,-2399.0,1406.0,7353.0,217.49166862222222,1,0.0,False
32317,0 days 01:11:11.465000,-2322.0,1478.0,7353.0,222.99166862222222,1,0.0,False
32318,0 days 01:11:11.498000,-2306.911278231606,1491.9332707665876,7353.644107311085,224.0,1,0.0,False
32319,0 days 01:11:11.665000,-2226.0,1565.0,7359.0,228.1750016,1,0.0,False
32320,0 days 01:11:11.698000,-2209.8509500120335,1579.2427630805232,7359.764790394757,229.0,1,0.0,False
32321,0 days 01:11:11.938000,-2091.6289746747498,1679.1751130226191,7361.853652616381,233.0,1,0.0,False
32322,0 days 01:11:11.965000,-2078.0,1690.0,7362.0,233.5785728,1,0.0,False
32323,0 days 01:11:12.166000,-1973.0,1768.0,7363.0,237.88571977142857,1,0.0,False
32324,0 days 01:11:12.218000,-1944.174479013548,1787.518297959282,7363.048760537048,239.0,1,0.0,False
32325,0 days 01:11:12.345000,-1873.0,1833.0,7363.0,241.72142994285716,1,0.0,False
32326,0 days 01:11:12.498000,-1792.2457342540088,1880.4841839944133,7363.588669225805,245.0,1,0.0,False
32327,0 days 01:11:12.585000,-1731.0,1908.0,7364.0,246.57823176639343,1,0.0,False
32328,0 days 01:11:12.845000,-1466.0,1993.0,7365.0,251.2947830009108,1,0.0,False
32329,0 days 01:11:12.939000,-1385.3788081874566,2010.326456039404,7365.556977449523,253.0,1,0.0,False
32330,0 days 01:11:13.099000,-1279.00536169653,2023.3543674560353,7366.705641526635,256.0,1,0.0,False
32331,0 days 01:11:13.144000,-1254.0,2026.0,7367.0,256.3749994666667,1,0.0,False
32332,0 days 01:11:13.525000,-1080.0,2040.0,7370.0,259.5499989333333,1,0.0,False
32333,0 days 01:11:13.579000,-1045.1762114633389,2041.6604069052958,7370.933555638676,260.0,1,0.0,False
32334,0 days 01:11:13.805000,-874.0,2048.0,7376.0,265.6499968,1,0.0,False
32335,0 days 01:11:13.819000,-863.7997415086518,2048.295715193424,7376.311764915326,266.0,1,0.0,False
32336,0 days 01:11:14.044000,-695.0,2052.0,7382.0,268.9605254736842,1,0.0,False
32337,0 days 01:11:14.284000,-438.0,2057.0,7393.0,272.1184202105263,1,-0.38856372247520904,False
32338,0 days 01:11:14.579000,-182.80272433165626,2061.3167967877584,7404.562323165448,276.0,1,-0.39960617512572594,False
32339,0 days 01:11:14.665000,-131.0,2062.0,7407.0,277.0749984,1,-0.4078660134069146,False
32340,0 days 01:11:14.739000,-95.39637082837976,2062.367022847833,7408.71791728595,278.0,1,-0.44374730943192425,False
32341,0 days 01:11:14.945000,-6.0,2063.0,7413.0,280.28888746666667,1,-0.4594753668443432,False
32342,0 days 01:11:15.099000,109.05093307384331,2064.259763543289,7418.001508861299,282.0,1,-0.48773689741941123,False
32343,0 days 01:11:15.225000,212.0,2065.0,7422.0,283.26633159364656,1,-0.5048104078961623,True
32344,0 days 01:11:15.298000,266.4814236023769,2065.0109701581914,7423.800735959447,284.0,1,-0.5290077324224968,True
32345,0 days 01:11:15.384000,339.0,2065.0,7426.0,285.0750016,1,-0.5349407398884388,True
32346,0 days 01:11:15.458000,421.83434155232396,2065.3399707298695,7428.524158622306,286.0,1,-0.5584020337794975,True
32347,0 days 01:11:15.624000,641.0,2067.0,7435.0,287.7785728,1,-0.5565671383859842,True
32348,0 days 01:11:15.738000,771.3414778741317,2068.4837309047502,7438.35961876986,289.0,1,-0.5754168130408226,True
32349,0 days 01:11:16.125000,1072.0,2074.0,7444.0,291.90250048,1,-0.5913369983917637,True
32350,0 days 01:11:16.138000,1078.4140548502855,2074.1321150472227,7444.111020109531,292.0,1,-0.6091977691531005,True
32351,0 days 01:11:16.338000,1154.6201535145105,2075.80031634249,7445.39325279296,294.0,1,-0.6096138412309416,True
