,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,1620.8404265017155,-361.68454405895733,-147.00504518103477,114.0,1,0.0,False
25150,0 days 00:55:35.083000,1622.0,-364.0,-147.0,113.91000064,1,0.0,False
25151,0 days 00:55:35.263000,1649.0,-410.0,-147.0,112.11000064,1,0.0,False
25152,0 days 00:55:35.274000,1651.3202142394632,-413.1904828425101,-146.98793878351282,112.0,1,0.0,False
25153,0 days 00:55:35.514000,1716.7853849710557,-488.74519412355335,-146.06539545866573,110.0,1,0.0,False
25154,0 days 00:55:35.523000,1719.0,-491.0,-146.0,109.96250026666667,1,0.0,False
25155,0 days 00:55:35.754000,1761.4068876797805,-526.067374053583,-143.5216001948618,109.0,1,0.0,False
25156,0 days 00:55:35.923000,1792.0,-544.0,-142.0,109.0,1,0.0,False
25157,0 days 00:55:36.074000,1830.1843309879998,-565.9819204810494,-141.2967347013003,109.0,1,0.0,False
25158,0 days 00:55:36.103000,1840.0,-571.0,-141.0,109.13151900321364,1,0.0,False
25159,0 days 00:55:36.323000,1931.0,-612.0,-137.0,110.12925157431316,1,0.0,False
25160,0 days 00:55:36.515000,1968.5340218622066,-626.7117746225032,-135.57976711298576,111.0,1,0.0,False
25161,0 days 00:55:36.623000,1989.0,-633.0,-135.0,111.675,1,0.0,False
25162,0 days 00:55:36.675000,2002.489988142942,-637.0304345345891,-134.60176022342625,112.0,1,0.0,False
25163,0 days 00:55:36.823000,2049.0,-650.0,-133.0,113.00909090909092,1,0.0,False
25164,0 days 00:55:37.043000,2117.0,-663.0,-130.0,114.50909090909092,1,0.0,False
25165,0 days 00:55:37.115000,2139.5166859305177,-665.4478912895615,-129.8726011105148,115.0,1,0.0,False
25166,0 days 00:55:37.243000,2180.0,-668.0,-130.0,115.91428571428571,1,0.0,False
25167,0 days 00:55:37.395000,2228.3539878666998,-668.9856600752125,-128.21031760897029,117.0,1,0.0,False
25168,0 days 00:55:37.483000,2257.0,-668.0,-127.0,117.31428571428572,1,0.0,False
25169,0 days 00:55:37.675000,2320.868135200115,-661.3209663232774,-125.23493862307629,118.0,1,0.0,False
25170,0 days 00:55:37.704000,2330.0,-660.0,-125.0,118.31071634285715,1,0.0,False
25171,0 days 00:55:37.942000,2408.0,-644.0,-123.0,120.86071497142858,1,0.0,False
25172,0 days 00:55:37.955000,2413.8421409368543,-642.4669127148112,-122.8829173703888,121.0,1,0.0,False
25173,0 days 00:55:38.162000,2520.0,-612.0,-121.0,123.21785782857143,1,0.0,False
25174,0 days 00:55:38.235000,2546.259811178256,-603.9087878406269,-120.43992836658578,124.0,1,0.0,False
25175,0 days 00:55:38.515000,2596.2933819346727,-582.7560179404451,-118.69366822736309,128.0,1,0.0,False
25176,0 days 00:55:38.602000,2625.0,-568.0,-118.0,129.0875008,1,0.0,False
25177,0 days 00:55:38.675000,2657.621354639657,-551.1920940053141,-117.32730724502845,130.0,1,0.0,False
25178,0 days 00:55:38.803000,2722.0,-517.0,-116.0,131.82857142857142,1,0.0,False
25179,0 days 00:55:38.955000,2781.6196206363315,-481.01409980609566,-114.30754129421345,134.0,1,0.0,False
25180,0 days 00:55:39.182000,2843.0,-437.0,-112.0,138.729168,1,0.0,False
25181,0 days 00:55:39.195000,2845.921080045086,-434.8075228758808,-111.89739241818303,139.0,1,0.0,False
