,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,1658.2101385753613,3217.5542569121553,-140.9815736673778,231.0,1,0.0,False
25150,0 days 00:55:35.083000,1658.0,3212.0,-141.0,231.13499904,1,0.0,False
25151,0 days 00:55:35.263000,1654.0,3095.0,-141.0,233.83499904,1,0.0,False
25152,0 days 00:55:35.274000,1653.6497303755107,3086.2686083310764,-140.99599163158317,234.0,1,0.0,False
25153,0 days 00:55:35.514000,1643.3363317612598,2865.0344824677168,-140.99928604366235,239.0,1,0.0,False
25154,0 days 00:55:35.523000,1643.0,2858.0,-141.0,239.1124992,1,0.0,False
25155,0 days 00:55:35.754000,1637.2381709193255,2734.27394003731,-141.00195617838034,242.0,1,0.0,False
25156,0 days 00:55:35.923000,1634.0,2655.0,-141.0,244.640624,1,0.0,False
25157,0 days 00:55:36.074000,1630.1035155848701,2556.530894063191,-141.00199084169537,247.0,1,0.0,False
25158,0 days 00:55:36.103000,1629.0,2532.0,-141.0,247.19727850482047,1,0.0,False
25159,0 days 00:55:36.323000,1618.0,2311.0,-141.0,248.69387736146973,1,0.0,False
25160,0 days 00:55:36.515000,1614.1594874833845,2220.279402483257,-141.20926713473148,250.0,1,0.0,False
25161,0 days 00:55:36.623000,1612.0,2174.0,-141.0,243.925,1,0.0,False
25162,0 days 00:55:36.675000,1610.414973434787,2144.325022346859,-140.7414706857287,241.0,1,0.0,False
25163,0 days 00:55:36.823000,1605.0,2045.0,-140.0,228.21818181818182,1,0.0,False
25164,0 days 00:55:37.043000,1599.0,1912.0,-141.0,209.21818181818182,1,0.0,False
25165,0 days 00:55:37.115000,1596.8797409297958,1870.9041205428314,-141.15082468116378,203.0,1,0.0,False
25166,0 days 00:55:37.243000,1593.0,1800.0,-141.0,194.77142857142857,1,0.0,False
25167,0 days 00:55:37.395000,1589.073557758001,1719.3962662005506,-140.3106654383941,185.0,1,0.0,False
25168,0 days 00:55:37.483000,1587.0,1674.0,-140.0,181.85714285714286,1,0.0,False
25169,0 days 00:55:37.675000,1582.6632916108679,1578.3997085870358,-139.99707885294902,175.0,1,0.0,False
25170,0 days 00:55:37.704000,1582.0,1565.0,-140.0,173.5499904,1,0.0,False
25171,0 days 00:55:37.942000,1576.0,1454.0,-140.0,161.6499968,1,0.0,False
25172,0 days 00:55:37.955000,1575.6031006616242,1446.0929785818525,-140.03813846953423,161.0,1,0.0,False
25173,0 days 00:55:38.162000,1569.0,1306.0,-141.0,152.86785462857142,1,0.0,False
25174,0 days 00:55:38.235000,1567.4436210087422,1271.9852195149103,-141.09364936666537,150.0,1,0.0,False
25175,0 days 00:55:38.515000,1564.7114705614251,1212.0477523508264,-140.178874196655,141.0,1,0.0,False
25176,0 days 00:55:38.602000,1563.0,1179.0,-140.0,139.3687488,1,0.0,False
25177,0 days 00:55:38.675000,1561.0080434196989,1141.3072901826406,-139.95355715827455,138.0,1,0.0,False
25178,0 days 00:55:38.803000,1557.0,1067.0,-140.0,134.8,1,0.0,False
25179,0 days 00:55:38.955000,1553.1402027841962,999.0908462482532,-140.01856455488277,131.0,1,0.0,False
25180,0 days 00:55:39.182000,1549.0,930.0,-140.0,129.1083328,1,0.0,False
25181,0 days 00:55:39.195000,1548.8062096657252,926.6718804194226,-139.99946982192188,129.0,1,0.0,False
25182,0 days 00:55:39.482000,1545.0,859.0,-140.0,127.2062496,1,0.0,False
25183,0 days 00:55:39.515000,1544.443910562642,849.2102275497516,-140.0002317429592,127.0,1,0.0,False
25184,0 days 00:55:39.675000,1541.2100587072057,792.8997845891322,-140.00037384594918,127.0,1,0.0,False
25185,0 days 00:55:39.842000,1538.0,732.0,-140.0,128.3916672,1,0.0,False
25186,0 days 00:55:40.022000,1535.0,668.0,-140.0,129.8916672,1,0.0,False
25187,0 days 00:55:40.035000,1534.6763386484145,662.0803943155381,-140.00001901817458,130.0,1,0.0,False
25188,0 days 00:55:40.223000,1529.0,566.0,-140.0,131.88,1,0.0,False
25189,0 days 00:55:40.235000,1528.7388006356025,561.2865616050141,-139.99990516866166,132.0,1,0.7992553168672394,True
25190,0 days 00:55:40.395000,1527.0341389561943,522.1658420920529,-139.99755219577716,135.0,1,0.8452217352637122,True
25191,0 days 00:55:40.503000,1526.0,492.0,-140.0,134.46,1,0.9045454984390144,True
25192,0 days 00:55:40.595000,1524.4596743691395,451.90347576922153,-140.00681804000016,134.0,1,0.9708696477882546,True
25193,0 days 00:55:40.795000,1519.9789513376443,340.03989524922525,-140.01652622035587,133.0,1,1.056163244840956,True
25194,0 days 00:55:40.862000,1519.0,314.0,-140.0,132.52142811428573,1,1.0880482032112517,True
25195,0 days 00:55:41.075000,1518.0297621222387,273.9403127979325,-139.94028303129141,131.0,1,1.143185632502825,True
25196,0 days 00:55:41.122000,1518.0,264.0,-140.0,130.4946230836707,1,1.1507609031436419,True
25197,0 days 00:55:41.354000,1518.0758973332056,184.48603492025364,-140.80342400327925,128.0,1,1.2136683919240612,True
25198,0 days 00:55:41.462000,1518.0,146.0,-141.0,126.3125,1,1.2433103771581515,True
25199,0 days 00:55:41.523000,1518.0,126.0,-141.0,125.359376,1,1.3045849053054812,True
25200,0 days 00:55:41.674000,1521.4966399097843,62.280425353948694,-141.2968551142266,123.0,1,1.3679907013367205,True
25201,0 days 00:55:41.834000,1528.009432046904,-9.04409835511972,-141.90057001005133,120.0,1,1.473137979017954,True
25202,0 days 00:55:41.863000,1529.0,-19.0,-142.0,119.6892864,1,1.5116348168075529,True
25203,0 days 00:55:42.114000,1536.0263239543472,-73.65440622672574,-142.7615967230644,117.0,1,1.5448942391487268,True
25204,0 days 00:55:42.183000,1539.0,-90.0,-143.0,116.42500053333333,1,1.5920835044695443,True
25205,0 days 00:55:42.403000,1553.0,-159.0,-144.0,114.5916672,1,1.641615742240098,True
25206,0 days 00:55:42.474000,1557.9570070314962,-181.2430727505666,-144.46245529383492,114.0,1,1.671160300864562,True
25207,0 days 00:55:42.663000,1572.0,-237.0,-146.0,113.05500032,1,1.7382253451168421,True
25208,0 days 00:55:42.674000,1572.8956184444003,-240.1344301989952,-146.09802859599105,113.0,1,1.7552173898596597,True
25209,0 days 00:55:42.783000,1583.0,-272.0,-147.0,112.09543597555147,1,1.8155042036218407,True
25210,0 days 00:55:42.915000,1602.284943580277,-320.5093390756525,-147.2790418989677,111.0,1,1.8439951146772249,True
25211,0 days 00:55:43.063000,1628.0,-376.0,-147.0,110.26,1,1.8915923146855893,True
25212,0 days 00:55:43.115000,1636.432349781676,-392.06441988001234,-146.9173439678671,110.0,1,1.915329949807401,True
25213,0 days 00:55:43.475000,1689.4974907885442,-462.8416532724408,-146.34273062457243,109.0,1,1.985574962963451,True
25214,0 days 00:55:43.563000,1704.0,-477.0,-146.0,107.35,1,1.9934855409218688,True
25215,0 days 00:55:43.635000,1716.6735175784236,-488.5972501874859,-145.63578472013734,106.0,1,2.0160562878925363,True
25216,0 days 00:55:43.863000,1763.0,-525.0,-144.0,105.05,1,2.0195813627744386,True
