,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,1609.2159682520182,2116.915203323136,-141.0149469384262,168.0,1,0.0,False
25150,0 days 00:55:35.083000,1609.0,2113.0,-141.0,168.08999936,1,0.0,False
25151,0 days 00:55:35.263000,1604.0,2029.0,-140.0,169.88999936,1,0.0,False
25152,0 days 00:55:35.274000,1603.6639298485081,2022.809093668347,-139.9545342680507,170.0,1,0.0,False
25153,0 days 00:55:35.514000,1596.232396256534,1867.9791138964447,-139.97664968759744,171.0,1,0.0,False
25154,0 days 00:55:35.523000,1596.0,1863.0,-140.0,171.03749973333333,1,0.0,False
25155,0 days 00:55:35.754000,1591.7023862651556,1772.3073127535397,-140.95681483816057,172.0,1,0.0,False
25156,0 days 00:55:35.923000,1589.0,1714.0,-141.0,173.5843744,1,0.0,False
25157,0 days 00:55:36.074000,1585.8366009331667,1644.3479128566041,-140.12126511915872,175.0,1,0.0,False
25158,0 days 00:55:36.103000,1585.0,1627.0,-140.0,175.19727850482047,1,0.0,False
25159,0 days 00:55:36.323000,1577.0,1470.0,-140.0,176.69387736146973,1,0.0,False
25160,0 days 00:55:36.515000,1573.7446759217917,1405.3837423561718,-140.01821253801256,178.0,1,0.0,False
25161,0 days 00:55:36.623000,1572.0,1371.0,-140.0,178.675,1,0.0,False
25162,0 days 00:55:36.675000,1570.8450281420623,1348.5891311243006,-139.99684747939983,179.0,1,0.0,False
25163,0 days 00:55:36.823000,1567.0,1272.0,-140.0,179.6727272727273,1,0.0,False
25164,0 days 00:55:37.043000,1562.0,1162.0,-140.0,180.6727272727273,1,0.0,False
25165,0 days 00:55:37.115000,1559.9293685469768,1126.0797458898226,-139.99989945901717,181.0,1,0.0,False
25166,0 days 00:55:37.243000,1556.0,1062.0,-140.0,181.0,1,0.0,False
25167,0 days 00:55:37.395000,1552.170301966893,986.128164402123,-140.00001873285146,181.0,1,0.0,False
25168,0 days 00:55:37.483000,1550.0,942.0,-140.0,180.37142857142857,1,0.0,False
25169,0 days 00:55:37.675000,1544.7933848476982,845.8350583732899,-139.99997794094028,179.0,1,0.0,False
25170,0 days 00:55:37.704000,1544.0,832.0,-140.0,178.89642788571427,1,0.0,False
25171,0 days 00:55:37.942000,1537.0,713.0,-140.0,178.04642834285715,1,0.0,False
25172,0 days 00:55:37.955000,1536.5106099826226,704.2812651694674,-139.99992288114368,178.0,1,0.0,False
25173,0 days 00:55:38.162000,1528.0,548.0,-140.0,175.04285622857142,1,0.0,False
25174,0 days 00:55:38.235000,1525.9110610268056,509.58446150458485,-140.00331526962435,174.0,1,0.0,False
25175,0 days 00:55:38.515000,1522.402317093704,438.13764331461016,-140.01662871617728,169.0,1,0.0,False
25176,0 days 00:55:38.602000,1521.0,398.0,-140.0,167.9124992,1,0.0,False
25177,0 days 00:55:38.675000,1519.4866254766682,352.4118666188192,-139.97581123043483,167.0,1,0.0,False
25178,0 days 00:55:38.803000,1517.0,263.0,-140.0,163.34285714285716,1,0.0,False
25179,0 days 00:55:38.955000,1516.5683085663052,182.54745307649657,-140.35915255406684,159.0,1,0.0,False
25180,0 days 00:55:39.182000,1519.0,104.0,-141.0,150.4874976,1,0.0,False
25181,0 days 00:55:39.195000,1519.1452034568213,100.36171598316479,-141.01245656771852,150.0,1,0.0,False
25182,0 days 00:55:39.482000,1524.0,29.0,-141.0,143.7218736,1,0.0,False
25183,0 days 00:55:39.515000,1525.1667779501718,18.39741626112793,-141.0679921722048,143.0,1,0.0,False
25184,0 days 00:55:39.675000,1533.046209718907,-43.83438545465703,-141.71794820631726,139.0,1,0.0,False
25185,0 days 00:55:39.842000,1543.0,-110.0,-143.0,137.14444373333333,1,0.0,False
25186,0 days 00:55:40.022000,1556.0,-175.0,-145.0,135.14444373333333,1,0.0,False
25187,0 days 00:55:40.035000,1557.4407431799493,-180.79579736445368,-145.14903533730651,135.0,1,0.0,False
25188,0 days 00:55:40.223000,1583.0,-273.0,-147.0,132.18,1,0.0,False
25189,0 days 00:55:40.235000,1584.2905561089954,-277.448202342475,-147.06588754811747,132.0,1,1.9165398858769918,True
25190,0 days 00:55:40.395000,1595.4534535722382,-313.09197980638953,-147.22557510388827,130.0,1,1.9545076891709363,True
