,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,1850.3651316444407,-576.6409289604686,-140.1064919147932,120.0,1,0.0,False
25150,0 days 00:55:35.083000,1853.0,-578.0,-140.0,120.0,1,0.0,False
25151,0 days 00:55:35.263000,1909.0,-604.0,-138.0,120.0,1,0.0,False
25152,0 days 00:55:35.274000,1913.2143988043397,-605.6632399130037,-137.85746538132346,120.0,1,0.0,False
25153,0 days 00:55:35.514000,2020.581746557319,-641.9583339058488,-134.13573536659308,121.0,1,0.0,False
25154,0 days 00:55:35.523000,2024.0,-643.0,-134.0,121.03749973333333,1,0.0,False
25155,0 days 00:55:35.754000,2084.113388728685,-658.4392960342111,-130.93147394778345,122.0,1,0.0,False
25156,0 days 00:55:35.923000,2123.0,-664.0,-130.0,122.5281248,1,0.0,False
25157,0 days 00:55:36.074000,2171.7554645159753,-668.7162672738676,-130.1845663044376,123.0,1,0.0,False
25158,0 days 00:55:36.103000,2184.0,-669.0,-130.0,123.26303800642728,1,0.0,False
25159,0 days 00:55:36.323000,2295.0,-664.0,-126.0,125.2585031486263,1,0.0,False
25160,0 days 00:55:36.515000,2340.4618148257455,-658.9809934466335,-124.41956074869857,127.0,1,0.0,False
25161,0 days 00:55:36.623000,2365.0,-654.0,-124.0,127.675,1,0.0,False
25162,0 days 00:55:36.675000,2381.1286663655856,-650.5811844089618,-123.7820016369262,128.0,1,0.0,False
25163,0 days 00:55:36.823000,2436.0,-638.0,-123.0,129.6818181818182,1,0.0,False
25164,0 days 00:55:37.043000,2512.0,-615.0,-121.0,132.1818181818182,1,0.0,False
25165,0 days 00:55:37.115000,2537.0834372784525,-605.9471341104063,-120.26768006471809,133.0,1,0.0,False
25166,0 days 00:55:37.243000,2582.0,-588.0,-119.0,134.82857142857142,1,0.0,False
25167,0 days 00:55:37.395000,2634.1436216132142,-564.0436586448952,-117.7344453554535,137.0,1,0.0,False
25168,0 days 00:55:37.483000,2664.0,-549.0,-117.0,137.0,1,0.0,False
25169,0 days 00:55:37.675000,2728.5034723074477,-513.57183026372,-115.24516358646352,137.0,1,0.0,False
25170,0 days 00:55:37.704000,2738.0,-508.0,-115.0,137.31071634285715,1,0.0,False
