,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,2397.577088613723,3615.9848336734276,-132.07855726896992,117.0,1,0.0,False
25150,0 days 00:55:35.083000,2398.0,3618.0,-132.0,117.0,1,0.0,False
25151,0 days 00:55:35.263000,2410.0,3676.0,-130.0,117.0,1,0.0,False
25152,0 days 00:55:35.274000,2410.9623782199737,3680.501759926022,-129.8474380288796,117.0,1,0.0,False
25153,0 days 00:55:35.514000,2435.239723619709,3790.5394151236355,-126.11409713126147,120.0,1,0.0,False
25154,0 days 00:55:35.523000,2436.0,3794.0,-126.0,120.1124992,1,0.0,False
25155,0 days 00:55:35.754000,2448.9055629967916,3854.64714274124,-124.14563393180451,123.0,1,0.0,False
25156,0 days 00:55:35.923000,2457.0,3894.0,-123.0,124.5843744,1,0.0,False
25157,0 days 00:55:36.074000,2467.377176702899,3943.5950809081414,-121.42983591070615,126.0,1,0.0,False
25158,0 days 00:55:36.103000,2470.0,3956.0,-121.0,126.3287975080341,1,0.0,False
25159,0 days 00:55:36.323000,2494.0,4068.0,-117.0,128.82312893578288,1,0.0,False
25160,0 days 00:55:36.515000,2504.7052495533294,4114.131443576377,-116.33161376852588,131.0,1,0.0,False
25161,0 days 00:55:36.623000,2511.0,4139.0,-116.0,131.0,1,0.0,False
25162,0 days 00:55:36.675000,2515.1060163793472,4155.280597329338,-115.6035359237437,131.0,1,0.0,False
25163,0 days 00:55:36.823000,2529.0,4211.0,-114.0,133.01818181818183,1,0.0,False
25164,0 days 00:55:37.043000,2548.0,4291.0,-112.0,136.01818181818183,1,0.0,False
25165,0 days 00:55:37.115000,2554.135760850315,4317.440346429916,-111.29350298966197,137.0,1,0.0,False
25166,0 days 00:55:37.243000,2565.0,4365.0,-110.0,137.9142857142857,1,0.0,False
25167,0 days 00:55:37.395000,2577.5715702780763,4421.711147450967,-108.6316601659727,139.0,1,0.0,False
25168,0 days 00:55:37.483000,2585.0,4455.0,-108.0,139.94285714285715,1,0.0,False
25169,0 days 00:55:37.675000,2601.683395628927,4528.394949281846,-107.10614878517396,142.0,1,0.0,False
25170,0 days 00:55:37.704000,2604.0,4539.0,-107.0,142.20714422857142,1,0.0,False
25171,0 days 00:55:37.942000,2623.0,4632.0,-106.0,143.90714331428572,1,0.0,False
25172,0 days 00:55:37.955000,2624.443407267454,4639.066759147775,-105.90453144379534,144.0,1,0.0,False
25173,0 days 00:55:38.162000,2651.0,4768.0,-104.0,146.95714377142858,1,0.0,False
25174,0 days 00:55:38.235000,2657.5477237394516,4799.9470576540725,-103.53786113682122,148.0,1,0.0,False
25175,0 days 00:55:38.515000,2669.4409984429394,4862.456791993598,-103.03725545295836,152.0,1,0.0,False
25176,0 days 00:55:38.602000,2676.0,4900.0,-103.0,153.0875008,1,0.0,False
25177,0 days 00:55:38.675000,2683.449667460881,4942.855065694747,-102.97515684518204,154.0,1,0.0,False
25178,0 days 00:55:38.803000,2698.0,5028.0,-103.0,155.82857142857142,1,0.0,False
25179,0 days 00:55:38.955000,2710.8246604340147,5108.578884908636,-103.27673359190666,158.0,1,0.0,False
25180,0 days 00:55:39.182000,2723.0,5195.0,-104.0,160.8375008,1,0.0,False
25181,0 days 00:55:39.195000,2723.5665749221307,5199.216591122052,-104.04300940023343,161.0,1,0.0,False
25182,0 days 00:55:39.482000,2734.0,5286.0,-105.0,163.6906256,1,0.0,False
25183,0 days 00:55:39.515000,2735.290013965896,5298.53392840918,-105.1049265019326,164.0,1,0.0,False
25184,0 days 00:55:39.675000,2742.186460754977,5370.414778891425,-105.59686951038073,164.0,1,0.0,False
25185,0 days 00:55:39.842000,2749.0,5449.0,-107.0,166.7833344,1,0.0,False
25186,0 days 00:55:40.022000,2754.0,5533.0,-110.0,169.7833344,1,0.0,False
25187,0 days 00:55:40.035000,2754.1348204209853,5540.675567233679,-110.22179942294207,170.0,1,0.0,False
25188,0 days 00:55:40.223000,2753.0,5664.0,-113.0,170.0,1,0.0,False
25189,0 days 00:55:40.235000,2752.8638991142566,5670.022882409925,-113.1242079353415,170.0,1,1.0935933038900967,True
25190,0 days 00:55:40.395000,2750.6715881764485,5719.653111437785,-114.11317368642162,169.0,1,1.149370436453865,True
25191,0 days 00:55:40.503000,2745.0,5756.0,-115.0,167.38,1,1.2118245788490336,True
25192,0 days 00:55:40.595000,2735.9166656987445,5803.457086157349,-116.28005252377065,166.0,1,1.2918948753627484,True
25193,0 days 00:55:40.795000,2708.0150543172344,5934.57927621197,-120.04911609345302,160.0,1,1.415517997733523,True
25194,0 days 00:55:40.862000,2701.0,5965.0,-121.0,158.80357028571427,1,1.462034461366878,True
25195,0 days 00:55:41.075000,2687.22600237966,6011.058165630508,-122.70658632928719,155.0,1,1.5457064520683406,True
25196,0 days 00:55:41.122000,2683.0,6022.0,-123.0,152.810033362573,1,1.5570796937937508,True
25197,0 days 00:55:41.354000,2648.8636451573134,6107.964769282279,-124.6234622619475,142.0,1,1.6860697122889785,True
25198,0 days 00:55:41.462000,2632.0,6148.0,-126.0,137.6125,1,1.739637446437518,True
25199,0 days 00:55:41.523000,2623.0,6168.0,-127.0,135.1343776,1,1.83165666626634,True
25200,0 days 00:55:41.674000,2591.4817640162546,6227.4652713164905,-128.86390413696734,129.0,1,1.9315984939470305,True
25201,0 days 00:55:41.834000,2554.234374315615,6290.479757187427,-129.89004905638538,121.0,1,2.093832561535537,True
25202,0 days 00:55:41.863000,2549.0,6299.0,-130.0,119.8607168,1,2.147022674029325,True
25203,0 days 00:55:42.114000,2519.4599503149684,6341.355209367912,-130.08896813381807,110.0,1,2.1911501467093726,True
25204,0 days 00:55:42.183000,2510.0,6353.0,-130.0,107.89166862222223,1,2.2420856996108376,True
25205,0 days 00:55:42.403000,2469.0,6402.0,-130.0,101.1694464,1,2.3054016008465945,True
25206,0 days 00:55:42.474000,2455.70988517224,6417.222742999578,-130.46689871370813,99.0,1,2.3349521742423347,True
25207,0 days 00:55:42.663000,2422.0,6453.0,-132.0,94.2750016,1,2.4015426023025364,True
25208,0 days 00:55:42.674000,2420.0611836497333,6454.861189200455,-132.0220760046877,94.0,1,2.4127112497015655,True
25209,0 days 00:55:42.783000,2400.0,6473.0,-132.0,90.38174390220586,1,2.4556626804838677,True
25210,0 days 00:55:42.915000,2368.3956392539862,6499.931579828682,-132.7096780388426,86.0,1,2.482918602100313,True
25211,0 days 00:55:43.063000,2331.0,6530.0,-134.0,82.3,1,2.511245945716458,True
25212,0 days 00:55:43.115000,2319.7495664883345,6538.397041385159,-134.37886161140602,81.0,1,2.5274854693660385,True
25213,0 days 00:55:43.475000,2263.598406232746,6571.007583632241,-136.33885118288828,77.0,1,2.5569315511589803,True
25214,0 days 00:55:43.563000,2251.0,6577.0,-137.0,74.25,1,2.557662206394163,True
25215,0 days 00:55:43.635000,2240.4521467352924,6581.913063473009,-137.63800742084186,72.0,1,2.558214082459185,True
25216,0 days 00:55:43.863000,2205.0,6596.0,-140.0,68.2,1,2.5598488858994672,True
25217,0 days 00:55:43.875000,2203.002950857872,6596.569722547616,-140.12188051119185,68.0,1,2.560083600332245,True
25218,0 days 00:55:44.915000,2019.7196680706838,6587.255197479106,-146.99862014323176,56.0,1,2.552247700477144,True
25219,0 days 00:55:44.922000,2019.0,6587.0,-147.0,55.980555377777776,1,2.532076725612107,True
25220,0 days 00:55:45.275000,1989.2625342666513,6565.97086265321,-146.20303330039786,55.0,1,2.4983677469656835,True
25221,0 days 00:55:45.323000,1983.0,6559.0,-146.0,55.3,1,2.4975639519036847,True
25222,0 days 00:55:45.522000,1951.0,6520.0,-145.0,56.5437504,1,2.4527395497582356,True
25223,0 days 00:55:45.595000,1941.7616008593147,6506.9374679077355,-144.61084997051628,57.0,1,2.441874071302257,True
25224,0 days 00:55:45.915000,1921.1916389638652,6464.549155390065,-143.11387047585757,61.0,1,2.3897744922178608,True
25225,0 days 00:55:45.982000,1918.0,6457.0,-143.0,61.4187504,1,2.3463117060042245,True
25226,0 days 00:55:46.075000,1913.6299935627626,6446.9451232897245,-142.9867759707294,62.0,1,2.2964408590776784,True
25227,0 days 00:55:46.282000,1903.0,6420.0,-143.0,65.69642971428571,1,2.2753745229541615,True
25228,0 days 00:55:46.355000,1898.3440709131444,6405.64865566524,-142.7218678986421,67.0,1,2.1908743180132983,True
25229,0 days 00:55:46.642000,1878.0,6333.0,-141.0,71.30500096,1,2.13448362409427,True
25230,0 days 00:55:46.755000,1871.4251930262658,6305.4123664169365,-140.82115940356104,73.0,1,2.0766783627503376,True
25231,0 days 00:55:46.963000,1862.0,6260.0,-141.0,78.2,1,2.0120145638291613,True
25232,0 days 00:55:47.275000,1853.6762921308205,6208.9144056109335,-140.96455355612525,86.0,1,1.9273613531671516,True
25233,0 days 00:55:47.402000,1850.0,6183.0,-141.0,89.1750016,1,1.779454839336451,True
25234,0 days 00:55:47.475000,1847.4579726350246,6165.0533937059035,-141.06025294759561,91.0,1,1.7296880863791888,True
25235,0 days 00:55:47.623000,1842.0,6126.0,-141.0,95.625,1,1.6363929580731396,True
