,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,3340.4357950904714,253.31175826352177,-87.18373294457594,165.0,1,0.0,False
25150,0 days 00:55:35.083000,3342.0,257.0,-87.0,165.26999808,1,0.0,False
25151,0 days 00:55:35.263000,3374.0,335.0,-83.0,170.66999808,1,0.0,False
25152,0 days 00:55:35.274000,3376.3404061168017,340.9388507072324,-82.76332307256631,171.0,1,0.0,False
25153,0 days 00:55:35.514000,3435.1206531366834,494.1059626781098,-78.15423886694482,177.0,1,0.0,False
25154,0 days 00:55:35.523000,3437.0,499.0,-78.0,177.14999893333334,1,0.0,False
25155,0 days 00:55:35.754000,3470.721534337593,585.152548024626,-74.46792391469741,181.0,1,0.0,False
25156,0 days 00:55:35.923000,3494.0,640.0,-72.0,182.5843744,1,0.0,False
25157,0 days 00:55:36.074000,3524.621152656229,707.4556461119478,-69.56610300130434,184.0,1,0.0,False
25158,0 days 00:55:36.103000,3533.0,724.0,-69.0,184.85487352088867,1,0.0,False
25159,0 days 00:55:36.323000,3615.0,871.0,-64.0,191.3401352330355,1,0.0,False
25160,0 days 00:55:36.515000,3651.9377711045977,931.4791612562717,-61.47446532125835,197.0,1,0.0,False
25161,0 days 00:55:36.623000,3674.0,963.0,-60.0,198.35,1,0.0,False
25162,0 days 00:55:36.675000,3688.5094144648688,983.3296315413847,-59.09565003438704,199.0,1,0.0,False
25163,0 days 00:55:36.823000,3739.0,1052.0,-56.0,195.3,1,0.0,False
25164,0 days 00:55:37.043000,3816.0,1146.0,-51.0,189.8,1,0.0,False
25165,0 days 00:55:37.115000,3841.3528052494294,1174.1274817741078,-49.47746509734024,188.0,1,0.0,False
25166,0 days 00:55:37.243000,3888.0,1222.0,-47.0,182.97142857142856,1,0.0,False
25167,0 days 00:55:37.395000,3949.217662671768,1277.686761791737,-44.47272430979756,177.0,1,0.0,False
25168,0 days 00:55:37.483000,3985.0,1307.0,-43.0,174.17142857142858,1,0.0,False
25169,0 days 00:55:37.675000,4059.297459227544,1359.9665260846484,-39.499720765634656,168.0,1,0.0,False
25170,0 days 00:55:37.704000,4070.0,1367.0,-39.0,167.79285577142858,1,0.0,False
25171,0 days 00:55:37.942000,4166.0,1423.0,-35.0,166.09285668571428,1,0.0,False
25172,0 days 00:55:37.955000,4173.362393845027,1426.7417326187553,-34.725427374787245,166.0,1,0.0,False
25173,0 days 00:55:38.162000,4308.0,1491.0,-30.0,166.0,1,0.0,False
25174,0 days 00:55:38.235000,4341.481226996187,1506.5063245641388,-28.952510571310405,166.0,1,0.0,False
25175,0 days 00:55:38.515000,4407.612394980277,1532.1374967179293,-27.781684547087117,167.0,1,0.0,False
25176,0 days 00:55:38.602000,4447.0,1544.0,-27.0,167.0,1,0.0,False
25177,0 days 00:55:38.675000,4491.848397186875,1557.2477991901853,-26.0227665137561,167.0,1,0.0,False
25178,0 days 00:55:38.803000,4581.0,1582.0,-24.0,168.37142857142857,1,0.0,False
25179,0 days 00:55:38.955000,4666.020943699037,1599.7484778419184,-22.071080483895006,170.0,1,0.0,False
