,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,4886.328759123659,-903.6782812983403,-44.032935299468015,206.0,1,0.0,False
25150,0 days 00:55:35.083000,4882.0,-906.0,-44.0,206.08999936,1,0.0,False
25151,0 days 00:55:35.263000,4791.0,-955.0,-43.0,207.88999936,1,0.0,False
25152,0 days 00:55:35.274000,4784.161129155179,-958.7196750987324,-42.979893464636824,208.0,1,0.0,False
25153,0 days 00:55:35.514000,4610.4357901328885,-1054.0098531323758,-43.95526788110772,214.0,1,0.0,False
25154,0 days 00:55:35.523000,4605.0,-1057.0,-44.0,214.1124992,1,0.0,False
25155,0 days 00:55:35.754000,4513.307837499089,-1107.527275974064,-44.84627784201563,217.0,1,0.0,False
25156,0 days 00:55:35.923000,4454.0,-1140.0,-45.0,219.1124992,1,0.0,False
25157,0 days 00:55:36.074000,4376.247344044294,-1182.4087131588778,-44.90607654303041,221.0,1,0.0,False
25158,0 days 00:55:36.103000,4357.0,-1193.0,-45.0,220.73696199357272,1,0.0,False
25159,0 days 00:55:36.323000,4186.0,-1288.0,-47.0,218.74149685137368,1,0.0,False
25160,0 days 00:55:36.515000,4117.285694129215,-1326.456014762363,-48.23247476109368,217.0,1,0.0,False
25161,0 days 00:55:36.623000,4082.0,-1346.0,-49.0,213.625,1,0.0,False
25162,0 days 00:55:36.675000,4059.0742616002913,-1358.6070270457183,-49.47218768458954,212.0,1,0.0,False
25163,0 days 00:55:36.823000,3982.0,-1401.0,-51.0,205.94545454545454,1,0.0,False
25164,0 days 00:55:37.043000,3880.0,-1458.0,-53.0,196.94545454545454,1,0.0,False
25165,0 days 00:55:37.115000,3848.7090895329034,-1475.3212102925766,-53.72404578246658,194.0,1,0.0,False
25166,0 days 00:55:37.243000,3795.0,-1505.0,-55.0,178.45714285714286,1,0.0,False
25167,0 days 00:55:37.395000,3734.5572960070117,-1539.0716523166489,-56.1523519236908,160.0,1,0.0,False
25168,0 days 00:55:37.483000,3701.0,-1558.0,-57.0,156.54285714285714,1,0.0,False
25169,0 days 00:55:37.675000,3631.663602462414,-1596.6253459760273,-59.66163236613807,149.0,1,0.0,False
25170,0 days 00:55:37.704000,3622.0,-1602.0,-60.0,146.92855771428572,1,0.0,False
25171,0 days 00:55:37.942000,3543.0,-1646.0,-62.0,129.92856685714287,1,0.0,False
25172,0 days 00:55:37.955000,3537.531441091914,-1649.0360099018346,-62.148000706329036,129.0,1,0.0,False
25173,0 days 00:55:38.162000,3442.0,-1702.0,-65.0,120.86785462857142,1,0.0,False
25174,0 days 00:55:38.235000,3418.820681308239,-1714.9084171710356,-65.71859479927471,118.0,1,0.0,False
25175,0 days 00:55:38.515000,3376.8351017556893,-1738.6800329419243,-67.14704803590305,112.0,1,0.0,False
25176,0 days 00:55:38.602000,3353.0,-1752.0,-68.0,111.4562496,1,0.0,False
25177,0 days 00:55:38.675000,3325.7854422931005,-1767.1418183845958,-68.970904504905,111.0,1,0.0,False
25178,0 days 00:55:38.803000,3272.0,-1797.0,-71.0,110.54285714285714,1,0.0,False
25179,0 days 00:55:38.955000,3222.3705622326825,-1824.5223390062697,-73.3681933252689,110.0,1,0.0,False
25180,0 days 00:55:39.182000,3171.0,-1853.0,-76.0,110.0,1,0.0,False
25181,0 days 00:55:39.195000,3168.5053935436417,-1854.3853634227619,-76.08021993890931,110.0,1,0.0,False
25182,0 days 00:55:39.482000,3117.0,-1883.0,-77.0,111.7937504,1,0.0,False
25183,0 days 00:55:39.515000,3109.4358590608394,-1887.1853767336167,-77.28785765419634,112.0,1,0.0,False
25184,0 days 00:55:39.675000,3065.6895586008386,-1911.3388446589868,-79.52922461620604,113.0,1,0.0,False
25185,0 days 00:55:39.842000,3018.0,-1938.0,-82.0,114.85555626666667,1,0.0,False
25186,0 days 00:55:40.022000,2967.0,-1967.0,-84.0,116.85555626666667,1,0.0,False
25187,0 days 00:55:40.035000,2962.190611599865,-1969.6914551289553,-84.17600282365842,117.0,1,0.0,False
25188,0 days 00:55:40.223000,2884.0,-2013.0,-87.0,121.7,1,0.0,False
25189,0 days 00:55:40.235000,2880.297956449551,-2015.0575103772912,-87.13291603095908,122.0,1,-0.009206319772801055,False
25190,0 days 00:55:40.395000,2852.204179670001,-2030.922505131,-88.13595874691349,129.0,1,-0.013683318672957452,False
25191,0 days 00:55:40.503000,2829.0,-2044.0,-89.0,131.7,1,-0.021827621109541964,False
25192,0 days 00:55:40.595000,2795.4077423644785,-2062.725905103882,-90.2714989959596,134.0,1,-0.030330924280314288,False
25193,0 days 00:55:40.795000,2697.3959121492894,-2117.0667228882057,-94.04732030769958,139.0,1,-0.0365877417426201,False
25194,0 days 00:55:40.862000,2674.0,-2130.0,-95.0,140.19642971428573,1,-0.04029153030920454,False
25195,0 days 00:55:41.075000,2635.185926715552,-2151.3465754209824,-96.70622448930247,144.0,1,-0.048628240644444216,False
25196,0 days 00:55:41.122000,2625.0,-2157.0,-97.0,145.34767177687817,1,-0.04961472493271053,False
