,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,1744.1972497309064,4930.439213886915,-142.00415529967472,143.0,1,0.0,False
25150,0 days 00:55:35.083000,1744.0,4927.0,-142.0,143.17999872,1,0.0,False
25151,0 days 00:55:35.263000,1740.0,4854.0,-142.0,146.77999872,1,0.0,False
25152,0 days 00:55:35.274000,1739.6847730660488,4848.546948083915,-142.00291442425885,147.0,1,0.0,False
25153,0 days 00:55:35.514000,1731.26542060947,4710.407509884837,-142.01062211287203,150.0,1,0.0,False
25154,0 days 00:55:35.523000,1731.0,4706.0,-142.0,150.14999893333334,1,0.0,False
25155,0 days 00:55:35.754000,1726.5865999566067,4627.80163361658,-141.37137004506857,154.0,1,0.0,False
25156,0 days 00:55:35.923000,1724.0,4577.0,-141.0,156.640624,1,0.0,False
25157,0 days 00:55:36.074000,1720.7842810851448,4513.817136397982,-140.99385181516678,159.0,1,0.0,False
25158,0 days 00:55:36.103000,1720.0,4498.0,-141.0,159.13151900321364,1,0.0,False
25159,0 days 00:55:36.323000,1713.0,4355.0,-141.0,160.12925157431314,1,0.0,False
25160,0 days 00:55:36.515000,1709.6617388676257,4296.980270445521,-140.99907661821044,161.0,1,0.0,False
25161,0 days 00:55:36.623000,1708.0,4266.0,-141.0,161.0,1,0.0,False
25162,0 days 00:55:36.675000,1707.0346047884113,4245.624905376161,-141.00015983343806,161.0,1,0.0,False
25163,0 days 00:55:36.823000,1704.0,4176.0,-141.0,160.66363636363636,1,0.0,False
25164,0 days 00:55:37.043000,1700.0,4078.0,-141.0,160.16363636363636,1,0.0,False
25165,0 days 00:55:37.115000,1698.602401863009,4046.0273815297455,-141.00000507413296,160.0,1,0.0,False
25166,0 days 00:55:37.243000,1696.0,3989.0,-141.0,159.54285714285714,1,0.0,False
25167,0 days 00:55:37.395000,1692.8956259597708,3921.911577422356,-140.9999993823028,159.0,1,0.0,False
