,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,990.2594550000423,-3080.586880274061,-111.01527948293128,211.0,1,0.0,False
25150,0 days 00:55:35.083000,986.0,-3083.0,-111.0,210.82000128,1,0.0,False
25151,0 days 00:55:35.263000,895.0,-3134.0,-111.0,207.22000128,1,0.0,False
25152,0 days 00:55:35.274000,888.5481762916224,-3137.6293839296354,-111.00431330057836,207.0,1,0.0,False
25153,0 days 00:55:35.514000,733.8520883320581,-3225.250188829639,-111.00574052891811,197.0,1,0.0,False
25154,0 days 00:55:35.523000,729.0,-3228.0,-111.0,196.2125056,1,0.0,False
25155,0 days 00:55:35.754000,643.5802095576906,-3276.2493526163435,-110.70103485052316,176.0,1,0.0,False
25156,0 days 00:55:35.923000,594.0,-3304.0,-111.0,168.6062528,1,0.0,False
25157,0 days 00:55:36.074000,538.0938314738414,-3334.961449533606,-111.88853462730752,162.0,1,0.0,False
25158,0 days 00:55:36.103000,525.0,-3342.0,-112.0,160.158733955009,1,0.0,False
25159,0 days 00:55:36.323000,413.0,-3400.0,-112.0,146.19047795961586,1,0.0,False
25160,0 days 00:55:36.515000,368.84917420383783,-3420.47928948511,-112.48877226519092,134.0,1,0.0,False
25161,0 days 00:55:36.623000,347.0,-3429.0,-113.0,127.925,1,0.0,False
25162,0 days 00:55:36.675000,332.93203187485295,-3434.4784693111574,-113.28810320900504,125.0,1,0.0,False
25163,0 days 00:55:36.823000,286.0,-3452.0,-114.0,119.61818181818182,1,0.0,False
25164,0 days 00:55:37.043000,223.0,-3470.0,-114.0,111.61818181818182,1,0.0,False
25165,0 days 00:55:37.115000,201.03402126492767,-3475.336639979731,-114.31087595387604,109.0,1,0.0,False
25166,0 days 00:55:37.243000,161.0,-3484.0,-115.0,109.0,1,0.0,False
25167,0 days 00:55:37.395000,116.56074271948494,-3491.0328114713757,-114.95607358396283,109.0,1,0.0,False
25168,0 days 00:55:37.483000,92.0,-3494.0,-115.0,104.6,1,0.0,False
25169,0 days 00:55:37.675000,41.0877631251324,-3498.5634104186474,-115.9111701928513,95.0,1,0.0,False
25170,0 days 00:55:37.704000,34.0,-3499.0,-116.0,94.48213942857143,1,0.0,False
25171,0 days 00:55:37.942000,-25.0,-3498.0,-116.0,90.23214171428572,1,0.0,False
25172,0 days 00:55:37.955000,-29.282803166011163,-3497.4665111961017,-116.02011173373933,90.0,1,0.0,False
25173,0 days 00:55:38.162000,-106.0,-3484.0,-117.0,89.26071405714286,1,0.0,False
25174,0 days 00:55:38.235000,-124.79585037129608,-3480.114626810099,-117.6671990680631,89.0,1,0.0,False
25175,0 days 00:55:38.515000,-158.2953022431356,-3466.5662162679873,-121.2247212057029,88.0,1,0.0,False
25176,0 days 00:55:38.602000,-176.0,-3455.0,-122.0,87.4562496,1,0.0,False
25177,0 days 00:55:38.675000,-196.01380911296724,-3441.6222528758944,-122.44756950041536,87.0,1,0.0,False
25178,0 days 00:55:38.803000,-235.0,-3414.0,-123.0,87.0,1,0.0,False
25179,0 days 00:55:38.955000,-269.28458954129235,-3384.004826676429,-123.80208896979228,87.0,1,0.0,False
25180,0 days 00:55:39.182000,-302.0,-3347.0,-125.0,87.9458336,1,0.0,False
25181,0 days 00:55:39.195000,-303.5484289352282,-3345.231646774889,-125.05245567157426,88.0,1,0.0,False
25182,0 days 00:55:39.482000,-334.0,-3309.0,-126.0,90.6906256,1,0.0,False
25183,0 days 00:55:39.515000,-338.24660524747003,-3303.4327506545096,-126.1472599222915,91.0,1,0.0,False
25184,0 days 00:55:39.675000,-362.33098911852,-3270.430520994303,-127.04340018006825,91.0,1,0.0,False
