,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,1930.6699780195027,6485.290627173894,-144.04647100235314,59.0,1,0.0,False
25150,0 days 00:55:35.083000,1930.0,6484.0,-144.0,59.08999936,1,0.0,False
25151,0 days 00:55:35.263000,1917.0,6456.0,-143.0,60.88999936,1,0.0,False
25152,0 days 00:55:35.274000,1916.1417452320968,6453.8877973173885,-142.9436859095629,61.0,1,0.0,False
25153,0 days 00:55:35.514000,1896.5931953671136,6399.77923115781,-142.0194108666072,64.0,1,0.0,False
25154,0 days 00:55:35.523000,1896.0,6398.0,-142.0,64.18749866666667,1,0.0,False
25155,0 days 00:55:35.754000,1886.0243038232081,6364.349088133854,-141.91413675397217,69.0,1,0.0,False
25156,0 days 00:55:35.923000,1880.0,6341.0,-142.0,72.1687488,1,0.0,False
25157,0 days 00:55:36.074000,1872.6349041867418,6312.3562985241215,-141.9972347035022,75.0,1,0.0,False
25158,0 days 00:55:36.103000,1871.0,6305.0,-142.0,75.5918355144614,1,0.0,False
25159,0 days 00:55:36.323000,1858.0,6236.0,-142.0,80.0816320844092,1,0.0,False
25160,0 days 00:55:36.515000,1852.9518320660416,6203.557217912578,-141.4887533908162,84.0,1,0.0,False
25161,0 days 00:55:36.623000,1851.0,6189.0,-141.0,87.375,1,0.0,False
25162,0 days 00:55:36.675000,1849.892467876625,6180.932627273288,-140.72144475979235,89.0,1,0.0,False
25163,0 days 00:55:36.823000,1846.0,6153.0,-140.0,92.36363636363636,1,0.0,False
25164,0 days 00:55:37.043000,1838.0,6095.0,-140.0,97.36363636363636,1,0.0,False
25165,0 days 00:55:37.115000,1835.4045722677206,6075.283223201078,-140.00772778529398,99.0,1,0.0,False
25166,0 days 00:55:37.243000,1831.0,6040.0,-140.0,102.2,1,0.0,False
25167,0 days 00:55:37.395000,1826.0218731919053,5996.22124103635,-140.1100616016956,106.0,1,0.0,False
25168,0 days 00:55:37.483000,1823.0,5970.0,-140.0,108.2,1,0.0,False
25169,0 days 00:55:37.675000,1815.9324704577855,5911.521741709892,-139.1033892149795,113.0,1,0.0,False
25170,0 days 00:55:37.704000,1815.0,5903.0,-139.0,113.62143268571428,1,0.0,False
25171,0 days 00:55:37.942000,1808.0,5827.0,-139.0,118.72142994285714,1,0.0,False
25172,0 days 00:55:37.955000,1807.4502109609864,5821.120324434869,-139.04310388826028,119.0,1,0.0,False
25173,0 days 00:55:38.162000,1797.0,5713.0,-140.0,121.95714377142858,1,0.0,False
25174,0 days 00:55:38.235000,1794.3621781078841,5686.050952512688,-140.14179551295308,123.0,1,0.0,False
25175,0 days 00:55:38.515000,1789.4415105524515,5632.314063655791,-139.81676792965294,128.0,1,0.0,False
25176,0 days 00:55:38.602000,1787.0,5600.0,-140.0,130.1750016,1,0.0,False
25177,0 days 00:55:38.675000,1784.2911500804544,5563.186678790678,-140.32886976617831,132.0,1,0.0,False
25178,0 days 00:55:38.803000,1779.0,5490.0,-141.0,132.9142857142857,1,0.0,False
25179,0 days 00:55:38.955000,1774.0766967212046,5420.248196920188,-141.2336432837123,134.0,1,0.0,False
25180,0 days 00:55:39.182000,1769.0,5345.0,-141.0,139.6750016,1,0.0,False
25181,0 days 00:55:39.195000,1768.7609721415752,5341.350050109208,-140.99492957969215,140.0,1,0.0,False
25182,0 days 00:55:39.482000,1764.0,5266.0,-141.0,143.5875008,1,0.0,False
25183,0 days 00:55:39.515000,1763.2973417929604,5254.850780192355,-140.97732542677878,144.0,1,0.0,False
25184,0 days 00:55:39.675000,1759.1990846957497,5190.115943759597,-140.76079130320005,146.0,1,0.0,False
25185,0 days 00:55:39.842000,1755.0,5120.0,-141.0,146.46388906666667,1,0.0,False
25186,0 days 00:55:40.022000,1751.0,5047.0,-142.0,146.96388906666667,1,0.0,False
25187,0 days 00:55:40.035000,1750.609711421803,5040.295791806919,-142.03868469773457,147.0,1,0.0,False
25188,0 days 00:55:40.223000,1744.0,4932.0,-142.0,147.94,1,0.0,False
25189,0 days 00:55:40.235000,1743.672299220647,4926.7165809912985,-141.9917425815891,148.0,1,0.07126249208082319,False
25190,0 days 00:55:40.395000,1740.9559871328677,4883.337747340313,-141.95665109693599,148.0,1,0.06961492942039067,False
25191,0 days 00:55:40.503000,1739.0,4850.0,-142.0,148.54,1,0.06258820462759773,False
25192,0 days 00:55:40.595000,1736.477483817416,4805.417654763453,-142.0745841886649,149.0,1,0.061119047988412854,False
25193,0 days 00:55:40.795000,1729.5737934364429,4680.417713091279,-142.16486577867994,150.0,1,0.049702526851645244,False
25194,0 days 00:55:40.862000,1728.0,4651.0,-142.0,150.0,1,0.04872214130447399,False
25195,0 days 00:55:41.075000,1725.6626744110367,4603.949387975275,-141.00238956998083,150.0,1,0.04353635424099481,False
25196,0 days 00:55:41.122000,1725.0,4592.0,-141.0,150.16845897210976,1,0.04110704007591911,False
25197,0 days 00:55:41.354000,1719.3235413452683,4496.994241455616,-142.60577992494638,151.0,1,0.03731977557180408,False
25198,0 days 00:55:41.462000,1717.0,4450.0,-142.0,151.3375,1,0.03593944240876979,False
25199,0 days 00:55:41.523000,1716.0,4425.0,-141.0,151.5281248,1,0.031356371921580715,False
25200,0 days 00:55:41.674000,1712.224544023084,4343.551019037601,-140.19729228475867,152.0,1,0.028623557392394555,False
25201,0 days 00:55:41.834000,1707.62143616143,4251.69841439278,-140.935666193943,153.0,1,0.026925323307037726,False
25202,0 days 00:55:41.863000,1707.0,4239.0,-141.0,153.0,1,0.02626938549229952,False
25203,0 days 00:55:42.114000,1703.907405570062,4170.1716159779835,-140.86322493325653,153.0,1,0.02427115734445976,False
25204,0 days 00:55:42.183000,1703.0,4148.0,-141.0,153.1916664888889,1,0.021643540943436124,False
25205,0 days 00:55:42.403000,1699.0,4050.0,-142.0,153.8027776,1,0.019421646432449802,False
25206,0 days 00:55:42.474000,1697.6897968834237,4018.368873341425,-141.89425272828845,154.0,1,0.017917516929339027,False
25207,0 days 00:55:42.663000,1694.0,3939.0,-141.0,154.0,1,0.01588444338955401,False
25208,0 days 00:55:42.674000,1693.746634862997,3934.480749014521,-140.98287929382653,154.0,1,0.01513817585524318,False
25209,0 days 00:55:42.783000,1691.0,3888.0,-141.0,154.0,1,0.01331368158979623,False
25210,0 days 00:55:42.915000,1687.2242394763537,3815.366649613276,-141.01930107609158,154.0,1,0.012796845832099436,False
25211,0 days 00:55:43.063000,1683.0,3729.0,-141.0,154.74,1,0.010865913727514599,False
25212,0 days 00:55:43.115000,1681.677249779758,3702.614084968932,-140.99591721992334,155.0,1,0.01056080436412174,False
25213,0 days 00:55:43.475000,1674.5070997328676,3565.7833655615814,-140.99849527848184,155.0,1,0.008635781672817191,False
25214,0 days 00:55:43.563000,1673.0,3535.0,-141.0,155.55,1,0.008117440774273692,False
25215,0 days 00:55:43.635000,1671.8040704739665,3509.4261073378752,-141.00058973511634,156.0,1,0.00765227314984294,False
25216,0 days 00:55:43.863000,1668.0,3423.0,-141.0,156.95,1,0.006888795572225134,False
25217,0 days 00:55:43.875000,1667.7820479747054,3417.9969987194822,-140.9999623223569,157.0,1,0.007121004061516897,False
25218,0 days 00:55:44.915000,1646.0939753628247,2915.217331020581,-140.9999977191562,161.0,1,0.003993744930182359,False
25219,0 days 00:55:44.922000,1646.0,2913.0,-141.0,161.03888924444445,1,0.005841094225709337,False
25220,0 days 00:55:45.275000,1641.2870257232848,2805.2475376509133,-141.00000517897124,163.0,1,0.0068140006194536305,False
25221,0 days 00:55:45.323000,1640.0,2778.0,-141.0,163.45,1,0.00954961625822554,False
25222,0 days 00:55:45.522000,1633.0,2632.0,-141.0,165.3156256,1,0.018193399756628915,False
25223,0 days 00:55:45.595000,1630.8347464656208,2586.217715025479,-141.00003567026258,166.0,1,0.01912306410638172,False
25224,0 days 00:55:45.915000,1624.9972520421597,2457.7025224992776,-141.00015912423402,168.0,1,0.022883501447042053,False
25225,0 days 00:55:45.982000,1624.0,2436.0,-141.0,169.2562512,1,0.025399812822611126,False
25226,0 days 00:55:46.075000,1622.6425109212482,2406.988742477719,-140.9996384607305,171.0,1,0.033785311395155865,False
25227,0 days 00:55:46.282000,1619.0,2332.0,-141.0,172.47857188571427,1,0.036083238401300094,False
25228,0 days 00:55:46.355000,1617.1239300337597,2294.168987900611,-141.00143776863428,173.0,1,0.039947074434287466,False
25229,0 days 00:55:46.642000,1608.0,2111.0,-141.0,175.15250048,1,0.06012695297526317,False
25230,0 days 00:55:46.755000,1604.813636672796,2045.9092877608562,-140.9847387509136,176.0,1,0.06801916050594398,False
25231,0 days 00:55:46.963000,1600.0,1944.0,-141.0,177.6,1,0.08518469460293031,False
25232,0 days 00:55:47.275000,1595.506560112675,1836.144038881935,-141.26424486428866,180.0,1,0.103594390585942,False
25233,0 days 00:55:47.402000,1593.0,1785.0,-141.0,180.63500032,1,0.10906344778128503,False
25234,0 days 00:55:47.475000,1591.130944110058,1750.1796655165163,-140.67992911032667,181.0,1,0.14092646028040975,False
25235,0 days 00:55:47.623000,1587.0,1675.0,-140.0,181.925,1,0.15781728493913125,False
25236,0 days 00:55:47.635000,1586.7001197330335,1669.3098880978862,-139.97389322556322,182.0,1,0.18537054795019145,False
25237,0 days 00:55:47.795000,1582.871407857367,1591.7184883339091,-139.98621885258447,183.0,1,0.20153468336798566,False
25238,0 days 00:55:47.823000,1582.0,1573.0,-140.0,183.525,1,0.21980941566602086,False
25239,0 days 00:55:47.955000,1576.7412762054596,1457.4803082139563,-140.00800509753702,186.0,1,0.2390175419724503,False
25240,0 days 00:55:48.023000,1574.0,1398.0,-140.0,186.4263322028675,1,0.2583237292465009,False
25241,0 days 00:55:48.274000,1566.4408461055516,1246.829161348822,-139.99448340845228,188.0,1,0.3014826457439677,False
25242,0 days 00:55:48.483000,1562.0,1168.0,-140.0,188.87083306666668,1,0.32475665892885414,False
25243,0 days 00:55:48.514000,1561.404108732879,1157.6305391456312,-140.00036141699218,189.0,1,0.3561517043287444,False
25244,0 days 00:55:48.802000,1556.0,1061.0,-140.0,191.4,1,0.3772421398606518,False
25245,0 days 00:55:48.874000,1554.3164748289344,1027.2051720053557,-139.9999645322373,192.0,1,0.4172064184502964,False
25246,0 days 00:55:48.963000,1552.0,981.0,-140.0,191.01111182222223,1,0.4696375557635525,False
25247,0 days 00:55:49.163000,1546.0,871.0,-140.0,188.7888896,1,0.5060970627690333,True
25248,0 days 00:55:49.234000,1543.7610220407291,830.0361670781217,-140.0002201823456,188.0,1,0.5432806960366358,True
25249,0 days 00:55:49.435000,1537.4149209184234,713.8281801899153,-140.00059388736926,187.0,1,0.5903187957177829,True
25250,0 days 00:55:49.483000,1536.0,689.0,-140.0,186.0,1,0.615398460649359,True
25251,0 days 00:55:49.675000,1530.809061727036,602.8184325186302,-139.9952343920369,182.0,1,0.6822975428476682,True
25252,0 days 00:55:49.783000,1528.0,552.0,-140.0,179.03,1,0.7150587174306334,True
25253,0 days 00:55:50.075000,1520.7935602535217,389.0607185354773,-140.02136198175955,171.0,1,0.8242797124250321,True
25254,0 days 00:55:50.123000,1520.0,366.0,-140.0,171.0,1,0.8751506760212286,True
25255,0 days 00:55:50.315000,1518.1921660861383,291.83017239817474,-139.93802174703458,171.0,1,0.922093868588014,True
25256,0 days 00:55:50.343000,1518.0,282.0,-140.0,168.9,1,0.9778266697962819,True
25257,0 days 00:55:50.515000,1517.0241019422742,222.10570151668492,-140.83537748300245,156.0,1,1.0326580617266927,True
25258,0 days 00:55:50.563000,1517.0,204.0,-141.0,154.03636363636363,1,1.0963421641137558,True
25259,0 days 00:55:50.803000,1519.0,105.0,-141.0,144.21818181818182,1,1.174902853210752,True
25260,0 days 00:55:50.955000,1521.6202923796775,51.54093936238456,-141.32509890274176,138.0,1,1.2710736683690813,True
25261,0 days 00:55:51.082000,1527.0,-1.0,-142.0,134.8249984,1,1.3095295273638226,True
25262,0 days 00:55:51.323000,1546.0,-129.0,-144.0,128.8,1,1.402527280934767,True
25263,0 days 00:55:51.355000,1547.7472015708936,-139.5246640969148,-144.1795622665738,128.0,1,1.4189639507169665,True
25264,0 days 00:55:51.583000,1556.0,-176.0,-145.0,123.725,1,1.494381891020031,True
25265,0 days 00:55:51.675000,1562.388340156395,-199.96314366573674,-145.6174636443326,122.0,1,1.5512399466149802,True
25266,0 days 00:55:51.883000,1583.0,-272.0,-147.0,121.13333333333334,1,1.6051321207652238,True
25267,0 days 00:55:51.915000,1586.3886982271795,-282.291832219963,-147.04184090024035,121.0,1,1.6266358980668756,True
25268,0 days 00:55:52.002000,1596.0,-309.0,-147.0,120.27499946666667,1,1.6713184731606514,True
25269,0 days 00:55:52.302000,1638.0,-393.0,-147.0,117.77499946666667,1,1.729170208879426,True
25270,0 days 00:55:52.395000,1654.2662027638096,-417.1458291431631,-146.8405784641886,117.0,1,1.7536360249122045,True
25271,0 days 00:55:52.582000,1690.0,-462.0,-146.0,114.9222215111111,1,1.7877373856063887,True
25272,0 days 00:55:52.755000,1726.7469800609147,-498.57378971031716,-144.30667477709443,113.0,1,1.8645895859835198,True
25273,0 days 00:55:52.782000,1735.0,-505.0,-144.0,112.72999936,1,1.8667936832426024,True
25274,0 days 00:55:52.955000,1807.7191738238892,-552.6170902736015,-141.88377453528733,111.0,1,1.8920838202560541,True
25275,0 days 00:55:53.023000,1836.0,-569.0,-141.0,110.51428571428572,1,1.9156547905580876,True
25276,0 days 00:55:53.235000,1902.1298789249054,-600.4448323031882,-138.14830823714578,109.0,1,1.9447053544067041,True
25277,0 days 00:55:53.342000,1926.0,-610.0,-137.0,108.7027776,1,1.969786012747767,True
25278,0 days 00:55:53.595000,1965.9852652067677,-625.4186098750065,-135.5082015742425,108.0,1,2.0090780817135228,True
25279,0 days 00:55:53.682000,1983.0,-631.0,-135.0,108.43500032,1,2.0141710987660035,True
25280,0 days 00:55:53.795000,2011.3497311963918,-639.6011518185584,-134.17234274154526,109.0,1,2.025030151222064,True
25281,0 days 00:55:53.955000,2060.660628125328,-652.7277479108708,-132.7033385965722,110.0,1,2.023952325561759,True
25282,0 days 00:55:54.023000,2082.0,-657.0,-132.0,110.48571428571428,1,2.0136945775206936,True
25283,0 days 00:55:54.222000,2143.0,-665.0,-130.0,111.90714331428572,1,2.028455137607799,True
25284,0 days 00:55:54.235000,2146.6800488501895,-665.4080115414656,-129.92343286217923,112.0,1,2.0199423459014914,True
25285,0 days 00:55:54.443000,2211.0,-669.0,-129.0,114.31111111111112,1,2.0192018073055236,True
25286,0 days 00:55:54.595000,2289.988326604644,-664.0065557186963,-126.4308128755418,116.0,1,1.9994599386371563,True
25287,0 days 00:55:54.623000,2302.0,-663.0,-126.0,116.35146434103046,1,1.9720013445963207,True
25288,0 days 00:55:54.834000,2346.5489701996717,-657.0642081568376,-124.28293998372261,119.0,1,1.9579335896248882,True
25289,0 days 00:55:54.903000,2361.0,-654.0,-124.0,120.2937488,1,1.9158074988356515,True
25290,0 days 00:55:54.994000,2387.6667479009957,-648.340264116616,-123.70154630607826,122.0,1,1.9024186223079222,True
25291,0 days 00:55:55.143000,2441.0,-636.0,-123.0,124.23499904,1,1.8523015830897274,True
25292,0 days 00:55:55.194000,2458.3790139057164,-631.2631266944898,-122.53938875387888,125.0,1,1.8232661526910177,True
25293,0 days 00:55:55.342000,2507.0,-616.0,-121.0,126.85,1,1.725582217814889,True
25294,0 days 00:55:55.514000,2564.2747950950106,-594.9889396139328,-120.17537061439131,129.0,1,1.6862578265345396,True
25295,0 days 00:55:55.543000,2574.0,-591.0,-120.0,129.60416533333333,1,1.6361243802537282,True
25296,0 days 00:55:55.754000,2644.7590141356195,-558.1285943451354,-117.88936272897007,134.0,1,1.5925712248400639,True
25297,0 days 00:55:55.843000,2673.0,-544.0,-117.0,134.986149050176,1,1.533509407635523,True
25298,0 days 00:55:56.063000,2746.0,-503.0,-115.0,137.42382261253366,1,1.4801533044519337,True
25299,0 days 00:55:56.115000,2771.0339137840274,-486.10213530441195,-114.20433641377778,138.0,1,1.385074008636065,True
25300,0 days 00:55:56.275000,2855.966393902686,-425.20382405342036,-111.33241365854582,140.0,1,1.2841090589448492,True
25301,0 days 00:55:56.303000,2866.0,-418.0,-111.0,140.4,1,1.2253594581823755,True
25302,0 days 00:55:56.555000,2889.00440059062,-400.91742676433523,-110.41405536404868,144.0,1,1.1121398525293709,True
