,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,2449.492020770218,6423.385768488382,-129.9714574790322,94.0,1,0.0,False
25150,0 days 00:55:35.083000,2448.0,6425.0,-130.0,93.82000128,1,0.0,False
25151,0 days 00:55:35.263000,2417.0,6457.0,-131.0,90.22000128,1,0.0,False
25152,0 days 00:55:35.274000,2414.665166034521,6459.209729953346,-131.07738293673214,90.0,1,0.0,False
25153,0 days 00:55:35.514000,2354.891357584115,6511.431075578276,-132.93694909344515,85.0,1,0.0,False
25154,0 days 00:55:35.523000,2353.0,6513.0,-133.0,84.8875008,1,0.0,False
25155,0 days 00:55:35.754000,2320.334395374413,6537.9167528169555,-134.30873551625095,82.0,1,0.0,False
25156,0 days 00:55:35.923000,2299.0,6551.0,-135.0,79.8875008,1,0.0,False
25157,0 days 00:55:36.074000,2271.6873499676144,6566.612345140753,-135.68738470666597,78.0,1,0.0,False
25158,0 days 00:55:36.103000,2265.0,6570.0,-136.0,77.53968348875225,1,0.0,False
25159,0 days 00:55:36.323000,2206.0,6596.0,-140.0,74.04761948990397,1,0.0,False
25160,0 days 00:55:36.515000,2181.873056048704,6604.35353714877,-141.2758340073835,71.0,1,0.0,False
25161,0 days 00:55:36.623000,2169.0,6607.0,-143.0,70.325,1,0.0,False
25162,0 days 00:55:36.675000,2160.5980475304395,6608.620485025831,-144.48479908533693,70.0,1,0.0,False
25163,0 days 00:55:36.823000,2132.0,6613.0,-149.0,68.99090909090908,1,0.0,False
25164,0 days 00:55:37.043000,2092.0,6612.0,-148.0,67.49090909090908,1,0.0,False
25165,0 days 00:55:37.115000,2079.252278785806,6610.139615122465,-147.48326032808004,67.0,1,0.0,False
25166,0 days 00:55:37.243000,2057.0,6605.0,-147.0,66.08571428571429,1,0.0,False
25167,0 days 00:55:37.395000,2031.7689787334116,6595.4465042084785,-147.05493282601307,65.0,1,0.0,False
25168,0 days 00:55:37.483000,2018.0,6588.0,-147.0,64.68571428571428,1,0.0,False
25169,0 days 00:55:37.675000,1990.6916096063726,6567.2589759491,-146.13057355338353,64.0,1,0.0,False
25170,0 days 00:55:37.704000,1987.0,6564.0,-146.0,63.79285577142857,1,0.0,False
25171,0 days 00:55:37.942000,1959.0,6533.0,-145.0,62.09285668571429,1,0.0,False
25172,0 days 00:55:37.955000,1957.275140184279,6530.467536578305,-144.9026927567161,62.0,1,0.0,False
25173,0 days 00:55:38.162000,1929.0,6483.0,-143.0,61.260714057142856,1,0.0,False
25174,0 days 00:55:38.235000,1922.3728623571499,6471.143299244432,-142.6791338723109,61.0,1,0.0,False
25175,0 days 00:55:38.515000,1912.0778501445118,6447.131515497811,-143.11868243694258,61.0,1,0.0,False
25176,0 days 00:55:38.602000,1907.0,6432.0,-143.0,61.0,1,0.0,False
25177,0 days 00:55:38.675000,1901.1998778385741,6414.65789720723,-142.70693156396274,61.0,1,0.0,False
25178,0 days 00:55:38.803000,1890.0,6380.0,-142.0,63.285714285714285,1,0.0,False
25179,0 days 00:55:38.955000,1880.8300485861075,6346.595735360428,-141.41715296327135,66.0,1,0.0,False
25180,0 days 00:55:39.182000,1873.0,6310.0,-141.0,68.8375008,1,0.0,False
25181,0 days 00:55:39.195000,1872.6235774665324,6308.219090166724,-140.98735342510668,69.0,1,0.0,False
25182,0 days 00:55:39.482000,1865.0,6271.0,-141.0,72.5875008,1,0.0,False
25183,0 days 00:55:39.515000,1863.9267841277203,6265.378561434082,-141.0342951581569,73.0,1,0.0,False
25184,0 days 00:55:39.675000,1857.8450806522465,6232.457765473053,-141.2895118427759,75.0,1,0.0,False
25185,0 days 00:55:39.842000,1852.0,6197.0,-141.0,77.31944533333333,1,0.0,False
25186,0 days 00:55:40.022000,1847.0,6160.0,-140.0,79.81944533333333,1,0.0,False
25187,0 days 00:55:40.035000,1846.504627621031,6156.434213139731,-140.0041940511754,80.0,1,0.0,False
25188,0 days 00:55:40.223000,1838.0,6097.0,-141.0,81.88,1,0.0,False
25189,0 days 00:55:40.235000,1837.5868806482454,6094.062634561455,-141.02373450534844,82.0,1,1.0133723898154723,True
25190,0 days 00:55:40.395000,1834.3576054177076,6069.574715682923,-140.49189721460533,84.0,1,0.9832876066729709,True
25191,0 days 00:55:40.503000,1832.0,6050.0,-140.0,84.54,1,0.9018539289861925,True
25192,0 days 00:55:40.595000,1828.8016331695203,6023.658630669004,-139.8140831047331,85.0,1,0.8717818706248035,True
25193,0 days 00:55:40.795000,1819.9098987894354,5949.51924896831,-139.95774750032308,89.0,1,0.7029269090301956,True
25194,0 days 00:55:40.862000,1818.0,5932.0,-140.0,89.71785782857143,1,0.6867263403133701,True
25195,0 days 00:55:41.075000,1815.739495268041,5903.4691893717145,-140.0049347969432,92.0,1,0.6149211853490518,True
25196,0 days 00:55:41.122000,1815.0,5896.0,-140.0,92.84229486054885,1,0.5795455137509576,True
25197,0 days 00:55:41.354000,1807.7212012971142,5835.95784999829,-139.9988179427993,97.0,1,0.5106075706825822,True
25198,0 days 00:55:41.462000,1805.0,5805.0,-140.0,98.35,1,0.4866403347186925,False
25199,0 days 00:55:41.523000,1804.0,5788.0,-140.0,99.1124992,1,0.4073145831705358,False
25200,0 days 00:55:41.674000,1799.1966833939134,5733.401183970298,-140.02361237973975,101.0,1,0.3604027299853236,False
25201,0 days 00:55:41.834000,1792.8287711227904,5671.748908274113,-140.01653655606825,104.0,1,0.3303186926427453,False
25202,0 days 00:55:41.863000,1792.0,5663.0,-140.0,104.6214272,1,0.31992182217556886,False
25203,0 days 00:55:42.114000,1788.2543481740554,5612.305932165204,-139.8193635285853,110.0,1,0.279477432438173,False
25204,0 days 00:55:42.183000,1787.0,5596.0,-140.0,111.5333319111111,1,0.24033914248055235,False
25205,0 days 00:55:42.403000,1781.0,5525.0,-141.0,116.4222208,1,0.21766763027703523,False
25206,0 days 00:55:42.474000,1779.225637509675,5500.661222623688,-140.78924034791305,118.0,1,0.1960735924388204,False
25207,0 days 00:55:42.663000,1775.0,5436.0,-140.0,123.66999808,1,0.16804135395596925,False
25208,0 days 00:55:42.674000,1774.74140777045,5432.247889488109,-140.05594608177395,124.0,1,0.1575635760060055,False
25209,0 days 00:55:42.783000,1772.0,5393.0,-141.0,128.07053811001842,1,0.13432102925619444,False
25210,0 days 00:55:42.915000,1767.8537421488754,5328.460543025485,-141.27278787972458,133.0,1,0.1259910320498592,False
25211,0 days 00:55:43.063000,1763.0,5250.0,-141.0,136.7,1,0.10240630761879528,False
25212,0 days 00:55:43.115000,1761.5064139830042,5226.002220178371,-141.0087722759583,138.0,1,0.09990721297801343,False
25213,0 days 00:55:43.475000,1753.688294418585,5100.325877740959,-142.00519153979826,146.0,1,0.0774326621601064,False
25214,0 days 00:55:43.563000,1752.0,5071.0,-142.0,148.75,1,0.0724603377167988,False
25215,0 days 00:55:43.635000,1750.6289573132972,5046.267412335989,-141.8621372568004,151.0,1,0.06616235808058193,False
25216,0 days 00:55:43.863000,1746.0,4960.0,-141.0,154.8,1,0.060484936401398244,False
25217,0 days 00:55:43.875000,1745.719304413846,4954.869740591722,-140.96306099909245,155.0,1,0.05767368453900823,False
25218,0 days 00:55:44.915000,1715.116786233801,4408.442870749872,-141.00441814560403,184.0,1,0.04132425990644557,False
25219,0 days 00:55:44.922000,1715.0,4406.0,-141.0,184.11666773333334,1,0.03789388911098124,False
25220,0 days 00:55:45.275000,1709.6091923608562,4281.384670284277,-140.84584785702575,190.0,1,0.032776155863768,False
25221,0 days 00:55:45.323000,1708.0,4247.0,-141.0,190.9,1,0.0319557749986931,False
25222,0 days 00:55:45.522000,1699.0,4060.0,-142.0,194.6312512,1,0.026687525971366775,False
25223,0 days 00:55:45.595000,1696.2442699719152,4002.495142801001,-142.12935446920164,196.0,1,0.025679471690195056,False
25224,0 days 00:55:45.915000,1689.1686232540226,3850.490431606845,-141.14156298310843,202.0,1,0.02236720509266221,False
25225,0 days 00:55:45.982000,1688.0,3825.0,-141.0,202.0,1,0.020649046264567823,False
25226,0 days 00:55:46.075000,1686.4181581043294,3790.484306728809,-140.9156860252467,202.0,1,0.01900710860194131,False
25227,0 days 00:55:46.282000,1682.0,3700.0,-141.0,204.21785782857143,1,0.01815345179440765,False
25228,0 days 00:55:46.355000,1679.583663440787,3654.466584364229,-141.01558585605875,205.0,1,0.01596212516804156,False
25229,0 days 00:55:46.642000,1668.0,3435.0,-141.0,207.87000064,1,0.01539493185999724,False
25230,0 days 00:55:46.755000,1664.597181846534,3357.787437212575,-140.99719835013727,209.0,1,0.014186107415878514,False
25231,0 days 00:55:46.963000,1660.0,3238.0,-141.0,208.6,1,0.01257470071432915,False
25232,0 days 00:55:47.275000,1654.7495941788422,3113.0760254100464,-141.00043903174245,208.0,1,0.011594686107753485,False
25233,0 days 00:55:47.402000,1652.0,3054.0,-141.0,207.36499968,1,0.009915716737846051,False
25234,0 days 00:55:47.475000,1650.0808987598032,3013.6918605055207,-140.99973401298033,207.0,1,0.01082867141896455,False
25235,0 days 00:55:47.623000,1646.0,2927.0,-141.0,207.925,1,0.010987791870769821,False
25236,0 days 00:55:47.635000,1645.7086700799673,2920.504893579491,-141.00014339216514,208.0,1,0.013150093783325798,False
25237,0 days 00:55:47.795000,1641.936946610409,2832.9993171241017,-141.00135840656316,207.0,1,0.012516519607633465,False
25238,0 days 00:55:47.823000,1641.0,2812.0,-141.0,207.0,1,0.014102860842076726,False
25239,0 days 00:55:47.955000,1635.048069302552,2682.519954253126,-140.98759273767385,207.0,1,0.015043372314552892,False
25240,0 days 00:55:48.023000,1632.0,2616.0,-141.0,207.4263322028675,1,0.016367908732497022,False
25241,0 days 00:55:48.274000,1624.7528051537752,2448.331077973327,-141.2389959981745,209.0,1,0.01896041683326595,False
25242,0 days 00:55:48.483000,1621.0,2362.0,-141.0,208.12916693333332,1,0.020667694766225885,False
25243,0 days 00:55:48.514000,1620.4529664848012,2350.659564319189,-140.8863631244202,208.0,1,0.025440747911003366,False
25244,0 days 00:55:48.802000,1615.0,2246.0,-140.0,208.0,1,0.026809677613198152,False
25245,0 days 00:55:48.874000,1613.2509558753723,2210.041793190915,-140.47811592367242,208.0,1,0.033253692776923374,False
25246,0 days 00:55:48.963000,1611.0,2162.0,-141.0,208.24722204444444,1,0.04287186195742424,False
25247,0 days 00:55:49.163000,1606.0,2052.0,-140.0,208.8027776,1,0.045658584599507716,False
25248,0 days 00:55:49.234000,1603.7505668205126,2007.3837630116159,-139.92693879961314,209.0,1,0.05237800079072482,False
25249,0 days 00:55:49.435000,1596.4593342628145,1871.5309646960488,-140.83602661083407,209.0,1,0.05814942242571035,False
25250,0 days 00:55:49.483000,1595.0,1843.0,-141.0,209.0,1,0.06321347940007832,False
25251,0 days 00:55:49.675000,1590.618969084571,1748.3354425731236,-141.1636524628055,209.0,1,0.07534145670531844,False
25252,0 days 00:55:49.783000,1588.0,1692.0,-141.0,208.46,1,0.08070154285376553,False
25253,0 days 00:55:50.075000,1578.3628407886893,1502.0355356630484,-140.07836046758473,207.0,1,0.10019552998339036,False
25254,0 days 00:55:50.123000,1577.0,1475.0,-140.0,206.6,1,0.11741992678754551,False
25255,0 days 00:55:50.315000,1572.6581483320247,1385.7600038568785,-140.00304142649978,205.0,1,0.12595172882299524,False
25256,0 days 00:55:50.343000,1572.0,1372.0,-140.0,204.72,1,0.15016199948749673,False
25257,0 days 00:55:50.515000,1567.3823310733533,1275.7851679205958,-139.9152241990087,203.0,1,0.16825695420593725,False
25258,0 days 00:55:50.563000,1566.0,1248.0,-140.0,202.6727272727273,1,0.19764891508449334,False
25259,0 days 00:55:50.803000,1559.0,1114.0,-141.0,201.03636363636363,1,0.2244682390147581,False
