,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,-532.4736824279286,-1898.7221890583771,-153.94981553150927,196.0,1,0.0,False
25150,0 days 00:55:35.083000,-532.0,-1894.0,-154.0,196.17999872,1,0.0,False
25151,0 days 00:55:35.263000,-522.0,-1795.0,-155.0,199.77999872,1,0.0,False
25152,0 days 00:55:35.274000,-521.2560419797111,-1787.5877321626256,-155.0751656374847,200.0,1,0.0,False
25153,0 days 00:55:35.514000,-502.58014559077765,-1598.9973449824463,-156.94906959593234,205.0,1,0.0,False
25154,0 days 00:55:35.523000,-502.0,-1593.0,-157.0,205.14999893333334,1,0.0,False
25155,0 days 00:55:35.754000,-492.31868765788977,-1487.7452414675975,-157.53857975396377,209.0,1,0.0,False
25156,0 days 00:55:35.923000,-486.0,-1420.0,-158.0,211.1124992,1,0.0,False
25157,0 days 00:55:36.074000,-477.80542708925736,-1335.2314343558044,-158.89303927137664,213.0,1,0.0,False
25158,0 days 00:55:36.103000,-476.0,-1314.0,-159.0,213.3287975080341,1,0.0,False
25159,0 days 00:55:36.323000,-462.0,-1122.0,-159.0,215.82312893578288,1,0.0,False
25160,0 days 00:55:36.515000,-457.1154881321738,-1043.4838056877438,-159.67692400721873,218.0,1,0.0,False
25161,0 days 00:55:36.623000,-455.0,-1001.0,-160.0,220.025,1,0.0,False
25162,0 days 00:55:36.675000,-453.6219337567123,-973.0348516201027,-160.05609365617002,221.0,1,0.0,False
25163,0 days 00:55:36.823000,-449.0,-877.0,-160.0,223.01818181818183,1,0.0,False
25164,0 days 00:55:37.043000,-443.0,-739.0,-160.0,226.01818181818183,1,0.0,False
25165,0 days 00:55:37.115000,-441.1729829880026,-693.8606797775166,-160.01137767104066,227.0,1,0.0,False
25166,0 days 00:55:37.243000,-438.0,-613.0,-160.0,228.37142857142857,1,0.0,False
25167,0 days 00:55:37.395000,-434.2444022807088,-516.2089094539872,-159.86310244035175,230.0,1,0.0,False
