,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,-575.9521892217292,-2529.012024650453,-143.9307370173383,129.0,1,0.0,False
25150,0 days 00:55:35.083000,-576.0,-2526.0,-144.0,129.17999872,1,0.0,False
25151,0 days 00:55:35.263000,-576.0,-2461.0,-145.0,132.77999872,1,0.0,False
25152,0 days 00:55:35.274000,-575.9413021747287,-2456.028516752082,-145.0667434506457,133.0,1,0.0,False
25153,0 days 00:55:35.514000,-573.1478488733655,-2328.0733937202376,-146.9261024401964,138.0,1,0.0,False
25154,0 days 00:55:35.523000,-573.0,-2324.0,-147.0,138.2249984,1,0.0,False
25155,0 days 00:55:35.754000,-568.2703266712639,-2252.7633590745663,-148.8723919274265,144.0,1,0.0,False
25156,0 days 00:55:35.923000,-563.0,-2204.0,-150.0,147.6968736,1,0.0,False
25157,0 days 00:55:36.074000,-556.5215860949227,-2140.5151258794162,-150.7972436310511,151.0,1,0.0,False
25158,0 days 00:55:36.103000,-555.0,-2125.0,-151.0,151.52607601285456,1,0.0,False
25159,0 days 00:55:36.323000,-542.0,-1989.0,-153.0,155.5170062972526,1,0.0,False
25160,0 days 00:55:36.515000,-536.235736225574,-1935.2573728288987,-153.68267593616423,159.0,1,0.0,False
25161,0 days 00:55:36.623000,-533.0,-1904.0,-154.0,161.7,1,0.0,False
25162,0 days 00:55:36.675000,-530.9391457135156,-1882.5955938967152,-154.22437174999976,163.0,1,0.0,False
25163,0 days 00:55:36.823000,-524.0,-1809.0,-155.0,167.37272727272727,1,0.0,False
25164,0 days 00:55:37.043000,-514.0,-1710.0,-156.0,173.87272727272727,1,0.0,False
25165,0 days 00:55:37.115000,-510.48217551291236,-1675.6888047330494,-156.34916895789007,176.0,1,0.0,False
25166,0 days 00:55:37.243000,-504.0,-1612.0,-157.0,179.2,1,0.0,False
25167,0 days 00:55:37.395000,-496.42708469169776,-1535.6478221131185,-157.75398928774933,183.0,1,0.0,False
25168,0 days 00:55:37.483000,-492.0,-1490.0,-158.0,183.94285714285715,1,0.0,False
25169,0 days 00:55:37.675000,-482.3105131939821,-1386.8223698720515,-157.95458675348885,186.0,1,0.0,False
25170,0 days 00:55:37.704000,-481.0,-1372.0,-158.0,187.13929325714287,1,0.0,False
25171,0 days 00:55:37.942000,-471.0,-1244.0,-159.0,196.48928822857144,1,0.0,False
25172,0 days 00:55:37.955000,-470.303255994257,-1234.2339850748147,-159.02700834720537,197.0,1,0.0,False
25173,0 days 00:55:38.162000,-458.0,-1055.0,-159.0,200.69642971428573,1,0.0,False
25174,0 days 00:55:38.235000,-455.1007815347164,-1010.1176923352747,-159.07013804353406,202.0,1,0.0,False
25175,0 days 00:55:38.515000,-450.97866184290274,-920.5841580922503,-159.86282895404523,209.0,1,0.0,False
25176,0 days 00:55:38.602000,-449.0,-869.0,-160.0,212.2625024,1,0.0,False
25177,0 days 00:55:38.675000,-446.71182768558265,-810.6686632905563,-160.04012484761026,215.0,1,0.0,False
25178,0 days 00:55:38.803000,-442.0,-694.0,-160.0,218.2,1,0.0,False
25179,0 days 00:55:38.955000,-436.9358191682959,-577.9976327233551,-159.9046454730146,222.0,1,0.0,False
25180,0 days 00:55:39.182000,-431.0,-450.0,-160.0,226.729168,1,0.0,False
25181,0 days 00:55:39.195000,-430.7399069357017,-444.13172869554603,-160.02977455846525,227.0,1,0.0,False
25182,0 days 00:55:39.482000,-426.0,-328.0,-161.0,233.2781264,1,0.0,False
25183,0 days 00:55:39.515000,-425.27001131324994,-309.59925642139706,-161.05510547864267,234.0,1,0.0,False
25184,0 days 00:55:39.675000,-420.85233150486255,-198.35773486831982,-161.05339217082278,237.0,1,0.0,False
25185,0 days 00:55:39.842000,-416.0,-85.0,-161.0,239.7833344,1,0.0,False
25186,0 days 00:55:40.022000,-411.0,20.0,-161.0,242.7833344,1,0.0,False
25187,0 days 00:55:40.035000,-410.53769110076723,30.808831289126342,-160.95735383345678,243.0,1,0.0,False
25188,0 days 00:55:40.223000,-403.0,219.0,-160.0,247.7,1,0.0,False
25189,0 days 00:55:40.235000,-402.62579667695707,228.2238581221983,-159.98633689281326,248.0,1,0.020561023323712367,False
25190,0 days 00:55:40.395000,-399.4399560080626,301.59408267781674,-160.60100910145954,250.0,1,0.020216057860855573,False
25191,0 days 00:55:40.503000,-397.0,358.0,-161.0,251.62,1,0.02131689094100734,False
25192,0 days 00:55:40.595000,-393.8229462627972,435.12888353257773,-160.9725535709373,253.0,1,0.020606513749222236,False
25193,0 days 00:55:40.795000,-385.04801412838833,651.3152242742491,-160.14794028985534,257.0,1,0.02058082045699956,False
25194,0 days 00:55:40.862000,-383.0,699.0,-160.0,257.4785718857143,1,0.020332157487025104,False
25195,0 days 00:55:41.075000,-379.80151122282825,759.6135054637917,-160.0563570312652,259.0,1,0.02035983175951484,False
25196,0 days 00:55:41.122000,-379.0,776.0,-160.0,256.4731154183535,1,0.019587853308866605,False
25197,0 days 00:55:41.354000,-372.5381653577615,929.0279412899149,-159.15044723116233,244.0,1,0.01775958471727633,False
25198,0 days 00:55:41.462000,-369.0,1018.0,-160.0,234.55,1,0.01689925092130803,False
25199,0 days 00:55:41.523000,-367.0,1069.0,-161.0,229.21250560000001,1,0.014783426767223037,False
25200,0 days 00:55:41.674000,-361.6859732113171,1195.3276327973595,-161.9060492452803,216.0,1,0.013260683456892188,False
25201,0 days 00:55:41.834000,-356.65095854002067,1310.2845422964363,-161.1429410993118,206.0,1,0.012518597719975723,False
25202,0 days 00:55:41.863000,-356.0,1326.0,-161.0,203.5142912,1,0.012290557278362839,False
25203,0 days 00:55:42.114000,-353.05058573584097,1407.9225314402631,-159.94412184789016,182.0,1,0.01071169209476827,False
25204,0 days 00:55:42.183000,-352.0,1432.0,-160.0,176.44167182222222,1,0.009054464458184634,False
25205,0 days 00:55:42.403000,-347.0,1534.0,-161.0,158.7194496,1,0.008594265734455632,False
25206,0 days 00:55:42.474000,-345.70290259366845,1565.0782250402199,-160.90523321439846,153.0,1,0.007393348432668583,False
25207,0 days 00:55:42.663000,-343.0,1641.0,-160.0,140.71500416,1,0.00599854536813149,False
25208,0 days 00:55:42.674000,-342.8306995151569,1645.469291660232,-159.97944335639698,140.0,1,0.005333116193999294,False
25209,0 days 00:55:42.783000,-341.0,1691.0,-160.0,135.47717987775732,1,0.003578260597004325,False
25210,0 days 00:55:42.915000,-338.2002498078334,1752.5170557395245,-160.42289316001103,130.0,1,0.0034277314498311388,False
25211,0 days 00:55:43.063000,-335.0,1820.0,-161.0,124.08,1,0.0022058307049263783,False
25212,0 days 00:55:43.115000,-334.0656509661688,1840.4312262093351,-161.1206056549718,122.0,1,0.002105551865308588,False
25213,0 days 00:55:43.475000,-329.846186926155,1943.1019430548993,-161.03762222400087,113.0,1,0.0002688823211308936,False
25214,0 days 00:55:43.563000,-329.0,1965.0,-161.0,112.45,1,-0.0001065652568529135,False
25215,0 days 00:55:43.635000,-328.3112639436963,1982.852226619842,-160.991910683376,112.0,1,-4.423559661326669e-05,False
25216,0 days 00:55:43.863000,-326.0,2042.0,-161.0,110.1,1,-8.002480751955854e-05,False
25217,0 days 00:55:43.875000,-325.86200305315634,2045.4380152444344,-160.99460469849228,110.0,1,3.86605874246244e-05,False
25218,0 days 00:55:44.915000,-311.0618781483022,2396.4549787258525,-159.9805384079144,112.0,1,6.209545435872043e-05,False
25219,0 days 00:55:44.922000,-311.0,2398.0,-160.0,112.01944462222222,1,-0.00020497647900089718,False
25220,0 days 00:55:45.275000,-307.9056537232628,2473.5205640942618,-161.09588426653863,113.0,1,-0.00046466374998958555,False
25221,0 days 00:55:45.323000,-307.0,2493.0,-161.0,113.75,1,-0.0003489787105505408,False
25222,0 days 00:55:45.522000,-302.0,2598.0,-160.0,116.859376,1,0.00021361760989667734,False
25223,0 days 00:55:45.595000,-300.4753801709304,2631.117473616787,-159.8586774719799,118.0,1,0.00030805083132270065,False
25224,0 days 00:55:45.915000,-296.6124381420944,2724.649043800867,-160.85653655759842,122.0,1,0.00019176825723602446,False
25225,0 days 00:55:45.982000,-296.0,2740.0,-161.0,123.6750016,1,0.00012414470558829265,False
25226,0 days 00:55:46.075000,-295.1879912572988,2760.1218343210608,-161.0842954283195,126.0,1,-2.687270674495741e-05,False
25227,0 days 00:55:46.282000,-293.0,2814.0,-161.0,129.69642971428573,1,-5.576112090566303e-05,False
25228,0 days 00:55:46.355000,-291.81801215395853,2843.411670861485,-160.99032983447538,131.0,1,0.0001449120037193949,False
25229,0 days 00:55:46.642000,-286.0,2989.0,-161.0,136.02250112,1,-0.00029569857967960765,False
25230,0 days 00:55:46.755000,-284.05003967787303,3037.914317620976,-160.93703760057917,138.0,1,-0.0003776384285200758,False
25231,0 days 00:55:46.963000,-281.0,3112.0,-161.0,142.0,1,-0.00015802722762383464,False
25232,0 days 00:55:47.275000,-276.94793153211384,3196.3609999432097,-162.31671621625705,148.0,1,0.0007448739509774102,False
25233,0 days 00:55:47.402000,-275.0,3241.0,-162.0,153.08000256,1,0.0010621817938973237,False
25234,0 days 00:55:47.475000,-273.72941385253085,3272.358840812318,-161.39569459557242,156.0,1,0.002035423008815302,False
25235,0 days 00:55:47.623000,-271.0,3341.0,-160.0,158.775,1,0.0021788176690781843,False
25236,0 days 00:55:47.635000,-270.78616170468416,3346.1753772758148,-159.94599922211398,159.0,1,0.0037397710339078694,False
25237,0 days 00:55:47.795000,-267.74737299375533,3416.22584059891,-159.97021597800946,166.0,1,0.004542001072666801,False
