,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,5998.099228436609,1202.837769703576,-6.998988655889257,178.0,1,0.0,False
25150,0 days 00:55:35.083000,6002.0,1201.0,-7.0,178.0,1,0.0,False
25151,0 days 00:55:35.263000,6081.0,1163.0,-7.0,178.0,1,0.0,False
25152,0 days 00:55:35.274000,6086.460661136717,1160.2864856051253,-7.0183520017828895,178.0,1,0.0,False
25153,0 days 00:55:35.514000,6215.095962057554,1094.0856217135017,-7.962927421252193,149.0,1,0.0,False
25154,0 days 00:55:35.523000,6219.0,1092.0,-8.0,148.62500266666666,1,0.0,False
25155,0 days 00:55:35.754000,6282.939874561695,1055.2606928731386,-8.779182818931593,139.0,1,0.0,False
25156,0 days 00:55:35.923000,6318.0,1032.0,-9.0,132.1343776,1,0.0,False
25157,0 days 00:55:36.074000,6360.053502341879,1003.2801326465212,-8.957186119230665,126.0,1,0.0,False
25158,0 days 00:55:36.103000,6370.0,996.0,-9.0,125.53968348875225,1,0.0,False
25159,0 days 00:55:36.323000,6455.0,929.0,-10.0,122.04761948990397,1,0.0,False
25160,0 days 00:55:36.515000,6487.1446231812,899.6597476290366,-10.799115756872883,119.0,1,0.0,False
25161,0 days 00:55:36.623000,6502.0,883.0,-11.0,117.65,1,0.0,False
25162,0 days 00:55:36.675000,6511.547913798737,872.1840513033914,-11.010550031741928,117.0,1,0.0,False
25163,0 days 00:55:36.823000,6543.0,835.0,-11.0,115.31818181818181,1,0.0,False
25164,0 days 00:55:37.043000,6581.0,779.0,-12.0,112.81818181818181,1,0.0,False
25165,0 days 00:55:37.115000,6591.7625444344785,759.6525240006747,-12.375133932795599,112.0,1,0.0,False
25166,0 days 00:55:37.243000,6609.0,724.0,-13.0,110.62857142857143,1,0.0,False
25167,0 days 00:55:37.395000,6625.844683576048,680.5419813576775,-13.633331854940545,109.0,1,0.0,False
25168,0 days 00:55:37.483000,6634.0,655.0,-14.0,108.37142857142857,1,0.0,False
25169,0 days 00:55:37.675000,6648.212522687919,599.1340751272281,-14.87231175249966,107.0,1,0.0,False
25170,0 days 00:55:37.704000,6650.0,591.0,-15.0,106.79285577142858,1,0.0,False
25171,0 days 00:55:37.942000,6661.0,520.0,-16.0,105.09285668571428,1,0.0,False
25172,0 days 00:55:37.955000,6661.358168045121,514.8070875919279,-16.05887084451455,105.0,1,0.0,False
25173,0 days 00:55:38.162000,6664.0,422.0,-17.0,103.52142811428571,1,0.0,False
25174,0 days 00:55:38.235000,6664.193164735566,399.17238885686663,-17.240147622538107,103.0,1,0.0,False
25175,0 days 00:55:38.515000,6659.400962311169,356.2853764911025,-18.132791344567917,103.0,1,0.0,False
25176,0 days 00:55:38.602000,6653.0,332.0,-19.0,103.0,1,0.0,False
25177,0 days 00:55:38.675000,6645.438694692813,304.41549940015796,-20.018882219560506,103.0,1,0.0,False
25178,0 days 00:55:38.803000,6629.0,250.0,-22.0,103.91428571428571,1,0.0,False
25179,0 days 00:55:38.955000,6608.280353726371,199.65628753864422,-23.570315356728695,105.0,1,0.0,False
25180,0 days 00:55:39.182000,6579.0,148.0,-25.0,107.8375008,1,0.0,False
25181,0 days 00:55:39.195000,6577.566821653753,145.55180556678175,-25.084772957819656,108.0,1,0.0,False
25182,0 days 00:55:39.482000,6546.0,97.0,-27.0,113.3812512,1,0.0,False
25183,0 days 00:55:39.515000,6540.652793522916,90.05029604232378,-27.204902799059315,114.0,1,0.0,False
25184,0 days 00:55:39.675000,6507.819217706063,50.12989378726738,-28.130589892685066,116.0,1,0.0,False
25185,0 days 00:55:39.842000,6470.0,8.0,-29.0,120.1750016,1,0.0,False
25186,0 days 00:55:40.022000,6427.0,-34.0,-30.0,124.6750016,1,0.0,False
25187,0 days 00:55:40.035000,6422.774841693994,-37.80963761855587,-30.105308393367924,125.0,1,0.0,False
25188,0 days 00:55:40.223000,6352.0,-99.0,-32.0,126.88,1,0.0,False
25189,0 days 00:55:40.235000,6348.485659906961,-101.9567348892403,-32.107463930637934,127.0,1,-1.329790806927518,True
25190,0 days 00:55:40.395000,6318.81536335798,-125.68538400336404,-33.24096827322375,127.0,1,-1.3035821564911616,True
25191,0 days 00:55:40.503000,6293.0,-143.0,-34.0,132.94,1,-1.2306198556193908,True
25192,0 days 00:55:40.595000,6257.347405823761,-166.0217855078107,-34.77186206660929,138.0,1,-1.1984768982916374,True
25193,0 days 00:55:40.795000,6155.842760210075,-230.17575883578883,-36.58640281052783,146.0,1,-1.027619699836556,True
25194,0 days 00:55:40.862000,6132.0,-245.0,-37.0,146.0,1,-1.0077020221405875,True
25195,0 days 00:55:41.075000,6092.798778211947,-267.7495335189832,-37.723051225587376,146.0,1,-0.9300417840898977,True
25196,0 days 00:55:41.122000,6081.0,-274.0,-38.0,148.02150766531724,1,-0.8932065044106793,True
25197,0 days 00:55:41.354000,5980.582246623397,-326.6436747466315,-40.43919580706791,158.0,1,-0.7940121095278381,True
25198,0 days 00:55:41.462000,5933.0,-352.0,-41.0,162.05,1,-0.7582693860469775,True
25199,0 days 00:55:41.523000,5909.0,-365.0,-41.0,164.3374976,1,-0.6721637388252227,True
25200,0 days 00:55:41.674000,5828.928238053879,-407.5459676307351,-41.64472260533804,170.0,1,-0.6045551858619068,True
25201,0 days 00:55:41.834000,5736.1331576537805,-456.1559472773475,-42.841179120525304,177.0,1,-0.5505832361085976,True
25202,0 days 00:55:41.863000,5723.0,-463.0,-43.0,177.517856,1,-0.5363773944772662,True
25203,0 days 00:55:42.114000,5647.728283882207,-501.75309735309503,-43.75507681194846,182.0,1,-0.4791349552511247,False
25204,0 days 00:55:42.183000,5624.0,-514.0,-44.0,183.9166648888889,1,-0.4319184503565922,False
25205,0 days 00:55:42.403000,5522.0,-567.0,-45.0,190.027776,1,-0.3896174468027982,False
25206,0 days 00:55:42.474000,5487.932688745071,-584.7007372398534,-45.111619376890005,192.0,1,-0.3594727850722381,False
25207,0 days 00:55:42.663000,5399.0,-631.0,-45.0,196.7249984,1,-0.31503848966392645,False
25208,0 days 00:55:42.674000,5393.837773208753,-633.7030930896921,-44.99706859946596,197.0,1,-0.30080171205519307,False
25209,0 days 00:55:42.783000,5340.0,-662.0,-45.0,199.7136920733456,1,-0.2627448502036763,False
25210,0 days 00:55:42.915000,5253.136116478579,-707.8818170697451,-45.02288113809232,203.0,1,-0.2441894765896684,False
25211,0 days 00:55:43.063000,5149.0,-763.0,-45.0,206.7,1,-0.1979571065661215,False
25212,0 days 00:55:43.115000,5117.493795954608,-779.6826521295616,-44.96230933802655,208.0,1,-0.19176185162529896,False
25213,0 days 00:55:43.475000,4957.084963385911,-864.9724302051939,-44.27856751713415,214.0,1,-0.13882086430961443,False
25214,0 days 00:55:43.563000,4920.0,-885.0,-44.0,216.2,1,-0.12723050668149427,False
25215,0 days 00:55:43.635000,4888.660727132978,-902.0290066188913,-43.73963692449399,218.0,1,-0.11006086175446937,False
25216,0 days 00:55:43.863000,4781.0,-961.0,-43.0,220.85,1,-0.0964471988339156,False
25217,0 days 00:55:43.875000,4774.799986314177,-964.4042730331216,-42.98452960020201,221.0,1,-0.08779770051075368,False
25218,0 days 00:55:44.915000,4164.651869419356,-1300.5418727850292,-47.97915147579998,215.0,1,-0.05226678145956147,False
25219,0 days 00:55:44.922000,4162.0,-1302.0,-48.0,214.96111075555555,1,-0.0408615523261496,False
25220,0 days 00:55:45.275000,4036.535494773652,-1371.071752433215,-49.34185320210064,213.0,1,-0.02831316544641013,False
25221,0 days 00:55:45.323000,4006.0,-1388.0,-50.0,212.1,1,-0.027131109159878996,False
25222,0 days 00:55:45.522000,3844.0,-1478.0,-54.0,208.3687488,1,-0.016230209165555315,False
25223,0 days 00:55:45.595000,3793.7868108061543,-1505.932974078538,-55.32565573873785,207.0,1,-0.014710685585249706,False
25224,0 days 00:55:45.915000,3656.7761299323492,-1582.316801223314,-59.33898845811017,205.0,1,-0.008205940051599263,False
25225,0 days 00:55:45.982000,3634.0,-1595.0,-60.0,204.5812496,1,-0.002581733146764005,False
25226,0 days 00:55:46.075000,3603.603342270064,-1611.9041611472792,-60.85170776828073,204.0,1,0.0025178337480452405,False
25227,0 days 00:55:46.282000,3526.0,-1655.0,-63.0,201.78214217142857,1,0.0031640152988314475,False
25228,0 days 00:55:46.355000,3487.4179811910476,-1676.434452089186,-64.1193061792438,201.0,1,0.009147439187613467,False
25229,0 days 00:55:46.642000,3303.0,-1779.0,-70.0,199.56499968,1,0.009389432394758805,False
25230,0 days 00:55:46.755000,3238.842827885885,-1814.791548730299,-72.56687338648469,199.0,1,0.011208706449480988,False
25231,0 days 00:55:46.963000,3140.0,-1870.0,-77.0,197.4,1,0.011918697565741092,False
25232,0 days 00:55:47.275000,3036.5348043624786,-1927.4730323936299,-81.11792303485572,195.0,1,0.01276441855369696,False
25233,0 days 00:55:47.402000,2987.0,-1955.0,-83.0,194.36499968,1,0.01483611661985173,False
25234,0 days 00:55:47.475000,2953.048084073307,-1973.8960514723672,-84.3060980529637,194.0,1,0.014640457199153207,False
