,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,-409.17464304755197,64.39395352500242,-161.00399368766776,226.0,1,0.0,False
25150,0 days 00:55:35.083000,-409.0,69.0,-161.0,225.1000064,1,0.0,False
25151,0 days 00:55:35.263000,-405.0,174.0,-161.0,207.1000064,1,0.0,False
25152,0 days 00:55:35.274000,-404.69928460027523,181.43628423976634,-161.00274384748235,206.0,1,0.0,False
25153,0 days 00:55:35.514000,-397.23197186181585,354.7619985773295,-161.00991122639857,180.0,1,0.0,False
25154,0 days 00:55:35.523000,-397.0,360.0,-161.0,179.40000426666666,1,0.0,False
25155,0 days 00:55:35.754000,-393.1104623773728,445.5124998854858,-160.4120816049192,164.0,1,0.0,False
25156,0 days 00:55:35.923000,-391.0,493.0,-160.0,152.9093792,1,0.0,False
25157,0 days 00:55:36.074000,-388.57642361202113,551.0389766065438,-159.93490977960877,143.0,1,0.0,False
25158,0 days 00:55:36.103000,-388.0,565.0,-160.0,142.47392398714544,1,0.0,False
25159,0 days 00:55:36.323000,-383.0,686.0,-161.0,138.4829937027474,1,0.0,False
25160,0 days 00:55:36.515000,-381.0091446386175,731.4385696862479,-160.4203741939978,135.0,1,0.0,False
25161,0 days 00:55:36.623000,-380.0,756.0,-160.0,135.675,1,0.0,False
25162,0 days 00:55:36.675000,-379.34642795292353,772.836661101189,-159.89141590364943,136.0,1,0.0,False
25163,0 days 00:55:36.823000,-377.0,832.0,-160.0,138.6909090909091,1,0.0,False
25164,0 days 00:55:37.043000,-373.0,919.0,-161.0,142.6909090909091,1,0.0,False
25165,0 days 00:55:37.115000,-371.87183759433907,948.1821011154055,-160.71891713289745,144.0,1,0.0,False
25166,0 days 00:55:37.243000,-370.0,1001.0,-160.0,149.02857142857144,1,0.0,False
25167,0 days 00:55:37.395000,-367.5236427499128,1064.215092569456,-160.72695123022524,155.0,1,0.0,False
25168,0 days 00:55:37.483000,-366.0,1102.0,-161.0,156.88571428571427,1,0.0,False
25169,0 days 00:55:37.675000,-362.5343979049699,1187.5783697545194,-160.0444909598564,161.0,1,0.0,False
25170,0 days 00:55:37.704000,-362.0,1200.0,-160.0,161.93214902857142,1,0.0,False
25171,0 days 00:55:37.942000,-357.0,1310.0,-161.0,169.58214491428572,1,0.0,False
25172,0 days 00:55:37.955000,-356.6288471488006,1318.5771534064318,-160.99966231945928,170.0,1,0.0,False
25173,0 days 00:55:38.162000,-350.0,1477.0,-160.0,177.39285942857143,1,0.0,False
25174,0 days 00:55:38.235000,-348.3606979084908,1516.3899625682056,-159.7217753583201,180.0,1,0.0,False
25175,0 days 00:55:38.515000,-345.05111790937775,1594.3670758271676,-159.70015236937178,189.0,1,0.0,False
25176,0 days 00:55:38.602000,-343.0,1642.0,-160.0,190.0875008,1,0.0,False
25177,0 days 00:55:38.675000,-340.6548094080024,1696.451723823882,-160.35981362658387,191.0,1,0.0,False
25178,0 days 00:55:38.803000,-336.0,1805.0,-161.0,195.57142857142858,1,0.0,False
25179,0 days 00:55:38.955000,-331.63055027758367,1908.9943307420085,-161.20956389613127,201.0,1,0.0,False
25180,0 days 00:55:39.182000,-327.0,2022.0,-161.0,209.5125024,1,0.0,False
25181,0 days 00:55:39.195000,-326.774711477578,2027.4905676405858,-160.99961114870453,210.0,1,0.0,False
25182,0 days 00:55:39.482000,-322.0,2141.0,-161.0,217.1750016,1,0.0,False
25183,0 days 00:55:39.515000,-321.25845578777745,2157.786024900546,-160.91322869645802,218.0,1,0.0,False
25184,0 days 00:55:39.675000,-316.86346645149746,2255.2038011353943,-160.1470385131623,221.0,1,0.0,False
25185,0 days 00:55:39.842000,-312.0,2362.0,-160.0,225.1750016,1,0.0,False
25186,0 days 00:55:40.022000,-307.0,2476.0,-161.0,229.6750016,1,0.0,False
25187,0 days 00:55:40.035000,-306.5763021551376,2486.539657290813,-160.99747237533472,230.0,1,0.0,False
25188,0 days 00:55:40.223000,-300.0,2657.0,-160.0,233.76,1,0.0,False
25189,0 days 00:55:40.235000,-299.6638956986765,2665.298152647344,-159.98006995717355,234.0,1,0.0004976999711261051,False
25190,0 days 00:55:40.395000,-296.52590465297124,2733.220318184484,-160.61744417489132,239.0,1,0.0010242489745816447,False
25191,0 days 00:55:40.503000,-294.0,2789.0,-161.0,240.08,1,0.0020073543298086568,False
25192,0 days 00:55:40.595000,-290.8275262989534,2865.7782122684166,-160.87833229139838,241.0,1,0.002810494219148236,False
25193,0 days 00:55:40.795000,-282.1432558256027,3083.517064270075,-159.9028511425994,246.0,1,0.0031187415184791515,False
25194,0 days 00:55:40.862000,-280.0,3134.0,-160.0,246.95714377142858,1,0.0035631834147614467,False
25195,0 days 00:55:41.075000,-276.0192870080951,3210.5002747826175,-161.76328685322883,250.0,1,0.004868579157431786,False
25196,0 days 00:55:41.122000,-275.0,3230.0,-162.0,250.0,1,0.005038106256243525,False
25197,0 days 00:55:41.354000,-267.60618252217205,3389.7698481785696,-161.30195622833872,250.0,1,0.0064522503472385345,False
25198,0 days 00:55:41.462000,-265.0,3469.0,-161.0,253.0375,1,0.006319155097345358,False
25199,0 days 00:55:41.523000,-264.0,3511.0,-161.0,254.7531232,1,0.007142145538819113,False
25200,0 days 00:55:41.674000,-258.59631914474505,3648.853549973068,-160.67349198784734,259.0,1,0.007739168493598468,False
25201,0 days 00:55:41.834000,-251.03625632231478,3805.975885179343,-160.07594865405687,262.0,1,0.010112407043726982,False
25202,0 days 00:55:41.863000,-250.0,3828.0,-160.0,262.3107136,1,0.01086381795480333,False
25203,0 days 00:55:42.114000,-244.6145336528722,3950.901159947805,-159.8229552850853,265.0,1,0.011460033436921317,False
25204,0 days 00:55:42.183000,-243.0,3989.0,-160.0,265.95833244444447,1,0.011984851896349343,False
25205,0 days 00:55:42.403000,-236.0,4153.0,-161.0,269.013888,1,0.012788169768537899,False
25206,0 days 00:55:42.474000,-233.7601547772471,4207.476777666976,-161.1078217660602,270.0,1,0.013301701971193266,False
25207,0 days 00:55:42.663000,-228.0,4348.0,-161.0,270.94499968,1,0.01430155938700972,False
25208,0 days 00:55:42.674000,-227.65226468375047,4356.029559957792,-161.00353798006418,271.0,1,0.014439530067194136,False
25209,0 days 00:55:42.783000,-224.0,4439.0,-161.0,272.35684603667283,1,0.014843894203438105,False
25210,0 days 00:55:42.915000,-218.45123917972057,4571.497644551626,-160.20991832611566,274.0,1,0.015340405735001715,False
25211,0 days 00:55:43.063000,-212.0,4729.0,-159.0,275.48,1,0.015621354863277757,False
25212,0 days 00:55:43.115000,-210.05270455399946,4776.215314847157,-158.72461322755996,276.0,1,0.015585746028165535,False
25213,0 days 00:55:43.475000,-200.22938273132542,5008.839096909981,-158.2961916742265,275.0,1,0.01566429042745367,False
25214,0 days 00:55:43.563000,-198.0,5060.0,-158.0,268.95,1,0.015773019518829333,False
25215,0 days 00:55:43.635000,-196.12815425358144,5102.562314450039,-157.63014768594115,264.0,1,0.015143963134818122,False
25216,0 days 00:55:43.863000,-190.0,5241.0,-156.0,241.2,1,0.015873805928319502,False
25217,0 days 00:55:43.875000,-189.67497993991273,5248.402953610014,-155.91624599659784,240.0,1,0.014549728730010368,False
25218,0 days 00:55:44.915000,-165.08633943229,5833.7610850487545,-151.01754557178756,155.0,1,0.017647764378000388,False
25219,0 days 00:55:44.922000,-165.0,5836.0,-151.0,155.0,1,0.014991897424151098,False
25220,0 days 00:55:45.275000,-161.08413812237936,5938.950433950944,-150.18559980813916,155.0,1,0.013509673447212692,False
25221,0 days 00:55:45.323000,-160.0,5965.0,-150.0,156.05,1,0.011090246403532006,False
25222,0 days 00:55:45.522000,-154.0,6106.0,-149.0,160.4031264,1,0.004013290171666585,False
25223,0 days 00:55:45.595000,-152.11002431788754,6151.028602309892,-148.63511678325142,162.0,1,0.003366909313979889,False
25224,0 days 00:55:45.915000,-146.85796008037795,6281.700492865706,-147.24121201434858,171.0,1,-0.00020678711287739496,False
25225,0 days 00:55:45.982000,-146.0,6303.0,-147.0,172.2562512,1,-0.00289261774879162,False
25226,0 days 00:55:46.075000,-144.87349946494433,6330.577824696071,-146.69584116579088,174.0,1,-0.011016932559038267,False
25227,0 days 00:55:46.282000,-142.0,6404.0,-146.0,181.39285942857143,1,-0.012934567957857563,False
25228,0 days 00:55:46.355000,-140.53067974800885,6444.5984608814115,-145.67084727950134,184.0,1,-0.01698777747894795,False
25229,0 days 00:55:46.642000,-134.0,6647.0,-144.0,193.32750208,1,-0.037185761479926055,False
25230,0 days 00:55:46.755000,-132.501806256,6715.307505916869,-143.24638098052435,197.0,1,-0.04558361794054185,False
25231,0 days 00:55:46.963000,-131.0,6820.0,-142.0,200.6,1,-0.06341904404175984,False
25232,0 days 00:55:47.275000,-129.30849186401218,6943.97408288952,-141.33583448019078,206.0,1,-0.08550790520979014,False
25233,0 days 00:55:47.402000,-129.0,7005.0,-141.0,209.81000192,1,-0.09450756490548581,False
25234,0 days 00:55:47.475000,-128.9559132965402,7046.211891534864,-140.71375705858372,212.0,1,-0.1252556083377122,False
25235,0 days 00:55:47.623000,-129.0,7134.0,-140.0,207.375,1,-0.14879203125446747,False
25236,0 days 00:55:47.635000,-128.99668907771078,7140.518505766412,-139.94101927793406,207.0,1,-0.1754621069022055,False
25237,0 days 00:55:47.795000,-128.945916079384,7225.258333743894,-139.1441110193243,199.0,1,-0.20232086155246384,False
25238,0 days 00:55:47.823000,-129.0,7244.0,-139.0,195.325,1,-0.22431788139125777,False
25239,0 days 00:55:47.955000,-129.6078517269563,7353.948247869456,-138.30524980333175,178.0,1,-0.2618037849028624,False
25240,0 days 00:55:48.023000,-130.0,7408.0,-138.0,172.24451526128848,1,-0.2935599687563107,False
25241,0 days 00:55:48.274000,-131.33290506461424,7528.439162607998,-137.4216858431113,151.0,1,-0.37012887116255616,False
25242,0 days 00:55:48.483000,-132.0,7579.0,-137.0,132.71250560000001,1,-0.4086553133988838,False
25243,0 days 00:55:48.514000,-132.04450616922878,7585.640980687404,-136.9025099729853,130.0,1,-0.4496747956306009,False
25244,0 days 00:55:48.802000,-132.0,7647.0,-136.0,115.6,1,-0.4902009605522414,False
25245,0 days 00:55:48.874000,-131.98275622000304,7668.140319445975,-136.02499006910523,112.0,1,-0.5475615738715022,True
25246,0 days 00:55:48.963000,-132.0,7696.0,-136.0,107.30278115555555,1,-0.6240353026000768,True
25247,0 days 00:55:49.163000,-132.0,7756.0,-135.0,96.74722560000001,1,-0.6889667893527284,True
25248,0 days 00:55:49.234000,-131.61059336683599,7778.991480734028,-134.8432682717466,93.0,1,-0.7458423389032468,True
25249,0 days 00:55:49.435000,-129.49400675328943,7845.259936072561,-135.02673343107907,89.0,1,-0.8327684319463082,True
25250,0 days 00:55:49.483000,-129.0,7858.0,-135.0,86.8,1,-0.8712983807477386,True
25251,0 days 00:55:49.675000,-127.25821260852501,7894.586074771728,-134.43391346568484,78.0,1,-0.9662799238313818,True
25252,0 days 00:55:49.783000,-126.0,7914.0,-134.0,75.57,1,-1.0094188968566493,True
25253,0 days 00:55:50.075000,-120.85964340421235,7978.983350574391,-133.04651220861538,69.0,1,-1.1555570402450794,True
25254,0 days 00:55:50.123000,-120.0,7988.0,-133.0,68.0,1,-1.225720182864884,True
25255,0 days 00:55:50.315000,-116.60938399715303,8016.68731825225,-133.05483652198552,64.0,1,-1.2830023511069095,True
25256,0 days 00:55:50.343000,-116.0,8021.0,-133.0,63.72,1,-1.3568272251647306,True
25257,0 days 00:55:50.515000,-111.38356477883005,8050.716928322907,-132.17536887074925,62.0,1,-1.4335521110140779,True
25258,0 days 00:55:50.563000,-110.0,8059.0,-132.0,61.56363636363636,1,-1.517142621441358,True
25259,0 days 00:55:50.803000,-103.0,8097.0,-132.0,59.38181818181818,1,-1.5954929367376791,True
25260,0 days 00:55:50.955000,-98.22911557124321,8119.037128100077,-132.13429865832782,58.0,1,-1.6762828267580485,True
25261,0 days 00:55:51.082000,-92.0,8141.0,-132.0,57.36499968,1,-1.7158128863695628,True
25262,0 days 00:55:51.323000,-74.0,8192.0,-131.0,56.16,1,-1.8182104574590738,True
25263,0 days 00:55:51.355000,-72.37689016618748,8196.192423645758,-130.93441345932592,56.0,1,-1.8329104570491268,True
25264,0 days 00:55:51.583000,-65.0,8211.0,-131.0,54.575,1,-1.8832349772307353,True
25265,0 days 00:55:51.675000,-59.66996495263114,8220.61851475197,-131.02175185558056,54.0,1,-1.9135516074351244,True
25266,0 days 00:55:51.883000,-43.0,8249.0,-131.0,52.266666666666666,1,-1.9517315170633902,True
25267,0 days 00:55:51.915000,-40.352884499208976,8252.93170965202,-131.00118251236896,52.0,1,-1.956253087634324,True
25268,0 days 00:55:52.002000,-33.0,8263.0,-131.0,51.818749866666664,1,-1.967837329401344,True
25269,0 days 00:55:52.302000,-4.0,8294.0,-131.0,51.193749866666664,1,-1.9944607992845984,True
