,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,-456.2730873383481,-1020.9436263073819,-159.98474211346235,207.0,1,0.0,False
25150,0 days 00:55:35.083000,-456.0,-1016.0,-160.0,207.17999872,1,0.0,False
25151,0 days 00:55:35.263000,-451.0,-912.0,-160.0,210.77999872,1,0.0,False
25152,0 days 00:55:35.274000,-450.6568386513979,-904.1399011983551,-159.9966900577822,211.0,1,0.0,False
25153,0 days 00:55:35.514000,-442.26672793908165,-702.4442524742473,-159.99945657010403,216.0,1,0.0,False
25154,0 days 00:55:35.523000,-442.0,-696.0,-160.0,216.26249813333334,1,0.0,False
25155,0 days 00:55:35.754000,-437.2010973081116,-582.2048797067067,-159.99886150146222,223.0,1,0.0,False
25156,0 days 00:55:35.923000,-434.0,-509.0,-160.0,226.6968736,1,0.0,False
25157,0 days 00:55:36.074000,-430.0027159338763,-417.945294293069,-160.00564484696244,230.0,1,0.0,False
25158,0 days 00:55:36.103000,-429.0,-395.0,-160.0,230.5918355144614,1,0.0,False
25159,0 days 00:55:36.323000,-420.0,-186.0,-160.0,235.0816320844092,1,0.0,False
25160,0 days 00:55:36.515000,-416.80178467009614,-99.58889290544181,-160.66032629405862,239.0,1,0.0,False
25161,0 days 00:55:36.623000,-415.0,-53.0,-161.0,241.7,1,0.0,False
25162,0 days 00:55:36.675000,-413.70558061671017,-22.527311440740093,-161.0946151785262,243.0,1,0.0,False
25163,0 days 00:55:36.823000,-409.0,82.0,-161.0,241.65454545454546,1,0.0,False
25164,0 days 00:55:37.043000,-402.0,232.0,-160.0,239.65454545454546,1,0.0,False
25165,0 days 00:55:37.115000,-400.08910923739893,278.95406973921564,-160.28063892425033,239.0,1,0.0,False
25166,0 days 00:55:37.243000,-397.0,360.0,-161.0,228.02857142857144,1,0.0,False
25167,0 days 00:55:37.395000,-393.17569438986044,452.44219272555466,-160.27310959483546,215.0,1,0.0,False
25168,0 days 00:55:37.483000,-391.0,504.0,-160.0,209.02857142857144,1,0.0,False
25169,0 days 00:55:37.675000,-386.6041575843704,610.2909454589665,-160.95548119940398,196.0,1,0.0,False
25170,0 days 00:55:37.704000,-386.0,625.0,-161.0,194.23927405714286,1,0.0,False
25171,0 days 00:55:37.942000,-381.0,745.0,-160.0,179.78928182857143,1,0.0,False
25172,0 days 00:55:37.955000,-380.634933417769,753.4548523055032,-160.0002461823354,179.0,1,0.0,False
25173,0 days 00:55:38.162000,-374.0,904.0,-161.0,173.08571245714285,1,0.0,False
25174,0 days 00:55:38.235000,-372.2686994906449,942.5256879149292,-161.28215390479474,171.0,1,0.0,False
25175,0 days 00:55:38.515000,-368.6097284608936,1023.8886378061077,-161.31955552090608,160.0,1,0.0,False
25176,0 days 00:55:38.602000,-367.0,1065.0,-161.0,158.9124992,1,0.0,False
25177,0 days 00:55:38.675000,-365.29547378800817,1109.9825645580256,-160.61151855316405,158.0,1,0.0,False
25178,0 days 00:55:38.803000,-362.0,1197.0,-160.0,156.17142857142858,1,0.0,False
25179,0 days 00:55:38.955000,-358.74710628775375,1276.8542953668273,-160.216093069668,154.0,1,0.0,False
25180,0 days 00:55:39.182000,-355.0,1359.0,-161.0,154.0,1,0.0,False
25181,0 days 00:55:39.195000,-354.81073315984884,1362.9893209915806,-160.98887475805645,154.0,1,0.0,False
