,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,3193.990848792274,-41.35659393665055,-98.13491148702298,164.0,1,0.0,False
25150,0 days 00:55:35.083000,3196.0,-38.0,-98.0,164.0,1,0.0,False
25151,0 days 00:55:35.263000,3236.0,34.0,-95.0,164.0,1,0.0,False
25152,0 days 00:55:35.274000,3238.853912329732,39.52446236222254,-94.77681745119,164.0,1,0.0,False
25153,0 days 00:55:35.514000,3308.8384585055396,182.43495857393216,-89.18193215318728,170.0,1,0.0,False
25154,0 days 00:55:35.523000,3311.0,187.0,-89.0,170.07499946666667,1,0.0,False
25155,0 days 00:55:35.754000,3347.0467920726533,267.1781384417838,-85.61988270801348,172.0,1,0.0,False
25156,0 days 00:55:35.923000,3368.0,319.0,-84.0,172.5281248,1,0.0,False
25157,0 days 00:55:36.074000,3393.752994877568,383.8640850512848,-82.50897294852717,173.0,1,0.0,False
25158,0 days 00:55:36.103000,3400.0,400.0,-82.0,173.13151900321364,1,0.0,False
25159,0 days 00:55:36.323000,3455.0,545.0,-76.0,174.12925157431314,1,0.0,False
25160,0 days 00:55:36.515000,3478.3168050408262,604.3362630953623,-73.03938416361692,175.0,1,0.0,False
25161,0 days 00:55:36.623000,3492.0,635.0,-72.0,175.0,1,0.0,False
25162,0 days 00:55:36.675000,3501.0929909104816,654.7968958140043,-71.52933496376858,175.0,1,0.0,False
25163,0 days 00:55:36.823000,3533.0,722.0,-70.0,175.33636363636364,1,0.0,False
25164,0 days 00:55:37.043000,3583.0,817.0,-66.0,175.83636363636364,1,0.0,False
25165,0 days 00:55:37.115000,3600.419704000142,847.0800026297892,-64.53405142322946,176.0,1,0.0,False
25166,0 days 00:55:37.243000,3633.0,900.0,-62.0,176.45714285714286,1,0.0,False
25167,0 days 00:55:37.395000,3674.6122212922464,962.8223521765271,-59.47198867213742,177.0,1,0.0,False
25168,0 days 00:55:37.483000,3700.0,999.0,-58.0,177.94285714285715,1,0.0,False
25169,0 days 00:55:37.675000,3757.54603286148,1076.1209079461196,-54.48097047574906,180.0,1,0.0,False
25170,0 days 00:55:37.704000,3766.0,1087.0,-54.0,180.41428845714285,1,0.0,False
25171,0 days 00:55:37.942000,3845.0,1178.0,-50.0,183.81428662857144,1,0.0,False
25172,0 days 00:55:37.955000,3851.5982810878972,1184.555687932731,-49.657262475580865,184.0,1,0.0,False
25173,0 days 00:55:38.162000,3977.0,1301.0,-43.0,184.73928594285715,1,0.0,False
25174,0 days 00:55:38.235000,4008.622695942543,1328.8913358272248,-41.34935935246173,185.0,1,0.0,False
25175,0 days 00:55:38.515000,4073.759065125771,1372.4773401199327,-38.50279515114918,186.0,1,0.0,False
25176,0 days 00:55:38.602000,4114.0,1394.0,-37.0,186.0,1,0.0,False
25177,0 days 00:55:38.675000,4159.88647937547,1418.5627656525571,-35.29318428414508,186.0,1,0.0,False
25178,0 days 00:55:38.803000,4251.0,1466.0,-32.0,184.62857142857143,1,0.0,False
25179,0 days 00:55:38.955000,4337.182531686115,1504.9568596367653,-29.27658555569674,183.0,1,0.0,False
25180,0 days 00:55:39.182000,4429.0,1538.0,-27.0,182.0541664,1,0.0,False
25181,0 days 00:55:39.195000,4433.428207855003,1539.5504558939135,-26.899156660349178,182.0,1,0.0,False
25182,0 days 00:55:39.482000,4524.0,1568.0,-25.0,179.3093744,1,0.0,False
25183,0 days 00:55:39.515000,4537.3104925161315,1571.29596758678,-24.710780067226047,179.0,1,0.0,False
25184,0 days 00:55:39.675000,4614.439512792636,1588.1467411396668,-22.979370033774263,178.0,1,0.0,False
25185,0 days 00:55:39.842000,4698.0,1603.0,-21.0,177.07222186666667,1,0.0,False
25186,0 days 00:55:40.022000,4785.0,1612.0,-19.0,176.07222186666667,1,0.0,False
25187,0 days 00:55:40.035000,4792.945525871901,1612.287563049629,-18.860421886062127,176.0,1,0.0,False
25188,0 days 00:55:40.223000,4921.0,1612.0,-17.0,176.0,1,0.0,False
25189,0 days 00:55:40.235000,4927.277512520907,1611.8825756078181,-16.902297921968543,176.0,1,-1.451455092016431,True
25190,0 days 00:55:40.395000,4979.463403549143,1609.7094373653645,-15.862841487911096,176.0,1,-1.4666373575936458,True
25191,0 days 00:55:40.503000,5019.0,1603.0,-15.0,176.54,1,-1.4788927887056467,True
25192,0 days 00:55:40.595000,5071.087242022156,1592.0261602193416,-13.979268255446913,177.0,1,-1.5022336854252865,True
25193,0 days 00:55:40.795000,5215.976790322851,1557.8495931502787,-11.431449955042938,179.0,1,-1.4793722378949974,True
25194,0 days 00:55:40.862000,5250.0,1549.0,-11.0,179.47857188571427,1,-1.4873881189893157,True
25195,0 days 00:55:41.075000,5303.807874978861,1530.514938168832,-11.06390251480203,181.0,1,-1.4864749656787604,True
25196,0 days 00:55:41.122000,5317.0,1525.0,-11.0,181.5053769163293,1,-1.472713211940395,True
25197,0 days 00:55:41.354000,5421.428049584689,1481.2750337519353,-9.420995706985678,184.0,1,-1.4701497537392358,True
25198,0 days 00:55:41.462000,5479.0,1455.0,-9.0,185.0125,1,-1.4684394353077934,True
25199,0 days 00:55:41.523000,5512.0,1439.0,-9.0,185.5843744,1,-1.4584381832060271,True
25200,0 days 00:55:41.674000,5605.483626109314,1392.511050401757,-8.728069102938932,187.0,1,-1.4588994980507513,True
25201,0 days 00:55:41.834000,5703.648114449447,1343.1619989129383,-8.110989445163892,189.0,1,-1.510727469046383,True
25202,0 days 00:55:41.863000,5718.0,1336.0,-8.0,189.0,1,-1.5349220065318188,True
25203,0 days 00:55:42.114000,5805.682673941089,1293.1183449269847,-7.122076503333951,189.0,1,-1.5317296130867852,True
25204,0 days 00:55:42.183000,5831.0,1281.0,-7.0,187.0833351111111,1,-1.5396347127092402,True
25205,0 days 00:55:42.403000,5930.0,1234.0,-7.0,180.972224,1,-1.5729283699280139,True
25206,0 days 00:55:42.474000,5961.6481642873705,1219.192935603936,-7.013998411008335,179.0,1,-1.5832033659589129,True
25207,0 days 00:55:42.663000,6041.0,1182.0,-7.0,166.71500416,1,-1.632881090442784,True
25208,0 days 00:55:42.674000,6045.424491515237,1179.8713070277474,-6.996663484922165,166.0,1,-1.637961161342601,True
25209,0 days 00:55:42.783000,6090.0,1158.0,-7.0,161.92946188998158,1,-1.6801816949880495,True
25210,0 days 00:55:42.915000,6156.182432043139,1124.4144983348067,-7.381427442466928,157.0,1,-1.7179641047020924,True
