,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,2605.227551695303,6203.563275382028,-127.93301103351754,114.0,1,0.0,False
25150,0 days 00:55:35.083000,2604.0,6206.0,-128.0,113.7750016,1,0.0,False
25151,0 days 00:55:35.263000,2577.0,6255.0,-129.0,109.2750016,1,0.0,False
25152,0 days 00:55:35.274000,2574.892505966653,6258.410755889034,-129.05256388197026,109.0,1,0.0,False
25153,0 days 00:55:35.514000,2519.776791857329,6339.533209685104,-129.98350488429654,103.0,1,0.0,False
25154,0 days 00:55:35.523000,2518.0,6342.0,-130.0,102.92500053333333,1,0.0,False
25155,0 days 00:55:35.754000,2486.307020455284,6382.332316568461,-129.87373333320312,101.0,1,0.0,False
25156,0 days 00:55:35.923000,2466.0,6405.0,-130.0,95.718752,1,0.0,False
25157,0 days 00:55:36.074000,2441.187245601372,6432.614702423785,-130.77486367861297,91.0,1,0.0,False
25158,0 days 00:55:36.103000,2435.0,6439.0,-131.0,90.4081644855386,1,0.0,False
25159,0 days 00:55:36.323000,2379.0,6492.0,-133.0,85.9183679155908,1,0.0,False
25160,0 days 00:55:36.515000,2355.399688541111,6511.223815012446,-133.0016238302553,82.0,1,0.0,False
25161,0 days 00:55:36.623000,2343.0,6520.0,-133.0,80.65,1,0.0,False
25162,0 days 00:55:36.675000,2335.063273839283,6525.748535343862,-133.15271897956666,80.0,1,0.0,False
25163,0 days 00:55:36.823000,2308.0,6545.0,-134.0,77.64545454545454,1,0.0,False
25164,0 days 00:55:37.043000,2268.0,6569.0,-136.0,74.14545454545454,1,0.0,False
25165,0 days 00:55:37.115000,2254.973999029037,6575.619609796988,-137.15927237412512,73.0,1,0.0,False
25166,0 days 00:55:37.243000,2232.0,6586.0,-139.0,70.71428571428571,1,0.0,False
25167,0 days 00:55:37.395000,2205.4380555200664,6596.1500594551,-138.68391403051234,68.0,1,0.0,False
25168,0 days 00:55:37.483000,2190.0,6601.0,-140.0,67.68571428571428,1,0.0,False
25169,0 days 00:55:37.675000,2155.917599044033,6609.071974517283,-149.1798483905237,67.0,1,0.0,False
25170,0 days 00:55:37.704000,2151.0,6610.0,-150.0,66.68928365714285,1,0.0,False
25171,0 days 00:55:37.942000,2109.0,6613.0,-148.0,64.13928502857142,1,0.0,False
25172,0 days 00:55:37.955000,2105.965420292094,6612.706822757891,-147.850032470481,64.0,1,0.0,False
25173,0 days 00:55:38.162000,2052.0,6603.0,-147.0,62.52142811428571,1,0.0,False
25174,0 days 00:55:38.235000,2038.8489330873956,6599.912392110671,-147.013274652249,62.0,1,0.0,False
25175,0 days 00:55:38.515000,2016.308171031693,6587.824072865857,-147.43625387463405,61.0,1,0.0,False
25176,0 days 00:55:38.602000,2005.0,6578.0,-147.0,60.4562496,1,0.0,False
25177,0 days 00:55:38.675000,1992.2595446293467,6566.782764857408,-146.33964632398263,60.0,1,0.0,False
25178,0 days 00:55:38.803000,1968.0,6544.0,-145.0,59.542857142857144,1,0.0,False
25179,0 days 00:55:38.955000,1948.969520051461,6520.285212922515,-144.2610480597707,59.0,1,0.0,False
25180,0 days 00:55:39.182000,1934.0,6492.0,-144.0,58.0541664,1,0.0,False
25181,0 days 00:55:39.195000,1933.2794804271011,6490.627245293235,-143.96900143233552,58.0,1,0.0,False
25182,0 days 00:55:39.482000,1919.0,6462.0,-143.0,60.6906256,1,0.0,False
25183,0 days 00:55:39.515000,1917.1320242487197,6457.62910694257,-142.90830373830943,61.0,1,0.0,False
25184,0 days 00:55:39.675000,1906.952041419365,6431.875643083921,-142.58013218673838,62.0,1,0.0,False
25185,0 days 00:55:39.842000,1897.0,6403.0,-142.0,64.7833344,1,0.0,False
25186,0 days 00:55:40.022000,1888.0,6371.0,-141.0,67.7833344,1,0.0,False
25187,0 days 00:55:40.035000,1887.1817826049207,6367.957834020764,-140.96351034612783,68.0,1,0.0,False
