,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,2971.294302868824,-325.7067492032079,-107.10389299896104,162.0,1,0.0,False
25150,0 days 00:55:35.083000,2974.0,-323.0,-107.0,162.13499904,1,0.0,False
25151,0 days 00:55:35.263000,3030.0,-263.0,-105.0,164.83499904,1,0.0,False
25152,0 days 00:55:35.274000,3033.953736517515,-258.41122425194436,-104.8570766041821,165.0,1,0.0,False
25153,0 days 00:55:35.514000,3129.0405677090457,-139.91395178328412,-101.136553441279,166.0,1,0.0,False
25154,0 days 00:55:35.523000,3132.0,-136.0,-101.0,166.18749866666667,1,0.0,False
25155,0 days 00:55:35.754000,3182.996253132807,-61.601451299809064,-97.85466253407412,171.0,1,0.0,False
25156,0 days 00:55:35.923000,3212.0,-11.0,-96.0,172.5843744,1,0.0,False
25157,0 days 00:55:36.074000,3245.1847286344596,49.59997714426622,-94.46192383139469,174.0,1,0.0,False
25158,0 days 00:55:36.103000,3253.0,65.0,-94.0,174.19727850482047,1,0.0,False
25159,0 days 00:55:36.323000,3320.0,207.0,-89.0,175.69387736146973,1,0.0,False
25160,0 days 00:55:36.515000,3345.874217764923,265.7832059389498,-87.17946316742207,177.0,1,0.0,False
25161,0 days 00:55:36.623000,3359.0,298.0,-86.0,179.025,1,0.0,False
25162,0 days 00:55:36.675000,3367.644262667459,319.22300003689935,-85.11746292482097,180.0,1,0.0,False
25163,0 days 00:55:36.823000,3397.0,392.0,-82.0,181.34545454545454,1,0.0,False
25164,0 days 00:55:37.043000,3437.0,496.0,-78.0,183.34545454545454,1,0.0,False
25165,0 days 00:55:37.115000,3449.998211997699,530.3724850841606,-76.5700546152424,184.0,1,0.0,False
25166,0 days 00:55:37.243000,3474.0,592.0,-74.0,184.9142857142857,1,0.0,False
25167,0 days 00:55:37.395000,3505.479383503523,664.4788741238054,-71.46457543831353,186.0,1,0.0,False
25168,0 days 00:55:37.483000,3525.0,706.0,-70.0,186.31428571428572,1,0.0,False
25169,0 days 00:55:37.675000,3570.11681503167,794.4305916225411,-66.49111030599997,187.0,1,0.0,False
25170,0 days 00:55:37.704000,3577.0,807.0,-66.0,186.89642788571427,1,0.0,False
25171,0 days 00:55:37.942000,3642.0,913.0,-62.0,186.04642834285715,1,0.0,False
25172,0 days 00:55:37.955000,3647.10220104425,920.5811409535352,-61.69289939630828,186.0,1,0.0,False
25173,0 days 00:55:38.162000,3741.0,1055.0,-56.0,183.78214217142857,1,0.0,False
25174,0 days 00:55:38.235000,3764.4970258977087,1087.9026496255674,-54.5849078790704,183.0,1,0.0,False
25175,0 days 00:55:38.515000,3813.6767593899976,1146.906105102789,-51.76294355542628,181.0,1,0.0,False
25176,0 days 00:55:38.602000,3845.0,1178.0,-50.0,181.0,1,0.0,False
25177,0 days 00:55:38.675000,3880.8377085165794,1213.099590999998,-47.978968006693435,181.0,1,0.0,False
