,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25149,0 days 00:55:35.074000,5242.758282195513,1551.3518166604388,-12.04938688946923,186.0,1,0.0,False
25150,0 days 00:55:35.083000,5247.0,1550.0,-12.0,186.2249984,1,0.0,False
25151,0 days 00:55:35.263000,5336.0,1518.0,-11.0,190.7249984,1,0.0,False
25152,0 days 00:55:35.274000,5342.79880204327,1515.2013841970133,-10.924670281463918,191.0,1,0.0,False
25153,0 days 00:55:35.514000,5517.5860216350975,1436.5343697378435,-9.05094851580265,192.0,1,0.0,False
25154,0 days 00:55:35.523000,5523.0,1434.0,-9.0,192.29999786666667,1,0.0,False
25155,0 days 00:55:35.754000,5611.3630129604035,1390.5982915470156,-8.45867413146943,200.0,1,0.0,False
25156,0 days 00:55:35.923000,5675.0,1358.0,-8.0,204.2249984,1,0.0,False
25157,0 days 00:55:36.074000,5765.180441513014,1313.1385666363162,-7.111148246822431,208.0,1,0.0,False
25158,0 days 00:55:36.103000,5786.0,1303.0,-7.0,207.86848099678636,1,0.0,False
25159,0 days 00:55:36.323000,5956.0,1222.0,-7.0,206.87074842568686,1,0.0,False
25160,0 days 00:55:36.515000,6023.241869614569,1190.1880873667337,-6.829914946320689,206.0,1,0.0,False
25161,0 days 00:55:36.623000,6057.0,1174.0,-7.0,197.225,1,0.0,False
25162,0 days 00:55:36.675000,6078.669022394991,1163.5421469420394,-7.228140749888691,193.0,1,0.0,False
25163,0 days 00:55:36.823000,6151.0,1128.0,-8.0,185.6,1,0.0,False
25164,0 days 00:55:37.043000,6246.0,1077.0,-8.0,174.6,1,0.0,False
25165,0 days 00:55:37.115000,6274.831953317244,1060.0479774516164,-8.257657239785754,171.0,1,0.0,False
25166,0 days 00:55:37.243000,6324.0,1029.0,-9.0,165.05714285714285,1,0.0,False
25167,0 days 00:55:37.395000,6379.0286928758915,990.0938386371743,-9.758255611873867,158.0,1,0.0,False
25168,0 days 00:55:37.483000,6409.0,967.0,-10.0,154.22857142857143,1,0.0,False
25169,0 days 00:55:37.675000,6468.83394337344,916.4054968920339,-9.975133145981694,146.0,1,0.0,False
25170,0 days 00:55:37.704000,6477.0,909.0,-10.0,145.2749952,1,0.0,False
25171,0 days 00:55:37.942000,6539.0,842.0,-11.0,139.3249984,1,0.0,False
25172,0 days 00:55:37.955000,6542.705698809698,836.7968244548516,-11.102245677879953,139.0,1,0.0,False
25173,0 days 00:55:38.162000,6602.0,741.0,-13.0,131.60714057142857,1,0.0,False
25174,0 days 00:55:38.235000,6615.600334146323,716.955671164959,-13.368685960335368,129.0,1,0.0,False
25175,0 days 00:55:38.515000,6632.9727699437835,668.3571787663086,-13.517398854739199,121.0,1,0.0,False
25176,0 days 00:55:38.602000,6639.0,640.0,-14.0,119.9124992,1,0.0,False
25177,0 days 00:55:38.675000,6645.782463807737,607.9117777650798,-14.671029736399342,119.0,1,0.0,False
25178,0 days 00:55:38.803000,6658.0,545.0,-16.0,115.8,1,0.0,False
25179,0 days 00:55:38.955000,6664.460404013448,488.0112434998782,-16.758559789995925,112.0,1,0.0,False
25180,0 days 00:55:39.182000,6664.0,431.0,-17.0,107.270832,1,0.0,False
25181,0 days 00:55:39.195000,6663.9352530063625,428.27942701134754,-17.022295646447393,107.0,1,0.0,False
25182,0 days 00:55:39.482000,6660.0,374.0,-18.0,103.4124992,1,0.0,False
25183,0 days 00:55:39.515000,6658.772106769257,366.3032516954524,-18.22201172570152,103.0,1,0.0,False
25184,0 days 00:55:39.675000,6650.03826856609,322.36741690659414,-19.67042056412256,102.0,1,0.0,False
25185,0 days 00:55:39.842000,6638.0,276.0,-21.0,100.14444373333333,1,0.0,False
25186,0 days 00:55:40.022000,6621.0,230.0,-22.0,98.14444373333333,1,0.0,False
25187,0 days 00:55:40.035000,6619.156137125807,225.94262783112603,-22.14515997280434,98.0,1,0.0,False
25188,0 days 00:55:40.223000,6587.0,162.0,-25.0,96.12,1,0.0,False
25189,0 days 00:55:40.235000,6585.389851843269,158.93407797203952,-25.124506484889,96.0,1,-1.7953490990482233,True
25190,0 days 00:55:40.395000,6571.764947830728,134.53629577355875,-25.717483396365694,96.0,1,-1.7863425417757834,True
25191,0 days 00:55:40.503000,6559.0,117.0,-26.0,96.54,1,-1.7559226760682147,True
25192,0 days 00:55:40.595000,6540.914674839063,93.68568965789846,-26.586013641090513,97.0,1,-1.7433032989286945,True
25193,0 days 00:55:40.795000,6488.585075720108,28.834446894142598,-28.529564137477063,99.0,1,-1.6569121215158922,True
25194,0 days 00:55:40.862000,6476.0,14.0,-29.0,99.71785782857143,1,-1.6464774060613958,True
25195,0 days 00:55:41.075000,6454.186127717885,-7.562829773226649,-29.786029564853187,102.0,1,-1.6006085678493371,True
25196,0 days 00:55:41.122000,6448.0,-13.0,-30.0,102.84229486054885,1,-1.5720551043170885,True
25197,0 days 00:55:41.354000,6397.618436173944,-58.33634893313728,-31.651417974757074,107.0,1,-1.495231055827445,True
25198,0 days 00:55:41.462000,6372.0,-81.0,-32.0,109.7,1,-1.465953871913903,True
25199,0 days 00:55:41.523000,6358.0,-93.0,-32.0,111.2249984,1,-1.3631815706406551,True
25200,0 days 00:55:41.674000,6308.904285831947,-130.65747702007238,-33.02713213199696,115.0,1,-1.2822502123831137,True
25201,0 days 00:55:41.834000,6250.388721796527,-172.23800012555867,-34.790873581835484,117.0,1,-1.2141095733772083,True
25202,0 days 00:55:41.863000,6242.0,-178.0,-35.0,117.8285696,1,-1.19260202352635,True
25203,0 days 00:55:42.114000,6192.497641932896,-208.93841908505354,-35.6747869912883,125.0,1,-1.103433519011315,True
25204,0 days 00:55:42.183000,6177.0,-218.0,-36.0,126.91666488888889,1,-1.0189416111637273,True
25205,0 days 00:55:42.403000,6108.0,-258.0,-38.0,133.027776,1,-0.9468813671852637,True
25206,0 days 00:55:42.474000,6080.166164530658,-273.3633662646107,-38.695846634566045,135.0,1,-0.8877338618323215,True
25207,0 days 00:55:42.663000,6003.0,-315.0,-40.0,139.7249984,1,-0.7917384269911011,True
25208,0 days 00:55:42.674000,5999.074944240976,-317.14362325243684,-40.01627807790926,140.0,1,-0.7631184045040311,True
25209,0 days 00:55:42.783000,5961.0,-338.0,-40.0,142.7136920733456,1,-0.687176292281234,True
25210,0 days 00:55:42.915000,5898.801180581956,-371.17378250393443,-40.729220397016206,146.0,1,-0.6473901463578897,True
25211,0 days 00:55:43.063000,5823.0,-411.0,-42.0,149.7,1,-0.5519586125169581,True
25212,0 days 00:55:43.115000,5799.940674943813,-423.05073931387807,-42.35290273735483,151.0,1,-0.5381685981355007,True
25213,0 days 00:55:43.475000,5680.772623782291,-484.58559281671677,-43.71828136012775,159.0,1,-0.42508196064450804,False
25214,0 days 00:55:43.563000,5653.0,-499.0,-44.0,160.1,1,-0.39977767698368816,False
25215,0 days 00:55:43.635000,5629.5222712638115,-511.24611300046126,-44.24400247543034,161.0,1,-0.3641778509743786,False
25216,0 days 00:55:43.863000,5548.0,-554.0,-45.0,164.8,1,-0.3282029331646156,False
25217,0 days 00:55:43.875000,5543.214050062001,-556.5098388953788,-45.03214546488139,165.0,1,-0.3102161814074431,False
25218,0 days 00:55:44.915000,5046.2623941342945,-817.7858277761703,-45.01055516681261,186.0,1,-0.19615118523152283,False
25219,0 days 00:55:44.922000,5044.0,-819.0,-45.0,186.1750016,1,-0.17298219289579214,False
