,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,6825.871021681891,3161.1448492950058,2028.630545551526,208.0,1,0.0,False
25310,0 days 00:56:09.270000,6766.0,3112.0,2028.0,211.03000576,1,0.0,False
25311,0 days 00:56:09.369000,6722.259384290069,3073.969151503993,2027.74386711949,214.0,1,0.0,False
25312,0 days 00:56:09.569000,6669.076685536612,3019.3342421130483,2028.0740419485576,219.0,1,0.0,False
25313,0 days 00:56:09.691000,6626.0,2972.0,2028.0,221.2875024,1,0.0,False
25314,0 days 00:56:09.729000,6609.44510261777,2953.825209847612,2027.8975207605195,222.0,1,0.0,False
25315,0 days 00:56:09.929000,6508.83199010474,2842.298333895947,2027.0505125393067,226.0,1,0.0,False
25316,0 days 00:56:09.951000,6499.0,2831.0,2027.0,226.687504,1,0.0,False
25317,0 days 00:56:10.089000,6446.911969730063,2768.480543635236,2026.9893582354848,231.0,1,0.0,False
25318,0 days 00:56:10.251000,6385.0,2683.0,2027.0,235.0500032,1,0.0,False
25319,0 days 00:56:10.369000,6322.244606766556,2588.631517711161,2026.513240636095,238.0,1,0.0,False
25320,0 days 00:56:10.491000,6259.0,2490.0,2026.0,239.5250016,1,0.0,False
25321,0 days 00:56:10.529000,6243.368454480847,2464.959145628368,2025.9304976929516,240.0,1,0.0,False
25322,0 days 00:56:10.769000,6184.827651023077,2362.4357813165016,2026.3139479804859,246.0,1,0.0,False
25323,0 days 00:56:10.911000,6151.0,2299.0,2026.0,247.7750016,1,0.0,False
25324,0 days 00:56:10.929000,6145.857168247248,2289.458863026682,2025.8974100691223,248.0,1,0.0,False
25325,0 days 00:56:11.051000,6105.0,2213.0,2025.0,250.44000256,1,0.0,False
25326,0 days 00:56:11.129000,6071.614769194408,2147.7975118463864,2024.5683031230824,252.0,1,0.0,False
25327,0 days 00:56:11.370000,5958.609929298182,1919.445766596991,2024.021304884309,257.0,1,0.0,False
25328,0 days 00:56:11.391000,5952.0,1906.0,2024.0,257.36750336,1,0.0,False
25329,0 days 00:56:11.691000,5901.0,1801.0,2024.0,262.61750336,1,0.0,False
25330,0 days 00:56:11.770000,5878.941638637971,1755.110329882864,2024.0679643555527,264.0,1,0.0,False
25331,0 days 00:56:11.851000,5850.0,1695.0,2024.0,265.265628,1,0.0,False
25332,0 days 00:56:12.090000,5738.4962745562225,1464.310613114451,2022.3069723703043,269.0,1,0.0,False
25333,0 days 00:56:12.131000,5720.0,1426.0,2022.0,269.5857170285714,1,0.0,False
25334,0 days 00:56:12.370000,5629.281682076334,1237.3698139231162,2020.7256693287334,273.0,1,0.0,False
25335,0 days 00:56:12.592000,5568.0,1109.0,2020.0,275.7750016,1,0.0,False
25336,0 days 00:56:12.690000,5547.0844431180885,1064.9100952968286,2019.7257204272425,277.0,1,0.0,False
25337,0 days 00:56:12.932000,5496.0,957.0,2019.0,279.01666773333335,1,0.0,False
25338,0 days 00:56:13.050000,5457.95008318325,877.1855399299924,2018.474944664054,280.0,1,0.0,False
25339,0 days 00:56:13.152000,5422.0,802.0,2018.0,281.02000128,1,0.0,False
25340,0 days 00:56:13.250000,5388.305289161153,731.7358239602709,2017.5842787749664,282.0,1,0.0,False
25341,0 days 00:56:13.392000,5340.0,631.0,2017.0,284.13000192,1,0.0,False
25342,0 days 00:56:13.450000,5320.016036440028,589.1577848077328,2016.7438115057546,285.0,1,0.0,False
25343,0 days 00:56:13.591000,5271.0,487.0,2016.0,286.51071634285717,1,0.0,False
25344,0 days 00:56:13.730000,5222.56880708715,388.79672886583126,2014.9182562704884,288.0,1,0.0,False
25345,0 days 00:56:13.850000,5179.0,300.0,2014.0,289.5,1,0.0,False
25346,0 days 00:56:13.890000,5163.808832845803,268.45592627466516,2013.7520386261729,290.0,1,0.0,False
25347,0 days 00:56:14.051000,5102.0,139.0,2013.0,292.0125024,1,0.0,False
25348,0 days 00:56:14.290000,5022.680375049602,-22.266098948530164,2012.1213937371274,295.0,1,0.0,False
25349,0 days 00:56:14.311000,5016.0,-36.0,2012.0,295.1312512,1,-0.00704757276788165,False
25350,0 days 00:56:14.571000,4924.0,-229.0,2010.0,296.7562512,1,-0.023343368738347522,False
25351,0 days 00:56:14.610000,4904.867101906334,-269.0043094772568,2009.7856287455863,297.0,1,-0.03248651275263976,False
25352,0 days 00:56:14.871000,4766.0,-558.0,2009.0,299.79643062857144,1,-0.06920488595376068,False
25353,0 days 00:56:14.890000,4759.681099760963,-571.1544187727075,2008.9402457335375,300.0,1,-0.08005118669671685,False
25354,0 days 00:56:15.151000,4715.0,-664.0,2008.0,301.30500096,1,-0.09603773211973744,False
25355,0 days 00:56:15.290000,4674.2375060669265,-747.5407759911478,2007.6004625579271,302.0,1,-0.11504305883208825,False
