,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,5535.997736549252,1042.3002542969898,2019.6609597534098,278.0,1,0.0,False
25310,0 days 00:56:09.270000,5492.0,950.0,2019.0,279.01000192,1,0.0,False
25311,0 days 00:56:09.369000,5459.616797455,881.8587406808664,2018.6199853366243,280.0,1,0.0,False
25312,0 days 00:56:09.569000,5418.892883861329,795.7143113864652,2018.445985330237,282.0,1,0.0,False
25313,0 days 00:56:09.691000,5384.0,723.0,2018.0,284.2875024,1,0.0,False
25314,0 days 00:56:09.729000,5370.414785503961,694.8431549186785,2017.7762295808845,285.0,1,0.0,False
25315,0 days 00:56:09.929000,5287.819111343092,524.1922148066468,2016.1664921946817,286.0,1,0.0,False
25316,0 days 00:56:09.951000,5280.0,508.0,2016.0,286.2750016,1,0.0,False
25317,0 days 00:56:10.089000,5240.351198025894,425.5509927666565,2015.087325973787,288.0,1,0.0,False
25318,0 days 00:56:10.251000,5190.0,321.0,2014.0,289.1571437714286,1,0.0,False
25319,0 days 00:56:10.369000,5131.5353749217065,200.49076998972276,2012.9574710955894,290.0,1,0.0,False
25320,0 days 00:56:10.491000,5070.0,74.0,2012.0,290.7625008,1,0.0,False
25321,0 days 00:56:10.529000,5054.537029615243,42.27596100685289,2011.8004879793373,291.0,1,0.0,False
25322,0 days 00:56:10.769000,4993.3562595217545,-82.7421224766203,2011.4771559773149,293.0,1,0.0,False
25323,0 days 00:56:10.911000,4957.0,-159.0,2011.0,293.8875008,1,0.0,False
25324,0 days 00:56:10.929000,4951.542954495571,-170.57851059034175,2010.8948244403693,294.0,1,0.0,False
25325,0 days 00:56:11.051000,4908.0,-263.0,2010.0,294.61000064,1,0.0,False
25326,0 days 00:56:11.129000,4871.251620421491,-339.8189060240595,2009.4210239164913,295.0,1,0.0,False
25327,0 days 00:56:11.370000,4743.516687614199,-603.5144535921276,2008.0466250879517,296.0,1,0.0,False
25328,0 days 00:56:11.391000,4736.0,-619.0,2008.0,296.15750144,1,0.0,False
25329,0 days 00:56:11.691000,4678.0,-739.0,2008.0,298.40750144,1,0.0,False
25330,0 days 00:56:11.770000,4653.350850628588,-790.5945793297946,2007.6089292829063,299.0,1,0.0,False
25331,0 days 00:56:11.851000,4621.0,-858.0,2007.0,299.5062512,1,0.0,False
25332,0 days 00:56:12.090000,4495.745366843198,-1115.5051964661257,2004.44508844018,301.0,1,0.0,False
25333,0 days 00:56:12.131000,4475.0,-1158.0,2004.0,301.0,1,0.0,False
25334,0 days 00:56:12.370000,4373.767390450157,-1365.0318587197753,2001.681493511578,301.0,1,0.0,False
25335,0 days 00:56:12.592000,4305.0,-1505.0,2000.0,303.0812512,1,0.0,False
25336,0 days 00:56:12.690000,4280.995602911921,-1553.5742181056528,1999.4166759434202,304.0,1,0.0,False
25337,0 days 00:56:12.932000,4222.0,-1672.0,1998.0,304.0,1,0.0,False
25338,0 days 00:56:13.050000,4179.2122489733265,-1757.6141347086163,1996.9813542535535,304.0,1,0.0,False
25339,0 days 00:56:13.152000,4139.0,-1838.0,1996.0,305.02000128,1,0.0,False
25340,0 days 00:56:13.250000,4101.322752052076,-1913.2561952510325,1995.0383003385155,306.0,1,0.0,False
25341,0 days 00:56:13.392000,4047.0,-2021.0,1994.0,306.71000064,1,0.0,False
25342,0 days 00:56:13.450000,4024.2744674279115,-2065.5295897433625,1993.871934819587,307.0,1,0.0,False
25343,0 days 00:56:13.591000,3969.0,-2173.0,1994.0,307.5035721142857,1,0.0,False
25344,0 days 00:56:13.730000,3917.5735950153753,-2272.888802189161,1994.048798353183,308.0,1,0.0,False
25345,0 days 00:56:13.850000,3871.0,-2363.0,1994.0,308.75,1,0.0,False
25346,0 days 00:56:13.890000,3854.1608363040687,-2395.458943648105,1993.9669174663036,309.0,1,0.0,False
25347,0 days 00:56:14.051000,3784.0,-2530.0,1994.0,308.59749952,1,0.0,False
25348,0 days 00:56:14.290000,3695.5155541520285,-2696.9158041454543,1995.8007018414069,308.0,1,0.0,False
25349,0 days 00:56:14.311000,3688.0,-2711.0,1996.0,307.9343744,1,-0.8091404982242986,True
25350,0 days 00:56:14.571000,3582.0,-2906.0,1999.0,307.1218744,1,-0.8763097018463151,True
25351,0 days 00:56:14.610000,3559.544132634594,-2945.80152486224,1999.6813772533803,307.0,1,-0.8985282532613114,True
25352,0 days 00:56:14.871000,3396.0,-3230.0,2005.0,306.06785645714285,1,-1.0790596977767664,True
25353,0 days 00:56:14.890000,3388.679282795288,-3242.6074350781796,2005.2865879331123,306.0,1,-1.1074899009867076,True
25354,0 days 00:56:15.151000,3337.0,-3327.0,2008.0,285.77248512,1,-1.1804147954281985,True
25355,0 days 00:56:15.290000,3283.8303645813567,-3408.050544307836,2009.8667077125463,275.0,1,-1.2330560407552156,True
25356,0 days 00:56:15.431000,3219.0,-3503.0,2012.0,263.9498304301281,1,-1.3016645595496787,True
25357,0 days 00:56:15.571000,3160.0,-3582.0,2014.0,252.97804579750806,1,-1.3461645978656123,True
25358,0 days 00:56:15.609000,3143.169394001407,-3603.360267327687,2014.4600968128982,250.0,1,-1.382226935510172,True
25359,0 days 00:56:15.809000,3045.7139702170266,-3718.5854654039244,2016.3576763662018,237.0,1,-1.4841948450268874,True
25360,0 days 00:56:15.871000,3013.0,-3753.0,2017.0,234.15832746666666,1,-1.5492306000665654,True
25361,0 days 00:56:16.049000,2913.050707807108,-3845.9884348477262,2019.2315066857736,226.0,1,-1.6066584738698853,True
25362,0 days 00:56:16.251000,2797.0,-3935.0,2022.0,216.531244,1,-1.648585844935683,True
25363,0 days 00:56:16.369000,2732.445297348026,-3975.5251414392833,2023.479574022671,211.0,1,-1.6818175302237235,True
25364,0 days 00:56:16.529000,2651.817319675018,-4017.111843114876,2025.2367754765298,203.0,1,-1.7082603286562381,True
25365,0 days 00:56:16.631000,2612.0,-4036.0,2026.0,199.72142445714286,1,-1.723314509954403,True
25366,0 days 00:56:16.809000,2566.504310170613,-4054.9026060113406,2026.5994817518956,194.0,1,-1.7359138526090843,True
25367,0 days 00:56:16.971000,2527.0,-4068.0,2027.0,189.9499968,1,-1.7421302988084284,True
25368,0 days 00:56:17.129000,2469.494131715308,-4086.6009103247616,2027.8164560008127,186.0,1,-1.7534858683148093,True
25369,0 days 00:56:17.271000,2393.0,-4102.0,2029.0,182.4499968,1,-1.758234562669447,True
25370,0 days 00:56:17.409000,2288.907442601939,-4110.6529118423605,2030.6329057539929,179.0,1,-1.769063837481343,True
25371,0 days 00:56:17.551000,2189.0,-4114.0,2032.0,175.95714011428572,1,-1.7726983445746805,True
25372,0 days 00:56:17.689000,2136.7021769798303,-4112.790823733971,2032.214904443306,173.0,1,-1.761981844831015,True
25373,0 days 00:56:17.890000,2091.7536722597856,-4102.679992716711,2031.9238855354488,171.0,1,-1.7570868499007348,True
25374,0 days 00:56:17.911000,2084.0,-4101.0,2032.0,171.0,1,-1.7416860037818191,True
25375,0 days 00:56:18.072000,2010.0,-4085.0,2033.0,171.0,1,-1.724202539694749,True
25376,0 days 00:56:18.130000,1985.022568794884,-4078.8416920020322,2033.1729484730854,171.0,1,-1.71773895563841,True
25377,0 days 00:56:18.332000,1893.0,-4046.0,2033.0,170.1583328,1,-1.6928831394142125,True
25378,0 days 00:56:18.370000,1867.9751327327826,-4034.4562349816165,2032.977396948898,170.0,1,-1.6776403977787704,True
25379,0 days 00:56:18.552000,1740.0,-3970.0,2033.0,171.3000009142857,1,-1.6437961195722004,True
25380,0 days 00:56:18.650000,1707.9290168876717,-3952.2242310066244,2033.0592208490064,172.0,1,-1.6232175501023094,True
25381,0 days 00:56:18.832000,1683.0,-3932.0,2033.0,173.51666773333332,1,-1.599147662702914,True
25382,0 days 00:56:18.890000,1665.231381977411,-3918.4249736016,2032.8356473288065,174.0,1,-1.5816834429196898,True
25383,0 days 00:56:19.071000,1590.0,-3860.0,2032.0,177.51944817777778,1,-1.5357780470892584,True
25384,0 days 00:56:19.250000,1524.8626736500737,-3799.1774837276803,2031.1074320290977,181.0,1,-1.4835161506365206,True
