,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,7569.865352415432,4896.350939048047,2056.0607907186577,190.0,1,0.0,False
25310,0 days 00:56:09.270000,7606.0,4836.0,2055.0,187.97999616,1,0.0,False
25311,0 days 00:56:09.369000,7631.787212249968,4792.925642993593,2054.2889042822053,186.0,1,0.0,False
25312,0 days 00:56:09.569000,7660.322439745945,4743.529300301972,2053.628262928535,180.0,1,0.0,False
25313,0 days 00:56:09.691000,7681.0,4701.0,2053.0,178.4749984,1,0.0,False
25314,0 days 00:56:09.729000,7688.775453872405,4684.194098057314,2052.736960901947,178.0,1,0.0,False
25315,0 days 00:56:09.929000,7734.025710798592,4580.836509901846,2051.1283348864363,169.0,1,0.0,False
25316,0 days 00:56:09.951000,7738.0,4571.0,2051.0,168.5874976,1,0.0,False
25317,0 days 00:56:10.089000,7756.183720297553,4520.9051799287245,2050.5241515368048,166.0,1,0.0,False
25318,0 days 00:56:10.251000,7770.0,4458.0,2050.0,162.52856868571428,1,0.0,False
25319,0 days 00:56:10.369000,7780.681676628384,4386.153974170514,2049.100671964632,160.0,1,0.0,False
25320,0 days 00:56:10.491000,7789.0,4311.0,2048.0,157.7124976,1,0.0,False
25321,0 days 00:56:10.529000,7790.316479102543,4292.196505957523,2047.6840285869746,157.0,1,0.0,False
25322,0 days 00:56:10.769000,7785.490403637423,4218.881999461989,2045.9606714289089,153.0,1,0.0,False
25323,0 days 00:56:10.911000,7778.0,4176.0,2045.0,150.3374976,1,0.0,False
25324,0 days 00:56:10.929000,7776.974872372487,4169.563490807089,2044.8767820962073,150.0,1,0.0,False
25325,0 days 00:56:11.051000,7768.0,4119.0,2044.0,146.9499968,1,0.0,False
25326,0 days 00:56:11.129000,7757.3848578434045,4078.413549565193,2043.33799923633,145.0,1,0.0,False
25327,0 days 00:56:11.370000,7711.865912614801,3942.905389762399,2041.1434907724624,144.0,1,0.0,False
25328,0 days 00:56:11.391000,7709.0,3935.0,2041.0,144.21000192,1,0.0,False
25329,0 days 00:56:11.691000,7682.0,3875.0,2040.0,147.21000192,1,0.0,False
25330,0 days 00:56:11.770000,7669.016310510383,3849.8063199331873,2040.0456630484696,148.0,1,0.0,False
25331,0 days 00:56:11.851000,7651.0,3817.0,2040.0,149.5187536,1,0.0,False
25332,0 days 00:56:12.090000,7570.787228462086,3692.9683834216826,2038.3004092911012,154.0,1,0.0,False
25333,0 days 00:56:12.131000,7556.0,3673.0,2038.0,155.46429257142856,1,0.0,False
25334,0 days 00:56:12.370000,7472.771903007406,3580.1349524329694,2036.86289838327,164.0,1,0.0,False
25335,0 days 00:56:12.592000,7406.0,3522.0,2036.0,169.5500032,1,0.0,False
25336,0 days 00:56:12.690000,7381.466859674961,3502.7047963180394,2035.4650518114647,172.0,1,0.0,False
25337,0 days 00:56:12.932000,7316.0,3459.0,2034.0,180.73889351111112,1,0.0,False
25338,0 days 00:56:13.050000,7266.121195426677,3428.689225857876,2033.4363101863162,185.0,1,0.0,False
25339,0 days 00:56:13.152000,7218.0,3401.0,2033.0,188.06000384,1,0.0,False
25340,0 days 00:56:13.250000,7171.450758949353,3376.045206059847,2032.5942083545813,191.0,1,0.0,False
25341,0 days 00:56:13.392000,7103.0,3341.0,2032.0,195.26000384,1,0.0,False
25342,0 days 00:56:13.450000,7074.495625449859,3326.273751147689,2031.7418438712637,197.0,1,0.0,False
25343,0 days 00:56:13.591000,7005.0,3289.0,2031.0,202.53929325714284,1,0.0,False
25344,0 days 00:56:13.730000,6938.889228104601,3249.1994060841776,2029.9315989057216,208.0,1,0.0,False
25345,0 days 00:56:13.850000,6881.0,3209.0,2029.0,210.25,1,0.0,False
25346,0 days 00:56:13.890000,6861.015201031814,3193.795108614837,2028.7363221846153,211.0,1,0.0,False
25347,0 days 00:56:14.051000,6781.0,3127.0,2028.0,214.62250432,1,0.0,False
25348,0 days 00:56:14.290000,6683.250681940281,3031.3782652637124,2028.0308691920613,220.0,1,0.0,False
25349,0 days 00:56:14.311000,6675.0,3023.0,2028.0,220.4593792,1,-0.04208897426170326,False
25350,0 days 00:56:14.571000,6562.0,2903.0,2027.0,226.1468792,1,0.018192153833256203,False
25351,0 days 00:56:14.610000,6539.7231111919955,2876.75067582579,2026.9176878644757,227.0,1,0.043149290585735245,False
25352,0 days 00:56:14.871000,6384.0,2682.0,2027.0,234.45714834285715,1,0.09286100164914142,False
25353,0 days 00:56:14.890000,6377.184730618788,2673.12270578531,2027.0153547418713,235.0,1,0.110579043711299,False
25354,0 days 00:56:15.151000,6331.0,2604.0,2027.0,240.22000384,1,0.12017478203526874,False
25355,0 days 00:56:15.290000,6282.367074168387,2526.7294454785756,2026.4645436889432,243.0,1,0.15938458015842183,False
25356,0 days 00:56:15.431000,6224.0,2431.0,2026.0,246.09404747956415,1,0.16230063292447874,False
25357,0 days 00:56:15.571000,6174.0,2342.0,2026.0,249.16614717669773,1,0.17601219917887978,False
25358,0 days 00:56:15.609000,6160.491086727224,2317.1151734768246,2025.952478717963,250.0,1,0.1926571108914337,False
25359,0 days 00:56:15.809000,6086.935363946764,2177.0265929174425,2025.2313479185364,254.0,1,0.20262141686027565,False
25360,0 days 00:56:15.871000,6063.0,2130.0,2025.0,254.7750016,1,0.21711057115850896,False
25361,0 days 00:56:16.049000,5990.992226977706,1985.0093103549236,2024.4763422792726,257.0,1,0.2097533525459313,False
25362,0 days 00:56:16.251000,5910.0,1819.0,2024.0,260.156252,1,0.21066329971139805,False
25363,0 days 00:56:16.369000,5866.705872738423,1730.3842354441356,2023.7054917663972,262.0,1,0.20989823050555498,False
25364,0 days 00:56:16.529000,5813.994655950038,1622.528905815394,2023.2849503022082,266.0,1,0.20268038974939795,False
25365,0 days 00:56:16.631000,5787.0,1567.0,2023.0,267.0928585142857,1,0.20539557493345362,False
25366,0 days 00:56:16.809000,5753.171485490167,1496.6171137135866,2022.4700578830602,269.0,1,0.2047361963409812,False
25367,0 days 00:56:16.971000,5722.0,1431.0,2022.0,271.531252,1,0.21346794171504516,False
