,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,4439.22495430037,-1231.4593063532598,2003.4188089815912,302.0,1,0.0,False
25310,0 days 00:56:09.270000,4390.0,-1332.0,2002.0,302.50500096,1,0.0,False
25311,0 days 00:56:09.369000,4353.931465155469,-1405.780076909818,2001.017410666226,303.0,1,0.0,False
25312,0 days 00:56:09.569000,4309.191683084483,-1497.3153540759965,1999.9793881765283,304.0,1,0.0,False
25313,0 days 00:56:09.691000,4271.0,-1574.0,1999.0,304.0,1,0.0,False
25314,0 days 00:56:09.729000,4256.11877553097,-1603.7034171861221,1998.5985668408275,304.0,1,0.0,False
25315,0 days 00:56:09.929000,4165.577476062867,-1783.8687197547206,1996.1878441128097,305.0,1,0.0,False
25316,0 days 00:56:09.951000,4157.0,-1801.0,1996.0,305.1375008,1,0.0,False
25317,0 days 00:56:10.089000,4113.4699259512745,-1888.4738091003824,1995.3361285119045,306.0,1,0.0,False
25318,0 days 00:56:10.251000,4058.0,-1999.0,1995.0,307.1571437714286,1,0.0,False
25319,0 days 00:56:10.369000,3993.4725519777635,-2125.4672508259114,1994.5162689781498,308.0,1,0.0,False
25320,0 days 00:56:10.491000,3926.0,-2257.0,1994.0,308.0,1,0.0,False
25321,0 days 00:56:10.529000,3909.2734713025266,-2289.5155625275934,1993.8784020634946,308.0,1,0.0,False
25322,0 days 00:56:10.769000,3845.441584875737,-2412.430859364583,1993.5732341676098,309.0,1,0.0,False
25323,0 days 00:56:10.911000,3804.0,-2492.0,1994.0,309.0,1,0.0,False
25324,0 days 00:56:10.929000,3797.490442132464,-2504.5311663052607,1994.09285166796,309.0,1,0.0,False
25325,0 days 00:56:11.051000,3745.0,-2605.0,1995.0,309.61000064,1,0.0,False
25326,0 days 00:56:11.129000,3702.0353146790935,-2685.405729274244,1995.9257119988954,310.0,1,0.0,False
25327,0 days 00:56:11.370000,3556.5514662085875,-2952.4065542445055,1999.7235054314342,310.0,1,0.0,False
25328,0 days 00:56:11.391000,3548.0,-2968.0,2000.0,309.63249664,1,0.0,False
25329,0 days 00:56:11.691000,3480.0,-3088.0,2003.0,304.38249664,1,0.0,False
25330,0 days 00:56:11.770000,3449.792610266264,-3139.176402025731,2003.8705787200495,303.0,1,0.0,False
25331,0 days 00:56:11.851000,3411.0,-3204.0,2005.0,296.4187344,1,0.0,False
25332,0 days 00:56:12.090000,3269.3226033784517,-3430.976102411193,2010.1523292854915,277.0,1,0.0,False
25333,0 days 00:56:12.131000,3246.0,-3466.0,2011.0,273.6321270857143,1,0.0,False
25334,0 days 00:56:12.370000,3130.709509862089,-3620.0353584987197,2014.8183452486564,254.0,1,0.0,False
25335,0 days 00:56:12.592000,3052.0,-3710.0,2017.0,238.0437408,1,0.0,False
25336,0 days 00:56:12.690000,3025.0303327917622,-3740.172128810109,2017.6454986994527,231.0,1,0.0,False
25337,0 days 00:56:12.932000,2959.0,-3807.0,2019.0,222.93332906666666,1,0.0,False
25338,0 days 00:56:13.050000,2909.9464863167855,-3850.622144242783,2020.050050839556,219.0,1,0.0,False
25339,0 days 00:56:13.152000,2863.0,-3889.0,2021.0,213.8999936,1,0.0,False
25340,0 days 00:56:13.250000,2817.9607084864656,-3921.899677008764,2021.8035967934907,209.0,1,0.0,False
25341,0 days 00:56:13.392000,2752.0,-3964.0,2023.0,200.47999232,1,0.0,False
25342,0 days 00:56:13.450000,2724.4526243601485,-3979.903551933853,2023.5996511034855,197.0,1,0.0,False
25343,0 days 00:56:13.591000,2657.0,-4015.0,2025.0,194.48213942857143,1,0.0,False
25344,0 days 00:56:13.730000,2592.2218265462625,-4043.508001392551,2025.514413785733,192.0,1,0.0,False
25345,0 days 00:56:13.850000,2537.0,-4064.0,2026.0,186.0,1,0.0,False
25346,0 days 00:56:13.890000,2518.591560089766,-4070.1286460250767,2026.3108549490237,184.0,1,0.0,False
25347,0 days 00:56:14.051000,2445.0,-4091.0,2028.0,180.37749568,1,0.0,False
25348,0 days 00:56:14.290000,2340.0314641969885,-4109.878008454426,2029.8875131947555,175.0,1,0.0,False
25349,0 days 00:56:14.311000,2331.0,-4111.0,2030.0,174.5406208,1,-1.750222472521079,True
25350,0 days 00:56:14.571000,2209.0,-4115.0,2031.0,168.8531208,1,-1.7468528440376068,True
25351,0 days 00:56:14.610000,2184.3810665359406,-4112.619036357825,2031.2285143361282,168.0,1,-1.7412573583442503,True
25352,0 days 00:56:14.871000,2009.0,-4084.0,2033.0,163.3392822857143,1,-1.7267526530955468,True
25353,0 days 00:56:14.890000,2001.2015314311438,-4082.475508543199,2033.0606590385992,163.0,1,-1.7190212417679962,True
25354,0 days 00:56:15.151000,1947.0,-4066.0,2033.0,166.2625024,1,-1.7094262583080204,True
25355,0 days 00:56:15.290000,1892.029603779044,-4045.086878954365,2032.9673411081224,168.0,1,-1.6830297818725477,True
25356,0 days 00:56:15.431000,1826.0,-4017.0,2033.0,169.32602034838465,1,-1.6699726128327668,True
25357,0 days 00:56:15.571000,1768.0,-3986.0,2033.0,170.64263450429902,1,-1.6473929860966432,True
25358,0 days 00:56:15.609000,1751.8196286215734,-3976.420550627261,2032.948435222588,171.0,1,-1.6269702896350893,True
25359,0 days 00:56:15.809000,1660.9582510454907,-3916.273093708493,2032.275863459231,174.0,1,-1.580461971565943,True
25360,0 days 00:56:15.871000,1632.0,-3894.0,2032.0,174.51666773333332,1,-1.5436030101346605,True
25361,0 days 00:56:16.049000,1547.9968981826096,-3820.1919250627584,2031.104063803094,176.0,1,-1.5025256860782834,True
25362,0 days 00:56:16.251000,1459.0,-3728.0,2030.0,180.4187528,1,-1.4351262994099443,True
25363,0 days 00:56:16.369000,1414.4784900774337,-3675.1229452415027,2029.3669604105576,183.0,1,-1.3870354870913046,True
25364,0 days 00:56:16.529000,1363.4935319093695,-3606.886270062371,2028.5243155181274,185.0,1,-1.3491632685730426,True
25365,0 days 00:56:16.631000,1338.0,-3571.0,2028.0,187.91428937142857,1,-1.2999087751016731,True
25366,0 days 00:56:16.809000,1307.0038419067582,-3524.3484045281225,2027.1094244516894,193.0,1,-1.2498120253409002,True
25367,0 days 00:56:16.971000,1280.0,-3479.0,2026.0,198.062504,1,-1.1311658546973216,True
25368,0 days 00:56:17.129000,1243.231237288588,-3414.814322568246,2024.3682729672144,203.0,1,-1.0879930542155696,True
25369,0 days 00:56:17.271000,1197.0,-3331.0,2022.0,207.56428982857142,1,-0.9963757126057154,True
25370,0 days 00:56:17.409000,1136.4989630122463,-3218.1956049337246,2018.5201185403114,212.0,1,-0.9050040293795341,True
25371,0 days 00:56:17.551000,1079.0,-3110.0,2015.0,216.0571465142857,1,-0.818731963566121,True
25372,0 days 00:56:17.689000,1048.5096166919889,-3052.623653036335,2012.9103252799166,220.0,1,-0.6619721412487528,True
25373,0 days 00:56:17.890000,1018.4627137796875,-3000.9171361860977,2010.4179819149133,224.0,1,-0.6136078744585599,True
25374,0 days 00:56:17.911000,1013.0,-2992.0,2010.0,224.3500032,1,-0.5189649815717664,True
25375,0 days 00:56:18.072000,960.0,-2907.0,2006.0,227.03333546666667,1,-0.42092248286812844,False
25376,0 days 00:56:18.130000,941.77567811511,-2878.3313408559175,2004.5375880326158,228.0,1,-0.3912144649867566,False
25377,0 days 00:56:18.332000,868.0,-2769.0,1999.0,234.7333376,1,-0.2979366825461895,False
25378,0 days 00:56:18.370000,845.8079874015693,-2737.764935415036,1997.6441051449278,236.0,1,-0.24835352830952828,False
25379,0 days 00:56:18.552000,728.0,-2575.0,1991.0,238.60000182857144,1,-0.17314315839068528,False
25380,0 days 00:56:18.650000,697.684236018329,-2533.8710957017624,1989.2445535835188,240.0,1,-0.11891964208250104,False
25381,0 days 00:56:18.832000,671.0,-2499.0,1988.0,244.5500032,1,-0.07932755557338331,False
