,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,4543.758231807843,-1016.7502965122543,2005.7596242928576,305.0,1,0.0,False
25310,0 days 00:56:09.270000,4494.0,-1119.0,2005.0,305.50500096,1,0.0,False
25311,0 days 00:56:09.369000,4457.530074175516,-1193.858378765611,2004.324239837525,306.0,1,0.0,False
25312,0 days 00:56:09.569000,4412.323954505353,-1286.2114696064425,2003.0613029841243,307.0,1,0.0,False
25313,0 days 00:56:09.691000,4374.0,-1364.0,2002.0,307.7625008,1,0.0,False
25314,0 days 00:56:09.729000,4359.0978540759725,-1394.2071339880627,2001.6085808193516,308.0,1,0.0,False
25315,0 days 00:56:09.929000,4268.571128915799,-1577.6097465220332,1999.2486378314893,309.0,1,0.0,False
25316,0 days 00:56:09.951000,4260.0,-1595.0,1999.0,309.0,1,0.0,False
25317,0 days 00:56:10.089000,4216.518893196712,-1683.4189572681162,1997.5536264308519,309.0,1,0.0,False
25318,0 days 00:56:10.251000,4161.0,-1795.0,1996.0,310.1571437714286,1,0.0,False
25319,0 days 00:56:10.369000,4096.265268952095,-1923.32774838015,1994.884139059893,311.0,1,0.0,False
25320,0 days 00:56:10.491000,4028.0,-2058.0,1994.0,311.7625008,1,0.0,False
25321,0 days 00:56:10.529000,4010.8151274492634,-2091.797854323487,1993.8354915679606,312.0,1,0.0,False
25322,0 days 00:56:10.769000,3942.359836704069,-2225.0825359469186,1993.8972762469,313.0,1,0.0,False
25323,0 days 00:56:10.911000,3901.0,-2305.0,1994.0,313.8875008,1,0.0,False
25324,0 days 00:56:10.929000,3894.7693671395705,-2317.052992798633,1993.993180660268,314.0,1,0.0,False
25325,0 days 00:56:11.051000,3845.0,-2413.0,1994.0,314.0,1,0.0,False
25326,0 days 00:56:11.129000,3803.0721351882016,-2492.82874868964,1994.3801353009349,314.0,1,0.0,False
25327,0 days 00:56:11.370000,3657.561894065876,-2766.956521344689,1996.8224527896284,315.0,1,0.0,False
25328,0 days 00:56:11.391000,3649.0,-2783.0,1997.0,314.94749952,1,0.0,False
25329,0 days 00:56:11.691000,3582.0,-2906.0,1999.0,314.19749952,1,0.0,False
25330,0 days 00:56:11.770000,3552.704130203968,-2959.056891100662,1999.808609104649,314.0,1,0.0,False
25331,0 days 00:56:11.851000,3514.0,-3028.0,2001.0,313.7468744,1,0.0,False
25332,0 days 00:56:12.090000,3362.8362179343717,-3284.7573400881115,2007.0354232101206,313.0,1,0.0,False
25333,0 days 00:56:12.131000,3338.0,-3325.0,2008.0,308.8999808,1,0.0,False
25334,0 days 00:56:12.370000,3219.1912344437865,-3502.623687285076,2011.8873308800805,285.0,1,0.0,False
25335,0 days 00:56:12.592000,3139.0,-3608.0,2014.0,266.9624896,1,0.0,False
25336,0 days 00:56:12.690000,3110.114350846589,-3644.1139741432794,2014.804086782718,259.0,1,0.0,False
25337,0 days 00:56:12.932000,3038.0,-3726.0,2017.0,240.8499904,1,0.0,False
25338,0 days 00:56:13.050000,2986.9778386548205,-3779.445733671043,2018.651357166619,232.0,1,0.0,False
25339,0 days 00:56:13.152000,2939.0,-3826.0,2020.0,226.38999296,1,0.0,False
25340,0 days 00:56:13.250000,2893.5956488925676,-3865.143374208552,2020.9127758945647,221.0,1,0.0,False
25341,0 days 00:56:13.392000,2827.0,-3915.0,2022.0,216.73999616,1,0.0,False
25342,0 days 00:56:13.450000,2798.6180978879515,-3934.3150107313086,2022.5583278162183,215.0,1,0.0,False
