,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,3129.467374972446,-3617.1068387578634,2014.2746736030342,238.0,1,0.0,False
25310,0 days 00:56:09.270000,3076.0,-3684.0,2016.0,230.92998656,1,0.0,False
25311,0 days 00:56:09.369000,3036.932631112871,-3731.284522720781,2017.1360686088901,224.0,1,0.0,False
25312,0 days 00:56:09.569000,2988.719964317319,-3781.858321797973,2018.1027718277307,214.0,1,0.0,False
25313,0 days 00:56:09.691000,2947.0,-3818.0,2019.0,204.8499904,1,0.0,False
25314,0 days 00:56:09.729000,2930.6642281763184,-3831.6152462951304,2019.3792249106677,202.0,1,0.0,False
25315,0 days 00:56:09.929000,2830.6000392210976,-3911.6983437643753,2021.7822538513926,194.0,1,0.0,False
25316,0 days 00:56:09.951000,2821.0,-3919.0,2022.0,193.312496,1,0.0,False
25317,0 days 00:56:10.089000,2771.499277386001,-3954.363451440775,2023.020294008129,189.0,1,0.0,False
25318,0 days 00:56:10.251000,2706.0,-3990.0,2024.0,186.10714057142857,1,0.0,False
25319,0 days 00:56:10.369000,2628.980749518418,-4025.3650039695076,2024.9907363764523,184.0,1,0.0,False
25320,0 days 00:56:10.491000,2551.0,-4059.0,2026.0,179.4249952,1,0.0,False
25321,0 days 00:56:10.529000,2533.005924309949,-4066.436730578457,2026.25484668177,178.0,1,0.0,False
25322,0 days 00:56:10.769000,2480.6738838620186,-4083.1881852483143,2027.2901746288396,178.0,1,0.0,False
25323,0 days 00:56:10.911000,2444.0,-4091.0,2028.0,167.3499904,1,0.0,False
25324,0 days 00:56:10.929000,2437.4824429240853,-4092.511852238765,2028.1110364453216,166.0,1,0.0,False
25325,0 days 00:56:11.051000,2382.0,-4104.0,2029.0,164.16999808,1,0.0,False
25326,0 days 00:56:11.129000,2335.7696109428066,-4108.926155398997,2029.7149299518348,163.0,1,0.0,False
25327,0 days 00:56:11.370000,2178.239792819972,-4112.133048707573,2031.916060046073,162.0,1,0.0,False
25328,0 days 00:56:11.391000,2169.0,-4112.0,2032.0,162.10500096,1,0.0,False
25329,0 days 00:56:11.691000,2097.0,-4103.0,2032.0,163.60500096,1,0.0,False
25330,0 days 00:56:11.770000,2065.6398939460005,-4097.138306501443,2032.4781188228947,164.0,1,0.0,False
25331,0 days 00:56:11.851000,2025.0,-4088.0,2033.0,164.7593768,1,0.0,False
25332,0 days 00:56:12.090000,1873.5478179667425,-4037.150509961881,2033.0785907057873,167.0,1,0.0,False
25333,0 days 00:56:12.131000,1849.0,-4027.0,2033.0,167.7321462857143,1,0.0,False
25334,0 days 00:56:12.370000,1732.4399778616958,-3965.8850654343332,2032.3811400681404,172.0,1,0.0,False
25335,0 days 00:56:12.592000,1657.0,-3914.0,2032.0,175.468752,1,0.0,False
25336,0 days 00:56:12.690000,1631.5407477351462,-3894.839140191821,2032.0167942471023,177.0,1,0.0,False
25337,0 days 00:56:12.932000,1572.0,-3843.0,2032.0,181.70555804444444,1,0.0,False
25338,0 days 00:56:13.050000,1529.7746575193796,-3802.9846864743363,2031.492009252798,184.0,1,0.0,False
25339,0 days 00:56:13.152000,1491.0,-3764.0,2031.0,186.04000256,1,0.0,False
25340,0 days 00:56:13.250000,1455.9584983432203,-3725.8048199594996,2030.6617371363106,188.0,1,0.0,False
25341,0 days 00:56:13.392000,1408.0,-3668.0,2030.0,192.26000384,1,0.0,False
25342,0 days 00:56:13.450000,1388.904443849989,-3643.0216499704284,2029.4882964094343,194.0,1,0.0,False
25343,0 days 00:56:13.591000,1344.0,-3580.0,2028.0,196.01428845714287,1,0.0,False
25344,0 days 00:56:13.730000,1302.6769870324645,-3517.151266229431,2027.028247854501,198.0,1,0.0,False
25345,0 days 00:56:13.850000,1267.0,-3458.0,2026.0,203.25,1,0.0,False
25346,0 days 00:56:13.890000,1254.6738075819783,-3436.470681816205,2025.504043011416,205.0,1,0.0,False
25347,0 days 00:56:14.051000,1205.0,-3346.0,2023.0,209.42750528,1,0.0,False
25348,0 days 00:56:14.290000,1142.2545231079043,-3229.04508300056,2019.3261485258288,216.0,1,0.0,False
25349,0 days 00:56:14.311000,1137.0,-3219.0,2019.0,216.656256,1,-0.6606876090654688,True
25350,0 days 00:56:14.571000,1062.0,-3078.0,2014.0,224.781256,1,-0.5522791436192621,True
25351,0 days 00:56:14.610000,1045.0597531774602,-3048.808028165465,2012.7796417523625,226.0,1,-0.5100093729828699,True
25352,0 days 00:56:14.871000,917.0,-2839.0,2003.0,229.72857417142856,1,-0.37602207871213217,False
25353,0 days 00:56:14.890000,911.1025842922215,-2829.668436784334,2002.4852664465907,230.0,1,-0.34373688417261045,False
25354,0 days 00:56:15.151000,865.0,-2764.0,1998.0,235.87250432,1,-0.30269642580280415,False
25355,0 days 00:56:15.290000,815.0447219863074,-2695.0822268540182,1995.1805246188098,239.0,1,-0.22519020407898124,False
25356,0 days 00:56:15.431000,754.0,-2611.0,1992.0,241.2100339139744,1,-0.1868787411528177,False
25357,0 days 00:56:15.571000,698.0,-2535.0,1989.0,243.4043908404984,1,-0.1400988779487464,False
25358,0 days 00:56:15.609000,682.0530323669187,-2513.507937991933,1988.2916792110966,244.0,1,-0.0953279463575829,False
25359,0 days 00:56:15.809000,589.6431029604588,-2389.5683428880434,1985.5028331253245,249.0,1,-0.005060658218942618,False
25360,0 days 00:56:15.871000,558.0,-2347.0,1985.0,249.51666773333332,1,0.07965615999246306,False
25361,0 days 00:56:16.049000,459.16677561341396,-2213.404412562902,1984.5510337340797,251.0,1,0.1436755736886194,False
25362,0 days 00:56:16.251000,346.0,-2062.0,1985.0,252.2625008,1,0.2118012697358065,False
25363,0 days 00:56:16.369000,286.75938502266126,-1985.054424847903,1985.276520367846,253.0,1,0.2746303326089271,False
25364,0 days 00:56:16.529000,215.75704916508957,-1895.4697682033845,1985.6825008150734,254.0,1,0.32130263587050284,False
