,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,7086.670813466802,3332.1307724925814,2031.7594409841465,197.0,1,0.0,False
25310,0 days 00:56:09.270000,7021.0,3297.0,2031.0,200.53500672,1,0.0,False
25311,0 days 00:56:09.369000,6972.973838723856,3270.829095189985,2030.3930509130548,204.0,1,0.0,False
25312,0 days 00:56:09.569000,6914.413051257823,3235.0894069745186,2029.5183856102185,210.0,1,0.0,False
25313,0 days 00:56:09.691000,6867.0,3198.0,2029.0,214.5750048,1,0.0,False
25314,0 days 00:56:09.729000,6848.789153991945,3182.9083245930287,2028.831346868964,216.0,1,0.0,False
25315,0 days 00:56:09.929000,6739.298607342718,3087.405060516738,2028.0407662083,221.0,1,0.0,False
25316,0 days 00:56:09.951000,6729.0,3078.0,2028.0,221.4125024,1,0.0,False
25317,0 days 00:56:10.089000,6677.094310912707,3028.1785850816277,2028.0084829180744,224.0,1,0.0,False
25318,0 days 00:56:10.251000,6614.0,2960.0,2028.0,226.31428754285713,1,0.0,False
25319,0 days 00:56:10.369000,6542.974172921216,2880.3220738060427,2027.5109446831436,228.0,1,0.0,False
25320,0 days 00:56:10.491000,6469.0,2795.0,2027.0,234.1000064,1,0.0,False
25321,0 days 00:56:10.529000,6450.52236593195,2772.9140631025343,2026.9309275639985,236.0,1,0.0,False
25322,0 days 00:56:10.769000,6379.070637397754,2677.218069248223,2027.314249428824,240.0,1,0.0,False
25323,0 days 00:56:10.911000,6339.0,2617.0,2027.0,242.6625024,1,0.0,False
25324,0 days 00:56:10.929000,6333.063241709815,2608.071085395219,2026.8974186737967,243.0,1,0.0,False
25325,0 days 00:56:11.051000,6287.0,2537.0,2026.0,246.0500032,1,0.0,False
25326,0 days 00:56:11.129000,6250.810993407207,2476.4235891234766,2025.5675757699296,248.0,1,0.0,False
25327,0 days 00:56:11.370000,6131.938509851258,2263.651525313158,2025.0203090466757,252.0,1,0.0,False
25328,0 days 00:56:11.391000,6125.0,2251.0,2025.0,252.31500288,1,0.0,False
25329,0 days 00:56:11.691000,6072.0,2149.0,2025.0,256.81500288,1,0.0,False
25330,0 days 00:56:11.770000,6049.9246471616025,2104.4657222321707,2025.0365864124908,258.0,1,0.0,False
25331,0 days 00:56:11.851000,6021.0,2046.0,2025.0,259.7718792,1,0.0,False
25332,0 days 00:56:12.090000,5909.305348207003,1819.3748803484905,2024.139069351392,265.0,1,0.0,False
25333,0 days 00:56:12.131000,5891.0,1782.0,2024.0,265.29285851428574,1,0.0,False
25334,0 days 00:56:12.370000,5803.459008051534,1601.2576813951227,2023.5971856865915,267.0,1,0.0,False
25335,0 days 00:56:12.592000,5744.0,1477.0,2023.0,272.5500032,1,0.0,False
25336,0 days 00:56:12.690000,5722.317594262689,1431.7568192285341,2022.4258875148141,275.0,1,0.0,False
25337,0 days 00:56:12.932000,5668.0,1318.0,2021.0,277.6888903111111,1,0.0,False
25338,0 days 00:56:13.050000,5630.091384248111,1237.934390753154,2020.9968971055973,279.0,1,0.0,False
25339,0 days 00:56:13.152000,5595.0,1164.0,2021.0,280.53000192,1,0.0,False
25340,0 days 00:56:13.250000,5562.544644325456,1096.1236968398982,2020.704370446819,282.0,1,0.0,False
25341,0 days 00:56:13.392000,5516.0,999.0,2020.0,282.71000064,1,0.0,False
25342,0 days 00:56:13.450000,5496.382090578521,957.822810341668,2019.7281513606908,283.0,1,0.0,False
25343,0 days 00:56:13.591000,5448.0,856.0,2019.0,285.01428845714287,1,0.0,False
25344,0 days 00:56:13.730000,5401.310707086,758.1109498831504,2017.9208274239538,287.0,1,0.0,False
25345,0 days 00:56:13.850000,5359.0,670.0,2017.0,288.5,1,0.0,False
25346,0 days 00:56:13.890000,5343.957028521456,638.8286164277037,2016.7520945275935,289.0,1,0.0,False
25347,0 days 00:56:14.051000,5282.0,511.0,2016.0,290.61000192,1,0.0,False
25348,0 days 00:56:14.290000,5203.618887992333,349.6877405358838,2015.115612473937,293.0,1,0.0,False
25349,0 days 00:56:14.311000,5197.0,336.0,2015.0,293.1968768,1,0.06880675701451001,False
25350,0 days 00:56:14.571000,5105.0,145.0,2013.0,295.6343768,1,0.048897886973436076,False
25351,0 days 00:56:14.610000,5085.806731099095,105.3315913786809,2012.6994545836146,296.0,1,0.037557728220372816,False
25352,0 days 00:56:14.871000,4947.0,-181.0,2011.0,298.79643062857144,1,0.004390485534873615,False
25353,0 days 00:56:14.890000,4940.808107797166,-193.84426162188177,2010.9073457230966,299.0,1,-0.007618712353415445,False
25354,0 days 00:56:15.151000,4897.0,-286.0,2010.0,300.30500096,1,-0.023984107362657513,False
25355,0 days 00:56:15.290000,4851.099401543477,-381.1895995455104,2009.6215877779025,301.0,1,-0.04571508401179042,False
25356,0 days 00:56:15.431000,4795.0,-497.0,2009.0,301.44200678279486,1,-0.05960981113291435,False
25357,0 days 00:56:15.571000,4744.0,-602.0,2008.0,301.8808781680997,1,-0.07168000843861441,False
25358,0 days 00:56:15.609000,4729.531923033739,-631.7967341314933,2007.7939989354404,302.0,1,-0.08751975574957963,False
25359,0 days 00:56:15.809000,4646.513297228105,-803.0484656166897,2007.2395942594649,304.0,1,-0.12460035917172414,False
25360,0 days 00:56:15.871000,4619.0,-860.0,2007.0,304.25833386666665,1,-0.17278021206396982,False
25361,0 days 00:56:16.049000,4535.933106973716,-1032.5499956270326,2005.8723289907061,305.0,1,-0.20145537452445159,False
25362,0 days 00:56:16.251000,4442.0,-1227.0,2004.0,305.6312504,1,-0.22392175448853632,False
25363,0 days 00:56:16.369000,4391.518902714391,-1330.1980808469498,2002.7237911584057,306.0,1,-0.25623311214212113,False
25364,0 days 00:56:16.529000,4329.75225097616,-1455.087346457596,2000.9054381167584,308.0,1,-0.2788180297541853,False
25365,0 days 00:56:16.631000,4298.0,-1519.0,2000.0,308.72857234285715,1,-0.3037210198810732,False
25366,0 days 00:56:16.809000,4257.954404287066,-1599.1347786494844,1998.9922986696652,310.0,1,-0.3256628427452189,False
25367,0 days 00:56:16.971000,4221.0,-1673.0,1998.0,310.5062504,1,-0.35764060198603365,False
25368,0 days 00:56:17.129000,4169.765642055392,-1775.897794824349,1996.3698430982188,311.0,1,-0.3808942093504116,False
25369,0 days 00:56:17.271000,4105.0,-1905.0,1995.0,312.52142994285714,1,-0.400317160570286,False
25370,0 days 00:56:17.409000,4020.216620718714,-2072.4149800971145,1994.291893060526,314.0,1,-0.45467140263409084,False
25371,0 days 00:56:17.551000,3940.0,-2230.0,1994.0,314.0,1,-0.4882845247222319,False
25372,0 days 00:56:17.689000,3898.3517384850834,-2311.0626455261413,1993.9364194489794,314.0,1,-0.5647721020535074,True
25373,0 days 00:56:17.890000,3860.7930224104307,-2382.09143923478,1994.0061434481356,315.0,1,-0.5973257217137934,True
25374,0 days 00:56:17.911000,3854.0,-2395.0,1994.0,315.0,1,-0.6306344856431854,True
25375,0 days 00:56:18.072000,3789.0,-2519.0,1994.0,315.0,1,-0.6928717872947444,True
25376,0 days 00:56:18.130000,3768.1323605338043,-2559.2142725675485,1994.1858553473674,315.0,1,-0.7067185058419186,True
25377,0 days 00:56:18.332000,3690.0,-2708.0,1996.0,315.0,1,-0.7877307825296544,True
25378,0 days 00:56:18.370000,3666.2157452369443,-2751.903985744713,1996.6015759548206,315.0,1,-0.835298953075387,True
25379,0 days 00:56:18.552000,3539.0,-2984.0,2000.0,315.0,1,-0.9171831573127931,True
25380,0 days 00:56:18.650000,3506.3683259873355,-3042.9757954112733,2001.274555399454,315.0,1,-0.9954313185826867,True
25381,0 days 00:56:18.832000,3478.0,-3091.0,2003.0,311.20833066666665,1,-1.0178197251883436,True
25382,0 days 00:56:18.890000,3457.9021796916586,-3124.919713436523,2003.6515445767602,310.0,1,-1.0729935380566988,True
25383,0 days 00:56:19.071000,3374.0,-3266.0,2006.0,294.91665066666667,1,-1.150912495497118,True
25384,0 days 00:56:19.250000,3303.1733293275984,-3380.229907844827,2008.6546304647368,280.0,1,-1.2279044519104623,True
25385,0 days 00:56:19.271000,3294.0,-3394.0,2009.0,277.9583146666667,1,-1.2428840160843122,True
25386,0 days 00:56:19.610000,3122.4059934638763,-3628.467632599305,2014.985788273577,245.0,1,-1.377744008080318,True
25387,0 days 00:56:19.611000,3122.0,-3629.0,2015.0,244.9249856,1,-1.411659600996203,True
25388,0 days 00:56:19.810000,3062.402424163125,-3705.2512939187054,2017.1623500682888,230.0,1,-1.4565386544200893,True
25389,0 days 00:56:20.032000,2974.0,-3793.0,2018.0,216.5214208,1,-1.514069971545719,True
25390,0 days 00:56:20.052000,2961.0,-3805.0,2018.0,215.3071350857143,1,-1.5378881094793369,True
25391,0 days 00:56:20.090000,2937.8538205334435,-3826.104665319728,2018.099307912209,213.0,1,-1.5610257036308763,True
25392,0 days 00:56:20.390000,2812.0,-3926.0,2022.0,200.24998912,1,-1.614304539894009,True
25393,0 days 00:56:20.490000,2766.9240133224803,-3954.831089816179,2022.88125699506,196.0,1,-1.630531275681597,True
25394,0 days 00:56:20.650000,2689.0,-3999.0,2024.0,192.0,1,-1.6777297276541814,True
25395,0 days 00:56:20.730000,2649.9879692534532,-4018.2587886459223,2024.7946456657196,190.0,1,-1.7018465943306826,True
25396,0 days 00:56:20.851000,2594.0,-4043.0,2026.0,187.7312464,1,-1.7202309542732959,True
25397,0 days 00:56:20.890000,2577.7528061270277,-4049.602226823713,2026.2802307380334,187.0,1,-1.7288762924801195,True
25398,0 days 00:56:21.031000,2523.0,-4069.0,2027.0,183.79545018181818,1,-1.7401275570906087,True
25399,0 days 00:56:21.330000,2391.3671639504964,-4098.863677598361,2028.7085632273443,177.0,1,-1.7520010599957454,True
25400,0 days 00:56:21.730000,2190.6315748379056,-4112.441385122345,2031.2307038229421,170.0,1,-1.7694014909040015,True
