,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,-1843.897789151094,-1038.479128417173,1977.3822066695743,104.0,1,0.0,False
25310,0 days 00:56:09.270000,-1876.0,-1015.0,1977.0,107.03000576,1,0.0,False
25311,0 days 00:56:09.369000,-1899.0904392531274,-996.6811726614833,1976.7194513272516,110.0,1,0.0,False
25312,0 days 00:56:09.569000,-1925.9474547045277,-969.2150200488036,1976.3571080035304,114.0,1,0.0,False
25313,0 days 00:56:09.691000,-1948.0,-943.0,1976.0,118.5750048,1,0.0,False
25314,0 days 00:56:09.729000,-1956.5715327595976,-932.6752733431642,1975.8557591305453,120.0,1,0.0,False
25315,0 days 00:56:09.929000,-2008.9335952066876,-869.1193295363314,1975.0454138600253,123.0,1,0.0,False
25316,0 days 00:56:09.951000,-2014.0,-863.0,1975.0,123.8250048,1,0.0,False
25317,0 days 00:56:10.089000,-2040.4501177631364,-831.3323818230302,1974.9875998777347,129.0,1,0.0,False
25318,0 days 00:56:10.251000,-2074.0,-788.0,1975.0,135.36429074285715,1,0.0,False
25319,0 days 00:56:10.369000,-2111.293405497806,-735.8335398998031,1974.578337917827,140.0,1,0.0,False
25320,0 days 00:56:10.491000,-2151.0,-676.0,1974.0,146.1000064,1,0.0,False
25321,0 days 00:56:10.529000,-2161.396359786795,-658.8081874290419,1973.8421311918946,148.0,1,0.0,False
25322,0 days 00:56:10.769000,-2206.8983420984314,-564.6119680409585,1973.1060883913058,152.0,1,0.0,False
25323,0 days 00:56:10.911000,-2228.0,-510.0,1973.0,160.875008,1,0.0,False
25324,0 days 00:56:10.929000,-2230.663643730395,-502.83897906353434,1973.0073434152857,162.0,1,0.0,False
25325,0 days 00:56:11.051000,-2249.0,-449.0,1973.0,165.66000384,1,0.0,False
25326,0 days 00:56:11.129000,-2261.650567092659,-402.27848713026236,1972.5971805810086,168.0,1,0.0,False
25327,0 days 00:56:11.370000,-2298.1233970698654,-234.89054803753774,1970.1467756388631,173.0,1,0.0,False
25328,0 days 00:56:11.391000,-2300.0,-225.0,1970.0,173.31500288,1,0.0,False
25329,0 days 00:56:11.691000,-2308.0,-147.0,1969.0,177.81500288,1,0.0,False
25330,0 days 00:56:11.770000,-2310.6906926169577,-112.34513465562276,1968.552999778737,179.0,1,0.0,False
25331,0 days 00:56:11.851000,-2313.0,-67.0,1968.0,180.0125024,1,0.0,False
25332,0 days 00:56:12.090000,-2307.4939642627864,106.2118804311827,1966.2656530917893,183.0,1,0.0,False
25333,0 days 00:56:12.131000,-2305.0,135.0,1966.0,183.7321462857143,1,0.0,False
25334,0 days 00:56:12.370000,-2282.3273986220147,277.24020745443727,1964.776469432561,188.0,1,0.0,False
25335,0 days 00:56:12.592000,-2258.0,374.0,1964.0,192.1625024,1,0.0,False
25336,0 days 00:56:12.690000,-2248.8829287424505,406.9487545378691,1963.728369720771,194.0,1,0.0,False
25337,0 days 00:56:12.932000,-2218.0,490.0,1963.0,201.39444835555557,1,0.0,False
25338,0 days 00:56:13.050000,-2187.712644722731,554.965171724302,1962.4048769068872,205.0,1,0.0,False
25339,0 days 00:56:13.152000,-2158.0,615.0,1962.0,207.5500032,1,0.0,False
25340,0 days 00:56:13.250000,-2130.2644126815576,668.1846210323926,1961.8960248910187,210.0,1,0.0,False
25341,0 days 00:56:13.392000,-2090.0,739.0,1962.0,214.26000384,1,0.0,False
25342,0 days 00:56:13.450000,-2072.856598278696,766.5060469478714,1962.0203580001578,216.0,1,0.0,False
25343,0 days 00:56:13.591000,-2029.0,832.0,1962.0,219.5250048,1,0.0,False
25344,0 days 00:56:13.730000,-1981.6801057246516,899.4296777333367,1961.865078782316,223.0,1,0.0,False
25345,0 days 00:56:13.850000,-1936.0,963.0,1962.0,223.0,1,0.0,False
25346,0 days 00:56:13.890000,-1919.5076004114685,985.7974837321533,1962.1588321388274,223.0,1,0.0,False
25347,0 days 00:56:14.051000,-1851.0,1080.0,1963.0,228.23250624,1,0.0,False
25348,0 days 00:56:14.290000,-1765.3617639786391,1197.0820021487632,1962.982541201927,236.0,1,0.0,False
25349,0 days 00:56:14.311000,-1758.0,1207.0,1963.0,236.5906304,1,-0.6603887845002203,True
25350,0 days 00:56:14.571000,-1652.0,1346.0,1964.0,243.9031304,1,-0.6080384616297748,True
25351,0 days 00:56:14.610000,-1629.278937759423,1374.9497816965347,1964.2409159820943,245.0,1,-0.5935487254310384,True
25352,0 days 00:56:14.871000,-1463.0,1584.0,1966.0,248.72857417142856,1,-0.5641997407514083,True
25353,0 days 00:56:14.890000,-1455.5073576876994,1593.3532348712397,1966.0900265008495,249.0,1,-0.5639714497248286,True
25354,0 days 00:56:15.151000,-1402.0,1661.0,1967.0,253.56750336,1,-0.5668181906983415,True
25355,0 days 00:56:15.290000,-1347.872317801518,1733.1689702574004,1967.9073111013706,256.0,1,-0.541822076291667,True
25356,0 days 00:56:15.431000,-1282.0,1822.0,1969.0,259.536054262359,1,-0.5443573713613823,True
25357,0 days 00:56:15.571000,-1222.0,1904.0,1970.0,263.0470253447974,1,-0.5296615162018773,True
25358,0 days 00:56:15.609000,-1205.0163584752936,1927.4412132491452,1970.2443900408261,264.0,1,-0.530902807570433,True
25359,0 days 00:56:15.809000,-1107.6299121544796,2062.9117201689555,1971.4618818717984,267.0,1,-0.5470213059381805,True
25360,0 days 00:56:15.871000,-1075.0,2108.0,1972.0,267.25833386666665,1,-0.5792966960117996,True
25361,0 days 00:56:16.049000,-975.2086526985686,2244.489012958612,1974.161436883116,268.0,1,-0.5929508025303145,True
25362,0 days 00:56:16.251000,-862.0,2399.0,1977.0,271.156252,1,-0.5766081881090283,True
25363,0 days 00:56:16.369000,-801.967221922146,2481.8793073872407,1978.4495022443666,273.0,1,-0.5892026140180276,True
25364,0 days 00:56:16.529000,-729.3210279762326,2583.0921893536324,1980.1428482653089,275.0,1,-0.6042296763517215,True
25365,0 days 00:56:16.631000,-692.0,2635.0,1981.0,276.0928585142857,1,-0.6082497159145426,True
25366,0 days 00:56:16.809000,-644.8208194919489,2700.182302727702,1982.0627767874446,278.0,1,-0.6116226314206469,True
25367,0 days 00:56:16.971000,-602.0,2761.0,1983.0,279.5187512,1,-0.5939632752570575,True
25368,0 days 00:56:17.129000,-543.7413482186042,2846.5814189248504,1984.2646279175333,281.0,1,-0.6064470584257609,True
25369,0 days 00:56:17.271000,-471.0,2955.0,1986.0,282.0142866285714,1,-0.6097430798582447,True
25370,0 days 00:56:17.409000,-376.4931724179652,3096.6402008299306,1988.4789363716397,283.0,1,-0.6306463019159363,True
25371,0 days 00:56:17.551000,-287.0,3231.0,1991.0,283.5071433142857,1,-0.6467145444934761,True
25372,0 days 00:56:17.689000,-239.8014352110158,3301.8250413240553,1992.5765051377675,284.0,1,-0.6293852422678361,True
25373,0 days 00:56:17.890000,-196.61125063811443,3365.0206308521883,1993.8738880185049,286.0,1,-0.633721178622605,True
25374,0 days 00:56:17.911000,-189.0,3376.0,1994.0,286.1750016,1,-0.6126797117405904,True
25375,0 days 00:56:18.072000,-116.0,3481.0,1995.0,287.51666773333335,1,-0.6099446795894723,True
25376,0 days 00:56:18.130000,-91.36806809291338,3516.562029533774,1995.4535040278815,288.0,1,-0.6119767550434942,True
25377,0 days 00:56:18.332000,5.0,3650.0,1998.0,289.6833344,1,-0.6145647134745871,True
25378,0 days 00:56:18.370000,33.50758316757289,3687.0523887481745,1998.7951644122422,290.0,1,-0.604664319135344,True
25379,0 days 00:56:18.552000,184.0,3878.0,2003.0,291.3000009142857,1,-0.6311646656561289,True
25380,0 days 00:56:18.650000,222.37791680809372,3925.9409377137445,2004.0309184223102,292.0,1,-0.6166590676744435,True
25381,0 days 00:56:18.832000,256.0,3963.0,2005.0,288.20833066666665,1,-0.6177978223981268,True
25382,0 days 00:56:18.890000,280.16370034843305,3989.305575411527,2005.794502827265,287.0,1,-0.606230549483519,True
25383,0 days 00:56:19.071000,384.0,4100.0,2009.0,280.46388195555556,1,-0.6126224739729004,True
25384,0 days 00:56:19.250000,482.2333639215794,4192.395807998423,2010.817137300992,274.0,1,-0.6122842204094874,True
25385,0 days 00:56:19.271000,495.0,4203.0,2011.0,273.4166613333333,1,-0.6096108291805528,True
25386,0 days 00:56:19.610000,735.3541198013351,4367.631648386096,2013.0030563168875,264.0,1,-0.6016920494513323,True
25387,0 days 00:56:19.611000,736.0,4368.0,2013.0,263.9749952,1,-0.5884883562328522,True
25388,0 days 00:56:19.810000,848.0594099691826,4421.903825263328,2010.9824577041225,259.0,1,-0.5749288122361721,True
25389,0 days 00:56:20.032000,976.0,4462.0,2014.0,255.8285696,1,-0.5507765206378771,True
25390,0 days 00:56:20.052000,990.0,4466.0,2015.0,255.5428553142857,1,-0.5393665522322357,True
25391,0 days 00:56:20.090000,1016.6791502540921,4473.159599798692,2016.5412235555536,255.0,1,-0.5298551813864045,True
25392,0 days 00:56:20.390000,1227.0,4509.0,2016.0,252.74999808,1,-0.47907194059993696,False
25393,0 days 00:56:20.490000,1297.5686367399599,4514.66602846821,2016.3397791604862,252.0,1,-0.46050708261117235,False
25394,0 days 00:56:20.650000,1411.0,4519.0,2018.0,254.0,1,-0.4166845660395298,False
25395,0 days 00:56:20.730000,1467.885211335096,4519.834976765403,2018.7915288462275,255.0,1,-0.3924751494537101,False
25396,0 days 00:56:20.851000,1554.0,4519.0,2020.0,255.7562512,1,-0.3601028152884975,False
25397,0 days 00:56:20.890000,1581.7282126251278,4518.034391669111,2020.4233520207324,256.0,1,-0.3461328643525296,False
25398,0 days 00:56:21.031000,1682.0,4512.0,2022.0,257.6022749090909,1,-0.31336742664152506,False
25399,0 days 00:56:21.330000,1896.232699345543,4489.282054920366,2024.581072028131,261.0,1,-0.2297183904368106,False
25400,0 days 00:56:21.730000,2187.4515966505674,4450.368330285972,2026.905403911913,268.0,1,-0.12250342278653197,False
25401,0 days 00:56:21.891000,2307.0,4442.0,2028.0,269.61000192,1,-0.08049990325737465,False
25402,0 days 00:56:21.930000,2336.1685454013673,4440.702661053074,2028.284086855233,270.0,1,-0.060541785418099306,False
25403,0 days 00:56:22.129000,2486.1105788409614,4438.631680196199,2029.8926350037038,272.0,1,-0.010535331473734063,False
25404,0 days 00:56:22.231000,2563.0,4441.0,2031.0,272.0,1,0.01796910456278487,False
25405,0 days 00:56:22.369000,2666.650223687084,4448.160405393238,2032.8804289737989,272.0,1,0.05223552533620251,False
25406,0 days 00:56:22.471000,2740.0,4457.0,2034.0,271.14999893333334,1,0.06342023656118856,False
25407,0 days 00:56:22.631000,2849.0,4478.0,2035.0,269.8166656,1,0.09194879045274441,False
25408,0 days 00:56:22.711000,2907.0,4492.0,2036.0,269.14999893333334,1,0.10737035043938563,False
25409,0 days 00:56:22.729000,2919.8074658773885,4495.303860900144,2036.2381216032818,269.0,1,0.10337092214431083,False
25410,0 days 00:56:22.931000,3064.0,4542.0,2039.0,269.0,1,0.1379223779799109,False
25411,0 days 00:56:22.969000,3096.143486847096,4555.687943427465,2039.598046590925,269.0,1,0.13941120597617068,False
25412,0 days 00:56:23.209000,3331.213798093959,4675.067104614254,2043.8200728024688,271.0,1,0.1330805155099096,False
25413,0 days 00:56:23.291000,3398.0,4713.0,2045.0,271.2928576,1,0.13214022558957197,False
25414,0 days 00:56:23.489000,3506.7225044976444,4783.9749434066935,2046.893902348334,272.0,1,0.11054179241518781,False
25415,0 days 00:56:23.712000,3605.0,4870.0,2048.0,273.85833386666667,1,0.07093713208990234,False
25416,0 days 00:56:23.729000,3614.5746791251845,4878.805150846516,2048.068247595922,274.0,1,0.06608331739752385,False
25417,0 days 00:56:23.889000,3718.9380697458405,4977.031607511022,2048.6011695766474,274.0,1,0.02503722081315563,False
25418,0 days 00:56:24.032000,3806.0,5061.0,2049.0,274.8937504,1,-0.018356220592216546,False
25419,0 days 00:56:24.049000,3814.654057977558,5069.469029367685,2049.0467423448517,275.0,1,-0.03580515183803425,False
25420,0 days 00:56:24.370000,3936.767546615203,5192.7727767499855,2049.936266123625,273.0,1,-0.13113307020320147,False
