,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,7739.262079534927,4022.9124642951765,2042.709502581665,146.0,1,0.0,False
25310,0 days 00:56:09.270000,7723.0,3971.0,2042.0,147.01000192,1,0.0,False
25311,0 days 00:56:09.369000,7710.155945012595,3933.125622873704,2041.4117413319511,148.0,1,0.0,False
25312,0 days 00:56:09.569000,7689.921559038493,3887.0642796663305,2040.5060163845383,150.0,1,0.0,False
25313,0 days 00:56:09.691000,7669.0,3849.0,2040.0,152.2875024,1,0.0,False
25314,0 days 00:56:09.729000,7660.610716407371,3834.276652356102,2039.8434286025538,153.0,1,0.0,False
25315,0 days 00:56:09.929000,7608.130144578364,3745.352012511378,2039.0698899911522,157.0,1,0.0,False
25316,0 days 00:56:09.951000,7603.0,3737.0,2039.0,157.4125024,1,0.0,False
25317,0 days 00:56:10.089000,7576.0122796712185,3695.0491347047955,2038.6456134484388,160.0,1,0.0,False
25318,0 days 00:56:10.251000,7534.0,3645.0,2038.0,165.20714697142859,1,0.0,False
25319,0 days 00:56:10.369000,7479.317064286043,3589.357618382514,2037.0486984875192,169.0,1,0.0,False
25320,0 days 00:56:10.491000,7419.0,3532.0,2036.0,174.3375056,1,0.0,False
25321,0 days 00:56:10.529000,7403.213588950121,3517.8748586474185,2035.7376586236192,176.0,1,0.0,False
25322,0 days 00:56:10.769000,7332.288938408394,3465.8846983777544,2034.7030485661805,182.0,1,0.0,False
25323,0 days 00:56:10.911000,7284.0,3438.0,2034.0,188.2125056,1,0.0,False
25324,0 days 00:56:10.929000,7276.705555565336,3433.8463855103864,2033.8892379674103,189.0,1,0.0,False
25325,0 days 00:56:11.051000,7218.0,3401.0,2033.0,193.27000448,1,0.0,False
25326,0 days 00:56:11.129000,7167.58250649505,3373.7510417501708,2032.2855008154659,196.0,1,0.0,False
25327,0 days 00:56:11.370000,6990.3821433640005,3279.6628960093844,2030.0848421477651,202.0,1,0.0,False
25328,0 days 00:56:11.391000,6980.0,3274.0,2030.0,202.68250624,1,0.0,False
25329,0 days 00:56:11.691000,6902.0,3224.0,2030.0,212.43250624,1,0.0,False
25330,0 days 00:56:11.770000,6869.265236315663,3200.2646058060172,2029.5508382713674,215.0,1,0.0,False
25331,0 days 00:56:11.851000,6827.0,3167.0,2029.0,216.7718792,1,0.0,False
25332,0 days 00:56:12.090000,6670.932340950294,3019.280079538605,2028.1149071578411,222.0,1,0.0,False
25333,0 days 00:56:12.131000,6646.0,2994.0,2028.0,222.87857554285713,1,0.0,False
25334,0 days 00:56:12.370000,6530.676290204105,2869.089876809848,2027.3270656789068,228.0,1,0.0,False
25335,0 days 00:56:12.592000,6449.0,2769.0,2027.0,231.468752,1,0.0,False
25336,0 days 00:56:12.690000,6414.892135432462,2724.4365580619888,2027.0335178529965,233.0,1,0.0,False
25337,0 days 00:56:12.932000,6332.0,2607.0,2027.0,240.39444835555557,1,0.0,False
25338,0 days 00:56:13.050000,6289.008737898413,2540.394621668315,2026.4207866178785,244.0,1,0.0,False
25339,0 days 00:56:13.152000,6252.0,2480.0,2026.0,244.0,1,0.0,False
25340,0 days 00:56:13.250000,6217.866464517567,2421.353887951,2025.9745526508395,244.0,1,0.0,False
25341,0 days 00:56:13.392000,6170.0,2335.0,2026.0,249.68000512,1,0.0,False
25342,0 days 00:56:13.450000,6150.592269023152,2299.1254396038366,2025.7623639130163,252.0,1,0.0,False
25343,0 days 00:56:13.591000,6104.0,2211.0,2025.0,254.51786057142857,1,0.0,False
25344,0 days 00:56:13.730000,6059.51689053303,2124.155740937581,2025.0207504968648,257.0,1,0.0,False
25345,0 days 00:56:13.850000,6020.0,2045.0,2025.0,258.5,1,0.0,False
25346,0 days 00:56:13.890000,6006.182054882594,2016.9810718443462,2024.8561700068879,259.0,1,0.0,False
25347,0 days 00:56:14.051000,5950.0,1902.0,2024.0,261.41500288,1,0.0,False
25348,0 days 00:56:14.290000,5879.012822573306,1756.4303709980275,2024.0158787534574,265.0,1,0.0,False
25349,0 days 00:56:14.311000,5873.0,1744.0,2024.0,265.3937536,1,0.23208782038549225,False
25350,0 days 00:56:14.571000,5789.0,1569.0,2023.0,270.2687536,1,0.2233744391411802,False
25351,0 days 00:56:14.610000,5771.397262819887,1532.4102542304724,2022.7414413969657,271.0,1,0.22453377004688072,False
25352,0 days 00:56:14.871000,5644.0,1268.0,2021.0,272.8642870857143,1,0.20612772679617766,False
25353,0 days 00:56:14.890000,5638.34571091149,1256.2167478455226,2020.9581206357316,273.0,1,0.2065933934798247,False
25354,0 days 00:56:15.151000,5598.0,1171.0,2021.0,276.91500288,1,0.19943920790122646,False
25355,0 days 00:56:15.290000,5553.593905046778,1077.6698293501352,2019.958823542709,279.0,1,0.1956636413187249,False
25356,0 days 00:56:15.431000,5500.0,965.0,2019.0,280.7680271311795,1,0.18676011133469891,False
25357,0 days 00:56:15.571000,5453.0,866.0,2019.0,282.52351267239874,1,0.18062863410144364,False
25358,0 days 00:56:15.609000,5439.618828637746,838.067245500758,2018.9131919602717,283.0,1,0.1760791354715624,False
25359,0 days 00:56:15.809000,5361.896733449118,677.5542907029225,2017.51968846033,285.0,1,0.1582175215649358,False
25360,0 days 00:56:15.871000,5336.0,624.0,2017.0,285.7750016,1,0.14112141732455502,False
25361,0 days 00:56:16.049000,5257.633154097467,461.1210129711608,2015.5215552845934,288.0,1,0.12509220457838305,False
25362,0 days 00:56:16.251000,5169.0,277.0,2014.0,289.8937512,1,0.10601277710719635,False
25363,0 days 00:56:16.369000,5121.521169352887,179.24311815272023,2013.2607820480168,291.0,1,0.08686770608044338,False
25364,0 days 00:56:16.529000,5063.624423417198,60.82706620146838,2012.431885912577,293.0,1,0.07558671520372308,False
25365,0 days 00:56:16.631000,5034.0,0.0,2012.0,293.72857234285715,1,0.057828780581447886,False
25366,0 days 00:56:16.809000,4996.9655101594235,-76.85059729678231,2011.423627288824,295.0,1,0.041385482152307966,False
25367,0 days 00:56:16.971000,4963.0,-148.0,2011.0,296.5187512,1,0.0025183254408802816,False
25368,0 days 00:56:17.129000,4915.771728569508,-246.7773969780311,2010.5988648747361,298.0,1,-0.008813294594795417,False
25369,0 days 00:56:17.271000,4856.0,-371.0,2010.0,298.5071433142857,1,-0.02584484754077213,False
25370,0 days 00:56:17.409000,4777.723466106743,-532.6579195986131,2008.997656213668,299.0,1,-0.05142392034882221,False
25371,0 days 00:56:17.551000,4704.0,-685.0,2008.0,299.5071433142857,1,-0.066673495124502,False
25372,0 days 00:56:17.689000,4666.562655994863,-763.353529554306,2007.5292378822737,300.0,1,-0.11273727343815654,False
25373,0 days 00:56:17.890000,4634.054610179845,-831.6261324766816,2007.0961407283692,301.0,1,-0.12686919985510095,False
25374,0 days 00:56:17.911000,4628.0,-844.0,2007.0,301.0875008,1,-0.15277754181618378,False
25375,0 days 00:56:18.072000,4569.0,-964.0,2006.0,301.75833386666665,1,-0.18308426031424802,False
25376,0 days 00:56:18.130000,4549.1511948980615,-1004.9021960455252,2005.6257028425468,302.0,1,-0.1898005866130999,False
25377,0 days 00:56:18.332000,4474.0,-1161.0,2004.0,302.8416672,1,-0.22518004405049719,False
25378,0 days 00:56:18.370000,4452.467475322299,-1205.113819944265,2003.5175047697617,303.0,1,-0.2475142127445796,False
25379,0 days 00:56:18.552000,4340.0,-1434.0,2001.0,303.6500004571429,1,-0.2684563645524624,False
