,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,-2154.655780194652,617.613879839264,1962.338499834725,212.0,1,0.0,False
25310,0 days 00:56:09.270000,-2115.0,696.0,1962.0,213.01000192,1,0.0,False
25311,0 days 00:56:09.369000,-2086.204539210906,749.7143289214597,1961.787821934209,214.0,1,0.0,False
25312,0 days 00:56:09.569000,-2050.2363823363644,803.580872252088,1961.7351761835378,220.0,1,0.0,False
25313,0 days 00:56:09.691000,-2015.0,852.0,1962.0,224.5750048,1,0.0,False
25314,0 days 00:56:09.729000,-2000.7345998421063,871.764097963457,1962.130649835273,226.0,1,0.0,False
25315,0 days 00:56:09.929000,-1911.5177402813265,996.1010735677884,1962.9529913533513,231.0,1,0.0,False
25316,0 days 00:56:09.951000,-1903.0,1008.0,1963.0,231.4125024,1,0.0,False
25317,0 days 00:56:10.089000,-1859.6251281290286,1068.7002515664406,1963.010979604635,234.0,1,0.0,False
25318,0 days 00:56:10.251000,-1803.0,1146.0,1963.0,237.47143131428572,1,0.0,False
25319,0 days 00:56:10.369000,-1736.0522108811995,1235.2005795976281,1963.4469298679703,240.0,1,0.0,False
25320,0 days 00:56:10.491000,-1665.0,1329.0,1964.0,240.0,1,0.0,False
25321,0 days 00:56:10.529000,-1647.0046179705223,1352.5956140952278,1964.123672993731,240.0,1,0.0,False
25322,0 days 00:56:10.769000,-1573.7939204672377,1446.3743953284206,1964.4672689457714,249.0,1,0.0,False
25323,0 days 00:56:10.911000,-1528.0,1503.0,1965.0,251.6625024,1,0.0,False
25324,0 days 00:56:10.929000,-1521.067277537966,1511.5361180780767,1965.1043251329697,252.0,1,0.0,False
25325,0 days 00:56:11.051000,-1466.0,1580.0,1966.0,254.44000256,1,0.0,False
25326,0 days 00:56:11.129000,-1420.7507653389898,1638.3538200650905,1966.688027746044,256.0,1,0.0,False
25327,0 days 00:56:11.370000,-1266.9730338924167,1842.8896343875572,1968.8713702918692,260.0,1,0.0,False
