,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,5003.444878171641,-63.09624181950306,2011.7479313640777,292.0,1,0.0,False
25310,0 days 00:56:09.270000,4956.0,-161.0,2011.0,293.01000192,1,0.0,False
25311,0 days 00:56:09.369000,4921.265506122761,-233.01898962335838,2010.391622017856,294.0,1,0.0,False
25312,0 days 00:56:09.569000,4878.358276803754,-323.1040000663713,2009.4921378099712,297.0,1,0.0,False
25313,0 days 00:56:09.691000,4842.0,-399.0,2009.0,297.7625008,1,0.0,False
25314,0 days 00:56:09.729000,4827.857249017598,-428.4156862020854,2008.8483940099502,298.0,1,0.0,False
25315,0 days 00:56:09.929000,4742.070205816921,-606.3010877276664,2008.0783616867454,299.0,1,0.0,False
25316,0 days 00:56:09.951000,4734.0,-623.0,2008.0,299.1375008,1,0.0,False
25317,0 days 00:56:10.089000,4693.420973251019,-706.7834728917173,2007.542449220841,300.0,1,0.0,False
25318,0 days 00:56:10.251000,4642.0,-813.0,2007.0,301.1571437714286,1,0.0,False
25319,0 days 00:56:10.369000,4581.676046000597,-938.0489962831533,2006.5384442686518,302.0,1,0.0,False
25320,0 days 00:56:10.491000,4518.0,-1070.0,2006.0,302.0,1,0.0,False
25321,0 days 00:56:10.529000,4501.984651938365,-1103.1123609484214,2005.819135964311,302.0,1,0.0,False
25322,0 days 00:56:10.769000,4438.370332787614,-1233.6681973156558,2004.4639361575696,303.0,1,0.0,False
25323,0 days 00:56:10.911000,4400.0,-1312.0,2003.0,303.8875008,1,0.0,False
25324,0 days 00:56:10.929000,4394.216810969541,-1323.8176760360413,2002.765499082239,304.0,1,0.0,False
25325,0 days 00:56:11.051000,4348.0,-1418.0,2001.0,304.61000064,1,0.0,False
25326,0 days 00:56:11.129000,4309.036143326177,-1496.6102625926849,1999.9292197204522,305.0,1,0.0,False
25327,0 days 00:56:11.370000,4173.910380530998,-1767.169988777139,1997.1867587871277,306.0,1,0.0,False
25328,0 days 00:56:11.391000,4166.0,-1783.0,1997.0,306.10500096,1,0.0,False
25329,0 days 00:56:11.691000,4105.0,-1905.0,1995.0,307.60500096,1,0.0,False
25330,0 days 00:56:11.770000,4078.1576295451455,-1958.4346521919347,1994.4589941549177,308.0,1,0.0,False
25331,0 days 00:56:11.851000,4043.0,-2028.0,1994.0,308.5062512,1,0.0,False
25332,0 days 00:56:12.090000,3908.9852319698502,-2289.3996393118314,1993.9082659832907,310.0,1,0.0,False
25333,0 days 00:56:12.131000,3887.0,-2332.0,1994.0,310.14642925714287,1,0.0,False
25334,0 days 00:56:12.370000,3781.0545109426102,-2535.8161438965035,1994.9187388366909,311.0,1,0.0,False
25335,0 days 00:56:12.592000,3708.0,-2674.0,1996.0,311.0,1,0.0,False
25336,0 days 00:56:12.690000,3681.056988283702,-2724.174518003932,1996.44436226966,311.0,1,0.0,False
25337,0 days 00:56:12.932000,3613.0,-2849.0,1998.0,311.6722225777778,1,0.0,False
25338,0 days 00:56:13.050000,3565.673426005546,-2935.693346040727,1999.4663137298346,312.0,1,0.0,False
25339,0 days 00:56:13.152000,3521.0,-3016.0,2001.0,312.51000064,1,0.0,False
25340,0 days 00:56:13.250000,3478.171043658914,-3090.4816042538837,2002.604441216175,313.0,1,0.0,False
25341,0 days 00:56:13.392000,3417.0,-3194.0,2005.0,302.3499904,1,0.0,False
25342,0 days 00:56:13.450000,3392.6447901191386,-3234.894951483834,2005.931731563391,298.0,1,0.0,False
25343,0 days 00:56:13.591000,3335.0,-3330.0,2008.0,281.88569234285717,1,0.0,False
25344,0 days 00:56:13.730000,3280.3576029601027,-3415.5076969434585,2009.5818773213002,266.0,1,0.0,False
