,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,5938.590615362277,1879.0152558560524,2024.3859165368121,259.0,1,0.0,False
25310,0 days 00:56:09.270000,5896.0,1792.0,2024.0,261.5250048,1,0.0,False
25311,0 days 00:56:09.369000,5864.748030162001,1727.7925902863014,2023.7125403270484,264.0,1,0.0,False
25312,0 days 00:56:09.569000,5825.893998072293,1646.6801067181693,2023.335503066248,267.0,1,0.0,False
25313,0 days 00:56:09.691000,5793.0,1578.0,2023.0,269.2875024,1,0.0,False
25314,0 days 00:56:09.729000,5780.220215986974,1551.3762999480816,2022.8685919132881,270.0,1,0.0,False
25315,0 days 00:56:09.929000,5702.434696895386,1389.4997391690986,2022.0729808934996,273.0,1,0.0,False
25316,0 days 00:56:09.951000,5695.0,1374.0,2022.0,273.1375008,1,0.0,False
25317,0 days 00:56:10.089000,5656.7978492920065,1294.1348149774458,2021.6464270064712,274.0,1,0.0,False
25318,0 days 00:56:10.251000,5609.0,1194.0,2021.0,276.31428754285713,1,0.0,False
25319,0 days 00:56:10.369000,5555.311465615301,1081.7685977939636,2020.0106579291707,278.0,1,0.0,False
25320,0 days 00:56:10.491000,5499.0,964.0,2019.0,279.5250016,1,0.0,False
25321,0 days 00:56:10.529000,5484.727883007037,934.0951467191996,2018.7893270511497,280.0,1,0.0,False
25322,0 days 00:56:10.769000,5426.630551132687,811.7184620113227,2018.45289259403,282.0,1,0.0,False
25323,0 days 00:56:10.911000,5391.0,737.0,2018.0,283.7750016,1,0.0,False
25324,0 days 00:56:10.929000,5385.647320850037,725.8174272830081,2017.899187300312,284.0,1,0.0,False
25325,0 days 00:56:11.051000,5343.0,637.0,2017.0,285.22000128,1,0.0,False
25326,0 days 00:56:11.129000,5307.216424777756,562.8074947185821,2016.3075346321614,286.0,1,0.0,False
25327,0 days 00:56:11.370000,5183.307102781892,307.0051756791838,2014.1264213721738,288.0,1,0.0,False
25328,0 days 00:56:11.391000,5176.0,292.0,2014.0,288.10500096,1,0.0,False
25329,0 days 00:56:11.691000,5119.0,176.0,2013.0,289.60500096,1,0.0,False
25330,0 days 00:56:11.770000,5094.690979030005,125.73891742934994,2012.549605530244,290.0,1,0.0,False
25331,0 days 00:56:11.851000,5063.0,60.0,2012.0,291.0125024,1,0.0,False
25332,0 days 00:56:12.090000,4942.029241252057,-191.36608764922113,2010.273780251953,294.0,1,0.0,False
25333,0 days 00:56:12.131000,4922.0,-233.0,2010.0,294.29285851428574,1,0.0,False
25334,0 days 00:56:12.370000,4823.744149237163,-437.2393907415196,2008.6468643170253,296.0,1,0.0,False
25335,0 days 00:56:12.592000,4757.0,-576.0,2008.0,298.0812512,1,0.0,False
25336,0 days 00:56:12.690000,4733.973123239058,-623.8889383940631,2007.9696395516737,299.0,1,0.0,False
25337,0 days 00:56:12.932000,4678.0,-740.0,2008.0,299.6722225777778,1,0.0,False
25338,0 days 00:56:13.050000,4637.333915009057,-823.9726826236124,2007.5806878447165,300.0,1,0.0,False
25339,0 days 00:56:13.152000,4599.0,-903.0,2007.0,301.02000128,1,0.0,False
25340,0 days 00:56:13.250000,4562.924673356965,-977.2647868554463,2006.2798900415298,302.0,1,0.0,False
25341,0 days 00:56:13.392000,4511.0,-1084.0,2005.0,302.0,1,0.0,False
25342,0 days 00:56:13.450000,4489.474021950028,-1128.2101149217388,2004.4173113854972,302.0,1,0.0,False
25343,0 days 00:56:13.591000,4437.0,-1236.0,2003.0,303.0071442285714,1,0.0,False
25344,0 days 00:56:13.730000,4386.610802821198,-1339.7856897143322,2001.9384996833696,304.0,1,0.0,False
25345,0 days 00:56:13.850000,4341.0,-1433.0,2001.0,304.75,1,0.0,False
25346,0 days 00:56:13.890000,4324.772374644042,-1465.8549146934433,2000.6267583890426,305.0,1,0.0,False
25347,0 days 00:56:14.051000,4258.0,-1600.0,1999.0,305.80500096,1,0.0,False
25348,0 days 00:56:14.290000,4174.127706632129,-1767.7499127546225,1997.1612027716362,307.0,1,0.0,False
25349,0 days 00:56:14.311000,4167.0,-1782.0,1997.0,307.0656256,1,-0.39435129040621053,False
25350,0 days 00:56:14.571000,4067.0,-1981.0,1995.0,307.8781256,1,-0.42367620164180503,False
25351,0 days 00:56:14.610000,4046.1266942867323,-2022.0422059931966,1994.7832264770252,308.0,1,-0.4354957934532991,False
25352,0 days 00:56:14.871000,3895.0,-2317.0,1994.0,308.93214354285715,1,-0.53427327886917,True
25353,0 days 00:56:14.890000,3888.185334006916,-2330.2077035965767,1993.9737401914156,309.0,1,-0.5545312326977405,True
25354,0 days 00:56:15.151000,3839.0,-2424.0,1994.0,309.65250048,1,-0.6033088029632581,True
25355,0 days 00:56:15.290000,3789.187740741424,-2519.587680172059,1994.3530963669189,310.0,1,-0.6402652617370015,True
25356,0 days 00:56:15.431000,3728.0,-2636.0,1995.0,310.44200678279486,1,-0.6936121555480083,True
25357,0 days 00:56:15.571000,3671.0,-2742.0,1996.0,310.8808781680997,1,-0.7306198570955913,True
25358,0 days 00:56:15.609000,3654.7023025556273,-2772.1549232759103,1996.360236168005,311.0,1,-0.7689740942521767,True
25359,0 days 00:56:15.809000,3560.874374634192,-2944.5976317185978,1998.9479120364374,312.0,1,-0.891325402508783,True
25360,0 days 00:56:15.871000,3530.0,-3000.0,2000.0,309.15832746666666,1,-1.0036612098553148,True
25361,0 days 00:56:16.049000,3437.669961449236,-3161.2868658755533,2003.6923216518232,301.0,1,-1.1039573096745443,True
25362,0 days 00:56:16.251000,3335.0,-3331.0,2008.0,284.5874896,1,-1.1846771678473955,True
25363,0 days 00:56:16.369000,3280.884934942606,-3414.027534292647,2009.9729860087998,275.0,1,-1.264400704241473,True
25364,0 days 00:56:16.529000,3215.6721699741406,-3506.9823717152562,2012.0235380864694,261.0,1,-1.3274067099581066,True
25365,0 days 00:56:16.631000,3182.0,-3553.0,2013.0,258.0857106285714,1,-1.374080600549656,True
25366,0 days 00:56:16.809000,3138.917983939323,-3608.1907320625514,2014.1030175466194,253.0,1,-1.4167652471690901,True
25367,0 days 00:56:16.971000,3099.0,-3656.0,2015.0,240.34374,1,-1.4617528485170053,True
25368,0 days 00:56:17.129000,3044.2236011279238,-3721.7058049652514,2016.2463462748804,228.0,1,-1.5029144621886363,True
25369,0 days 00:56:17.271000,2973.0,-3794.0,2018.0,223.43571017142858,1,-1.5378569117272047,True
25370,0 days 00:56:17.409000,2876.731097512803,-3873.9422231681474,2020.5421941174043,219.0,1,-1.5979348844738386,True
25371,0 days 00:56:17.551000,2784.0,-3944.0,2023.0,212.91428022857144,1,-1.6357643001036353,True
25372,0 days 00:56:17.689000,2734.1750722140255,-3978.0723758218905,2024.2152422331876,207.0,1,-1.6765116656650132,True
25373,0 days 00:56:17.890000,2686.3411795185007,-4000.073955854208,2024.8966703976432,199.0,1,-1.693519614035775,True
25374,0 days 00:56:17.911000,2678.0,-4004.0,2025.0,198.2124928,1,-1.7022258002865218,True
25375,0 days 00:56:18.072000,2600.0,-4041.0,2026.0,192.1749952,1,-1.7251477581186825,True
25376,0 days 00:56:18.130000,2576.4075844075046,-4051.7097906752024,2026.4047226334894,190.0,1,-1.729278119232621,True
25377,0 days 00:56:18.332000,2492.0,-4079.0,2028.0,184.9499968,1,-1.7462487541504994,True
25378,0 days 00:56:18.370000,2465.123933142897,-4084.857778779696,2028.3508709916343,184.0,1,-1.751624969482331,True
25379,0 days 00:56:18.552000,2319.0,-4112.0,2030.0,179.4499968,1,-1.7625996080588666,True
25380,0 days 00:56:18.650000,2281.9214760531236,-4117.7222998292855,2030.5022168358014,177.0,1,-1.7662772201458332,True
25381,0 days 00:56:18.832000,2252.0,-4116.0,2031.0,173.20833066666665,1,-1.7609714738449536,True
25382,0 days 00:56:18.890000,2230.522162317602,-4114.848867661065,2031.201953073583,172.0,1,-1.75968179645644,True
25383,0 days 00:56:19.071000,2139.0,-4109.0,2032.0,169.48610844444445,1,-1.7529240931782284,True
25384,0 days 00:56:19.250000,2057.1314695815277,-4096.301658207795,2032.9269141577686,167.0,1,-1.7426836480879113,True
25385,0 days 00:56:19.271000,2047.0,-4094.0,2033.0,167.11666773333334,1,-1.734641637165145,True
25386,0 days 00:56:19.610000,1869.4440309567042,-4036.1827085871023,2033.0006020986539,169.0,1,-1.7139666840054988,True
25387,0 days 00:56:19.611000,1869.0,-4036.0,2033.0,169.00500096,1,-1.6989912854797642,True
25388,0 days 00:56:19.810000,1796.768270028292,-4000.81791048806,2032.9622835342277,170.0,1,-1.668859001272729,True
25389,0 days 00:56:20.032000,1718.0,-3955.0,2033.0,173.1714304,1,-1.6517055400561018,True
25390,0 days 00:56:20.052000,1709.0,-3950.0,2033.0,173.4571446857143,1,-1.621226579544778,True
25391,0 days 00:56:20.090000,1692.2540587555852,-3940.1141040332636,2032.977338082,174.0,1,-1.6098707594942838,True
25392,0 days 00:56:20.390000,1576.0,-3847.0,2032.0,180.00000512,1,-1.5201365252516286,True
25393,0 days 00:56:20.490000,1538.8866474239633,-3812.1401526573754,2031.6315181388247,182.0,1,-1.5024409764065707,True
25394,0 days 00:56:20.650000,1481.0,-3753.0,2031.0,186.0,1,-1.452585229617566,True
25395,0 days 00:56:20.730000,1453.391141885205,-3721.917392690758,2030.6208765539675,188.0,1,-1.411643479079581,True
25396,0 days 00:56:20.851000,1413.0,-3673.0,2030.0,189.5125024,1,-1.3556087453401857,True
25397,0 days 00:56:20.890000,1400.2082180221141,-3656.7477392656256,2029.7999197569532,190.0,1,-1.3144755661557044,True
25398,0 days 00:56:21.031000,1355.0,-3596.0,2029.0,193.5250048,1,-1.2731708536899455,True
25399,0 days 00:56:21.330000,1265.9358889822513,-3456.7180004397974,2026.091171477405,201.0,1,-1.1426981841314747,True
25400,0 days 00:56:21.730000,1156.308347253853,-3252.832951516732,2019.9040889979888,214.0,1,-1.009460337810929,True
25401,0 days 00:56:21.891000,1111.0,-3169.0,2017.0,216.41500288,1,-0.8840512580200545,True
25402,0 days 00:56:21.930000,1099.880257602145,-3148.5787494374486,2016.2640524405708,217.0,1,-0.7891016838523439,True
25403,0 days 00:56:22.129000,1042.0774040826097,-3043.769676480081,2012.2863471203361,219.0,1,-0.6895545378075081,True
25404,0 days 00:56:22.231000,1011.0,-2990.0,2010.0,220.2750016,1,-0.6101811075108275,True
25405,0 days 00:56:22.369000,967.0073647792277,-2917.3790449179683,2006.5916764715946,222.0,1,-0.5538432050918957,True
25406,0 days 00:56:22.471000,933.0,-2864.0,2004.0,222.85000106666666,1,-0.48659278874304873,False
25407,0 days 00:56:22.631000,877.0,-2781.0,2000.0,224.1833344,1,-0.427617995087018,False
25408,0 days 00:56:22.711000,848.0,-2740.0,1998.0,224.85000106666666,1,-0.37194061284840235,False
25409,0 days 00:56:22.729000,841.6031610665406,-2731.030539082378,1997.5662196632413,225.0,1,-0.3065678298219787,False
25410,0 days 00:56:22.931000,767.0,-2628.0,1993.0,225.0,1,-0.21989794958686917,False
25411,0 days 00:56:22.969000,749.2021731979997,-2603.821438470992,1992.1061401018296,225.0,1,-0.14509644767748614,False
25412,0 days 00:56:23.209000,611.7543006589505,-2418.911703431922,1986.3673213600773,225.0,1,-0.05659183120786543,False
25413,0 days 00:56:23.291000,571.0,-2364.0,1985.0,231.1500096,1,-0.01606666314621205,False
25414,0 days 00:56:23.489000,500.46264060874466,-2268.1049534500335,1983.5247792502882,246.0,1,0.02365749653439313,False
25415,0 days 00:56:23.712000,426.0,-2168.0,1984.0,246.0,1,0.1065520558013409,False
25416,0 days 00:56:23.729000,418.49893745344013,-2158.0892181982085,1984.0828583530215,246.0,1,0.12447915687306509,False
25417,0 days 00:56:23.889000,335.4260072647653,-2049.2380895362026,1985.1771245610273,259.0,1,0.2022887948287434,False
25418,0 days 00:56:24.032000,265.0,-1958.0,1986.0,259.8937504,1,0.24585422518039152,False
25419,0 days 00:56:24.049000,257.93538397063253,-1948.9258645486414,1986.0584282422676,260.0,1,0.32731028323108907,False
25420,0 days 00:56:24.370000,154.99440429332265,-1821.4774457942917,1986.0147190434961,261.0,1,0.4008792067261706,False
25421,0 days 00:56:24.391000,147.0,-1812.0,1986.0,259.9499904,1,0.4213365619052752,False
25422,0 days 00:56:24.570000,66.41320531533462,-1717.7245556140595,1985.9617672733784,251.0,1,0.46738567360087435,False
25423,0 days 00:56:24.651000,29.0,-1674.0,1986.0,251.0,1,0.5291782833101665,True
25424,0 days 00:56:24.770000,-22.992595781316368,-1613.0020085921217,1986.079946628655,251.0,1,0.5760207080609878,True
25425,0 days 00:56:24.812000,-42.0,-1591.0,1986.0,242.0749728,1,0.5919714691633361,True
25426,0 days 00:56:24.930000,-99.60117035350353,-1525.6686991572763,1985.2923574807082,217.0,1,0.6609008269246317,True
25427,0 days 00:56:25.112000,-163.0,-1455.0,1984.0,206.38332586666667,1,0.6979429989215886,True
25428,0 days 00:56:25.170000,-163.59052206036736,-1454.213786473495,1983.954593165916,203.0,1,0.7084801092011445,True
25429,0 days 00:56:25.271000,-160.0,-1458.0,1984.0,197.52915626666666,1,0.717651577696007,True
25430,0 days 00:56:25.410000,-202.5420557040914,-1410.8501758643254,1983.3518895214283,190.0,1,0.7393834492232941,True
25431,0 days 00:56:25.511000,-243.0,-1366.0,1983.0,183.93998848,1,0.7578084840135861,True
25432,0 days 00:56:25.591000,-269.0,-1337.0,1983.0,179.13998848,1,0.7814487998997733,True
25433,0 days 00:56:25.610000,-274.732688788279,-1330.520441314773,1982.9577986785155,178.0,1,0.7793327301189827,True
25434,0 days 00:56:25.912000,-370.0,-1222.0,1980.0,173.88181643636364,1,0.8426487906231342,True
25435,0 days 00:56:26.050000,-445.4720336807935,-1142.1708181627291,1978.6974461756008,172.0,1,0.8626877329675385,True
25436,0 days 00:56:26.151000,-494.0,-1092.0,1978.0,164.4249856,1,0.8825286519023485,True
25437,0 days 00:56:26.370000,-535.0923155449094,-1053.4513585006662,1977.3421200765536,148.0,1,0.8921874249842119,True
