,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,2560.9930639462677,-4053.4534702650203,2026.219106821754,190.0,1,0.0,False
25310,0 days 00:56:09.270000,2507.0,-4074.0,2027.0,184.9499904,1,0.0,False
25311,0 days 00:56:09.369000,2465.0228378175457,-4088.4733538150763,2027.7683415145862,180.0,1,0.0,False
25312,0 days 00:56:09.569000,2404.7194427744757,-4102.587121362496,2029.2785601340331,176.0,1,0.0,False
25313,0 days 00:56:09.691000,2355.0,-4108.0,2030.0,175.2374992,1,0.0,False
25314,0 days 00:56:09.729000,2336.2287970129178,-4109.489138350253,2030.1861760206934,175.0,1,0.0,False
25315,0 days 00:56:09.929000,2224.5663910322924,-4114.874531555517,2030.9278547438369,170.0,1,0.0,False
25316,0 days 00:56:09.951000,2214.0,-4115.0,2031.0,169.8624992,1,0.0,False
25317,0 days 00:56:10.089000,2160.1181206543956,-4113.34728608311,2031.432776529881,169.0,1,0.0,False
25318,0 days 00:56:10.251000,2093.0,-4102.0,2032.0,169.0,1,0.0,False
25319,0 days 00:56:10.369000,2017.0606380762056,-4084.174566335111,2032.5338999887326,169.0,1,0.0,False
25320,0 days 00:56:10.491000,1938.0,-4063.0,2033.0,169.7625008,1,0.0,False
25321,0 days 00:56:10.529000,1918.3131606071743,-4057.066717654058,2033.0858764783056,170.0,1,0.0,False
25322,0 days 00:56:10.769000,1842.6567505091923,-4025.510694110932,2033.0419175787729,172.0,1,0.0,False
25323,0 days 00:56:10.911000,1798.0,-4002.0,2033.0,173.7750016,1,0.0,False
25324,0 days 00:56:10.929000,1791.2327397404376,-3998.4908767485103,2033.0068261310246,174.0,1,0.0,False
25325,0 days 00:56:11.051000,1738.0,-3969.0,2033.0,175.83000192,1,0.0,False
25326,0 days 00:56:11.129000,1695.6998501683074,-3940.005430902507,2032.7072864909676,177.0,1,0.0,False
25327,0 days 00:56:11.370000,1556.0603584172609,-3827.8343476968375,2031.0666007240413,182.0,1,0.0,False
25328,0 days 00:56:11.391000,1548.0,-3821.0,2031.0,182.47250432,1,0.0,False
25329,0 days 00:56:11.691000,1489.0,-3762.0,2031.0,189.22250432,1,0.0,False
25330,0 days 00:56:11.770000,1464.4110599231637,-3734.7626441219263,2030.6076062843363,191.0,1,0.0,False
25331,0 days 00:56:11.851000,1433.0,-3698.0,2030.0,193.2781304,1,0.0,False
25332,0 days 00:56:12.090000,1320.715595172451,-3545.478224384133,2027.4865659389636,200.0,1,0.0,False
25333,0 days 00:56:12.131000,1303.0,-3519.0,2027.0,201.17143405714285,1,0.0,False
25334,0 days 00:56:12.370000,1221.9721336707048,-3381.40467470602,2023.9965186017128,208.0,1,0.0,False
25335,0 days 00:56:12.592000,1171.0,-3282.0,2021.0,214.2437536,1,0.0,False
25336,0 days 00:56:12.690000,1153.162752436279,-3247.61837346222,2019.6278968655508,217.0,1,0.0,False
25337,0 days 00:56:12.932000,1108.0,-3163.0,2016.0,222.37778062222222,1,0.0,False
25338,0 days 00:56:13.050000,1073.8571229738297,-3100.584582977303,2014.0109140177078,225.0,1,0.0,False
25339,0 days 00:56:13.152000,1041.0,-3042.0,2012.0,226.02000128,1,0.0,False
25340,0 days 00:56:13.250000,1009.3221666340606,-2987.5410984824302,2009.6831967989872,227.0,1,0.0,False
25341,0 days 00:56:13.392000,962.0,-2910.0,2006.0,231.97000448,1,0.0,False
25342,0 days 00:56:13.450000,941.6314857206235,-2877.977310265285,2004.539336958298,234.0,1,0.0,False
25343,0 days 00:56:13.591000,890.0,-2800.0,2001.0,237.5250048,1,0.0,False
25344,0 days 00:56:13.730000,837.2029453457117,-2724.7789891627936,1997.2772116581452,241.0,1,0.0,False
25345,0 days 00:56:13.850000,788.0,-2657.0,1994.0,244.0,1,0.0,False
25346,0 days 00:56:13.890000,770.4621266473412,-2633.053090555873,1992.919410451383,245.0,1,0.0,False
25347,0 days 00:56:14.051000,698.0,-2535.0,1989.0,248.22000384,1,0.0,False
25348,0 days 00:56:14.290000,605.7510884291315,-2411.521174314154,1986.1935476211797,253.0,1,0.0,False
25349,0 days 00:56:14.311000,598.0,-2401.0,1986.0,253.2625024,1,0.049379058652439856,False
25350,0 days 00:56:14.571000,489.0,-2252.0,1984.0,256.5125024,1,0.1116898712627862,False
25351,0 days 00:56:14.610000,465.27280169214185,-2220.361570975975,1983.9428371512129,257.0,1,0.13908732466573345,False
25352,0 days 00:56:14.871000,290.0,-1990.0,1985.0,261.66071771428574,1,0.26863700316744005,False
25353,0 days 00:56:14.890000,282.1770203753535,-1979.7370416773792,1985.089057082232,262.0,1,0.29957443572437026,False
25354,0 days 00:56:15.151000,227.0,-1909.0,1986.0,263.30500096,1,0.3500820411280554,False
25355,0 days 00:56:15.290000,168.08627854150237,-1837.1412305751855,1986.0565650434348,264.0,1,0.41335162999668856,False
25356,0 days 00:56:15.431000,96.0,-1751.0,1986.0,258.2539118236666,1,0.4624994675991845,False
25357,0 days 00:56:15.571000,31.0,-1676.0,1986.0,252.5485838147042,1,0.5092936095969721,True
25358,0 days 00:56:15.609000,12.923107579910848,-1655.279118313171,1985.95796414304,251.0,1,0.5440711942159737,True
25359,0 days 00:56:15.809000,-86.73407855227302,-1541.3395877722594,1985.333579308045,231.0,1,0.6266300865451121,True
25360,0 days 00:56:15.871000,-117.0,-1507.0,1985.0,226.09165653333332,1,0.6589979649193348,True
25361,0 days 00:56:16.049000,-199.9574576932975,-1413.782159509363,1983.671499933335,212.0,1,0.7052744508538479,True
25362,0 days 00:56:16.251000,-284.0,-1320.0,1982.0,190.5374864,1,0.767259985579296,True
25363,0 days 00:56:16.369000,-326.45363626443645,-1272.4216696316612,1981.2201570601335,178.0,1,0.7911059785210386,True
