,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,7509.610003088552,7136.309535092378,2058.3023106990718,234.0,1,0.0,False
25310,0 days 00:56:09.270000,7528.0,7054.0,2058.0,232.48499712,1,0.0,False
25311,0 days 00:56:09.369000,7539.047944302325,6994.01164252605,2057.8576860859425,231.0,1,0.0,False
25312,0 days 00:56:09.569000,7542.023504681634,6920.720642364643,2057.9559150628884,226.0,1,0.0,False
25313,0 days 00:56:09.691000,7537.0,6858.0,2058.0,225.2374992,1,0.0,False
25314,0 days 00:56:09.729000,7534.636294071184,6833.4893438194595,2057.999380611531,225.0,1,0.0,False
25315,0 days 00:56:09.929000,7517.84386988398,6684.126468822952,2057.980722374034,223.0,1,0.0,False
25316,0 days 00:56:09.951000,7516.0,6670.0,2058.0,223.1375008,1,0.0,False
25317,0 days 00:56:10.089000,7505.135899009874,6598.511116080842,2058.2523396153933,224.0,1,0.0,False
25318,0 days 00:56:10.251000,7486.0,6509.0,2059.0,225.73571565714286,1,0.0,False
25319,0 days 00:56:10.369000,7461.507945350315,6406.074467393454,2059.978628341812,227.0,1,0.0,False
25320,0 days 00:56:10.491000,7435.0,6298.0,2061.0,228.5250016,1,0.0,False
25321,0 days 00:56:10.529000,7428.255996668161,6270.846207505077,2061.239525404553,229.0,1,0.0,False
25322,0 days 00:56:10.769000,7400.6541011207855,6163.388635450193,2061.9342203555066,233.0,1,0.0,False
25323,0 days 00:56:10.911000,7385.0,6099.0,2062.0,229.4499968,1,0.0,False
25324,0 days 00:56:10.929000,7382.727264404473,6089.305221894184,2061.9990214589475,229.0,1,0.0,False
25325,0 days 00:56:11.051000,7366.0,6013.0,2062.0,224.11999488,1,0.0,False
25326,0 days 00:56:11.129000,7354.840219153452,5951.652267343172,2062.12812132899,221.0,1,0.0,False
25327,0 days 00:56:11.370000,7324.518056237946,5746.880408040564,2062.9442131034243,213.0,1,0.0,False
25328,0 days 00:56:11.391000,7323.0,5735.0,2063.0,212.4749952,1,0.0,False
25329,0 days 00:56:11.691000,7318.0,5646.0,2063.0,204.9749952,1,0.0,False
25330,0 days 00:56:11.770000,7317.0686073492,5608.084665223921,2062.4918720144456,203.0,1,0.0,False
25331,0 days 00:56:11.851000,7318.0,5559.0,2062.0,201.2281208,1,0.0,False
25332,0 days 00:56:12.090000,7344.425896855395,5377.2209654910275,2062.0484832921184,196.0,1,0.0,False
25333,0 days 00:56:12.131000,7351.0,5348.0,2062.0,195.41428297142858,1,0.0,False
25334,0 days 00:56:12.370000,7396.738947935041,5211.235506729983,2060.5569598708066,192.0,1,0.0,False
25335,0 days 00:56:12.592000,7439.0,5124.0,2059.0,187.8374976,1,0.0,False
25336,0 days 00:56:12.690000,7454.278957921581,5094.3864722791905,2058.6919078508054,186.0,1,0.0,False
25337,0 days 00:56:12.932000,7494.0,5024.0,2058.0,183.98333226666668,1,0.0,False
25338,0 days 00:56:13.050000,7523.775915995836,4973.285710647892,2056.898767401952,183.0,1,0.0,False
25339,0 days 00:56:13.152000,7552.0,4926.0,2056.0,183.51000064,1,0.0,False
