,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25309,0 days 00:56:09.169000,6327.047390790599,2595.8159277334516,2026.2742079448467,238.0,1,0.0,False
25310,0 days 00:56:09.270000,6272.0,2514.0,2026.0,240.5250048,1,0.0,False
25311,0 days 00:56:09.369000,6233.879689667018,2454.7514496452263,2025.9159960728489,243.0,1,0.0,False
25312,0 days 00:56:09.569000,6194.920969548186,2383.569274808509,2026.1438762906396,247.0,1,0.0,False
25313,0 days 00:56:09.691000,6163.0,2322.0,2026.0,248.5250016,1,0.0,False
25314,0 days 00:56:09.729000,6150.3297521114755,2297.8032650028813,2025.8873569391694,249.0,1,0.0,False
25315,0 days 00:56:09.929000,6072.356370573386,2149.2432937646454,2025.0496464921987,254.0,1,0.0,False
25316,0 days 00:56:09.951000,6065.0,2135.0,2025.0,254.4125024,1,0.0,False
25317,0 days 00:56:10.089000,6028.0076391430275,2061.6706760861575,2024.984003703668,257.0,1,0.0,False
25318,0 days 00:56:10.251000,5982.0,1967.0,2025.0,260.4714313142857,1,0.0,False
25319,0 days 00:56:10.369000,5928.9173146489675,1857.8376023025633,2024.5527931087865,263.0,1,0.0,False
25320,0 days 00:56:10.491000,5873.0,1743.0,2024.0,263.0,1,0.0,False
25321,0 days 00:56:10.529000,5858.886387157174,1714.078398300926,2023.8774111818639,263.0,1,0.0,False
25322,0 days 00:56:10.769000,5802.214564998995,1598.6080103128363,2023.5475986899798,269.0,1,0.0,False
25323,0 days 00:56:10.911000,5768.0,1528.0,2023.0,270.7750016,1,0.0,False
25324,0 days 00:56:10.929000,5762.863619832537,1517.3244840413668,2022.8917602618696,271.0,1,0.0,False
25325,0 days 00:56:11.051000,5722.0,1432.0,2022.0,272.83000192,1,0.0,False
25326,0 days 00:56:11.129000,5687.837484415469,1360.3587747987508,2021.4237518143111,274.0,1,0.0,False
25327,0 days 00:56:11.370000,5569.9334708627575,1112.5451645592264,2020.04697102409,278.0,1,0.0,False
25328,0 days 00:56:11.391000,5563.0,1098.0,2020.0,278.2625024,1,0.0,False
25329,0 days 00:56:11.691000,5509.0,985.0,2020.0,282.0125024,1,0.0,False
25330,0 days 00:56:11.770000,5485.646923081289,935.5921494027111,2019.6140827239676,283.0,1,0.0,False
25331,0 days 00:56:11.851000,5455.0,871.0,2019.0,283.7593768,1,0.0,False
25332,0 days 00:56:12.090000,5336.641014941788,624.7186596320086,2016.3908040055114,286.0,1,0.0,False
25333,0 days 00:56:12.131000,5317.0,584.0,2016.0,286.5857170285714,1,0.0,False
25334,0 days 00:56:12.370000,5220.689285340304,384.7186794967418,2014.57267712918,290.0,1,0.0,False
25335,0 days 00:56:12.592000,5155.0,249.0,2014.0,292.0812512,1,0.0,False
25336,0 days 00:56:12.690000,5132.132393412458,201.6926393761544,2013.8212661004466,293.0,1,0.0,False
25337,0 days 00:56:12.932000,5076.0,86.0,2013.0,295.6888903111111,1,0.0,False
25338,0 days 00:56:13.050000,5035.190203167873,2.5533315199145408,2011.9083252904418,297.0,1,0.0,False
25339,0 days 00:56:13.152000,4997.0,-76.0,2011.0,297.0,1,0.0,False
25340,0 days 00:56:13.250000,4961.519464793104,-149.942458710669,2010.4846718532767,297.0,1,0.0,False
25341,0 days 00:56:13.392000,4911.0,-256.0,2010.0,299.13000192,1,0.0,False
25342,0 days 00:56:13.450000,4890.119719951384,-299.6620874372045,2009.7289886118804,300.0,1,0.0,False
25343,0 days 00:56:13.591000,4839.0,-406.0,2009.0,301.0071442285714,1,0.0,False
25344,0 days 00:56:13.730000,4788.7534970456,-509.48798690638347,2008.4642656428123,302.0,1,0.0,False
25345,0 days 00:56:13.850000,4744.0,-602.0,2008.0,302.75,1,0.0,False
25346,0 days 00:56:13.890000,4728.522852621658,-634.2719222643833,2007.8152942681834,303.0,1,0.0,False
25347,0 days 00:56:14.051000,4666.0,-765.0,2007.0,303.80500096,1,0.0,False
