,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-2119.2570094661132,9633.361142839898,163.99394003284763,264.0,1,0.0,False
26099,0 days 00:57:59.701000,-2110.0,9672.0,164.0,256.5,1,0.0,False
26100,0 days 00:57:59.813000,-2094.920632078933,9735.625183741453,163.8687129957743,239.0,1,0.0,False
26101,0 days 00:57:59.973000,-2083.7236964140416,9785.509930283986,163.6274941568905,218.0,1,0.0,False
26102,0 days 00:58:00.061000,-2073.0,9834.0,164.0,214.85714285714286,1,0.0,False
26103,0 days 00:58:00.253000,-2038.2418890695085,9990.966704926932,165.84586214476377,208.0,1,0.0,False
26104,0 days 00:58:00.281000,-2034.0,10010.0,166.0,205.3,1,0.0,False
26105,0 days 00:58:00.533000,-2013.7917597154299,10098.038009336782,165.22158764596458,181.0,1,0.0,False
26106,0 days 00:58:00.601000,-2009.0,10118.0,165.0,175.9,1,0.0,False
26107,0 days 00:58:00.733000,-1997.1590145122593,10167.127671118089,165.00505687623408,166.0,1,0.0,False
26108,0 days 00:58:00.861000,-1980.0,10228.0,165.0,159.2,1,0.0,False
26109,0 days 00:58:01.053000,-1942.0869170632625,10338.017999160898,164.14410223973522,149.0,1,0.0,False
26110,0 days 00:58:01.101000,-1934.0,10361.0,164.0,145.4,1,0.0,False
26111,0 days 00:58:01.213000,-1920.2561198660999,10401.11716374262,163.95696684235077,137.0,1,0.0,False
26112,0 days 00:58:01.533000,-1879.4048705797986,10462.777229558873,164.98872894041722,131.0,1,0.0,False
26113,0 days 00:58:01.541000,-1877.0,10465.0,165.0,130.82795702871238,1,0.0,False
26114,0 days 00:58:01.781000,-1787.0,10539.0,165.0,125.66666789008335,1,0.0,False
26115,0 days 00:58:01.812000,-1778.985926802397,10544.68269739123,165.00056225633645,125.0,1,0.0,False
26116,0 days 00:58:02.061000,-1736.0,10559.0,165.0,124.2218752,1,0.0,False
26117,0 days 00:58:02.132000,-1711.1796988175727,10564.52541977553,164.88255517306536,124.0,1,0.0,False
26118,0 days 00:58:02.372000,-1590.2878674507542,10593.942238335556,164.14445267893515,123.0,1,0.0,False
