,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,1789.2152105101918,9196.23797756275,126.14338806534654,302.0,1,0.0,False
26099,0 days 00:57:59.701000,1800.0,9150.0,126.0,302.3,1,0.0,False
26100,0 days 00:57:59.813000,1817.7983075192922,9073.170666973561,125.84471582307228,303.0,1,0.0,False
26101,0 days 00:57:59.973000,1832.7778503361485,9007.2895454785,125.95533962846491,303.0,1,0.0,False
26102,0 days 00:58:00.061000,1849.0,8937.0,126.0,303.3142857142857,1,0.0,False
26103,0 days 00:58:00.253000,1903.2968429880139,8703.012692218765,126.00062414062039,304.0,1,0.0,False
26104,0 days 00:58:00.281000,1910.0,8674.0,126.0,304.0,1,0.0,False
26105,0 days 00:58:00.533000,1942.884364209168,8528.591728929461,126.02049678531479,304.0,1,0.0,False
26106,0 days 00:58:00.601000,1951.0,8492.0,126.0,304.34,1,0.0,False
26107,0 days 00:58:00.733000,1971.1103611636013,8401.558105048964,125.90536262387027,305.0,1,0.0,False
26108,0 days 00:58:00.861000,1999.0,8278.0,126.0,305.0,1,0.0,False
26109,0 days 00:58:01.053000,2057.5455105405863,8023.040646526431,126.82502966181046,305.0,1,0.0,False
26110,0 days 00:58:01.101000,2070.0,7969.0,127.0,305.3,1,0.0,False
26111,0 days 00:58:01.213000,2091.3824348054577,7876.331704656244,127.23115047229432,306.0,1,0.0,False
26112,0 days 00:58:01.533000,2133.0192279882585,7700.284360535581,127.00657174396754,306.0,1,0.0,False
26113,0 days 00:58:01.541000,2135.0,7692.0,127.0,306.0,1,0.0,False
26114,0 days 00:58:01.781000,2206.0,7395.0,127.0,306.0,1,0.0,False
26115,0 days 00:58:01.812000,2211.9221160840607,7369.9921547202675,127.0741755425966,306.0,1,0.0,False
26116,0 days 00:58:02.061000,2237.0,7262.0,128.0,306.0,1,0.0,False
26117,0 days 00:58:02.132000,2250.8162419814535,7203.946438657445,128.0781339736575,306.0,1,0.0,False
26118,0 days 00:58:02.372000,2319.6114954111617,6917.490520428586,127.90659980924052,306.0,1,0.0,False
26119,0 days 00:58:02.421000,2332.0,6866.0,128.0,305.51000064,1,0.0,False
26120,0 days 00:58:02.572000,2363.0746400827343,6736.950150210689,128.6904720799691,304.0,1,0.0,False
26121,0 days 00:58:02.732000,2389.918463848856,6625.112939893818,129.74161854582746,303.0,1,0.0,False
26122,0 days 00:58:02.781000,2399.0,6587.0,130.0,302.52884676923077,1,0.0,False
26123,0 days 00:58:03.241000,2488.0,6209.0,131.0,298.10576984615386,1,0.0,False
26124,0 days 00:58:03.252000,2489.28421614571,6203.474432179061,130.99988777866395,298.0,1,0.0,False
26125,0 days 00:58:03.412000,2501.9998903265314,6148.201002116589,130.91549953316587,272.0,1,0.0,False
26126,0 days 00:58:03.501000,2510.0,6114.0,131.0,248.08126719999998,1,0.0,False
26127,0 days 00:58:03.572000,2518.6563862954836,6077.512991721365,131.19680624386785,229.0,1,0.0,False
26128,0 days 00:58:03.772000,2548.7662616697485,5950.349729427813,131.9809358963157,205.0,1,0.0,False
26129,0 days 00:58:03.781000,2550.0,5945.0,132.0,204.40000426666666,1,0.0,False
26130,0 days 00:58:04.041000,2579.0,5809.0,132.0,187.06667093333334,1,0.0,False
26131,0 days 00:58:04.181000,2590.0,5742.0,132.0,177.7333376,1,0.0,False
26132,0 days 00:58:04.252000,2594.883284741314,5709.068243334334,131.9928870736507,173.0,1,0.0,False
26133,0 days 00:58:04.361000,2601.0,5661.0,132.0,160.46500736,1,0.0,False
26134,0 days 00:58:04.452000,2604.0362430716327,5624.608087465874,132.0728669110649,150.0,1,0.0,False
26135,0 days 00:58:04.602000,2605.0,5569.0,132.0,144.88635927272728,1,0.0,False
26136,0 days 00:58:04.802000,2599.0,5498.0,131.0,138.06817745454546,1,0.0,False
